Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Dolichol-Phosphate-Mannose Synthase Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Caf-1 Complex -> Biodomain: Synapse, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Sphingomyelin Synthase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Response To Vitamin A -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Epigenetic, Autophagy
GO Term: Calmodulin-Dependent Protein Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Response To Hydroperoxide -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Apoptosis, Autophagy
GO Term: Response To Vitamin E -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Response To Atp -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Ribonuclease P Rna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Oxidative Stress
GO Term: Meiotic Cytokinesis -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Synapse, RNA Spliceosome
GO Term: Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Leptin-Mediated Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Adiponectin-Activated Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Iron Import Into Cell -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: Reductive Iron Assimilation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Synapse, Proteostasis, Apoptosis
GO Term: Amide Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Oxidative Stress, Apoptosis
GO Term: Dsrna Transport -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Cysteine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: Regulation Of Protein Sumoylation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Negative Regulation Of Protein Sumoylation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Positive Regulation Of Protein Sumoylation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: I-Kappab/Nf-Kappab Complex -> Biodomain: Synapse, Immune Response, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Bcl3/Nf-Kappab2 Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Nuclear Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Autophagy, Epigenetic, Synapse
GO Term: Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Apoptosis, Synapse
GO Term: Corvet Complex -> Biodomain: Endolysosome, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Choline Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Node Of Ranvier -> Biodomain: Synapse, Myelination, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Internode Region Of Axon -> Biodomain: Synapse, Myelination, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Paranode Region Of Axon -> Biodomain: Synapse, Myelination, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Response To Vitamin -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Response To Vitamin B2 -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Actin-Myosin Filament Sliding -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Transcription Factor Tftc Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Oxidative Stress
GO Term: Cell Proliferation In Midbrain -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Response To Vitamin D -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Eukaryotic 48S Preinitiation Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Eukaryotic 80S Initiation Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: T-Tubule Organization -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Secretion Of Lysosomal Enzymes -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Apoptosis
GO Term: Dehydroascorbic Acid Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, RNA Spliceosome
GO Term: Cell Cycle Comprising Mitosis Without Cytokinesis -> Biodomain: Cell Cycle, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Phytol Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Meiotic Cell Cycle Checkpoint Signaling -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Mitotic Dna Replication Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Synapse
GO Term: Meiotic Spindle Assembly Checkpoint Signaling -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, RNA Spliceosome
GO Term: Udp-D-Xylose Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Cerebrospinal Fluid Secretion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Leydig Cell Differentiation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Peroxisome Membrane Targeting Sequence Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Cholesterol Efflux -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: L-Asparagine Catabolic Process Via L-Aspartate -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: S-Adenosylmethionine Cycle -> Biodomain: Synapse, Proteostasis, Oxidative Stress, RNA Spliceosome, Epigenetic
GO Term: Secretory Granule Organization -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Mast Cell Secretory Granule Organization -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Protein Localization To Organelle -> Biodomain: Synapse, Proteostasis, Autophagy, RNA Spliceosome, Oxidative Stress
GO Term: Protein Localization To Secretory Granule -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: T Cell Secretory Granule Organization -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Maintenance Of Protease Location In Mast Cell Secretory Granule -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Oxidative Stress
GO Term: Maintenance Of Granzyme B Location In T Cell Secretory Granule -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Geranyl Diphosphate Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Geranyl Diphosphate Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Geranylgeranyl Diphosphate Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Putrescine Biosynthetic Process From Arginine, Via Ornithine -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Putrescine Biosynthetic Process From Arginine, Via Agmatine -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Chromatoid Body -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Beta-Alanine Biosynthetic Process Via 3-Ureidopropionate -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: S-Methylmethionine Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, RNA Spliceosome, Epigenetic
GO Term: Intracellular Nitric Oxide Homeostasis -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response
GO Term: Cholesterol Biosynthetic Process Via 24,25-Dihydrolanosterol -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Cholesterol Biosynthetic Process Via Desmosterol -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Cholesterol Biosynthetic Process Via Lathosterol -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Galactose Catabolic Process Via Udp-Galactose, Leloir Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Carbohydrate Homeostasis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Hulc Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Epigenetic
GO Term: Floor Plate Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Floor Plate Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Epigenetic
GO Term: L-Lysine Catabolic Process To Acetyl-Coa Via Saccharopine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: L-Lysine Catabolic Process To Acetyl-Coa Via L-Pipecolate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Fatty Acid Beta-Oxidation Using Acyl-Coa Dehydrogenase -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Fatty Acid Beta-Oxidation Using Acyl-Coa Oxidase -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Map Kinase Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Map Kinase Tyrosine Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Response To Vitamin B3 -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Rdna Heterochromatin -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Oxidative Stress
GO Term: Cellular Response To Stress -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Multicellular Organismal Response To Stress -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Slx1-Slx4 Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, DNA Repair
GO Term: Protein Lysine Deacetylase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Unsaturated Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: Folate Reductase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, RNA Spliceosome, Epigenetic
GO Term: Dorsal/Ventral Axon Guidance -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Anterior/Posterior Axon Guidance -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Oxidative Stress
GO Term: Escrt-0 Complex -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, RNA Spliceosome
GO Term: Gamma-Tubulin Complex Localization -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Structural Stabilization
GO Term: Dna Replication, Okazaki Fragment Processing -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Synapse
GO Term: Transferrin Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Response To Testosterone -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Elongator Holoenzyme Complex -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Response To Cobalamin -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Response To L-Ascorbic Acid -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Rna Strand Annealing Activity -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Brca2-Mage-D1 Complex -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, DNA Repair, Synapse
GO Term: Response To Hydroxyisoflavone -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Response To Genistein -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Tsc1-Tsc2 Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Mitotic Checkpoint Complex -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Synapse, Oxidative Stress
GO Term: Mammary Gland Epithelial Cell Proliferation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Regulation Of Mammary Gland Epithelial Cell Proliferation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Mammary Gland Epithelial Cell Proliferation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Positive Regulation Of Mammary Gland Epithelial Cell Proliferation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Negative Regulation Of Dopamine Secretion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Positive Regulation Of Dopamine Secretion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Negative Regulation Of Catecholamine Secretion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Positive Regulation Of Catecholamine Secretion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Oxalate Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Apoptosis, RNA Spliceosome
GO Term: Receptor Serine/Threonine Kinase Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Mitochondrial Proton-Transporting Atp Synthase Complex Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Mitochondrial Cytochrome C Oxidase Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Membrane Protein Proteolysis -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Integrin Activation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Regulation Of Integrin Activation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Negative Regulation Of Integrin Activation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Positive Regulation Of Integrin Activation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Positive Regulation Of Integrin Activation By Cell Surface Receptor Linked Signal Transduction -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Cell Adhesion Mediated By Integrin -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Regulation Of Cell Adhesion Mediated By Integrin -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Negative Regulation Of Cell Adhesion Mediated By Integrin -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Positive Regulation Of Cell Adhesion Mediated By Integrin -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Cell-Cell Adhesion Mediated By Integrin -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Regulation Of Cell-Cell Adhesion Mediated By Integrin -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Negative Regulation Of Cell-Cell Adhesion Mediated By Integrin -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Positive Regulation Of Cell-Cell Adhesion Mediated By Integrin -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Negative Regulation Of Kinase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Positive Regulation Of Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Dna/Rna Helicase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, DNA Repair
GO Term: 5'-3' Dna/Rna Helicase Activity -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Synapse
GO Term: 3'-5' Dna/Rna Helicase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, DNA Repair
GO Term: Negative Regulation Of Luteinizing Hormone Secretion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Positive Regulation Of Luteinizing Hormone Secretion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Osteoblast Proliferation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Regulation Of Osteoblast Proliferation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Osteoblast Proliferation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Osteoblast Proliferation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Sialic Acid Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Neurofilament Bundle Assembly -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, RNA Spliceosome
GO Term: Heterochromatin Boundary Formation -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Synapse, Autophagy
GO Term: Dna 5'-Adenosine Monophosphate Hydrolase Activity -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Synapse
GO Term: Phospholipid Efflux -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: 3-Beta-Hydroxy-5-Beta-Steroid Dehydrogenase (Nadp+) Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Aldehyde Dehydrogenase (Nadp+) Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Aspartate Dehydrogenase [Nad(P)+] Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Peptide-Methionine (R)-S-Oxide Reductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Apoptosis, RNA Spliceosome
GO Term: L-Methionine:Thioredoxin-Disulfide S-Oxidoreductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Apoptosis, RNA Spliceosome
GO Term: L-Methionine-(R)-S-Oxide Reductase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Histone H3R2 Demethylase Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, RNA Spliceosome, Autophagy
GO Term: Histone H4R3 Demethylase Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, RNA Spliceosome, Autophagy
GO Term: Indoleamine 2,3-Dioxygenase Activity -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Response To Glucagon -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Steroid Dehydrogenase Activity, Acting On The Ch-Oh Group Of Donors, Nad Or Nadp As Acceptor -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Cholesterol 24-Hydroxylase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Cholesterol Metabolism, Epigenetic
GO Term: 24S-Hydroxycholesterol 7-Alpha-Hydroxylase Activity -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: 25-Hydroxycholesterol 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Synapse, Proteostasis, Apoptosis
GO Term: Cyanocobalamin Reductase (Cyanide-Eliminating) (Nadp+) Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: 3Alpha,7Alpha,12Alpha-Trihydroxy-5Beta-Cholestanoyl-Coa 24-Hydroxylase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Thyroxine 5-Deiodinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Propanoyl-Coa C-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Lipoyl(Octanoyl) Transferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Procollagen Glucosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: O-Fucosylpeptide 3-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Oxidative Stress, Apoptosis
GO Term: N-Acetyl-Beta-Glucosaminyl-Derivative 4-Beta-N-Acetylgalactosaminyltransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, RNA Spliceosome, Epigenetic
GO Term: 5-Diphosphoinositol Pentakisphosphate 1-Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: N-Acetylgalactosamine Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Negative Regulation Of Nad(P)H Oxidase Activity -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Ump Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Positive Regulation Of Nad(P)H Oxidase Activity -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Fas-Activated Serine/Threonine Kinase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Choloyl-Coa Hydrolase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Pyridoxal Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: 10-Hydroxy-9-(Phosphonooxy)Octadecanoate Phosphatase Activity -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: N-Sulfoglucosamine-3-Sulfatase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Deoxyribonuclease (Pyrimidine Dimer) Activity -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Synapse
GO Term: Ribonuclease T2 Activity -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Hyaluronoglucuronidase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Glucan 1,3-Alpha-Glucosidase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Mannosyl-Glycoprotein Endo-Beta-N-Acetylglucosaminidase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, RNA Spliceosome
GO Term: Cis-Stilbene-Oxide Hydrolase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: P-Body Assembly -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Cholesterol-5,6-Oxide Hydrolase Activity -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Box H/Aca Sno(S)Rna Metabolic Process -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Oxidative Stress, Apoptosis
GO Term: D-Dopachrome Decarboxylase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: 3Alpha,7Alpha,12Alpha-Trihydroxy-5Beta-Cholest-24-Enoyl-Coa Hydratase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Response To Lipid -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Fad-Amp Lyase (Cyclizing) Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Response To Triglyceride -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Lipid Metabolism
GO Term: Response To Silicon Dioxide -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Deoxyhypusine Synthase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Oxidative Stress, Apoptosis
GO Term: 8-Oxo-7,8-Dihydroguanine Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Apoptosis, Epigenetic
GO Term: Atpase-Coupled Lipid Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Abc-Type Sterol Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: Phagophore Assembly Site Membrane -> Biodomain: Autophagy, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Poly(G) Binding -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Oxidative Stress, Epigenetic
