Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Gobp Autophagy Of Mitochondrion -> Biodomain: Mitochondrial Function and Metabolism, Autophagy, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking
GO Term: Gobp Negative Regulation Of Growth -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Response to Stimulus, Unknown
GO Term: Gobp Positive Regulation Of Striated Muscle Contraction -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Response to Stimulus, Unknown
GO Term: Gobp Regulation Of Glucose Import -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis, Response to Stimulus, Unknown
GO Term: Gobp Regulation Of Jnk Cascade -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Jnk Cascade -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Unknown
GO Term: Gobp Negative Regulation Of Receptor Signaling Pathway Via Jak Stat -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Icosanoid Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Apoptosis, Unknown
GO Term: Gobp Prostanoid Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Lipid Metabolism, Immune System and Inflammation, Unknown
GO Term: Gobp Phosphatidylcholine Metabolic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Unknown
GO Term: Gobp Glycerophospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Unknown
GO Term: Gobp Phosphatidylinositol Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Lipid Metabolism, Signal Transduction, Unknown
GO Term: Gobp Regulation Of Protein Export From Nucleus -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Regulation Of Mitochondrial Membrane Permeability -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Mitochondrial Function and Metabolism, Apoptosis, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Golgi Vesicle Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Golgi Vesicle Budding -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Vesicle Targeting To From Or Within Golgi -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Vesicle Targeting Rough Er To Cis Golgi -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Golgi Vesicle Fusion To Target Membrane -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Receptor Mediated Endocytosis -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Vesicle Fusion With Golgi Apparatus -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Hematopoietic Or Lymphoid Organ Development -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Cell Adhesion and Interaction, Unknown
GO Term: Gobp Otolith Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, Immune System and Inflammation, Response to Stimulus, Unknown
GO Term: Gobp Forebrain Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Immune System and Inflammation, Epigenetic Regulation
GO Term: Gobp Formation Of Anatomical Boundary -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process, Unknown
GO Term: Gobp Amyloid Beta Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Apoptosis, Unknown
GO Term: Gobp Negative Regulation Of Defense Response To Virus -> Biodomain: Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Response to Stimulus, Neurodevelopment and Neuronal Differentiation, Unknown
GO Term: Gobp Negative Regulation Of Phagocytosis -> Biodomain: Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Unknown
GO Term: Gobp Protein Stabilization -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Unknown
GO Term: Gobp White Fat Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Immune System and Inflammation, Unknown
GO Term: Gobp Leukocyte Tethering Or Rolling -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Unknown
GO Term: Gobp Microtubule Severing -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Epigenetic Regulation
GO Term: Gobp Chaperone Cofactor Dependent Protein Refolding -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Apoptosis, Unknown
GO Term: Gobp Hepoxilin Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Lipid Metabolism, Signal Transduction, Unknown
GO Term: Gobp Positive Regulation Of Actin Nucleation -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Unknown
GO Term: Gobp Chaperone Mediated Protein Complex Assembly -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Nk T Cell Activation -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Unknown
GO Term: Gobp Protein Insertion Into Membrane -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Kinetochore Assembly -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Cycle, Epigenetic Regulation, Unknown
GO Term: Gobp Regulation Of Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Immune System and Inflammation, Epigenetic Regulation
GO Term: Gobp Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Calcium Homeostasis, Signal Transduction, Unknown
GO Term: Gobp Positive Regulation Of Mitochondrial Calcium Ion Concentration -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Histone H3 K9 Methylation -> Biodomain: Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, RNA Metabolism, Unknown
GO Term: Gobp Proteolysis Involved In Protein Catabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Apoptosis, RNA Metabolism
GO Term: Gobp Norepinephrine Uptake -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Immune System and Inflammation, Unknown
GO Term: Gobp Protein Delipidation -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Unknown
GO Term: Gobp Response To Misfolded Protein -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Catecholamine Uptake Involved In Synaptic Transmission -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Response to Stimulus, Unknown
GO Term: Gobp Glutamate Reuptake -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Response to Stimulus, Unknown
GO Term: Gobp Positive Regulation Of Chromosome Segregation -> Biodomain: Cell Cycle, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Transcription and Translation Machinery, Unknown
GO Term: Gobp Asymmetric Neuroblast Division -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Epigenetic Regulation, Unknown
GO Term: Gobp Sodium Ion Homeostasis -> Biodomain: Molecular Transport and Homeostasis, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation, Unknown
GO Term: Gobp Bergmann Glial Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Unknown
GO Term: Gobp Regulation Of Glial Cell Proliferation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Unknown
GO Term: Gobp Regulation Of Respiratory Burst -> Biodomain: Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Unknown
GO Term: Gobp Cardiac Epithelial To Mesenchymal Transition -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, System and Developmental Process, Unknown
GO Term: Gobp Positive Regulation Of Cardiac Muscle Contraction -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Apoptosis, Unknown
GO Term: Gobp Regulation Of Chromosome Condensation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Cell Cycle, Unknown
GO Term: Gobp Placenta Blood Vessel Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Apoptosis, Unknown
GO Term: Gobp Labyrinthine Layer Blood Vessel Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Apoptosis, Unknown
GO Term: Gobp Blood Vessel Endothelial Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Epigenetic Regulation, Unknown
GO Term: Gobp Arterial Endothelial Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, System and Developmental Process, Signal Transduction, Unknown
GO Term: Gobp Establishment Of Blood Brain Barrier -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Immune System and Inflammation, Unknown
GO Term: Gobp Chaperone Mediated Protein Folding -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Apoptosis, Unknown
GO Term: Gobp Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Notch Signaling Involved In Heart Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Signal Transduction, Immune System and Inflammation, Unknown
GO Term: Gobp Chaperone Mediated Autophagy -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Autophagy, Epigenetic Regulation
GO Term: Gobp Selective Autophagy -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Autophagy, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Process Utilizing Autophagic Mechanism -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Autophagy, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Meiosis I Cell Cycle Process -> Biodomain: Unknown, Cell Cycle, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Intracellular Protein Transmembrane Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Chromosome Organization Involved In Meiotic Cell Cycle -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Cycle, Epigenetic Regulation, Signal Transduction, Unknown
GO Term: Gobp Regulation Of Stress Activated Protein Kinase Signaling Cascade -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction, Unknown
GO Term: Gobp Lens Fiber Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, System and Developmental Process, Unknown
GO Term: Gobp Histone H2A K63 Linked Deubiquitination -> Biodomain: Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, RNA Metabolism, Unknown
GO Term: Gobp Positive Regulation Of Vitamin D Receptor Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Unknown
GO Term: Gobp Response To Interleukin 2 -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Response to Stimulus, Unknown
GO Term: Gobp Phosphorylation Of Rna Polymerase Ii C Terminal Domain -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Unknown
GO Term: Gobp Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Protein Localization To Endoplasmic Reticulum -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Dna Conformation Change -> Biodomain: Epigenetic Regulation, DNA Repair, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Unknown
GO Term: Gobp Resolution Of Recombination Intermediates -> Biodomain: DNA Repair, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Unknown
GO Term: Gobp Ribonucleoprotein Complex Localization -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, RNA Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Cellular Response To Electrical Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction, Unknown
GO Term: Gobp Cellular Response To Lithium Ion -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Unknown
GO Term: Gobp Cellular Response To Cgmp -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Unknown
GO Term: Gobp Cellular Response To Steroid Hormone Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Cellular Response To Estradiol Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Epigenetic Regulation, Unknown
GO Term: Gobp Cellular Response To Testosterone Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Epigenetic Regulation, Unknown
GO Term: Gobp Regulation Of Histone H3 K14 Acetylation -> Biodomain: Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, RNA Metabolism, Unknown
GO Term: Gobp Protein Localization To Chromosome Centromeric Region -> Biodomain: Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Epigenetic Regulation, Unknown
GO Term: Gobp Cellular Response To Acidic Ph -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Response to Stimulus, Unknown
GO Term: Gobp Cellular Response To Sterol Depletion -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Immune System and Inflammation, Unknown
GO Term: Gobp Protein Transmembrane Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Tail Anchored Membrane Protein Insertion Into Er Membrane -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Protein Serine Threonine Kinase Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Maintenance Of Protein Localization In Organelle -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Establishment Of Protein Localization To Endoplasmic Reticulum -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Maintenance Of Protein Location In Mitochondrion -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp T Cell Extravasation -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Response to Stimulus, Unknown
GO Term: Gobp Protein K6 Linked Ubiquitination -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation, DNA Repair
GO Term: Gobp Endothelin Receptor Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Regulation Of Protein Deubiquitination -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Copii Coated Vesicle Budding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp C 5 Methylation Of Cytosine -> Biodomain: Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, RNA Metabolism, Unknown
GO Term: Gobp Establishment Of Epithelial Cell Polarity -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Neurotransmission and Synaptic Regulation, Signal Transduction, Unknown
GO Term: Gobp Establishment Of Planar Polarity Involved In Neural Tube Closure -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, System and Developmental Process, Epigenetic Regulation, Unknown
GO Term: Gobp Positive Regulation Of Triglyceride Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Lipid Metabolism, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Unknown
GO Term: Gobp Regulation Of Metaphase Plate Congression -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Cycle, Epigenetic Regulation, Unknown
GO Term: Gobp Positive Regulation Of Histone H4 Acetylation -> Biodomain: Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, RNA Metabolism, Unknown
GO Term: Gobp Negative Regulation Of Histone H4 Acetylation -> Biodomain: Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, RNA Metabolism, Unknown
GO Term: Gobp Negative Regulation Of Calcium Ion Import -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Calcium Signaling, Signal Transduction, Unknown
GO Term: Gobp Regulation Of Osteoclast Proliferation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Apoptosis, Unknown
GO Term: Gobp Positive Regulation Of Intracellular Protein Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Intracellular Protein Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Regulation Of Dna Templated Dna Replication -> Biodomain: DNA Repair, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Response to Stimulus
GO Term: Gobp Intracellular Glutamate Homeostasis -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Apoptosis, Unknown
GO Term: Gobp Regulation Of Membrane Permeability -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Endothelial Cell Matrix Adhesion -> Biodomain: Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Unknown
GO Term: Gobp Response To Thyroid Hormone -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus, Unknown
GO Term: Gobp Cellular Response To Thyroid Hormone Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Vascular Associated Smooth Muscle Cell Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Apoptosis, Unknown
GO Term: Gobp Negative Regulation Of Transcription From Rna Polymerase Ii Promoter In Response To Stress -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus, Unknown
GO Term: Gobp Mitochondrial Outer Membrane Permeabilization -> Biodomain: Neurotransmission and Synaptic Regulation, Apoptosis, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gobp Receptor Signaling Pathway Via Stat -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Response To Interleukin 7 -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Response to Stimulus, Unknown
GO Term: Gobp Response To Mitochondrial Depolarisation -> Biodomain: Mitochondrial Function and Metabolism, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Response to Stimulus
GO Term: Gobp Regulation Of Renal System Process -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Apoptosis, Unknown
GO Term: Gobp Vesicle Mediated Transport Between Endosomal Compartments -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Regulation Of Presynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Apoptosis, Signal Transduction
GO Term: Gobp Protein Localization To Axon -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Dendrite Arborization -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, System and Developmental Process, Unknown
GO Term: Gobp Integrated Stress Response Signaling -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Amyloid Beta Clearance By Transcytosis -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Immune System and Inflammation, Apoptosis
