Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Positive Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Synapse, Oxidative Stress, Calcium Homeostasis, Tau Homeostasis, Immune Response
GO Term: Cardiac Epithelial To Mesenchymal Transition -> Biodomain: Synapse, Immune Response, Apoptosis, Proteostasis, Vasculature
GO Term: Definitive Erythrocyte Differentiation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Primitive Erythrocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Head Development -> Biodomain: Proteostasis, Synapse, Immune Response, Tau Homeostasis, APP Metabolism
GO Term: Head Morphogenesis -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Immune Response, Apoptosis
GO Term: Face Development -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Face Morphogenesis -> Biodomain: Synapse, Proteostasis, Immune Response, APP Metabolism, Oxidative Stress
GO Term: Cell Chemotaxis -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Synapse, Cell Cycle
GO Term: Cytoplasmic Actin-Based Contraction Involved In Cell Motility -> Biodomain: Cell Cycle, Synapse, Apoptosis, Proteostasis, Immune Response
GO Term: Regulation Of Response To Type Ii Interferon -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Positive Regulation Of Response To Type Ii Interferon -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Type Ii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Regulation Of Type Ii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Positive Regulation Of Type Ii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Negative Regulation Of Type Ii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Autophagy, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Type I Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Regulation Of Type I Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Negative Regulation Of Type I Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Type I Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Regulation Of Cellular Localization -> Biodomain: Synapse, Proteostasis, Autophagy, Tau Homeostasis, APP Metabolism
GO Term: Photoreceptor Inner Segment Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Spleen Trabecula Formation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Tau Homeostasis
GO Term: Bone Trabecula Formation -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Heart Trabecula Formation -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Structural Stabilization, APP Metabolism
GO Term: Bone Development -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, APP Metabolism, Oxidative Stress
GO Term: Bone Morphogenesis -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Tau Homeostasis, Synapse
GO Term: Endochondral Bone Morphogenesis -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Apoptosis, Immune Response
GO Term: Cartilage Development Involved In Endochondral Bone Morphogenesis -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Cell Adhesion Molecule Production -> Biodomain: Synapse, Proteostasis, Immune Response, Tau Homeostasis, Cell Cycle
GO Term: Regulation Of Cell Adhesion Molecule Production -> Biodomain: Synapse, Proteostasis, Immune Response, APP Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Cell Adhesion Molecule Production -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Positive Regulation Of Cell Adhesion Molecule Production -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Response To Ammonium Ion -> Biodomain: Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Cranial Suture Morphogenesis -> Biodomain: Cranial Suture Morphogenesis, Structural Stabilization, Immune Response, Tau Homeostasis, Endolysosome
GO Term: Frontal Suture Morphogenesis -> Biodomain: Unknown, Proteostasis, Structural Stabilization, Tau Homeostasis, Immune Response
GO Term: Lambdoid Suture Morphogenesis -> Biodomain: Proteostasis, Synapse, Immune Response, Apoptosis, Structural Stabilization
GO Term: Sagittal Suture Morphogenesis -> Biodomain: Structural Stabilization, Immune Response, Tau Homeostasis, Apoptosis, Endolysosome
GO Term: Regulation Of Fc Receptor Mediated Stimulatory Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Fc Receptor Mediated Stimulatory Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Synapse
GO Term: Susceptibility To T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Synapse, Oxidative Stress, Proteostasis
GO Term: Regulation Of Atrial Cardiac Muscle Cell Membrane Depolarization -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Regulation Of Atrial Cardiac Muscle Cell Membrane Repolarization -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Regulation Of Ventricular Cardiac Muscle Cell Membrane Depolarization -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response
GO Term: Mast Cell Differentiation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of Mast Cell Differentiation -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Mast Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Mast Cell Differentiation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Regulation Of Brood Size -> Biodomain: Proteostasis, Immune Response, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Cardiac Muscle Cell Myoblast Differentiation -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Autophagy
GO Term: Regulation Of Dna Strand Elongation -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Dna Strand Elongation -> Biodomain: DNA Repair, Apoptosis, Immune Response, Oxidative Stress, Proteostasis
GO Term: Innervation -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Axonogenesis Involved In Innervation -> Biodomain: Synapse, Axonogenesis, Immune Response, Proteostasis, App Metabolism
GO Term: Synapse Assembly Involved In Innervation -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Regulation Of Smad Protein Signal Transduction -> Biodomain: Proteostasis, Oxidative Stress, Tau Homeostasis, Immune Response, APP Metabolism
GO Term: Positive Regulation Of Smad Protein Signal Transduction -> Biodomain: Proteostasis, Oxidative Stress, Tau Homeostasis, Immune Response, APP Metabolism
GO Term: Negative Regulation Of Smad Protein Signal Transduction -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Smad Protein Signal Transduction -> Biodomain: Proteostasis, Immune Response, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Growth Hormone Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Growth Hormone Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Immune Response, Endolysosome
GO Term: Regulation Of Growth Hormone Receptor Signaling Pathway -> Biodomain: Proteostasis, Synapse, Apoptosis, Immune Response, Oxidative Stress
GO Term: Positive Regulation Of Growth Hormone Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Growth Hormone Receptor Signaling Pathway -> Biodomain: Proteostasis, Oxidative Stress, Immune Response, Synapse, Apoptosis
GO Term: Calcium Ion Transport Into Cytosol -> Biodomain: Synapse, Oxidative Stress, Calcium Ion Transport Into Cytosol, Proteostasis, Apoptosis
GO Term: Axonemal Microtubule Depolymerization -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Penile Erection -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Synapse, Immune Response
GO Term: Negative Regulation Of Penile Erection -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Regulation Of Acetylcholine Metabolic Process -> Biodomain: Synapse, Immune Response, Proteostasis, Acetylcholine Metabolism, Oxidative Stress
GO Term: Cardiac Septum Morphogenesis -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Ventricular Septum Morphogenesis -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Structural Stabilization, Apoptosis
GO Term: Atrial Septum Morphogenesis -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Aorta Smooth Muscle Tissue Morphogenesis -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Muscle Tissue Morphogenesis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Response To Growth Hormone -> Biodomain: Proteostasis, Synapse, Apoptosis, Immune Response, Oxidative Stress
GO Term: Regulation Of Heart Growth -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Heart Growth -> Biodomain: Vasculature, Immune Response, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Peptidyl-Dipeptidase Inhibitor Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Tau Homeostasis, APP Metabolism
GO Term: Lung Morphogenesis -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: Lung Vasculature Development -> Biodomain: Vasculature, Immune Response, APP Metabolism, Oxidative Stress, Structural Stabilization
GO Term: Lung Connective Tissue Development -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Lung Epithelium Development -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism
GO Term: Epithelium Development -> Biodomain: Immune Response, Structural Stabilization, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Lung Saccule Development -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Synapse
GO Term: Primary Lung Bud Formation -> Biodomain: Unknown, Structural Stabilization, Immune Response, APP Metabolism, Lipid Metabolism
GO Term: Bronchus Development -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Bronchus Morphogenesis -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Immune Response, Autophagy
GO Term: Bronchiole Development -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Bronchiole Morphogenesis -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Lung Growth -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Trachea Development -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Trachea Morphogenesis -> Biodomain: App Metabolism, Oxidative Stress, Immune Response, Proteostasis, Endolysosome
GO Term: Trachea Formation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Epithelial Tube Branching Involved In Lung Morphogenesis -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Branching Involved In Prostate Gland Morphogenesis -> Biodomain: Proteostasis, Synapse, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Mammary Gland Morphogenesis -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Lipid Metabolism, Immune Response
GO Term: Branching Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Branching Involved In Salivary Gland Morphogenesis -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, APP Metabolism, Autophagy
GO Term: Bud Outgrowth Involved In Lung Branching -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Dichotomous Subdivision Of Terminal Units Involved In Lung Branching -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Bud Elongation Involved In Lung Branching -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Hindgut Contraction -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Cardiac Muscle Contraction -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Regulation Of Gastric Acid Secretion -> Biodomain: Proteostasis, Apoptosis, Immune Response, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Gastric Acid Secretion -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, APP Metabolism
GO Term: Positive Regulation Of Digestive System Process -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Immune Response
GO Term: Right Lung Development -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Left Lung Development -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Left Lung Morphogenesis -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Right Lung Morphogenesis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Lung Lobe Morphogenesis -> Biodomain: Synapse, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Activation Of Meiosis Involved In Egg Activation -> Biodomain: Proteostasis, Apoptosis, Immune Response, Oxidative Stress, Endolysosome
GO Term: Prevention Of Polyspermy -> Biodomain: Unknown, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Positive Regulation Of Cytosolic Calcium Ion Concentration Involved In Egg Activation -> Biodomain: Synapse, Calcium Homeostasis, Oxidative Stress, App Metabolism, Proteostasis
GO Term: Cortical Granule Exocytosis -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Endolysosome
GO Term: Cortical Granule -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Positive Regulation Of Flagellated Sperm Motility Involved In Capacitation -> Biodomain: Proteostasis, Apoptosis, Immune Response, Oxidative Stress, Mitochondrial Metabolism
GO Term: Acrosomal Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Lung Cell Differentiation -> Biodomain: Unknown, Synapse, Immune Response, Apoptosis, Proteostasis
GO Term: Lung Goblet Cell Differentiation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Synapse, App Metabolism
GO Term: Lobar Bronchus Epithelium Development -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Lobar Bronchus Development -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Lung-Associated Mesenchyme Development -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Mesenchyme Development -> Biodomain: Proteostasis, Synapse, Immune Response, Apoptosis, Tau Homeostasis
GO Term: Club Cell Differentiation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Lung Epithelial Cell Differentiation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Synapse
GO Term: Orthogonal Dichotomous Subdivision Of Terminal Units Involved In Lung Branching Morphogenesis -> Biodomain: Structural Stabilization, Immune Response, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Planar Dichotomous Subdivision Of Terminal Units Involved In Lung Branching Morphogenesis -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, APP Metabolism
GO Term: Lateral Sprouting Involved In Lung Morphogenesis -> Biodomain: Structural Stabilization, Immune Response, Apoptosis, Oxidative Stress, Cell Cycle
GO Term: Regulation Of Cell Projection Assembly -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Lung Induction -> Biodomain: Proteostasis, Oxidative Stress, Immune Response, Autophagy, APP Metabolism
GO Term: Mesenchymal-Epithelial Cell Signaling Involved In Lung Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Positive Regulation Of Epithelial Cell Proliferation Involved In Lung Morphogenesis -> Biodomain: Proteostasis, Oxidative Stress, Synapse, Apoptosis, Immune Response
GO Term: Epithelial Cell Proliferation Involved In Lung Morphogenesis -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Bud Dilation Involved In Lung Branching -> Biodomain: Immune Response, Structural Stabilization, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Smoothened Signaling Pathway Involved In Lung Development -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Type I Pneumocyte Differentiation -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, Autophagy, APP Metabolism
GO Term: Type Ii Pneumocyte Differentiation -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Apoptosis, Oxidative Stress
GO Term: Prostate Gland Morphogenesis -> Biodomain: Proteostasis, Apoptosis, Immune Response, Structural Stabilization, Lipid Metabolism
GO Term: Prostatic Bud Formation -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: Prostate Induction -> Biodomain: Unknown, Proteostasis, Immune Response, Apoptosis, Mitochondrial Metabolism
GO Term: Primary Prostatic Bud Elongation -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Immune Response, APP Metabolism
GO Term: Epithelial Cell Proliferation Involved In Prostatic Bud Elongation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Prostate Epithelial Cord Elongation -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Immune Response
GO Term: Prostate Epithelial Cord Arborization Involved In Prostate Glandular Acinus Morphogenesis -> Biodomain: Structural Stabilization, Synapse, APP Metabolism, Proteostasis, Oxidative Stress
GO Term: Secretory Columnal Luminar Epithelial Cell Differentiation Involved In Prostate Glandular Acinus Development -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Squamous Basal Epithelial Stem Cell Differentiation Involved In Prostate Gland Acinus Development -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Metal Binding and Homeostasis
GO Term: Bronchus Cartilage Development -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Trachea Cartilage Development -> Biodomain: Proteostasis, Synapse, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Trachea Cartilage Morphogenesis -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Cartilage Morphogenesis -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Muscle Tissue Development -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Apoptosis, Immune Response
GO Term: Skeletal Muscle Organ Development -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Immune Response, Autophagy
GO Term: Diaphragm Development -> Biodomain: Proteostasis, Apoptosis, Immune Response, Endolysosome, Oxidative Stress
GO Term: Respiratory System Development -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Regulation Of Necroptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Synapse
GO Term: Positive Regulation Of Necroptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Negative Regulation Of Necroptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Synapse
GO Term: Positive Regulation Of Fructose 1,6-Bisphosphate Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Positive Regulation Of Vitamin D Biosynthetic Process -> Biodomain: Oxidative Stress, Calcium Metabolism, Immune Response, APP Metabolism, Lipid Metabolism
GO Term: Developmental Growth Involved In Morphogenesis -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Synapse, Immune Response
GO Term: Apoptotic Process Involved In Morphogenesis -> Biodomain: Apoptosis, Proteostasis, Immune Response, Synapse, Tau Homeostasis
GO Term: Epithelial Tube Morphogenesis -> Biodomain: Immune Response, Vasculature, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Neuroepithelial Cell Differentiation -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Tau Homeostasis
GO Term: Positive Regulation Of Termination Of Dna-Templated Transcription -> Biodomain: Transcription Regulation, Epigenetic, APP Metabolism, Oxidative Stress, Proteostasis
GO Term: Morphogenesis Of An Epithelial Fold -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Tau Homeostasis
GO Term: Intestinal Epithelial Cell Maturation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Intestinal Epithelial Cell Differentiation -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Intestinal Epithelial Cell Development -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Pulmonary Vein Morphogenesis -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Superior Vena Cava Morphogenesis -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Ventral Spinal Cord Interneuron Fate Commitment -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Immune Response
GO Term: Ventral Spinal Cord Interneuron Fate Determination -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Multicellular Organismal-Level Iron Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Immune Response, Autophagy
GO Term: Regulation Of Lipoprotein Lipid Oxidation -> Biodomain: Lipid Metabolism, Oxidative Stress, APP Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Lipoprotein Lipid Oxidation -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Metal Binding and Homeostasis
GO Term: Nucleoside-Triphosphatase Regulator Activity -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Atpase Regulator Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Endolysosome, Tau Homeostasis
GO Term: Chondroblast Differentiation -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Immune Response, Endolysosome
GO Term: Mammary Gland Formation -> Biodomain: Proteostasis, Oxidative Stress, Immune Response, Apoptosis, Synapse
GO Term: Mammary Gland Specification -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Immune Response, Endolysosome
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Mammary Gland Specification -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Mammary Placode Formation -> Biodomain: Immune Response, Structural Stabilization, Synapse, Apoptosis, Endolysosome
GO Term: Dichotomous Subdivision Of Terminal Units Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Lateral Sprouting Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Immune Response, Oxidative Stress, Synapse, Apoptosis, Proteostasis
GO Term: Lateral Sprouting From An Epithelium -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Immune Response, Apoptosis
GO Term: Branch Elongation Of An Epithelium -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Immune Response, Apoptosis
GO Term: Mammary Gland Duct Morphogenesis -> Biodomain: Proteostasis, Synapse, Oxidative Stress, APP Metabolism, Immune Response
GO Term: Tube Closure -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Apoptosis
GO Term: Mammary Gland Fat Development -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Adipose Tissue Development -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Autophagy, Proteostasis
GO Term: Fat Pad Development -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response, APP Metabolism
GO Term: Mammary Gland Bud Formation -> Biodomain: Proteostasis, Immune Response, Tau Homeostasis, Apoptosis, Synapse
GO Term: Regulation Of Cholesterol Import -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Negative Regulation Of Cholesterol Import -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Immune Response, Autophagy
GO Term: Regulation Of Chromosome Condensation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress, Immune Response
GO Term: Regulation Of Vesicle-Mediated Transport -> Biodomain: Vesculature, Autophagy, Synapse, Proteostasis, APP Metabolism
GO Term: Regulation Of Er To Golgi Vesicle-Mediated Transport -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Oxidative Stress, Synapse
GO Term: Regulation Of Homologous Chromosome Segregation -> Biodomain: Cell Cycle, Apoptosis, Tau Homeostasis, Proteostasis, Synapse
GO Term: Regulation Of Meiosis I -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: Regulation Of Microtubule-Based Movement -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Transcription Initiation By Rna Polymerase Ii -> Biodomain: Synapse, Proteostasis, Immune Response, Tau Homeostasis, APP Metabolism
GO Term: Mesenchymal-Epithelial Cell Signaling -> Biodomain: Synapse, Immune Response, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Mammary Gland Epithelial Cell Differentiation -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Immune Response
