Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Gobp Autophagy Of Mitochondrion -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Mitochondrial Function and Metabolism, Autophagy, RNA Metabolism
GO Term: Gobp Positive Thymic T Cell Selection -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, T Cell Differentiation, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Integrin Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Meiotic Chromosome Segregation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Cycle, Apoptosis, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Apical Protein Localization -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Cell Adhesion and Interaction, Epigenetic Regulation
GO Term: Gobp Maintenance Of Protein Location -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Mhc Class I Biosynthetic Process -> Biodomain: Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Mhc Class I Biosynthetic Process -> Biodomain: Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Gamma Delta T Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Cell Adhesion and Interaction, Neurotransmission and Synaptic Regulation, Signal Transduction
GO Term: Gobp Regulation Of Megakaryocyte Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Regulation of Biological Process
GO Term: Gobp Positive Regulation Of Megakaryocyte Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Hematopoiesis, Immune System and Inflammation, System and Developmental Process
GO Term: Gobp Respiratory Burst -> Biodomain: Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Apoptosis, Response to Stimulus, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Positive Regulation Of Protein Catabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Apoptosis, RNA Metabolism
GO Term: Gobp Negative Regulation Of Innate Immune Response -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Negative Regulation Of Meiotic Nuclear Division -> Biodomain: Cell Cycle, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Negative Regulation Of Growth -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Response to Stimulus, Apoptosis
GO Term: Gobp Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Positive Regulation Of Striated Muscle Contraction -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Glucose Import -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Jnk Cascade -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, RNA Metabolism
GO Term: Gobp Positive Regulation Of Jnk Cascade -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Receptor Signaling Pathway Via Jak Stat -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Immune System and Inflammation
GO Term: Gobp Icosanoid Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Response to Stimulus, Signal Transduction
GO Term: Gobp Prostanoid Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Lipid Metabolism, Epigenetic Regulation, Immune System and Inflammation
GO Term: Gobp Phosphatidylcholine Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Glycerophospholipid Biosynthetic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Lipid Metabolism, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Phosphatidylinositol Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Lipid Metabolism, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Regulation Of Protein Export From Nucleus -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Regulation Of Mitochondrial Membrane Permeability -> Biodomain: Neurotransmission and Synaptic Regulation, Mitochondrial Function and Metabolism, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis, Apoptosis
GO Term: Gobp Golgi Vesicle Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Golgi Vesicle Budding -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Vesicle Targeting To From Or Within Golgi -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation
GO Term: Gobp Vesicle Targeting Rough Er To Cis Golgi -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation
GO Term: Gobp Golgi Vesicle Fusion To Target Membrane -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Receptor Mediated Endocytosis -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Epigenetic Regulation
GO Term: Gobp Vesicle Fusion With Golgi Apparatus -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Hematopoietic Or Lymphoid Organ Development -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Otolith Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, System and Developmental Process, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Forebrain Morphogenesis -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Gliogenesis and Glial Differentiation, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Formation Of Anatomical Boundary -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, System and Developmental Process, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Amyloid Beta Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Apoptosis, RNA Metabolism
GO Term: Gobp Negative Regulation Of Defense Response To Virus -> Biodomain: Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Response to Stimulus, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Negative Regulation Of Phagocytosis -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Apoptosis, Cell Adhesion and Interaction
GO Term: Gobp Protein Stabilization -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Apoptosis, RNA Metabolism
GO Term: Gobp White Fat Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, Cell Adhesion and Interaction, Epigenetic Regulation, Lipid Metabolism
GO Term: Gobp Leukocyte Tethering Or Rolling -> Biodomain: Immune System and Inflammation, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Response to Stimulus
GO Term: Gobp Microtubule Severing -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Chaperone Cofactor Dependent Protein Refolding -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Autophagy
GO Term: Gobp Hepoxilin Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Lipid Metabolism, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Actin Nucleation -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction
GO Term: Gobp Chaperone Mediated Protein Complex Assembly -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Nk T Cell Activation -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation
GO Term: Gobp Protein Insertion Into Membrane -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Kinetochore Assembly -> Biodomain: Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Cell Cycle, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery
GO Term: Gobp Regulation Of Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Mitochondrial Calcium Ion Concentration -> Biodomain: Neurotransmission and Synaptic Regulation, Mitochondrial Function and Metabolism, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Histone H3 K9 Methylation -> Biodomain: Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, RNA Metabolism, Cell Adhesion and Interaction
GO Term: Gobp Proteolysis Involved In Protein Catabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Apoptosis, RNA Metabolism
GO Term: Gobp Norepinephrine Uptake -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Protein Delipidation -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Response To Misfolded Protein -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Protein Metabolism and Trafficking, RNA Metabolism
GO Term: Gobp Catecholamine Uptake Involved In Synaptic Transmission -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Glutamate Reuptake -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Positive Regulation Of Chromosome Segregation -> Biodomain: Cell Cycle, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Asymmetric Neuroblast Division -> Biodomain: Neurodevelopment and Neuronal Differentiation, Asymmetric Cell Division, Neurogenesis, System and Developmental Process, Cell Fate Commitment
GO Term: Gobp Sodium Ion Homeostasis -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Bergmann Glial Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, Cell Adhesion and Interaction, Immune System and Inflammation, Neurotransmission and Synaptic Regulation
GO Term: Gobp Regulation Of Glial Cell Proliferation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Gliogenesis and Glial Differentiation, Cell Adhesion and Interaction, Neurotransmission and Synaptic Regulation, Response to Stimulus
GO Term: Gobp Regulation Of Respiratory Burst -> Biodomain: Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Response to Stimulus
GO Term: Gobp Cardiac Epithelial To Mesenchymal Transition -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, System and Developmental Process, Signal Transduction, Transcription and Translation Machinery
GO Term: Gobp Positive Regulation Of Cardiac Muscle Contraction -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, System and Developmental Process, Signal Transduction
GO Term: Gobp Regulation Of Chromosome Condensation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Cell Cycle, Response to Stimulus
GO Term: Gobp Placenta Blood Vessel Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, System and Developmental Process, Neurotransmission and Synaptic Regulation, Epigenetic Regulation
GO Term: Gobp Labyrinthine Layer Blood Vessel Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Immune System and Inflammation
GO Term: Gobp Blood Vessel Endothelial Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, System and Developmental Process, Signal Transduction, Immune System and Inflammation
GO Term: Gobp Arterial Endothelial Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Establishment Of Blood Brain Barrier -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Neurotransmission and Synaptic Regulation, Immune System and Inflammation, Apoptosis
GO Term: Gobp Chaperone Mediated Protein Folding -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Response to Stimulus, Epigenetic Regulation
GO Term: Gobp Notch Signaling Involved In Heart Development -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus, Immune System and Inflammation
GO Term: Gobp Chaperone Mediated Autophagy -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Autophagy, Epigenetic Regulation
GO Term: Gobp Selective Autophagy -> Biodomain: Neurotransmission and Synaptic Regulation, Autophagy, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Process Utilizing Autophagic Mechanism -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Apoptosis, Protein Metabolism and Trafficking, RNA Metabolism
GO Term: Gobp Meiosis I Cell Cycle Process -> Biodomain: Neurodevelopment and Neuronal Differentiation, Signal Transduction, Cell Cycle, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Intracellular Protein Transmembrane Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp Chromosome Organization Involved In Meiotic Cell Cycle -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Cycle, Epigenetic Regulation, Transcription and Translation Machinery, Chromosome Organization
GO Term: Gobp Regulation Of Stress Activated Protein Kinase Signaling Cascade -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction, Immune System and Inflammation
GO Term: Gobp Lens Fiber Cell Differentiation -> Biodomain: Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction, Transcription and Translation Machinery, Response to Stimulus
GO Term: Gobp Histone H2A K63 Linked Deubiquitination -> Biodomain: Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gobp Positive Regulation Of Vitamin D Receptor Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus
GO Term: Gobp Response To Interleukin 2 -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Response to Stimulus, Apoptosis
GO Term: Gobp Phosphorylation Of Rna Polymerase Ii C Terminal Domain -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation
GO Term: Gobp Positive Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Molecular Transport and Homeostasis, Signal Transduction
GO Term: Gobp Protein Localization To Endoplasmic Reticulum -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation
GO Term: Gobp Dna Conformation Change -> Biodomain: Epigenetic Regulation, DNA Repair, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Resolution Of Recombination Intermediates -> Biodomain: DNA Repair, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Transcription and Translation Machinery
GO Term: Gobp Ribonucleoprotein Complex Localization -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gobp Cellular Response To Electrical Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Cellular Response To Lithium Ion -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Epigenetic Regulation, Immune System and Inflammation
GO Term: Gobp Cellular Response To Cgmp -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Cellular Response To Steroid Hormone Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Epigenetic Regulation, Immune System and Inflammation
GO Term: Gobp Cellular Response To Estradiol Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Epigenetic Regulation, Immune System and Inflammation
GO Term: Gobp Cellular Response To Testosterone Stimulus -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Epigenetic Regulation, Immune System and Inflammation
GO Term: Gobp Regulation Of Histone H3 K14 Acetylation -> Biodomain: Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, RNA Metabolism, Signal Transduction
GO Term: Gobp Protein Localization To Chromosome Centromeric Region -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Cellular Response To Acidic Ph -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Response to Stimulus, Signal Transduction
GO Term: Gobp Cellular Response To Sterol Depletion -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Response to Stimulus, Epigenetic Regulation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Protein Transmembrane Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Cellular Adhesion and Interaction, Epigenetic Regulation
GO Term: Gobp Tail Anchored Membrane Protein Insertion Into Er Membrane -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Negative Regulation Of Protein Serine Threonine Kinase Activity -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Signal Transduction, Epigenetic Regulation
GO Term: Gobp Maintenance Of Protein Localization In Organelle -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
GO Term: Gobp Establishment Of Protein Localization To Endoplasmic Reticulum -> Biodomain: Neurotransmission and Synaptic Regulation, Intracellular Trafficking and Organelle Dynamics, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, RNA Metabolism
GO Term: Gobp Maintenance Of Protein Location In Mitochondrion -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Epigenetic Regulation
GO Term: Gobp T Cell Extravasation -> Biodomain: Immune System and Inflammation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction
GO Term: Gobp Protein K6 Linked Ubiquitination -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, DNA Repair, Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation
GO Term: Gobp Endothelin Receptor Signaling Pathway -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Immune System and Inflammation, Response to Stimulus
GO Term: Gobp Regulation Of Protein Deubiquitination -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Cell Adhesion and Interaction
GO Term: Gobp Copii Coated Vesicle Budding -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation
GO Term: Gobp C 5 Methylation Of Cytosine -> Biodomain: Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, RNA Metabolism, Protein Metabolism and Trafficking
GO Term: Gobp Establishment Of Epithelial Cell Polarity -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Neurotransmission and Synaptic Regulation, Epigenetic Regulation, Response to Stimulus
GO Term: Gobp Establishment Of Planar Polarity Involved In Neural Tube Closure -> Biodomain: Neurodevelopment and Neuronal Differentiation, Neurotransmission and Synaptic Regulation, System and Developmental Process, Embryonic Morphogenesis, Apoptosis
GO Term: Gobp Positive Regulation Of Triglyceride Metabolic Process -> Biodomain: Neurotransmission and Synaptic Regulation, Lipid Metabolism, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation
GO Term: Gobp Regulation Of Metaphase Plate Congression -> Biodomain: Neurodevelopment and Neuronal Differentiation, Cell Cycle, Protein Metabolism and Trafficking, RNA Metabolism, Signal Transduction
GO Term: Gobp Positive Regulation Of Histone H4 Acetylation -> Biodomain: Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, RNA Metabolism, Transcription and Translation Machinery, Neurotransmission and Synaptic Regulation
GO Term: Gobp Negative Regulation Of Histone H4 Acetylation -> Biodomain: Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, RNA Metabolism, Signal Transduction
GO Term: Gobp Negative Regulation Of Calcium Ion Import -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Calcium Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Regulation Of Osteoclast Proliferation -> Biodomain: Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Positive Regulation Of Intracellular Protein Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, RNA Metabolism
GO Term: Gobp Negative Regulation Of Intracellular Protein Transport -> Biodomain: Neurotransmission and Synaptic Regulation, Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation
