Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Dephosphorylation -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress, Synapse
GO Term: 5'-3' Dna Exonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Wound Healing, Spreading Of Epidermal Cells -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Hair Cell Differentiation -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Toll-Like Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Hippo Signaling -> Biodomain: Proteostasis, Apoptosis, Immune Response, Tau Homeostasis, Oxidative Stress
GO Term: Regulation Of Hippo Signaling -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Negative Regulation Of Hippo Signaling -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Apoptosis, Immune Response
GO Term: Positive Regulation Of Hippo Signaling -> Biodomain: Proteostasis, Apoptosis, Immune Response, Synapse, Oxidative Stress
GO Term: Peptidyl-Tyrosine Dephosphorylation -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Oxidative Stress, Apoptosis
GO Term: Long-Chain Fatty-Acyl-Coa Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Long-Chain Fatty-Acyl-Coa Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Inosine Transport -> Biodomain: Synapse, Oxidative Stress, APP Metabolism, Proteostasis, Autophagy
GO Term: Hypoxanthine Transport -> Biodomain: Synapse, Oxidative Stress, APP Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Acetyl-Coa Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Coenzyme A Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Fad Transmembrane Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism, Autophagy
GO Term: Heme Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Proteostasis, Immune Response
GO Term: Nad Transmembrane Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism, Autophagy
GO Term: Toll-Like Receptor 1-Toll-Like Receptor 2 Protein Complex -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Toll-Like Receptor 2-Toll-Like Receptor 6 Protein Complex -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Intracellular Triglyceride Homeostasis -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Immune Response
GO Term: Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Immune Response
GO Term: Negative Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Immune Response, Autophagy
GO Term: Positive Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Oxidative Stress, Lipid Metabolism, Immune Response, Proteostasis, Autophagy
GO Term: Histone Locus Body -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Apoptosis, Immune Response
GO Term: Thymine Transport -> Biodomain: APP Metabolism, Oxidative Stress, Proteostasis, Immune Response, Autophagy
GO Term: Selenocysteine Insertion Sequence Binding -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Tau Homeostasis
GO Term: Microtubule Plus-End -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Protein Localization To Microtubule -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Chondroitin Sulfate Proteoglycan Binding -> Biodomain: Proteostasis, Synapse, Immune Response, Tau Homeostasis, APP Metabolism
GO Term: Chondroitin Sulfate Binding -> Biodomain: Proteostasis, Immune Response, Synapse, APP Metabolism, Oxidative Stress
GO Term: Zymogen Binding -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: Transepithelial Water Transport -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Carbon Dioxide Transmembrane Transport -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Carbon Dioxide Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, APP Metabolism, Immune Response
GO Term: Atp-Gated Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Sterol Transmembrane Transport -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Roundabout Signaling Pathway -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Negative Regulation Of Chemokine (C-X-C Motif) Ligand 9 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Synapse, APP Metabolism
GO Term: Helper T Cell Enhancement Of Adaptive Immune Response -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Histone H3Y41 Kinase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Immune Response, Epigenetic
GO Term: Histone H3T11 Kinase Activity -> Biodomain: Epigenetic, Tau Homeostasis, Proteostasis, Autophagy, Immune Response
GO Term: Histone H3T6 Kinase Activity -> Biodomain: Epigenetic, Proteostasis, Tau Homeostasis, Autophagy, Immune Response
GO Term: Protein Localization To Synapse -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Autocrine Signaling -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Tau Homeostasis
GO Term: Extracellular Matrix-Cell Signaling -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Gluconate Transmembrane Transport -> Biodomain: APP Metabolism, Oxidative Stress, Autophagy, Immune Response, Mitochondrial Metabolism
GO Term: Copper Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Proteostasis, Autophagy
GO Term: Phosphate Ion Transmembrane Transport -> Biodomain: Oxidative Stress, APP Metabolism, Autophagy, Tau Homeostasis, Proteostasis
GO Term: Maintenance Of Protein Localization In Endoplasmic Reticulum -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Oxidative Stress, Tau Homeostasis
GO Term: Cyclic-Di-Gmp Binding -> Biodomain: Proteostasis, Synapse, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Cell Migration Involved In Vasculogenesis -> Biodomain: Vasculature, Immune Response, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Dipeptide Transmembrane Transport -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: Nickel Cation Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Immune Response, Proteostasis
GO Term: Borate Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, APP Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Response To Interferon-Alpha -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Response To Interferon-Beta -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Cellular Response To Interferon-Alpha -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Cellular Response To Interferon-Beta -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Vesicle Cargo Loading -> Biodomain: Synapse, Proteostasis, Autophagy, Immune Response, APP Metabolism
GO Term: Vitamin Transmembrane Transport -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, APP Metabolism, Immune Response
GO Term: Determination Of Pancreatic Left/Right Asymmetry -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: Positive Regulation Of Vascular Wound Healing -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Choriogonadotropin Hormone Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Lipase Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Immune Response
GO Term: Chylomicron Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Gastric Emptying -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Adenine/Guanine Mispair Binding -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Positive Regulation Of Leukotriene Production Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Snare Complex Assembly -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Snare Complex Disassembly -> Biodomain: Synapse, Proteostasis, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Camp Response Element Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Carnosine Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Immune Response
GO Term: Carnosine Biosynthetic Process -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Tau Homeostasis
GO Term: Mh2 Domain Binding -> Biodomain: Proteostasis, Synapse, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Mh1 Domain Binding -> Biodomain: Proteostasis, Tau Homeostasis, Immune Response, APP Metabolism, Oxidative Stress
GO Term: Metanephric Part Of Ureteric Bud Development -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Oxidative Rna Demethylation -> Biodomain: Oxidative Stress, Autophagy, RNA Spliceosome, Proteostasis, APP Metabolism
GO Term: Oxidative Rna Demethylase Activity -> Biodomain: Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Broad Specificity Oxidative Dna Demethylase Activity -> Biodomain: Oxidative Stress, DNA Repair, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Pr-Dub Complex -> Biodomain: Proteostasis, Epigenetic, Tau Homeostasis, Autophagy, Immune Response
GO Term: Protein K29-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Tau Homeostasis, Immune Response
GO Term: Monoubiquitinated Protein Deubiquitination -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, Oxidative Stress, Immune Response
GO Term: Protein K29-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Proline Transmembrane Transport -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Synapse
GO Term: Nf-Kappab P50/P65 Complex -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Retrograde Transport, Plasma Membrane To Golgi -> Biodomain: Proteostasis, Synapse, APP Metabolism, Autophagy, Immune Response
GO Term: Nadh Pyrophosphatase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism, Autophagy
GO Term: Carbohydrate Response Element Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: 8-Oxo-7,8-Dihydrodeoxyguanosine Triphosphate Pyrophosphatase Activity -> Biodomain: Oxidative Stress, DNA Repair, Proteostasis, APP Metabolism, Autophagy
GO Term: Regulation Of Snare Complex Assembly -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Snare Complex Assembly -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Snare Complex Assembly -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Determination Of Left/Right Asymmetry In Nervous System -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Intracellular Signal Transduction -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Negative Regulation Of Chromatin Binding -> Biodomain: Epigenetic, Proteostasis, Tau Homeostasis, Immune Response, Oxidative Stress
GO Term: Positive Regulation Of Chromatin Binding -> Biodomain: Epigenetic, Proteostasis, Tau Homeostasis, Immune Response, Autophagy
GO Term: Regulation Of Kidney Size -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Regulation Of Pronephros Size -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Metanephros Size -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Non-Canonical Wnt Signaling Pathway -> Biodomain: Synapse, Proteostasis, Immune Response, Tau Homeostasis, APP Metabolism
GO Term: N-Terminal Peptidyl-Serine Dimethylation -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: N-Terminal Peptidyl-Serine Trimethylation -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Tau Homeostasis, Autophagy
GO Term: Histone H4K20 Demethylase Activity -> Biodomain: Epigenetic, Tau Homeostasis, Proteostasis, Immune Response, Autophagy
GO Term: Azurophil Granule Membrane -> Biodomain: Endolysosome, Autophagy, Immune Response, Proteostasis, Oxidative Stress
GO Term: Azurophil Granule Lumen -> Biodomain: Endolysosome, Autophagy, Immune Response, Proteostasis, Oxidative Stress
GO Term: Specific Granule Membrane -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Specific Granule Lumen -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Sequestering Of Extracellular Ligand From Receptor -> Biodomain: Synapse, Immune Response, Proteostasis, APP Metabolism, Oxidative Stress
GO Term: Sequestering Of Bmp In Extracellular Matrix -> Biodomain: Proteostasis, Synapse, Immune Response, Tau Homeostasis, APP Metabolism
GO Term: Sequestering Of Tgfbeta In Extracellular Matrix -> Biodomain: Immune Response, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: G Protein-Coupled Purinergic Nucleotide Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Purinergic Nucleotide Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Signaling Adaptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Establishment Of Protein Localization To Extracellular Region -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Immune Response
GO Term: Ganglioside Binding -> Biodomain: Synapse, APP Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Methylthiotransferase Activity -> Biodomain: Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Trna-2-Methylthio-N(6)-Dimethylallyladenosine(37) Synthase Activity -> Biodomain: Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Trna (N(6)-L-Threonylcarbamoyladenosine(37)-C(2))-Methylthiotransferase Activity -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Trna Methylthiolation -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, RNA Spliceosome
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Negative Regulation Of Apoptotic Process In Bone Marrow Cell -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Hemopoiesis -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Synapse, APP Metabolism
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Positive Regulation Of Cell Proliferation In Bone Marrow -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Synapse
GO Term: Peptidyl-Cysteine S-Nitrosylase Activity -> Biodomain: Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Peptidyl-Cysteine S-Trans-Nitrosylation -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis, APP Metabolism
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Orbitofrontal Cortex Development -> Biodomain: Synapse, Proteostasis, Immune Response, Tau Homeostasis, APP Metabolism
GO Term: Protein Deglutamylation -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Synapse, Oxidative Stress
GO Term: C-Terminal Protein Deglutamylation -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Apoptosis, Autophagy
GO Term: Protein Side Chain Deglutamylation -> Biodomain: Proteostasis, Tau Homeostasis, Oxidative Stress, Autophagy, APP Metabolism
GO Term: Protein Branching Point Deglutamylation -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: Ap-2 Adaptor Complex Binding -> Biodomain: Synapse, Proteostasis, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Rna Stem-Loop Binding -> Biodomain: RNA Spliceosome, Proteostasis, APP Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Clathrin Adaptor Activity -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Synapse, Autophagy
GO Term: Stress Granule Disassembly -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Immune Response, Tau Homeostasis
GO Term: Er To Golgi Ceramide Transport -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Intrahepatic Bile Duct Development -> Biodomain: Immune Response, Oxidative Stress, Autophagy, APP Metabolism, Structural Stabilization
GO Term: Renal D-Glucose Absorption -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Ceramide Transport -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Bone Mineralization Involved In Bone Maturation -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Immune Response, Structural Stabilization
GO Term: Cd40 Receptor Complex -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Mitochondrial Prohibitin Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, APP Metabolism
GO Term: Maintenance Of Blood-Brain Barrier -> Biodomain: Vasculature, Immune Response, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Response To Stilbenoid -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Immune Response, Autophagy
GO Term: Purine Ribonucleoside Triphosphate Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Exploration Behavior -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Locomotory Exploration Behavior -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Tau Homeostasis
GO Term: Histone H3R17 Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Tau Homeostasis, Immune Response, Autophagy
GO Term: L-Dopa Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Immune Response, Tau Homeostasis, APP Metabolism
GO Term: Phosphoanandamide Dephosphorylation -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Enteric Smooth Muscle Cell Differentiation -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, APP Metabolism
GO Term: Endosome To Melanosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Oxidative Stress, Immune Response
GO Term: Ap-1 Adaptor Complex Binding -> Biodomain: Synapse, Endolysosome, Proteostasis, APP Metabolism, Autophagy
GO Term: Ap-3 Adaptor Complex Binding -> Biodomain: Endolysosome, APP Metabolism, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Clathrin-Coated Vesicle Cargo Loading, Ap-3-Mediated -> Biodomain: Synapse, Proteostasis, Endolysosome, APP Metabolism, Autophagy
GO Term: Interleukin-18-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Erf1 Methyltransferase Complex -> Biodomain: Proteostasis, Apoptosis, Tau Homeostasis, Oxidative Stress, Endolysosome
GO Term: Mon1-Ccz1 Complex -> Biodomain: Proteostasis, Autophagy, Synapse, Tau Homeostasis, APP Metabolism
GO Term: Toll-Like Receptor 4 Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Toll-Like Receptor 2 Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Tirap-Dependent Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Trif-Dependent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Trif-Dependent Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Tram-Dependent Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Oligopeptide Transmembrane Transport -> Biodomain: Proteostasis, Synapse, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Oligopeptide Transmembrane Transporter Activity -> Biodomain: Proteostasis, Synapse, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Tricarboxylic Acid Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, APP Metabolism, Autophagy, Lipid Metabolism
GO Term: Neuromast Hair Cell Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Posterior Lateral Line Neuromast Hair Cell Development -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Memory T Cell Extravasation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Helper T Cell Extravasation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Helper T Cell Diapedesis -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Proteostasis
GO Term: Sperm Fibrous Sheath -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Oxidative Stress
GO Term: Chemokine (C-C Motif) Ligand 5 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Macrophage Migration Inhibitory Factor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Macrophage Migration Inhibitory Factor Receptor Complex -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Endolysosome
GO Term: Nos2-Cd74 Complex -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Mitochondrial Protein Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, APP Metabolism
GO Term: Mitophagy By Internal Vacuole Formation -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Monocyte Extravasation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Hematopoietic Stem Cell Migration -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Monocyte Homeostasis -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: T-Helper 17 Cell Chemotaxis -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Memory T Cell Activation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Cd4-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Synapse
GO Term: T-Helper 1 Cell Activation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: T-Helper 2 Cell Activation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Response To Nitrogen Dioxide -> Biodomain: Oxidative Stress, Immune Response, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Chemokine (C-C Motif) Ligand 2 Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Chemokine (C-C Motif) Ligand 12 Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Chemokine (C-C Motif) Ligand 7 Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Macrophage Migration Inhibitory Factor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Intraciliary Anterograde Transport -> Biodomain: Synapse, Proteostasis, Autophagy, Tau Homeostasis, Mitochondrial Metabolism
GO Term: Intraciliary Retrograde Transport -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, Autophagy
GO Term: Interleukin-12-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Interleukin-15-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Sodium Ion Transmembrane Transport -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Metal Binding and Homeostasis
GO Term: Common Myeloid Progenitor Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Lysophosphatidic Acid Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Response To Hepatocyte Growth Factor -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Synapse, APP Metabolism
GO Term: Cellular Response To Hepatocyte Growth Factor Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Synapse, APP Metabolism
GO Term: S-Nitrosoglutathione Binding -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Apoptosis, Endolysosome
