Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Brain-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, Tau Homeostasis
GO Term: Negative Regulation Of Brain-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Immune Response, Tau Homeostasis, Apoptosis
GO Term: Positive Regulation Of Brain-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Immune Response, Tau Homeostasis, APP Metabolism
GO Term: Mitotic G1 Dna Damage Checkpoint Signaling -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Oxidative Stress, Proteostasis
GO Term: Mitotic Intra-S Dna Damage Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Membrane Raft Organization -> Biodomain: Synapse, Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis
GO Term: Membrane Raft Distribution -> Biodomain: Lipid Metabolism, Synapse, APP Metabolism, Oxidative Stress, Proteostasis
GO Term: Hemidesmosome Assembly -> Biodomain: Synapse, Proteostasis, Immune Response, Structural Stabilization, APP Metabolism
GO Term: Phospholipase D-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Regulation Of Inositol 1,4,5-Trisphosphate-Sensitive Calcium-Release Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Positive Regulation Of Inositol 1,4,5-Trisphosphate-Sensitive Calcium-Release Channel Activity -> Biodomain: Synapse, Oxidative Stress, Calcium Homeostasis, Proteostasis, APP Metabolism
GO Term: Nucleotide-Activated Protein Kinase Complex -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis, APP Metabolism
GO Term: Cell-Substrate Adhesion -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Tau Homeostasis
GO Term: Wybutosine Biosynthetic Process -> Biodomain: RNA Spliceosome, Proteostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Centrosomal Corona -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, Apoptosis
GO Term: Polyubiquitin Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress, Immune Response
GO Term: Neuromuscular Junction -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Nuclear Proteasome Complex -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress, Immune Response
GO Term: Cytosolic Proteasome Complex -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress, Immune Response
GO Term: Spindle Pole Centrosome -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Homologous Chromosome Orientation In Meiotic Metaphase I -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Immune Response
GO Term: Regulation Of Fever Generation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Fever Generation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Synapse, Oxidative Stress
GO Term: Ubiquitin Conjugating Enzyme Binding -> Biodomain: Proteostasis, Apoptosis, Tau Homeostasis, Autophagy, Immune Response
GO Term: Ubiquitin Protein Ligase Binding -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Beta-Endorphin Binding -> Biodomain: Immune Response, Synapse, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Telomeric Loop Formation -> Biodomain: DNA Repair, Oxidative Stress, Immune Response, Apoptosis, Proteostasis
GO Term: Opioid Receptor Binding -> Biodomain: Immune Response, Synapse, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Synaptic Vesicle Fusion To Presynaptic Active Zone Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Regulation Of Synaptic Vesicle Fusion To Presynaptic Active Zone Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Adenylate Cyclase-Inhibiting Opioid Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Zymogen Activation -> Biodomain: Proteostasis, Apoptosis, Immune Response, Endolysosome, APP Metabolism
GO Term: Plasminogen Activation -> Biodomain: Proteostasis, Immune Response, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Killing Of Cells Of Another Organism -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Myelination -> Biodomain: Myelination, Synapse, Proteostasis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Myelination -> Biodomain: Myelination, Synapse, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Positive Regulation Of Myelination -> Biodomain: Myelination, Synapse, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Regulation Of Nervous System Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, Immune Response
GO Term: Negative Regulation Of Nervous System Process -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Tau Homeostasis
GO Term: Regulation Of Protein Stability -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress, APP Metabolism
GO Term: Protein Destabilization -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Heat Generation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Negative Regulation Of Heat Generation -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis, Tau Homeostasis
GO Term: Positive Regulation Of Heat Generation -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis, Tau Homeostasis
GO Term: Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Regulation Of Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Positive Regulation Of Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Response To Nutrient Levels -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Cellular Response To Nutrient Levels -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Nutrient -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: A Band -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Oxidative Stress
GO Term: H Zone -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: I Band -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Oxidative Stress
GO Term: G-Protein Beta/Gamma-Subunit Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: G-Protein Beta-Subunit Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, APP Metabolism
GO Term: G-Protein Gamma-Subunit Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, APP Metabolism
GO Term: G-Protein Beta/Gamma-Subunit Complex Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Adenosine Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: A1 Adenosine Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: A2A Adenosine Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Adrenergic Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Alpha-1B Adrenergic Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Alpha-2A Adrenergic Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Alpha-2B Adrenergic Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Alpha-2C Adrenergic Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Beta-1 Adrenergic Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Beta-2 Adrenergic Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Beta-3 Adrenergic Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Adrenomedullin Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Synapse, APP Metabolism
GO Term: Angiotensin Receptor Binding -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Type 1 Angiotensin Receptor Binding -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Type 2 Angiotensin Receptor Binding -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Apelin Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Synapse, APP Metabolism
GO Term: Endothelin A Receptor Binding -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Endothelin B Receptor Binding -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Neuromedin B Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Bradykinin Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Synapse, APP Metabolism
GO Term: C5L2 Anaphylatoxin Chemotactic Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Calcitonin Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Type 1 Cannabinoid Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Haptoglobin Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Metal Binding and Homeostasis
GO Term: Hemoglobin Alpha Binding -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Immune Response, Autophagy
GO Term: Cxcr4 Chemokine Receptor Binding -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Cxcr5 Chemokine Receptor Binding -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Ccr1 Chemokine Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Ccr2 Chemokine Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Ccr3 Chemokine Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Ccr4 Chemokine Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Ccr5 Chemokine Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Ccr6 Chemokine Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Ccr7 Chemokine Receptor Binding -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Ccr10 Chemokine Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Cx3C Chemokine Receptor Binding -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Type B Gastrin/Cholecystokinin Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: D1 Dopamine Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: D2 Dopamine Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: D3 Dopamine Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: D4 Dopamine Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: D5 Dopamine Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Edg-2 Lysophosphatidic Acid Receptor Binding -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Follicle-Stimulating Hormone Receptor Binding -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Galanin Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Type 1 Galanin Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Type 2 Galanin Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Type 3 Galanin Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Gastric Inhibitory Polypeptide Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Synapse
GO Term: Ghrelin Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Glucagon Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Lipid Metabolism
GO Term: Growth Hormone-Releasing Hormone Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Type 1 Orexin Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Type 2 Orexin Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Kisspeptin Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Type 1 Melanin-Concentrating Hormone Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Melanocortin Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Synapse
GO Term: Corticotropin Hormone Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Synapse, Proteostasis, APP Metabolism
GO Term: Type 3 Melanocortin Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Type 4 Melanocortin Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Type 5 Melanocortin Receptor Binding -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Motilin Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Type 2 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Type 3 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Immune Response
GO Term: Type 5 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Type 8 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: P2Y1 Nucleotide Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: G Protein-Coupled Serotonin Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Substance P Receptor Binding -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Neuromedin K Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Substance K Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Haptoglobin-Hemoglobin Complex -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Endolysosome
GO Term: Type 1 Neuromedin U Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Type 2 Neuromedin U Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Neuropeptide Y Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Protection From Non-Homologous End Joining At Telomere -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Immune Response
GO Term: Olfactory Receptor Binding -> Biodomain: Synapse, Immune Response, APP Metabolism, Oxidative Stress, Proteostasis
GO Term: Kappa-Type Opioid Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Mu-Type Opioid Receptor Binding -> Biodomain: Immune Response, Synapse, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Orexigenic Neuropeptide Qrfp Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Oxytocin Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Parathyroid Hormone Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Type 1 Parathyroid Hormone Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Telomeric 3' Overhang Formation -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Immune Response
GO Term: Prolactin-Releasing Peptide Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Ep4 Subtype Prostaglandin E2 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Synapse
GO Term: Thromboxane A2 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: Proteinase Activated Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Oxidative Stress
GO Term: Somatostatin Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Taste Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, APP Metabolism
GO Term: Type 1 Vasoactive Intestinal Polypeptide Receptor Binding -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Type 2 Vasoactive Intestinal Polypeptide Receptor Binding -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: V1A Vasopressin Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: V1B Vasopressin Receptor Binding -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Early Endosome Membrane -> Biodomain: Endolysosome, APP Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Late Endosome Membrane -> Biodomain: Endolysosome, APP Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Endosome Lumen -> Biodomain: Endolysosome, APP Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Early Endosome Lumen -> Biodomain: Endolysosome, APP Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Late Endosome Lumen -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Synaptic Plasticity -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Positive Regulation Of Synaptic Plasticity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Pyridoxine Transport -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Tor Signaling -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Mitochondria-Nucleus Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, APP Metabolism
GO Term: Torc1 Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Torc2 Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Filamentous Actin -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Regulation Of Glucocorticoid Metabolic Process -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, APP Metabolism, Autophagy
GO Term: Regulation Of Glucocorticoid Biosynthetic Process -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Glucocorticoid Biosynthetic Process -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Glucocorticoid Biosynthetic Process -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, APP Metabolism
GO Term: Regulation Of Protein Autophosphorylation -> Biodomain: Proteostasis, Autophagy, Synapse, Tau Homeostasis, Oxidative Stress
GO Term: Negative Regulation Of Protein Autophosphorylation -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Protein Autophosphorylation -> Biodomain: Proteostasis, Autophagy, Synapse, Tau Homeostasis, Oxidative Stress
GO Term: Medium-Chain Fatty Acid-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Very Long-Chain Fatty Acid-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Nuclear Receptor-Mediated Corticosteroid Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Nuclear Receptor-Mediated Mineralocorticoid Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, APP Metabolism, Tau Homeostasis, Proteostasis
GO Term: Response To Corticosteroid -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Synapse
GO Term: Nuclear Mineralocorticoid Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, APP Metabolism, Proteostasis, Tau Homeostasis
GO Term: Nuclear Membrane -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis, Immune Response
GO Term: Mitochondrial Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Organelle Envelope -> Biodomain: Endolysosome, APP Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Nuclear Lumen -> Biodomain: Nuclear Lumen, Proteostasis, Tau Homeostasis, APP Metabolism, Immune Response
GO Term: Vesicle -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Organelle Subcompartment -> Biodomain: Synapse, Proteostasis, Autophagy, APP Metabolism, Oxidative Stress
GO Term: Golgi Cisterna -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Oxidative Stress, Synapse
GO Term: Locomotion Involved In Locomotory Behavior -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Bombesin Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Mrna Export From Nucleus In Response To Heat Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Immune Response, APP Metabolism
GO Term: Insulin-Like Growth Factor I Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Synapse
GO Term: Insulin-Like Growth Factor Ii Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Thioesterase Binding -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Regulation Of Fatty Acid Beta-Oxidation -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism
GO Term: Negative Regulation Of Fatty Acid Beta-Oxidation -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism
GO Term: Positive Regulation Of Fatty Acid Beta-Oxidation -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism
GO Term: Interleukin-28 Receptor Complex -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Interleukin-28 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Regulation Of Tor Signaling -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Negative Regulation Of Tor Signaling -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Positive Regulation Of Tor Signaling -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, APP Metabolism
GO Term: Early Phagosome -> Biodomain: Endolysosome, Immune Response, Autophagy, Proteostasis, Oxidative Stress
GO Term: Phagolysosome -> Biodomain: Endolysosome, Autophagy, Immune Response, Proteostasis, Oxidative Stress
GO Term: Arf Protein Signal Transduction -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Regulation Of Arf Protein Signal Transduction -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Immune Response
GO Term: Negative Regulation Of Arf Protein Signal Transduction -> Biodomain: Proteostasis, Synapse, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Positive Regulation Of Arf Protein Signal Transduction -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Isg15-Protein Conjugation -> Biodomain: Proteostasis, Immune Response, Apoptosis, Tau Homeostasis, Endolysosome
