Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Unknown, Proteostasis
GO Term: Positive Regulation Of Type Iii Interferon Production -> Biodomain: Immune Response, Unknown, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Type Iii Interferon Receptor Activity -> Biodomain: Immune Response, Unknown, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Glial Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Unknown
GO Term: Negative Regulation Of Glial Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Unknown, Tau Homeostasis
GO Term: Mrna 5'-Diphosphatase Activity -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Autophagy, Oxidative Stress
GO Term: 'De Novo' Nad+ Biosynthetic Process From L-Tryptophan -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism, Autophagy
GO Term: Nad+ Biosynthetic Process Via The Salvage Pathway -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism, Autophagy
GO Term: Plasma Lipoprotein Particle -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, Immune Response, APP Metabolism
GO Term: Mature Chylomicron -> Biodomain: Lipid Metabolism, Unknown, APP Metabolism, Oxidative Stress, Immune Response
GO Term: Chylomicron Remnant -> Biodomain: Lipid Metabolism, APP Metabolism, Unknown, Oxidative Stress, Immune Response
GO Term: Very-Low-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Unknown, Immune Response, Oxidative Stress, APP Metabolism
GO Term: Low-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, APP Metabolism, Unknown
GO Term: Intermediate-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Unknown, Immune Response, Oxidative Stress, APP Metabolism
GO Term: High-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Unknown, Immune Response, Oxidative Stress, APP Metabolism
GO Term: Discoidal High-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, Immune Response, APP Metabolism
GO Term: Spherical High-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Apoptosis, Unknown
GO Term: Protein-Containing Complex Remodeling -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Apoptosis, Unknown
GO Term: Plasma Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Oxidative Stress, APP Metabolism, Immune Response, Unknown
GO Term: Triglyceride-Rich Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Immune Response, Unknown
GO Term: Chylomicron Remodeling -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, Immune Response, Proteostasis
GO Term: Very-Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, Immune Response, APP Metabolism
GO Term: Intermediate-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, Immune Response, APP Metabolism
GO Term: Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Unknown, APP Metabolism
GO Term: High-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, Immune Response, APP Metabolism
GO Term: Plasma Lipoprotein Particle Assembly -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, Immune Response, APP Metabolism
GO Term: Chylomicron Assembly -> Biodomain: Lipid Metabolism, Unknown, Proteostasis, Oxidative Stress, Immune Response
GO Term: Very-Low-Density Lipoprotein Particle Assembly -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, Immune Response, Proteostasis
GO Term: High-Density Lipoprotein Particle Assembly -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, Immune Response, Proteostasis
GO Term: Plasma Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, Immune Response, APP Metabolism
GO Term: Chylomicron Remnant Clearance -> Biodomain: Lipid Metabolism, Unknown, Immune Response, Oxidative Stress, Endolysosome
GO Term: Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Unknown, Immune Response, Oxidative Stress, Endolysosome
GO Term: High-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Unknown, Immune Response, Oxidative Stress, Apoptosis
GO Term: 4-Aminobutyrate:2-Oxoglutarate Transaminase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Unknown
GO Term: Pwp2P-Containing Subcomplex Of 90S Preribosome -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Autophagy, DNA Repair
GO Term: Lipid Droplet Organization -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Unknown
GO Term: Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Unknown, Structural Stabilization, Vasculature
GO Term: Regulation Of Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Unknown, Immune Response, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Unknown, Structural Stabilization, Endolysosome
GO Term: Positive Regulation Of Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Unknown, Immune Response, Proteostasis, Oxidative Stress
GO Term: Protein Localization To Cell Surface -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Unknown
GO Term: Telomere Localization -> Biodomain: Unknown, Structural Stabilization, Cell Cycle, DNA Repair, Apoptosis
GO Term: Telomere Tethering At Nuclear Periphery -> Biodomain: Unknown, Structural Stabilization, Cell Cycle, DNA Repair, Apoptosis
GO Term: Nuclear Periphery -> Biodomain: Unknown, Proteostasis, Tau Homeostasis, Apoptosis, Endolysosome
GO Term: Response To Fluid Shear Stress -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Unknown, Proteostasis
GO Term: Bisphosphoglycerate 3-Phosphatase Activity -> Biodomain: Unknown, Oxidative Stress, Lipid Metabolism, Proteostasis, APP Metabolism
GO Term: Urate Biosynthetic Process -> Biodomain: Oxidative Stress, Unknown, Proteostasis, APP Metabolism, Immune Response
GO Term: Post-Translational Protein Acetylation -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Autophagosome Lumen -> Biodomain: Autophagy, Proteostasis, Unknown, Oxidative Stress, APP Metabolism
GO Term: Bis(5'-Adenosyl)-Hexaphosphatase Activity -> Biodomain: Unknown, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Bis(5'-Adenosyl)-Pentaphosphatase Activity -> Biodomain: Unknown, Proteostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Glycoprotein Transport -> Biodomain: Proteostasis, APP Metabolism, Unknown, Autophagy, Synapse
GO Term: Lipoprotein Lipid Oxidation -> Biodomain: Oxidative Stress, Lipid Metabolism, Unknown, Proteostasis, Immune Response
GO Term: Lipid Oxidation -> Biodomain: Oxidative Stress, Lipid Metabolism, Apoptosis, Proteostasis, Unknown
GO Term: Plasma Lipoprotein Particle Oxidation -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Apoptosis, Unknown
GO Term: Negative Regulation Of Plasma Lipoprotein Oxidation -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Immune Response, Unknown
GO Term: Substrate Adhesion-Dependent Cell Spreading -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Unknown
GO Term: Very-Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, Immune Response, Endolysosome
GO Term: Ubiquitin-Ubiquitin Ligase Activity -> Biodomain: Proteostasis, Apoptosis, Tau Homeostasis, Immune Response, Autophagy
GO Term: Centriolar Satellite -> Biodomain: Unknown, Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis
GO Term: Dynactin Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, Tau Homeostasis
GO Term: Microtubule Anchoring -> Biodomain: Tau Homeostasis, Synapse, Structural Stabilization, Unknown, Proteostasis
GO Term: Microtubule Anchoring At Centrosome -> Biodomain: Tau Homeostasis, Structural Stabilization, Synapse, Unknown, Proteostasis
GO Term: T-Utp Complex -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Autophagy, Immune Response
GO Term: Utp-C Complex -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Autophagy, Cell Cycle
GO Term: Mpp10 Complex -> Biodomain: Unknown, Proteostasis, Autophagy, RNA Spliceosome, Tau Homeostasis
GO Term: 3'-5' Rna Helicase Activity -> Biodomain: RNA Spliceosome, Unknown, Autophagy, Proteostasis, Oxidative Stress
GO Term: Small-Subunit Processome Assembly -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Tau Homeostasis
GO Term: 90S Preribosome Assembly -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Cell Cycle
GO Term: Bbsome -> Biodomain: Unknown, Synapse, Proteostasis, Autophagy, Immune Response
GO Term: Response To Carbon Monoxide -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Unknown, Endolysosome
GO Term: Chromaffin Granule Lumen -> Biodomain: Unknown, Endolysosome, Proteostasis, Oxidative Stress, Immune Response
GO Term: Snrna 3'-End Processing -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: U1 Snrna 3'-End Processing -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: U2 Snrna 3'-End Processing -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Endolysosome
GO Term: U4 Snrna 3'-End Processing -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: U5 Snrna 3'-End Processing -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: U6 Snrna 3'-End Processing -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Phosphatidylglycerol Catabolic Process -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, Autophagy, APP Metabolism
GO Term: Phosphatidylcholine Phospholipase C Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Unknown
GO Term: Chondroitin 2-Sulfotransferase Activity -> Biodomain: Proteostasis, Unknown, Oxidative Stress, APP Metabolism, Endolysosome
GO Term: Phosphatidylinositol-3,4,5-Trisphosphate 5-Phosphatase Activity -> Biodomain: Synapse, APP Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Vacuolar Transmembrane Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Unknown, APP Metabolism
GO Term: Protein Localization To Phagophore Assembly Site -> Biodomain: Autophagy, Proteostasis, Unknown, Oxidative Stress, Immune Response
GO Term: Early Endosome To Golgi Transport -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Oxidative Stress, Unknown
GO Term: Late Endosome To Golgi Transport -> Biodomain: Endolysosome, APP Metabolism, Proteostasis, Oxidative Stress, Unknown
GO Term: Protein Localization To Kinetochore -> Biodomain: Unknown, Cell Cycle, Tau Homeostasis, Proteostasis, Apoptosis
GO Term: Protein Localization To Chromosome -> Biodomain: Unknown, Proteostasis, Tau Homeostasis, DNA Repair, Autophagy
GO Term: Protein Localization To Nucleus -> Biodomain: Nuclear Transport, Proteostasis, Unknown, Apoptosis, Tau Homeostasis
GO Term: Tooth Mineralization -> Biodomain: Unknown, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Immune Response
GO Term: Chromosome, Centromeric Core Domain -> Biodomain: Unknown, Structural Stabilization, Cell Cycle, DNA Repair, Immune Response
GO Term: Centromere Complex Assembly -> Biodomain: Unknown, Cell Cycle, Apoptosis, DNA Repair, Proteostasis
GO Term: U3 Snorna Binding -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Box C/D Sno(S)Rna Binding -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Box H/Aca Snorna Binding -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Mitochondrial Unfolded Protein Response -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Unknown
GO Term: Proteasome Storage Granule -> Biodomain: Proteostasis, Apoptosis, Autophagy, Unknown, Tau Homeostasis
GO Term: Response To Vitamin B6 -> Biodomain: Unknown, Oxidative Stress, Proteostasis, Immune Response, APP Metabolism
GO Term: Ribophagy -> Biodomain: Autophagy, Proteostasis, Unknown, Oxidative Stress, Immune Response
GO Term: Rna Cap Binding Complex -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Fumarylpyruvate Hydrolase Activity -> Biodomain: Unknown, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Mitochondrial Respiratory Chain Complex Ii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Pirna Binding -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Immune Response
GO Term: Pirna Processing -> Biodomain: Unknown, Proteostasis, Autophagy, Immune Response, DNA Repair
GO Term: Hydroxyproline Transport -> Biodomain: Unknown, Proteostasis, Oxidative Stress, APP Metabolism, Structural Stabilization
GO Term: L-Hydroxyproline Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Unknown
GO Term: Synaptic Vesicle Lumen -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Unknown
GO Term: Phosphatidylinositol Bisphosphate Phosphatase Activity -> Biodomain: Synapse, APP Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Phosphatidylinositol Trisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Unknown, Synapse, Oxidative Stress, APP Metabolism
GO Term: Phosphatidylinositol Phosphate 5-Phosphatase Activity -> Biodomain: Unknown, APP Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Phosphatidylinositol Phosphate 4-Phosphatase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Endolysosome, Oxidative Stress, Unknown
GO Term: Phosphatidylinositol-4,5-Bisphosphate 4-Phosphatase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Synapse, Oxidative Stress, Unknown
GO Term: Cellular Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Immune Response, Unknown
GO Term: Cellular Response To Heat -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Unknown, Immune Response
GO Term: Response To Tumor Necrosis Factor -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Unknown, Proteostasis
GO Term: Cellular Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Unknown
GO Term: Response To Laminar Fluid Shear Stress -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Unknown, Structural Stabilization
GO Term: Tetrahydrobiopterin Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, APP Metabolism, Proteostasis, Unknown
GO Term: Arginine Binding -> Biodomain: Unknown, Proteostasis, Oxidative Stress, APP Metabolism, Metal Binding and Homeostasis
GO Term: Cellular Response To Unfolded Protein -> Biodomain: Proteostasis, Apoptosis, Autophagy, Oxidative Stress, Unknown
GO Term: Fatty Acid Elongation, Monounsaturated Fatty Acid -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Fatty Acid Elongation, Polyunsaturated Fatty Acid -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Retinol Transmembrane Transporter Activity -> Biodomain: Unknown, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Retinol Transport -> Biodomain: Unknown, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Glutathione Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, APP Metabolism, Unknown
GO Term: Glutathione Transport -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Immune Response, Unknown
GO Term: Phosphatidylcholine Catabolic Process -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, Autophagy, APP Metabolism
GO Term: Mitochondrion Migration Along Actin Filament -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Unknown
GO Term: Cellular Response To Uv -> Biodomain: Unknown, Oxidative Stress, Apoptosis, Immune Response, Endolysosome
GO Term: Histone H3K4Me/H3K4Me2/H3K4Me3 Demethylase Activity -> Biodomain: Epigenetic, Unknown, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Cortisol Metabolic Process -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Unknown, Endolysosome
GO Term: Cortisol Biosynthetic Process -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Apoptosis, Unknown
GO Term: Retinoic Acid Catabolic Process -> Biodomain: Unknown, Oxidative Stress, APP Metabolism, Proteostasis, Lipid Metabolism
GO Term: Nucleobase-Containing Compound Biosynthetic Process -> Biodomain: Unknown, Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Nucleobase-Containing Compound Catabolic Process -> Biodomain: Unknown, Autophagy, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Nucleobase-Containing Small Molecule Catabolic Process -> Biodomain: Nucleotide Catabolism, Unknown, Oxidative Stress, Autophagy, APP Metabolism
GO Term: Gid Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Unknown, APP Metabolism
GO Term: Endoplasmic Reticulum Chaperone Complex -> Biodomain: Proteostasis, Endolysosome, Apoptosis, Tau Homeostasis, Oxidative Stress
GO Term: Integrin Alpha1-Beta1 Complex -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Unknown
GO Term: Integrin Alpha2-Beta1 Complex -> Biodomain: Synapse, Immune Response, Proteostasis, Unknown, Oxidative Stress
GO Term: Integrin Alpha3-Beta1 Complex -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Unknown
GO Term: Integrin Alpha4-Beta1 Complex -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Unknown
GO Term: Integrin Alpha4-Beta7 Complex -> Biodomain: Immune Response, Unknown, Synapse, Structural Stabilization, Tau Homeostasis
GO Term: Chemotaxis To Arachidonate -> Biodomain: Unknown, Immune Response, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Inhibin-Betaglycan-Actrii Complex -> Biodomain: Unknown, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: Integrin Alpha5-Beta1 Complex -> Biodomain: Synapse, Immune Response, Proteostasis, Unknown, Oxidative Stress
GO Term: Integrin Alpha6-Beta1 Complex -> Biodomain: Synapse, Proteostasis, Immune Response, Unknown, Tau Homeostasis
GO Term: Integrin Alpha6-Beta4 Complex -> Biodomain: Synapse, Proteostasis, Immune Response, Unknown, Tau Homeostasis
GO Term: Integrin Alpha7-Beta1 Complex -> Biodomain: Synapse, Immune Response, Proteostasis, Unknown, Tau Homeostasis
GO Term: Integrin Alpha8-Beta1 Complex -> Biodomain: Synapse, Immune Response, Unknown, Proteostasis, APP Metabolism
GO Term: Integrin Alpha9-Beta1 Complex -> Biodomain: Synapse, Immune Response, Unknown, Proteostasis, Oxidative Stress
GO Term: Integrin Alpha10-Beta1 Complex -> Biodomain: Synapse, Immune Response, Unknown, Structural Stabilization, APP Metabolism
GO Term: Integrin Alpha11-Beta1 Complex -> Biodomain: Synapse, Immune Response, Proteostasis, Unknown, APP Metabolism
GO Term: Integrin Alphav-Beta1 Complex -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Unknown
GO Term: Integrin Alphav-Beta3 Complex -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Unknown
GO Term: Integrin Alphav-Beta5 Complex -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Unknown
GO Term: Integrin Alphav-Beta6 Complex -> Biodomain: Synapse, Immune Response, Proteostasis, Unknown, Endolysosome
GO Term: Integrin Alphav-Beta8 Complex -> Biodomain: Synapse, Immune Response, Proteostasis, Unknown, Endolysosome
GO Term: Integrin Alphal-Beta2 Complex -> Biodomain: Immune Response, Unknown, Synapse, Structural Stabilization, Apoptosis
GO Term: Integrin Alpham-Beta2 Complex -> Biodomain: Immune Response, Unknown, Structural Stabilization, Synapse, Apoptosis
GO Term: Integrin Alphax-Beta2 Complex -> Biodomain: Immune Response, Unknown, Synapse, Proteostasis, Apoptosis
GO Term: U11/U12 Snrnp -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Response To Prostaglandin E -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Unknown, Endolysosome
GO Term: Response To Prostaglandin F -> Biodomain: Immune Response, Oxidative Stress, Unknown, Apoptosis, Endolysosome
GO Term: Response To Gonadotropin -> Biodomain: Unknown, Immune Response, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Response To Luteinizing Hormone -> Biodomain: Unknown, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Monoatomic Ion Channel Complex -> Biodomain: Synapse, Oxidative Stress, Unknown, APP Metabolism, Proteostasis
GO Term: Cation Channel Complex -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Immune Response, Unknown
GO Term: Calcium Channel Complex -> Biodomain: Synapse, Calcium Channel Complex, Oxidative Stress, Immune Response, Unknown
GO Term: Potassium Channel Complex -> Biodomain: Synapse, Oxidative Stress, Unknown, Proteostasis, APP Metabolism
GO Term: Sodium Channel Complex -> Biodomain: Synapse, Unknown, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Chloride Channel Complex -> Biodomain: Unknown, Synapse, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Methyltransferase Complex -> Biodomain: Unknown, Proteostasis, Epigenetic, Tau Homeostasis, Autophagy
GO Term: Methylosome -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Inhibin Binding -> Biodomain: Unknown, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: Type I Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Unknown, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Type Iii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Unknown, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Picln-Sm Protein Complex -> Biodomain: Unknown, Proteostasis, Tau Homeostasis, Autophagy, Synapse
GO Term: Smn-Gemin2 Complex -> Biodomain: Unknown, Proteostasis, Autophagy, Synapse, Tau Homeostasis
GO Term: Smn-Sm Protein Complex -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Gamma-Glutamyl-Peptidase Activity -> Biodomain: Proteostasis, Unknown, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Piecemeal Microautophagy Of The Nucleus -> Biodomain: Autophagy, Proteostasis, Unknown, Tau Homeostasis, Oxidative Stress
GO Term: Nucleosome Organization -> Biodomain: Epigenetic, Unknown, Tau Homeostasis, DNA Repair, Autophagy
GO Term: Cholesterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Histone H4K16 Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, Proteostasis, Unknown, Autophagy, Tau Homeostasis
GO Term: Scrib-Apc-Beta-Catenin Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Unknown
GO Term: Aryl Hydrocarbon Receptor Complex -> Biodomain: Unknown, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Cytosolic Aryl Hydrocarbon Receptor Complex -> Biodomain: Unknown, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Nuclear Aryl Hydrocarbon Receptor Complex -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Unknown, Proteostasis
GO Term: Iron Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Immune Response, Unknown
GO Term: Regulation Of Iron Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Immune Response, Unknown
GO Term: Negative Regulation Of Iron Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Immune Response, Unknown
GO Term: Negative Regulation Of Iron Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Immune Response, APP Metabolism, Unknown
GO Term: Negative Regulation Of Transmembrane Transport -> Biodomain: Synapse, APP Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Regulation Of Monoatomic Ion Transmembrane Transport -> Biodomain: Ion Transport, Oxidative Stress, APP Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: Negative Regulation Of Monoatomic Ion Transmembrane Transport -> Biodomain: Ion Transport, Oxidative Stress, APP Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: Positive Regulation Of Monoatomic Ion Transmembrane Transport -> Biodomain: Ion Transport, Oxidative Stress, APP Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: Basement Membrane Disassembly -> Biodomain: Unknown, Immune Response, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Secretory Granule Lumen -> Biodomain: Secretory Granule Lumen, Unknown, Proteostasis, APP Metabolism, Oxidative Stress
GO Term: Glutathione Transmembrane Transport -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Immune Response, Unknown
GO Term: Response To Histamine -> Biodomain: Immune Response, Unknown, Oxidative Stress, Apoptosis, Synapse
GO Term: Recycling Endosome Lumen -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Unknown, Oxidative Stress
GO Term: Caffeine Oxidase Activity -> Biodomain: Unknown, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism
GO Term: Trimethylamine Monooxygenase Activity -> Biodomain: Oxidative Stress, APP Metabolism, Unknown, Lipid Metabolism, Autophagy
GO Term: Endothelin Maturation -> Biodomain: Vasculature, Immune Response, Unknown, Oxidative Stress, Proteostasis
GO Term: Set3 Complex -> Biodomain: Epigenetic, Unknown, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Protein Folding In Endoplasmic Reticulum -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, APP Metabolism, Unknown
GO Term: Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Unknown, APP Metabolism
GO Term: Nad-Dependent Protein Lysine Deacetylase Activity -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, APP Metabolism, Unknown
GO Term: Mitochondrial Protein Processing -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Peptidyl-Lysine Deacetylation -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress, Unknown
