Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown, Apoptosis
GO Term: Regulation Of T Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Unknown, Synapse, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Antigen Receptor-Mediated Signaling Pathway -> Biodomain: Immune Response, Synapse, Unknown, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of B Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Unknown, Synapse, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of T Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Synapse, Unknown, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of B Cell Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Unknown, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of T Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Unknown, Synapse, Proteostasis, Oxidative Stress
GO Term: Regulation Of T Cell Activation -> Biodomain: Immune Response, Unknown, Synapse, Apoptosis, Proteostasis
GO Term: Regulation Of B Cell Activation -> Biodomain: Immune Response, Unknown, Synapse, Proteostasis, Apoptosis
GO Term: Regulation Of Cell Activation -> Biodomain: Synapse, Immune Response, Apoptosis, Unknown, Proteostasis
GO Term: Negative Regulation Of Cell Activation -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Unknown
GO Term: Positive Regulation Of Cell Activation -> Biodomain: Immune Response, Synapse, Unknown, Proteostasis, Apoptosis
GO Term: Negative Regulation Of T Cell Activation -> Biodomain: Immune Response, Unknown, Synapse, Apoptosis, Proteostasis
GO Term: Negative Regulation Of B Cell Activation -> Biodomain: Immune Response, Unknown, Synapse, Proteostasis, Apoptosis
GO Term: Positive Regulation Of T Cell Activation -> Biodomain: Immune Response, Unknown, Synapse, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of B Cell Activation -> Biodomain: Immune Response, Unknown, Synapse, Proteostasis, Oxidative Stress
GO Term: White Fat Cell Differentiation -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Unknown, Oxidative Stress
GO Term: Brown Fat Cell Differentiation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Unknown
GO Term: Nervous System Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Regulation Of Body Fluid Levels -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Musculoskeletal Movement -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Voluntary Musculoskeletal Movement -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Musculoskeletal Movement, Spinal Reflex Action -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Neuromuscular Process Controlling Posture -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Neuromuscular Process Controlling Balance -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Cognition -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Epigenetic
GO Term: Multicellular Organismal-Level Water Homeostasis -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Intestinal Absorption -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Sensory Processing -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Immune Response
GO Term: Determination Of Affect -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Immune Response
GO Term: Cobalt Ion Binding -> Biodomain: Metal Binding and Homeostasis, Unknown, Proteostasis, Synapse, Oxidative Stress
GO Term: Leukocyte Migration -> Biodomain: Immune Response, Unknown, Synapse, Apoptosis, Structural Stabilization
GO Term: Leukocyte Tethering Or Rolling -> Biodomain: Immune Response, Unknown, Synapse, Apoptosis, Proteostasis
GO Term: Leukocyte Adhesive Activation -> Biodomain: Immune Response, Unknown, Synapse, Apoptosis, Structural Stabilization
GO Term: Diapedesis -> Biodomain: Immune Response, Unknown, Synapse, Apoptosis, Oxidative Stress
GO Term: Neuromuscular Process -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Detection Of Stimulus Involved In Sensory Perception -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, RNA Spliceosome
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, RNA Spliceosome
GO Term: Detection Of Light Stimulus Involved In Visual Perception -> Biodomain: Synapse, Unknown, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Sensory Perception Of Taste -> Biodomain: Synapse, Unknown, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Detection Of Mechanical Stimulus Involved In Sensory Perception Of Sound -> Biodomain: Synapse, Unknown, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Smell -> Biodomain: Synapse, Unknown, Oxidative Stress, Proteostasis, RNA Spliceosome
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Taste -> Biodomain: Synapse, Unknown, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Sensory Perception Of Bitter Taste -> Biodomain: Synapse, Unknown, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Sensory Perception Of Salty Taste -> Biodomain: Synapse, Unknown, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Sensory Perception Of Sour Taste -> Biodomain: Synapse, Unknown, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Sensory Perception Of Sweet Taste -> Biodomain: Synapse, Unknown, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Sensory Perception Of Umami Taste -> Biodomain: Synapse, Unknown, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Chemotaxis -> Biodomain: Synapse, Oxidative Stress, Immune Response, Unknown, Proteostasis
GO Term: Negative Chemotaxis -> Biodomain: Unknown, Synapse, Immune Response, Apoptosis, Oxidative Stress
GO Term: Regulation Of Chemotaxis -> Biodomain: Unknown, Synapse, Immune Response, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Chemotaxis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Immune Response
GO Term: Negative Regulation Of Chemotaxis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Unknown
GO Term: Regulation Of Negative Chemotaxis -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Negative Chemotaxis -> Biodomain: Unknown, Synapse, Immune Response, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Positive Chemotaxis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Unknown
GO Term: Negative Regulation Of Positive Chemotaxis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Unknown
GO Term: Induction Of Negative Chemotaxis -> Biodomain: Unknown, Synapse, Immune Response, Apoptosis, Oxidative Stress
GO Term: Induction Of Positive Chemotaxis -> Biodomain: Synapse, Immune Response, Unknown, Apoptosis, Oxidative Stress
GO Term: Pigment Cell Differentiation -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Pigment Cell Differentiation -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Sensory Perception Of Temperature Stimulus -> Biodomain: Synapse, Unknown, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Sensory Perception Of Light Stimulus -> Biodomain: Synapse, Unknown, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Sensory Perception Of Mechanical Stimulus -> Biodomain: Synapse, Unknown, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Thermoception -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Equilibrioception -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Detection Of Temperature Stimulus Involved In Thermoception -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Detection Of Temperature Stimulus Involved In Sensory Perception -> Biodomain: Synapse, Unknown, Proteostasis, Oxidative Stress, Immune Response
GO Term: Detection Of Temperature Stimulus Involved In Sensory Perception Of Pain -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Immune Response
GO Term: Detection Of Mechanical Stimulus Involved In Sensory Perception Of Pain -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Pain -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Immune Response
GO Term: Detection Of Mechanical Stimulus Involved In Sensory Perception -> Biodomain: Synapse, Unknown, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Sensory Perception Of Touch -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Detection Of Mechanical Stimulus Involved In Sensory Perception Of Touch -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Detection Of Mechanical Stimulus -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Dimethylallyl Diphosphate Biosynthetic Process -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Unknown
GO Term: Negative Regulation Of Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Unknown
GO Term: Positive Regulation Of Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Unknown
GO Term: Quaternary Ammonium Group Binding -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, RNA Spliceosome
GO Term: Nitric-Oxide Synthase Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Regulation Of Nitric-Oxide Synthase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Positive Regulation Of Nitric-Oxide Synthase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Apoptosis
GO Term: Negative Regulation Of Nitric-Oxide Synthase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Hsp27 Protein Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Microtubule Plus-End Binding -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, Structural Stabilization
GO Term: Microtubule Minus-End Binding -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, Structural Stabilization
GO Term: Microtubule Sliding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Unknown, Apoptosis
GO Term: Microtubule Severing -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, Structural Stabilization
GO Term: Actin Filament Severing -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Actin Filament Binding -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Barbed-End Actin Filament Capping -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, Oxidative Stress
GO Term: Actin Filament Bundle Assembly -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Actin Filament Bundle Assembly
GO Term: Protein Kinase A Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Mitogen-Activated Protein Kinase Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Gtpase Binding -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, RNA Spliceosome
GO Term: Rho Gdp-Dissociation Inhibitor Binding -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Chiasma Assembly -> Biodomain: Cell Cycle, Unknown, DNA Repair, Proteostasis, Synapse
GO Term: Mrna Transport -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Oxidative Stress
GO Term: Rrna Transport -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Trna Transport -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Nucleic Acid Transmembrane Transporter Activity -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Rna Transmembrane Transporter Activity -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Regulation Of Endosome Size -> Biodomain: Endolysosome, Synapse, Proteostasis, Unknown, Apoptosis
GO Term: Positive Regulation Of Calcium-Independent Cell-Cell Adhesion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Negative Regulation Of Calcium-Independent Cell-Cell Adhesion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Regulation Of Membrane Protein Ectodomain Proteolysis -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Positive Regulation Of Membrane Protein Ectodomain Proteolysis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Negative Regulation Of Membrane Protein Ectodomain Proteolysis -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, Oxidative Stress
GO Term: Regulation Of Secretion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Positive Regulation Of Secretion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Negative Regulation Of Secretion -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Regulation Of Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Positive Regulation Of Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Unknown
GO Term: Negative Regulation Of Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Regulation Of Dna Metabolic Process -> Biodomain: Unknown, Epigenetic, DNA Repair, Synapse, Proteostasis
GO Term: Negative Regulation Of Dna Metabolic Process -> Biodomain: Unknown, Epigenetic, DNA Repair, Synapse, Proteostasis
GO Term: Positive Regulation Of Dna Metabolic Process -> Biodomain: DNA Repair, Epigenetic, Unknown, Synapse, Proteostasis
GO Term: Negative Regulation Of Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Unknown
GO Term: Regulation Of Small Gtpase Mediated Signal Transduction -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Positive Regulation Of Small Gtpase Mediated Signal Transduction -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Epigenetic
GO Term: Negative Regulation Of Small Gtpase Mediated Signal Transduction -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Nf-Kappab Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Unknown
GO Term: Dihydrobiopterin Metabolic Process -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, RNA Spliceosome
GO Term: Nuclear Membrane Disassembly -> Biodomain: Unknown, Proteostasis, Apoptosis, Cell Cycle, Synapse
GO Term: Unfolded Protein Binding -> Biodomain: Proteostasis, Synapse, Apoptosis, Unknown, Oxidative Stress
GO Term: 'De Novo' Cotranslational Protein Folding -> Biodomain: Proteostasis, Synapse, Unknown, Apoptosis, RNA Spliceosome
GO Term: 'De Novo' Post-Translational Protein Folding -> Biodomain: Proteostasis, Synapse, Unknown, Apoptosis, RNA Spliceosome
GO Term: Protein-Folding Chaperone Binding -> Biodomain: Proteostasis, Synapse, Unknown, Apoptosis, RNA Spliceosome
GO Term: Constitutive Protein Ectodomain Proteolysis -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, Oxidative Stress
GO Term: Regulation Of Dna-Binding Transcription Factor Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Unknown
GO Term: Positive Regulation Of Dna-Binding Transcription Factor Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Unknown
GO Term: Positive Regulation Of Nf-Kappab Transcription Factor Activity -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Unknown
GO Term: Negative Regulation Of Developmental Process -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, Oxidative Stress
GO Term: Positive Regulation Of Developmental Process -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Epigenetic
GO Term: Positive Regulation Of Helicase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Negative Regulation Of Helicase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Unknown
GO Term: Positive Regulation Of Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Regulation Of Dna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Unknown, Proteostasis, Synapse
GO Term: Atpase Binding -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Sugar Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Hepoxilin Biosynthetic Process -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Apoptosis
GO Term: Rna Polymerase Ii Preinitiation Complex Assembly -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Epigenetic
GO Term: Synaptic Assembly At Neuromuscular Junction -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Regulation Of Actin Nucleation -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Actin Nucleation -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Actin Nucleation -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Regulation Of Cellular Component Organization -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Negative Regulation Of Cellular Component Organization -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Positive Regulation Of Cellular Component Organization -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Autophagy
GO Term: Chaperone-Mediated Protein Complex Assembly -> Biodomain: Proteostasis, Synapse, Unknown, Autophagy, RNA Spliceosome
GO Term: Nk T Cell Activation -> Biodomain: Immune Response, Unknown, Synapse, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Nk T Cell Activation -> Biodomain: Immune Response, Unknown, Synapse, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Nk T Cell Activation -> Biodomain: Immune Response, Unknown, Synapse, Proteostasis, Oxidative Stress
GO Term: Regulation Of Nk T Cell Differentiation -> Biodomain: Immune Response, Unknown, Synapse, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Nk T Cell Differentiation -> Biodomain: Immune Response, Unknown, Synapse, Proteostasis, Oxidative Stress
GO Term: Metal Cation:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Unknown, Proteostasis, Synapse
GO Term: Negative Regulation Of Nk T Cell Proliferation -> Biodomain: Immune Response, Unknown, Synapse, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Nk T Cell Proliferation -> Biodomain: Immune Response, Unknown, Synapse, Apoptosis, Proteostasis
GO Term: Smooth Muscle Cell Differentiation -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Mitochondrial Metabolism
GO Term: Striated Muscle Cell Differentiation -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Regulation Of Muscle Cell Differentiation -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Muscle Cell Differentiation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Positive Regulation Of Muscle Cell Differentiation -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Regulation Of Smooth Muscle Cell Differentiation -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Smooth Muscle Cell Differentiation -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Smooth Muscle Cell Differentiation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Regulation Of Striated Muscle Cell Differentiation -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Striated Muscle Cell Differentiation -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Striated Muscle Cell Differentiation -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Glucose 6-Phosphate Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Xylitol Catabolic Process -> Biodomain: Unknown, Oxidative Stress, Proteostasis, Synapse, Mitochondrial Metabolism
GO Term: Xylitol Metabolic Process -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Nuclear Export -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Epigenetic
GO Term: Nuclear Transport -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Import Into Nucleus -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Epigenetic
GO Term: Regulation Of Phosphorus Metabolic Process -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Meiotic Sister Chromatid Cohesion -> Biodomain: Unknown, Cell Cycle, Epigenetic, DNA Repair, Proteostasis
GO Term: Vitamin Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Protein Insertion Into Mitochondrial Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Unknown
GO Term: Protein Insertion Into Membrane -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, Oxidative Stress
GO Term: Sequestering Of Calcium Ion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Calcium Homeostasis, Unknown
GO Term: Release Of Sequestered Calcium Ion Into Cytosol -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Calcium Homeostasis, Unknown
GO Term: Dioxygenase Activity -> Biodomain: Oxidative Stress, RNA Spliceosome, Proteostasis, Unknown, Synapse
GO Term: Cartilage Development -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Phosphoprotein Binding -> Biodomain: Synapse, Proteostasis, Unknown, RNA Spliceosome, Apoptosis
GO Term: Positive Regulation Of Protein Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Regulation Of Protein Transport -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Protein Transport -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Unknown
GO Term: Spindle Assembly -> Biodomain: Cell Cycle, Unknown, Apoptosis, Proteostasis, Synapse
GO Term: Mitotic Spindle Disassembly -> Biodomain: Unknown, Cell Cycle, Apoptosis, Proteostasis, Synapse
GO Term: Spindle Elongation -> Biodomain: Cell Cycle, Unknown, Apoptosis, Proteostasis, Synapse
GO Term: Meiotic Spindle Elongation -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Cell Cycle
GO Term: Spindle Midzone -> Biodomain: Unknown, Cell Cycle, Proteostasis, Apoptosis, Synapse
GO Term: Maintenance Of Location -> Biodomain: Synapse, Proteostasis, Unknown, RNA Spliceosome, Apoptosis
GO Term: Regulation Of Multicellular Organismal Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Epigenetic
GO Term: Positive Regulation Of Multicellular Organismal Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Negative Regulation Of Multicellular Organismal Process -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Regulation Of Protein Metabolic Process -> Biodomain: Proteostasis, Synapse, Apoptosis, RNA Spliceosome, Unknown
GO Term: Positive Regulation Of Protein Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Negative Regulation Of Protein Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Regulation Of Lymphocyte Activation -> Biodomain: Immune Response, Unknown, Synapse, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Lymphocyte Activation -> Biodomain: Immune Response, Unknown, Synapse, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Lymphocyte Activation -> Biodomain: Immune Response, Unknown, Synapse, Proteostasis, Oxidative Stress
GO Term: Regulation Of Rna Metabolic Process -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Epigenetic
GO Term: Negative Regulation Of Rna Metabolic Process -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Oxidative Stress
GO Term: Positive Regulation Of Rna Metabolic Process -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Unknown
GO Term: Spindle Midzone Assembly -> Biodomain: Cell Cycle, Unknown, Apoptosis, Proteostasis, Synapse
GO Term: Mitotic Spindle Midzone Assembly -> Biodomain: Cell Cycle, Unknown, Apoptosis, Proteostasis, Synapse
GO Term: Meiotic Spindle Midzone Assembly -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Cell Cycle
GO Term: Protein Polymerization -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, RNA Spliceosome
GO Term: Protein Complex Oligomerization -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, RNA Spliceosome
GO Term: Protein Homooligomerization -> Biodomain: Synapse, Proteostasis, Unknown, RNA Spliceosome, Apoptosis
GO Term: Protein Depolymerization -> Biodomain: Proteostasis, Synapse, Apoptosis, Unknown, Structural Stabilization
GO Term: Protein Tetramerization -> Biodomain: Synapse, Proteostasis, Unknown, RNA Spliceosome, Apoptosis
GO Term: Mono-Olein Transacylation Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Diolein Transacylation Activity -> Biodomain: Unknown, Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress
GO Term: Cp2 Mannose-Ethanolamine Phosphotransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Chromosome Organization -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
