[0] Autophagy Of Mitochondrion → Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Structural Stabilization
[473] Response To Thyroid Hormone → Lipid Metabolism, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Epigenetic
[474] Cellular Response To Thyroid Hormone Stimulus → Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Epigenetic
[475] Vascular Associated Smooth Muscle Cell Development → Vasculature, Immune Response, Structural Stabilization, Apoptosis, Myelination
[476] Epoxide Metabolic Process → Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
[477] Negative Regulation Of Transcription From Rna Polymerase Ii Promoter In Response To Stress → Oxidative Stress, Proteostasis, Epigenetic, Autophagy, Immune Response
[478] Renal Tubular Secretion → Vasculature, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
[479] Mitochondrial Outer Membrane Permeabilization → Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Synapse
[480] Receptor Signaling Pathway Via Stat → Immune Response, Synapse, Oxidative Stress, Proteostasis, Structural Stabilization
[481] Response To Interleukin 7 → Immune Response, Vasculature, Apoptosis, Oxidative Stress, Structural Stabilization
[482] Response To Mitochondrial Depolarisation → Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Vasculature
[483] Regulation Of Renal System Process → Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
[484] Vesicle Mediated Transport Between Endosomal Compartments → Endolysosome, Autophagy, Oxidative Stress, Immune Response, Proteostasis
[485] Regulation Of Presynaptic Cytosolic Calcium Ion Concentration → Synapse, Vasculature, Immune Response, Oxidative Stress, Structural Stabilization
[486] Protein Localization To Axon → Synapse, Structural Stabilization, Myelination, Proteostasis, Axon
[487] Negative Regulation Of Plasma Membrane Bounded Cell Projection Assembly → Structural Stabilization, Synapse, Myelination, Proteostasis, Autophagy
[488] Negative Regulation Of Cold Induced Thermogenesis → Oxidative Stress, Immune Response, Mitochondrial Metabolism, Lipid Metabolism, APP Metabolism
[489] Dendrite Arborization → Synapse, Structural Stabilization, Myelination, Immune Response, Proteostasis
[490] Integrated Stress Response Signaling → Oxidative Stress, Proteostasis, Immune Response, Autophagy, Mitochondrial Metabolism
[491] Amyloid Beta Clearance By Transcytosis → APP Metabolism, Endolysosome, Immune Response, Autophagy, Oxidative Stress
[492] Positive Regulation Of Cytokine Production Involved In Inflammatory Response → Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis
[493] Positive Regulation Of Cellular Response To Insulin Stimulus → Vasculature, Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis
[494] Regulation Of Endoplasmic Reticulum Unfolded Protein Response → Proteostasis, Oxidative Stress, Autophagy, Immune Response, Epigenetic
[495] Regulation Of Receptor Binding → Synapse, Immune Response, Structural Stabilization, Endolysosome, Lipid Metabolism
[496] Regulation Of Phenotypic Switching → Immune Response, Epigenetic, Oxidative Stress, Proteostasis, Autophagy
[497] Regulation Of Dna Directed Dna Polymerase Activity → DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
[498] Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway → Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Synapse
[499] Negative Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway → Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Synapse
[500] Negative Regulation Of Nik Nf Kappab Signaling → Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
[501] Succinyl Coa Catabolic Process → Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
[502] Organonitrogen Compound Catabolic Process → Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
[503] Positive Regulation Of Signal Transduction By P53 Class Mediator → Immune Response, Oxidative Stress, Apoptosis, DNA Repair, Proteostasis
[504] Negative Regulation Of Proteasomal Protein Catabolic Process → Proteostasis, Apoptosis, Autophagy, DNA Repair, Immune Response
[505] Positive Regulation Of Proteasomal Protein Catabolic Process → Proteostasis, Autophagy, DNA Repair, Apoptosis, Immune Response
[506] Regulation Of Cell Cycle Checkpoint → Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Immune Response
[507] Negative Regulation Of Cell Cycle Checkpoint → Cell Cycle, Apoptosis, Proteostasis, Immune Response, Epigenetic
[508] Toxin Transport → Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Autophagy
[509] Regulation Of Oxidative Stress Induced Intrinsic Apoptotic Signaling Pathway → Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis, Immune Response
[510] Regulation Of Endoplasmic Reticulum Stress Induced Intrinsic Apoptotic Signaling Pathway → Apoptosis, Oxidative Stress, Proteostasis, Endolysosome, Immune Response
[511] Negative Regulation Of Endoplasmic Reticulum Stress Induced Intrinsic Apoptotic Signaling Pathway → Apoptosis, Oxidative Stress, Proteostasis, Endolysosome, Immune Response
[512] Positive Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator → Apoptosis, Immune Response, Oxidative Stress, Proteostasis, DNA Repair
[513] Cell Cycle Dna Replication Initiation → Cell Cycle, DNA Repair, Proteostasis, Autophagy, Epigenetic
[514] Regulation Of Mrna Binding → RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Immune Response
[515] Regulation Of Protein Autoubiquitination → Proteostasis, DNA Repair, Autophagy, Immune Response, Epigenetic
[516] Negative Regulation Of Intracellular Signal Transduction → Immune Response, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
[517] Negative Regulation Of Cellular Response To Vascular Endothelial Growth Factor Stimulus → Vasculature, Immune Response, Oxidative Stress, Structural Stabilization, Proteostasis
[518] Mitochondrial Outer Membrane Permeabilization Involved In Programmed Cell Death → Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Synapse
[519] Negative Regulation Of Chondrocyte Proliferation → Vasculature, Immune Response, Structural Stabilization, Proteostasis, Apoptosis
[520] Regulation Of Cell Cycle G2 M Phase Transition → Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
[521] Regulation Of Mitochondrial Electron Transport Nadh To Ubiquinone → Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
[522] Mitotic Dna Replication → Cell Cycle, DNA Repair, Mitochondrial Metabolism, Proteostasis, Autophagy
[523] Positive Regulation Of Protein Deubiquitination → Proteostasis, Oxidative Stress, Apoptosis, Endolysosome, Immune Response
[524] Organelle Disassembly → Autophagy, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism
[525] Regulation Of Proteolysis Involved In Protein Catabolic Process → Proteostasis, Autophagy, Apoptosis, DNA Repair, Endolysosome
[526] Negative Regulation Of Proteolysis Involved In Protein Catabolic Process → Proteostasis, Autophagy, Apoptosis, Endolysosome, DNA Repair
[527] Positive Regulation Of Proteolysis Involved In Protein Catabolic Process → Proteostasis, Autophagy, Apoptosis, Endolysosome, DNA Repair
[528] Positive Regulation Of Er Associated Ubiquitin Dependent Protein Catabolic Process → Proteostasis, Autophagy, DNA Repair, Oxidative Stress, Endolysosome
[529] Protein Localization To Condensed Chromosome → Cell Cycle, DNA Repair, Proteostasis, Epigenetic, Structural Stabilization
[530] Regulation Of Trail Activated Apoptotic Signaling Pathway → Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
[531] Liposaccharide Metabolic Process → Lipid Metabolism, Endolysosome, Oxidative Stress, Immune Response, Autophagy
[532] Endoplasmic Reticulum To Cytosol Transport → Proteostasis, Autophagy, Endolysosome, DNA Repair, Oxidative Stress
[533] Negative Regulation Of Response To Endoplasmic Reticulum Stress → Proteostasis, Oxidative Stress, Autophagy, Immune Response, Epigenetic
[534] Negative Regulation Of P38Mapk Cascade → Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
[535] Regulation Of Amino Acid Transmembrane Transport → Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
[536] Regulation Of Ire1 Mediated Unfolded Protein Response → Proteostasis, Oxidative Stress, Autophagy, Endolysosome, Epigenetic
[537] Regulation Of Perk Mediated Unfolded Protein Response → Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Epigenetic
[538] Negative Regulation Of Perk Mediated Unfolded Protein Response → Proteostasis, Oxidative Stress, Autophagy, Epigenetic, Immune Response
[539] Negative Regulation Of Endoplasmic Reticulum Stress Induced Eif2 Alpha Phosphorylation → Proteostasis, Oxidative Stress, Autophagy, Immune Response, Epigenetic
[540] Regulation Of Dna Primase Activity → DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
[541] Regulation Of Hepatocyte Apoptotic Process → Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
[542] Regulation Of Retrograde Protein Transport Er To Cytosol → Proteostasis, Endolysosome, Autophagy, RNA Spliceosome, DNA Repair
[543] Regulation Of Erad Pathway → Proteostasis, Autophagy, Endolysosome, DNA Repair, Oxidative Stress
[544] Positive Regulation Of Telomerase Rna Localization To Cajal Body → RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
[545] Regulation Of Receptor Signaling Pathway Via Stat → Immune Response, Synapse, Oxidative Stress, Proteostasis, Structural Stabilization
[546] Negative Regulation Of Receptor Signaling Pathway Via Stat → Immune Response, Synapse, Oxidative Stress, Proteostasis, Structural Stabilization
[547] Positive Regulation Of Endothelial Cell Matrix Adhesion Via Fibronectin → Vasculature, Structural Stabilization, Immune Response, Endolysosome, APP Metabolism
[548] Regulation Of Autophagy Of Mitochondrion In Response To Mitochondrial Depolarization → Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Synapse
[549] Regulation Of Metallopeptidase Activity → Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
[550] Negative Regulation Of Metallopeptidase Activity → Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
[551] Positive Regulation Of Rna Binding → RNA Spliceosome, Proteostasis, Epigenetic, Synapse, Autophagy
[552] Positive Regulation Of Aspartic Type Peptidase Activity → Proteostasis, Apoptosis, Endolysosome, Immune Response, DNA Repair
[553] Regulation Of Snrna Transcription By Rna Polymerase Ii → RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
[554] Regulation Of Lymphoid Progenitor Cell Differentiation → Immune Response, Vasculature, Myelination, Structural Stabilization, Proteostasis
[555] Negative Regulation Of Membrane Permeability → Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
[556] Positive Regulation Of Membrane Permeability → Vasculature, Synapse, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization
[557] Positive Regulation Of Chromosome Condensation → Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
[558] Regulation Of 3 Utr Mediated Mrna Stabilization → RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
[559] Regulation Of Response To Endoplasmic Reticulum Stress → Proteostasis, Oxidative Stress, Autophagy, Immune Response, Epigenetic
[560] Regulation Of Amyloid Fibril Formation → APP Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
[561] Intrinsic Apoptotic Signaling Pathway In Response To Hypoxia → Apoptosis, Oxidative Stress, Immune Response, Mitochondrial Metabolism, APP Metabolism
[562] Embryonic Brain Development → Vasculature, Synapse, Myelination, Immune Response, Structural Stabilization
[563] Mitochondrial Transmembrane Transport → Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
[564] Protein Polyufmylation → Proteostasis, RNA Spliceosome, Apoptosis, Endolysosome, Immune Response
[565] Presynaptic Active Zone Organization → Synapse, Structural Stabilization, Proteostasis, Autophagy, Immune Response
[566] Dorsal Root Ganglion Development → Vasculature, Myelination, Immune Response, Structural Stabilization, Synapse
[567] Double Strand Break Repair Involved In Meiotic Recombination → DNA Repair, Cell Cycle, Epigenetic, Autophagy, Proteostasis
[568] Regulation Of Dna Damage Checkpoint → DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Proteostasis
[569] Negative Regulation Of Dna Damage Checkpoint → DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Proteostasis
[570] Positive Regulation Of Dna Templated Dna Replication → Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Proteostasis
[571] Regulation Of Actin Cytoskeleton Reorganization → Structural Stabilization, Synapse, Proteostasis, Myelination, Autophagy
[572] Positive Regulation Of Actin Cytoskeleton Reorganization → Structural Stabilization, Synapse, Proteostasis, Autophagy, Myelination
[573] Positive Regulation Of Myoblast Proliferation → Vasculature, Immune Response, Structural Stabilization, Myelination, Proteostasis
[574] Regulation Of Myoblast Proliferation → Vasculature, Immune Response, Myelination, Structural Stabilization, Proteostasis
[575] Regulation Of Rho Dependent Protein Serine Threonine Kinase Activity → Synapse, Structural Stabilization, Immune Response, Proteostasis, Oxidative Stress
[576] Negative Regulation Of T Cell Migration → Immune Response, Vasculature, Apoptosis, Oxidative Stress, Structural Stabilization
[577] Regulation Of Apoptotic Cell Clearance → Apoptosis, Immune Response, Autophagy, Proteostasis, Endolysosome
[578] Positive Regulation Of Apoptotic Cell Clearance → Apoptosis, Immune Response, Autophagy, Proteostasis, Endolysosome
[579] Positive Regulation Of Glycogen Starch Synthase Activity → Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
[580] Regulation Of T Cell Costimulation → Immune Response, Vasculature, Apoptosis, Synapse, Proteostasis
[581] Negative Regulation Of Mirna Metabolic Process → RNA Spliceosome, Epigenetic, Proteostasis, Immune Response, Autophagy
[582] Regulation Of Srebp Signaling Pathway → Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic
[583] Regulation Of Early Endosome To Late Endosome Transport → Endolysosome, Autophagy, Lipid Metabolism, Immune Response, Oxidative Stress
[584] Positive Regulation Of Early Endosome To Late Endosome Transport → Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress, Immune Response
[585] Positive Regulation Of Androgen Receptor Activity → Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Epigenetic, Oxidative Stress
[586] Regulation Of Forebrain Neuron Differentiation → Synapse, Immune Response, Myelination, Structural Stabilization, Epigenetic
[587] Negative Regulation Of Atp Biosynthetic Process → Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle, Lipid Metabolism
[588] Positive Regulation Of Cd8 Positive Alpha Beta T Cell Activation → Immune Response, Vasculature, Apoptosis, Synapse, Proteostasis
[589] Regulation Of Dendritic Cell Differentiation → Immune Response, Synapse, Myelination, Structural Stabilization, Autophagy
[590] Positive Regulation Of Dendritic Cell Differentiation → Immune Response, Synapse, Myelination, Structural Stabilization, Autophagy
[591] Regulation Of Apoptotic Signaling Pathway → Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
[592] Positive Regulation Of Apoptotic Signaling Pathway → Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
[593] Positive Regulation Of Intrinsic Apoptotic Signaling Pathway → Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Synapse
[594] Regulation Of Unsaturated Fatty Acid Biosynthetic Process → Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, Epigenetic
[595] Cytoplasmic Ubiquitin Ligase Complex → Proteostasis, DNA Repair, Autophagy, Immune Response, Epigenetic
[596] Vacuolar Proton Transporting V Type Atpase V0 Domain → Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress
[597] Nuclear Chromosome → Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
[598] Proteasome Complex → Proteostasis, Autophagy, DNA Repair, Immune Response, Oxidative Stress
[599] Condensed Chromosome → Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Myelination
[600] Condensed Nuclear Chromosome → Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
[601] Condensin Complex → Structural Stabilization, Proteostasis, Cell Cycle, DNA Repair, Epigenetic
[602] Lateral Element → Structural Stabilization, Myelination, Synapse, Proteostasis, Tau Homeostasis
[603] Outer Kinetochore → Cell Cycle, Structural Stabilization, DNA Repair, Mitochondrial Metabolism, Proteostasis
[604] Prp19 Complex → RNA Spliceosome, Proteostasis, DNA Repair, Autophagy, Epigenetic
[605] Pam Complex Tim23 Associated Import Motor → Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, DNA Repair
[606] Phagocytic Cup → Endolysosome, Autophagy, Oxidative Stress, Immune Response, Lipid Metabolism
[607] Interstitial Matrix → Structural Stabilization, Vasculature, Proteostasis, Immune Response, Endolysosome
[608] Replication Fork → DNA Repair, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Epigenetic
[609] Alpha Dna Polymerase Primase Complex → DNA Repair, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Epigenetic
[610] Tim23 Mitochondrial Import Inner Membrane Translocase Complex → Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse, Structural Stabilization
[611] Late Endosome → Endolysosome, Autophagy, Lipid Metabolism, Immune Response, Oxidative Stress
[612] Multivesicular Body → Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Oxidative Stress
[613] Sec61 Translocon Complex → Proteostasis, Endolysosome, Autophagy, Structural Stabilization, RNA Spliceosome
[614] Smooth Endoplasmic Reticulum → Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
[615] Rough Endoplasmic Reticulum → Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Structural Stabilization
[616] Endoplasmic Reticulum Golgi Intermediate Compartment → Proteostasis, Endolysosome, Autophagy, Structural Stabilization, RNA Spliceosome
[617] Golgi Associated Vesicle → Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
[618] Proteasome Core Complex → Proteostasis, Autophagy, DNA Repair, Cell Cycle, Epigenetic
[619] Kinesin Complex → Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy
[620] Transcription Elongation Factor Complex → RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Synapse
[621] Cyclin Cdk Positive Transcription Elongation Factor Complex → Cell Cycle, RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair
[622] Katanin Complex → Structural Stabilization, Synapse, Proteostasis, Autophagy, Myelination
[623] Proteasome Regulatory Particle Lid Subcomplex → Proteostasis, Structural Stabilization, DNA Repair, Autophagy, Immune Response
[624] Sarcoplasm → Structural Stabilization, Mitochondrial Metabolism, Myelination, Vasculature, Proteostasis
[625] Sarcoplasmic Reticulum → Structural Stabilization, Mitochondrial Metabolism, Calcium Binding and Homeostasis, Synapse, Vasculature
[626] Insulin Like Growth Factor Binding Protein Complex → Lipid Metabolism, Immune Response, Endolysosome, Structural Stabilization, Proteostasis
[627] Nuclear Cyclin Dependent Protein Kinase Holoenzyme Complex → Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Mitochondrial Metabolism
[628] Cytosolic Large Ribosomal Subunit → Proteostasis, RNA Spliceosome, Structural Stabilization, Autophagy, Epigenetic
[629] Vesicle Coat → Endolysosome, Structural Stabilization, Autophagy, Proteostasis, Lipid Metabolism
[630] Coated Vesicle → Endolysosome, Structural Stabilization, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
[631] Copi Coated Vesicle → Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
[632] Endocytic Vesicle → Endolysosome, Autophagy, Lipid Metabolism, Immune Response, Oxidative Stress
[633] Golgi Associated Vesicle Membrane → Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
[634] Coated Vesicle Membrane → Endolysosome, Structural Stabilization, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
[635] Phagocytic Vesicle Membrane → Endolysosome, Autophagy, Lipid Metabolism, Immune Response, Oxidative Stress
[636] Preribosome → RNA Spliceosome, Proteostasis, DNA Repair, Autophagy, Endolysosome
[637] Rough Endoplasmic Reticulum Membrane → Proteostasis, Structural Stabilization, Autophagy, Endolysosome, RNA Spliceosome
[638] Dna Replication Preinitiation Complex → Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Mitochondrial Metabolism
[639] Box H Aca Snornp Complex → RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
[640] Cul5 Ring Ubiquitin Ligase Complex → Proteostasis, DNA Repair, Autophagy, Immune Response, Structural Stabilization
[641] Late Endosome Membrane → Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
[642] Small Subunit Processome → RNA Spliceosome, Proteostasis, Structural Stabilization, DNA Repair, Autophagy
[643] Stereocilium Tip → Structural Stabilization, Synapse, Myelination, Proteostasis, Endolysosome
[644] Cortical Endoplasmic Reticulum → Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Structural Stabilization
[645] Endoplasmic Reticulum Golgi Intermediate Compartment Membrane → Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Epigenetic
[646] Proton Transporting V Type Atpase V0 Domain → Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
[647] Elongator Holoenzyme Complex → RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Structural Stabilization
[648] Pwp2P Containing Subcomplex Of 90S Preribosome → RNA Spliceosome, Proteostasis, DNA Repair, Autophagy, Structural Stabilization
[649] Aryl Hydrocarbon Receptor Complex → Immune Response, Oxidative Stress, Endolysosome, Lipid Metabolism, Proteostasis
[650] Exon Exon Junction Complex → RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
[651] Azurophil Granule Membrane → Endolysosome, Immune Response, Structural Stabilization, Apoptosis, Autophagy
[652] Cd40 Receptor Complex → Immune Response, Vasculature, Structural Stabilization, Apoptosis, Endolysosome
[653] Transcription Factor Ap 1 Complex → Proteostasis, Synapse, Immune Response, Epigenetic, APP Metabolism
[654] Derlin 1 Retrotranslocation Complex → Proteostasis, Endolysosome, Autophagy, DNA Repair, Synapse
[655] Nuclear Outer Membrane Endoplasmic Reticulum Membrane Network → Endolysosome, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
[656] Nuclear Rna Export Factor Complex → RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
[657] Paraspeckles → RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Structural Stabilization
[658] Mcm Complex → Cell Cycle, DNA Repair, Proteostasis, Mitochondrial Metabolism, Epigenetic
[659] Organelle Membrane Contact Site → Endolysosome, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Lipid Metabolism
[660] Mitochondria Associated Endoplasmic Reticulum Membrane → Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Structural Stabilization
[661] Basal Cortex → Synapse, Vasculature, Myelination, Structural Stabilization, Immune Response
[662] Phagocytic Vesicle → Endolysosome, Autophagy, Oxidative Stress, Immune Response, Lipid Metabolism
[663] Perinuclear Region Of Cytoplasm → Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
[664] Recycling Endosome Membrane → Endolysosome, Autophagy, Lipid Metabolism, Immune Response, Oxidative Stress
[665] Brca1 A Complex → DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Autophagy
[666] Haus Complex → Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy
[667] Post Mrna Release Spliceosomal Complex → RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Synapse
[668] Translocon Complex → Proteostasis, Structural Stabilization, RNA Spliceosome, Autophagy, Endolysosome
[669] Elastic Fiber → Structural Stabilization, Vasculature, Myelination, Proteostasis, Oxidative Stress
[670] Ragulator Complex → Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
[671] Er Membrane Insertion Complex → Proteostasis, Endolysosome, Mitochondrial Metabolism, Structural Stabilization, Autophagy
[672] Emc Complex → Proteostasis, RNA Spliceosome, Structural Stabilization, Autophagy, DNA Repair
[673] Box H Aca Rnp Complex → RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Synapse
[674] Box H Aca Telomerase Rnp Complex → RNA Spliceosome, Proteostasis, DNA Repair, Epigenetic, Autophagy
[675] Tetraspanin Enriched Microdomain → Structural Stabilization, Endolysosome, Immune Response, Synapse, Lipid Metabolism
[676] Cytoplasmic Side Of Apical Plasma Membrane → Structural Stabilization, Synapse, Vasculature, Immune Response, Endolysosome
[677] Synaptonemal Structure → Synapse, Structural Stabilization, Myelination, RNA Spliceosome, Proteostasis
[678] Postsynaptic Cytosol → Synapse, Structural Stabilization, Proteostasis, Immune Response, Oxidative Stress
[679] Nucleolar Exosome Rnase Complex → RNA Spliceosome, Proteostasis, DNA Repair, Autophagy, Epigenetic
[680] Chaperone Complex → Proteostasis, Autophagy, Endolysosome, Synapse, Structural Stabilization
[681] Centriolar Subdistal Appendage → Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Myelination, Proteostasis
[682] Endoplasmic Reticulum Protein Containing Complex → Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization
[683] Peptidase Complex → Proteostasis, Autophagy, Apoptosis, Endolysosome, DNA Repair
[684] Endopeptidase Complex → Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
[685] Mitotic Spindle Midzone → Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Apoptosis, Myelination
[686] Dna Secondary Structure Binding → DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Oxidative Stress
[687] Four Way Junction Dna Binding → DNA Repair, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Proteostasis
[688] Adenyl Nucleotide Exchange Factor Activity → Synapse, Immune Response, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
[689] Mrna Regulatory Element Binding Translation Repressor Activity → RNA Spliceosome, Proteostasis, Epigenetic, Synapse, Autophagy
[690] Rna Polymerase Ii General Transcription Initiation Factor Binding → RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Synapse
[691] Tfiib Class Transcription Factor Binding → RNA Spliceosome, Epigenetic, Proteostasis, Synapse, Autophagy
[692] Basal Transcription Machinery Binding → RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Synapse
[693] Transcription Coregulator Binding → Epigenetic, RNA Spliceosome, Proteostasis, Synapse, Autophagy
[694] N Acetylglucosamine 6 O Sulfotransferase Activity → Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
[695] Lipopolysaccharide Binding → Immune Response, Oxidative Stress, Endolysosome, Lipid Metabolism, Vasculature
[696] Alpha N Acetylgalactosaminide Alpha 2 6 Sialyltransferase Activity → Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Immune Response
[697] Atpase Activator Activity → Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
[698] Dna Helicase Activity → DNA Repair, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Epigenetic
[699] Minor Groove Of Adenine Thymine Rich Dna Binding → DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Oxidative Stress
[700] Telomerase Activity → DNA Repair, Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
[701] Translation Elongation Factor Activity → Proteostasis, RNA Spliceosome, Synapse, Apoptosis, Mitochondrial Metabolism
[702] Protein Disulfide Isomerase Activity → Proteostasis, Endolysosome, Oxidative Stress, Apoptosis, Structural Stabilization
