Running with TEMP=0.0, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Unknown, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Glial Cell Fate Commitment -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Glial Cell Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Endolysosome, Immune Response
GO Term: Postganglionic Parasympathetic Fiber Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Endolysosome
GO Term: Branchiomotor Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Unknown
GO Term: Chemorepulsion Of Branchiomotor Axon -> Biodomain: Synapse, Unknown, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Thalamus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Cerebral Cortex Cell Migration -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Cerebral Cortex Regionalization -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Forebrain Anterior/Posterior Pattern Specification -> Biodomain: Epigenetic,Cell Cycle,Synapse,Structural Stabilization,Unknown
GO Term: Forebrain Dorsal/Ventral Pattern Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Synapse, Unknown
GO Term: Cerebral Cortex Radially Oriented Cell Migration -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Unknown
GO Term: Cerebral Cortex Tangential Migration -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Unknown, Autophagy
GO Term: Cerebral Cortex Radial Glia-Guided Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Neuronal-Glial Interaction Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Proteostasis
GO Term: Cell-Cell Adhesion Involved In Neuronal-Glial Interactions Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Epigenetic
GO Term: Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Epigenetic, Cell Cycle
GO Term: Extension Of A Leading Process Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Unknown
GO Term: Nucleokinesis Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Unknown
GO Term: Layer Formation In Cerebral Cortex -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Myelination, Synapse
GO Term: Negative Regulation Of Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Epigenetic, Synapse, Myelination, Cell Cycle
GO Term: Gonadotrophin-Releasing Hormone Neuronal Migration To The Hypothalamus -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Cell Cycle
GO Term: Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Developmental Process, Cell Motility, Nervous System Development, Forebrain Development
GO Term: Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Chemorepulsion Involved In Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Developmental Process, Nervous System Development, Structural Stabilization, Epigenetic
GO Term: Chemorepulsion Involved In Postnatal Olfactory Bulb Interneuron Migration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Chemorepulsion Involved In Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Structural Stabilization, Nervous System Development, Signal Transduction, Developmental Process
GO Term: Cell Proliferation In Forebrain -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Unknown
GO Term: Ventricular Zone Neuroblast Division -> Biodomain: Cell Cycle, Epigenetic, Synapse, Structural Stabilization, Proteostasis
GO Term: Neuroblast Division In Subventricular Zone -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Pyramidal Neuron Migration To Cerebral Cortex -> Biodomain: Synapse, Structural Stabilization, Unknown, Cell Cycle, Epigenetic
GO Term: Cerebral Cortex Gabaergic Interneuron Migration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Hypothalamus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Immune Response, Oxidative Stress
GO Term: Hypothalamus Cell Migration -> Biodomain: Synapse, Structural Stabilization, Unknown, Cell Cycle, Autophagy
GO Term: Gabaergic Neuron Differentiation In Basal Ganglia -> Biodomain: Synapse, Cell Cycle, Epigenetic, Proteostasis, Unknown
GO Term: Pyramidal Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Unknown
GO Term: Pyramidal Neuron Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Forebrain Radial Glial Cell Differentiation -> Biodomain: Synapse, Cell Cycle, Epigenetic, Structural Stabilization, Myelination
GO Term: Forebrain Ventricular Zone Progenitor Cell Division -> Biodomain: Synapse, Cell Cycle, Developmental Process, Neuronal Development, Epigenetic
GO Term: Cajal-Retzius Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Forebrain Regionalization -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Unknown
GO Term: Forebrain Generation Of Neurons -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Forebrain Neuroblast Division -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Unknown
GO Term: Wnt Signaling Pathway Involved In Forebrain Neuroblast Division -> Biodomain: Synapse, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Cell Cycle, Epigenetic, DNA Repair, Unknown
GO Term: Forebrain Neuron Differentiation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Forebrain Neuron Development -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Forebrain Cell Migration -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Unknown
GO Term: Hypothalamus Gonadotrophin-Releasing Hormone Neuron Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Olfactory Bulb Interneuron Differentiation -> Biodomain: Synapse, Neurodevelopment, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Olfactory Bulb Interneuron Development -> Biodomain: Synapse, Cell Cycle, Epigenetic, Autophagy, Unknown
GO Term: Cerebral Cortex Gabaergic Interneuron Differentiation -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Cerebral Cortex Gabaergic Interneuron Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Epigenetic, Autophagy
GO Term: Cerebral Cortex Gabaergic Interneuron Development -> Biodomain: Synapse, Epigenetic, Structural Stabilization, Cell Cycle, Endolysosome
GO Term: Cerebral Cortex Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Forebrain Astrocyte Development -> Biodomain: Synapse, Unknown, Immune Response, Proteostasis, Cell Cycle
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Epigenetic, Cell Cycle, Structural Stabilization, Unknown
GO Term: Commitment Of Neuronal Cell To Specific Neuron Type In Forebrain -> Biodomain: Synapse, Epigenetic, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Rostrocaudal Neural Tube Patterning -> Biodomain: Epigenetic,Cell Cycle,Structural Stabilization,Synapse,Unknown
GO Term: Dorsal/Ventral Neural Tube Patterning -> Biodomain: Synapse, Structural Stabilization, Nervous System Development, Embryonic Development, Developmental Process
GO Term: Forebrain-Midbrain Boundary Formation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Unknown
GO Term: Neural Tube Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Cell Proliferation In External Granule Layer -> Biodomain: Cell Cycle,Synapse,Structural Stabilization,Myelination,Unknown
GO Term: Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Autophagy, Proteostasis
GO Term: Radial Glia Guided Migration Of Cerebellar Granule Cell -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Myelination
GO Term: Hindbrain Tangential Cell Migration -> Biodomain: Structural Stabilization, Synapse, Unknown, Cell Cycle, Proteostasis
GO Term: Cerebellar Granule Cell Precursor Tangential Migration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Unknown
GO Term: Cerebellar Purkinje Cell-Granule Cell Precursor Cell Signaling -> Biodomain: Synapse, Structural Stabilization, Cellular Process, Biological Regulation, Cell Communication
GO Term: Positive Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Autophagy, Epigenetic
GO Term: Radial Glia Guided Migration Of Purkinje Cell -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Formation Of Radial Glial Scaffolds -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
Saved results to: Experiment/DeepSeek/01-Reference_free/05-FXS/Unknown_Temp_0.0/go_biodomain_results_part_12.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/05-FXS/Unknown_Temp_0.0/runtime_log.csv
