Running with TEMP=0.9, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Oxidative Stress, Autophagy
GO Term: Regulation Of Cd4-Positive, Cd25-Positive, Alpha-Beta Regulatory T Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Epigenetic, Cell Cycle
GO Term: Positive Regulation Of Cd4-Positive, Cd25-Positive, Alpha-Beta Regulatory T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Autophagy, Proteostasis
GO Term: Positive Regulation Of Cd4-Positive, Cd25-Positive, Alpha-Beta Regulatory T Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Cell Cycle
GO Term: Glomerulus Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Glomerular Basement Membrane Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Dendrite Cytoplasm -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Calcitonin Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Vasculature, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cellular Ph Reduction -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Cellular Ph Reduction -> Biodomain: Endolysosome, Autophagy, Oxidative Stress, Apoptosis, Immune Response
GO Term: Response To Insulin -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Cellular Response To Insulin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cellular Response To Hormone Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Autophagy, Epigenetic
GO Term: Regulation Of Stress-Activated Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, DNA Repair
GO Term: Negative Regulation Of Stress-Activated Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Autophagy
GO Term: Positive Regulation Of Stress-Activated Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Autophagy
GO Term: Regulation Of Dna Endoreduplication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Apoptosis
GO Term: Negative Regulation Of Dna Endoreduplication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Dna Endoreduplication -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Regulation Of Establishment Or Maintenance Of Cell Polarity -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Immune Response
GO Term: Regulation Of Protein Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Microtubule-Based Process -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Synapse, Proteostasis
GO Term: Palmitoyl-Coa 9-Desaturase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Viral Transcription -> Biodomain: Immune Response, Autophagy, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Negative Regulation Of Neurotrophin Production -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Neuroinflammation
GO Term: Positive Regulation Of Neurotrophin Production -> Biodomain: Synapse, Proteostasis, Epigenetic, Myelination, Immune Response
GO Term: Nerve Growth Factor Production -> Biodomain: Synapse, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Regulation Of Nerve Growth Factor Production -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Negative Regulation Of Nerve Growth Factor Production -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Transforming Growth Factor Beta1 Production -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Regulation Of Transforming Growth Factor Beta1 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Regulation Of Transforming Growth Factor Beta2 Production -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Transforming Growth Factor Beta1 Production -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Transforming Growth Factor Beta2 Production -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Negative Regulation Of Transforming Growth Factor Beta3 Production -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Vasculature
GO Term: Positive Regulation Of Transforming Growth Factor Beta1 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Positive Regulation Of Transforming Growth Factor Beta2 Production -> Biodomain: Immune Response, Vasculature, Proteostasis, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Transforming Growth Factor Beta3 Production -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Structural Stabilization
GO Term: Spermidine Acetylation -> Biodomain: Lipid Metabolism, Autophagy, Epigenetic, Metal Binding and Homeostasis, Apoptosis
GO Term: Spermine Acetylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Putrescine Acetylation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Circadian Regulation Of Gene Expression -> Biodomain: Circadian, Transcriptional Regulation, Metabolism, Neuronal Signaling, Cell Cycle
GO Term: Activin Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Activin Receptor Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Vasculature, Proteostasis
GO Term: Negative Regulation Of Activin Receptor Signaling Pathway -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Proteostasis, Autophagy
GO Term: Positive Regulation Of Activin Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Superoxide Anion Generation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Apoptosis, Autophagy
GO Term: Negative Regulation Of Superoxide Anion Generation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Immune Response
GO Term: Positive Regulation Of Superoxide Anion Generation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Proteostasis, Apoptosis
GO Term: Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Sterol Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Sterol Sensor Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Srebp-Scap Complex -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Srebp-Scap-Insig Complex -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Translation In Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Secretion By Cell -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, APP Metabolism
GO Term: Mononuclear Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Regulation Of Mononuclear Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mononuclear Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mononuclear Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Actin Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Inositol Trisphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Synapse, Immune Response, Vasculature
GO Term: Inositol Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Inositol Trisphosphate Biosynthetic Process -> Biodomain: Signal Transduction, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Regulation Of Inositol Trisphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Inositol Trisphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Synapse, Autophagy, Vasculature
GO Term: Collagen Metabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Metal Binding and Homeostasis
GO Term: Collagen Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Collagen Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Extracellular Matrix Organization, Tissue Development
GO Term: Negative Regulation Of Collagen Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Collagen Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Transcription Elongation By Rna Polymerase Ii -> Biodomain: Gene Expression, Regulation of Gene Expression, mRNA Processing, Transcription Factors, Epigenetic
GO Term: Regulation Of Actin Filament-Based Process -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Regulation Of Muscle Filament Sliding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Muscle Filament Sliding Speed -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Amino Acid Export Across Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Lipid Metabolism, Endolysosome
GO Term: Release Of Matrix Enzymes From Mitochondria -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Membrane Insertase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Protein Insertion Into Mitochondrial Inner Membrane From Matrix -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Keratinocyte Activation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Epigenetic, Cell Cycle
GO Term: Mitochondrial Respiratory Chain Complex I Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Myosin Filament -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Kainate Selective Glutamate Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: Protein-Dna Complex Disassembly -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Cellular Anatomical Entity Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Protein-Containing Complex -> Biodomain: Proteostasis, Autophagy, DNA Repair, RNA Spliceosome, Cell Cycle
GO Term: Protein-Dna Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Oxidative Stress
GO Term: Protein-Lipid Complex -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Structural Stabilization
GO Term: Bcl3-Bcl10 Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Fc-Epsilon Receptor I Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Fc-Gamma Receptor Iii Complex -> Biodomain: Immune Response, Endolysosome, Proteostasis, Vasculature, Autophagy
GO Term: Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Regulation Of Mast Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Mast Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Mast Cell Activation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Mast Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mast Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Vasculature, Autophagy
GO Term: Paranodal Junction -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism
GO Term: Perinuclear Theca -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Tetrapyrrole Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Tetrapyrrole Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Sarcoplasmic Reticulum Membrane -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Apoptosis, Lipid Metabolism, Structural Stabilization
GO Term: Sarcoplasmic Reticulum Lumen -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Mast Cell Homeostasis -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Proteostasis
GO Term: Mast Cell Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Oxidative Stress, Endolysosome
GO Term: Regulation Of Mast Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Mast Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mast Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Myeloid Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Regulation Of Neutrophil Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Neutrophil Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Positive Regulation Of Neutrophil Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Regulation Of Myeloid Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Myeloid Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Autophagy, Proteostasis
GO Term: Positive Regulation Of Myeloid Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Polysaccharide Localization -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Immune Response, Lipid Metabolism
GO Term: Bitter Taste Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Lipid Metabolism, Epigenetic
GO Term: Sour Taste Receptor Activity -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Endolysosome, Immune Response
GO Term: Sweet Taste Receptor Activity -> Biodomain: Synapse, Endolysosome, Lipid Metabolism, Vasculature, Immune Response
GO Term: Regulation Of Organelle Organization -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Regulation Of Chromosome Organization -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Apoptosis
GO Term: Regulation Of Sister Chromatid Segregation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Directional Locomotion -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Synapse, Lipid Metabolism
GO Term: Cellular Pigmentation -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Rad51B-Rad51C-Rad51D-Xrcc2 Complex -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Rad51C-Xrcc3 Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Isoquinoline Alkaloid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: T Cell Differentiation In Thymus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Immature T Cell Proliferation In Thymus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Regulation Of T Cell Differentiation In Thymus -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Extrathymic T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Immature T Cell Proliferation In Thymus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Negative Regulation Of T Cell Differentiation In Thymus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Immature T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Immature T Cell Proliferation In Thymus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Positive Regulation Of T Cell Differentiation In Thymus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Immature T Cell Proliferation In Thymus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Weibel-Palade Body -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Cis-Golgi Network Membrane -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Mitochondrial Respiratory Chain Complex Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Endoplasmic Reticulum-Golgi Intermediate Compartment Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Rna Splicing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Rna Splicing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Acetylcholine Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Glucokinase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Peptidyl-Serine Phosphorylation -> Biodomain: Proteostasis, Epigenetic, Apoptosis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Peptidyl-Serine Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Peptidyl-Serine Phosphorylation -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle, DNA Repair
GO Term: Negative Regulation Of Peptidyl-Serine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Peptidyl-Serine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Proteostasis, Epigenetic, Cell Cycle, Apoptosis
GO Term: Nuclear Progesterone Receptor Binding -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Autophagy, Immune Response, Cell Cycle
GO Term: Regulation Of Intracellular Estrogen Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Intracellular Estrogen Receptor Signaling Pathway -> Biodomain: Proteostasis, Autophagy, Endolysosome, Epigenetic, Apoptosis
GO Term: Positive Regulation Of Intracellular Estrogen Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Ffat Motif Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Cytoskeletal Calyx -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: V(D)J Recombination -> Biodomain: Immune Response, DNA Repair, Apoptosis, Cell Cycle, Epigenetic
GO Term: Immunoglobulin V(D)J Recombination -> Biodomain: Immune Response, DNA Repair, Epigenetic, Cell Cycle, Apoptosis
GO Term: T Cell Receptor V(D)J Recombination -> Biodomain: Immune Response, DNA Repair, Epigenetic, Cell Cycle, Apoptosis
GO Term: Regulation Of Intracellular Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Melanosome Membrane -> Biodomain: Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Interphotoreceptor Matrix -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Synapse
GO Term: Calcineurin-Nfat Signaling Cascade -> Biodomain: Immune Response, Apoptosis, Synapse, Vasculature, Oxidative Stress
GO Term: Proton-Transporting V-Type Atpase Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Proton-Transporting Two-Sector Atpase Complex, Proton-Transporting Domain -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Autophagy, Proteostasis
GO Term: Proton-Transporting Two-Sector Atpase Complex, Catalytic Domain -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Proton-Transporting V-Type Atpase, V0 Domain -> Biodomain: Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Proton-Transporting V-Type Atpase, V1 Domain -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Apoptosis
GO Term: Plasma Membrane Proton-Transporting V-Type Atpase Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Dolichol-Phosphate-Mannose Synthase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Caf-1 Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Sphingomyelin Synthase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Myelination, Apoptosis
GO Term: Response To Vitamin A -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Epigenetic
GO Term: Calmodulin-Dependent Protein Phosphatase Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Response To Hydroperoxide -> Biodomain: Oxidative Stress, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Vitamin E -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Response To Atp -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, Autophagy, Proteostasis
GO Term: Ribonuclease P Rna Binding -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Meiotic Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Leptin-Mediated Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Adiponectin-Activated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Oxidative Stress, Autophagy
GO Term: Iron Import Into Cell -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Reductive Iron Assimilation -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Amide Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, APP Metabolism
GO Term: Dsrna Transport -> Biodomain: RNA Spliceosome, Endolysosome, Immune Response, Proteostasis, Autophagy
GO Term: Cysteine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Regulation Of Protein Sumoylation -> Biodomain: Proteostasis, DNA Repair, Cell Cycle, Epigenetic, Autophagy
GO Term: Negative Regulation Of Protein Sumoylation -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Protein Sumoylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Epigenetic
GO Term: I-Kappab/Nf-Kappab Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Bcl3/Nf-Kappab2 Complex -> Biodomain: Immune Response, Epigenetic, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Nuclear Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Corvet Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
