Running with TEMP=0.5, sub_array_index=16
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 15000 to 15999
GO Term: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Regulation Of Gaba-A Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Guanine Deglycation -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Autophagy, Epigenetic
GO Term: Guanine Deglycation, Methylglyoxal Removal -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Guanine Deglycation, Glyoxal Removal -> Biodomain: Oxidative Stress, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Polyamine Deacetylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Spermidine Deacetylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Regulation Of Cellular Response To Osmotic Stress -> Biodomain: Oxidative Stress, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Trna 2'-O-Methyltransferase Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Calcineurin-Mediated Signaling -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Regulation Of Cobalamin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Sumo Ligase Complex -> Biodomain: Proteostasis, Epigenetic, Autophagy, DNA Repair, Cell Cycle
GO Term: Regulation Of Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Cell Cycle, Epigenetic, Immune Response
GO Term: Positive Regulation Of Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Autophagy, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Immune Response, Autophagy, Cell Cycle
GO Term: Dolichyl Pyrophosphate Glc2Man9Glcnac2 Alpha-1,2-Glucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Apoptosis
GO Term: Aminoacyl-Trna Metabolism Involved In Translational Fidelity -> Biodomain: Proteostasis, Cellular Machinery, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Histone Succinyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: Gator1 Complex Binding -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Negative Regulation Of Cell Adhesion Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Positive Regulation Of Cell Adhesion Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Glial Cell Projection Elongation -> Biodomain: Structural Stabilization, Myelination, Synapse, Vasculature, Tau Homeostasis
GO Term: Er-Dependent Peroxisome Localization -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Ala-Trna(Thr) Deacylase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: Cold-Induced Thermogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of (R)-Mevalonic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Cell Cycle, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Sterol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Positive Regulation Of Cobalamin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic, Oxidative Stress
GO Term: Negative Regulation Of Store-Operated Calcium Entry -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Cardiac Muscle Cell Contraction -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Cardiac Muscle Cell Contraction -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ikappab Kinase Complex Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Sec61 Translocon Complex Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Symbiont Cell Surface -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: P-Tefb Complex Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Trna (M7G46) Methyltransferase Complex -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, RNA Spliceosome
GO Term: Peptidyl-Lysine 3-Dioxygenase Activity -> Biodomain: Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Peptidyl-Lysine 4-Dioxygenase Activity -> Biodomain: Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Peptidyl-Arginine 3-Dioxygenase Activity -> Biodomain: Proteostasis, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Mrna N-Acetyltransferase Activity -> Biodomain: RNA Processing, Epigenetic, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Cyclic-Gmp-Amp Hydrolase Activity -> Biodomain: Immune Response, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Inositol-5-Diphosphate-1,3,4,6-Tetrakisphosphate Diphosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Trna C3-Cytosine Methylation -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, RNA Spliceosome
GO Term: Zinc Ion Sensor Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Lncrna Binding -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, DNA Repair
GO Term: Peptide 2-Hydroxyisobutyryltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Peptidyl-Lysine Glutarylation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Peptide Glutaryltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Histone Glutaryltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, DNA Repair, Cell Cycle
GO Term: Protein Depropionylation -> Biodomain: Proteostasis, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization
GO Term: Nad-Dependent Protein-Lysine Depropionylase Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Ceramide-1-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Arachidonate 12(R)-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: L-Serine-Phosphatidylethanolamine Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Structural Stabilization, Cell Cycle
GO Term: Hydroperoxy Icosatetraenoate Isomerase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Structural Stabilization
GO Term: Hydroperoxy Icosatetraenoate Dehydratase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: L-Serine-Phosphatidylcholine Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Dna-Dna Tethering Activity -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Trna Uridine(34) Acetyltransferase Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Epigenetic, Autophagy
GO Term: 1-Acylglycerophosphoethanolamine O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Structural Stabilization, Endolysosome
GO Term: 1-Acylglycerophosphoserine O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Proteostasis
GO Term: Protein Serine Kinase Activity (Using Gtp As Donor) -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Protein Localization To Ergic -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Cytosol To Ergic Protein Transport -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Nad+-Protein-Arginine Adp-Ribosyltransferase Activity -> Biodomain: DNA Repair, Apoptosis, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Biliberdin Reductase (Nadh) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Biliverdin Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Udp-N-Acetylglucosamine Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Epigenetic
GO Term: Chenodeoxycholate 7-Alpha-Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Isoursodeoxycholate 7-Beta-Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Ursodeoxycholate 7-Beta-Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Regulation Of Deadenylation-Dependent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Deadenylation-Dependent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Superoxide-Generating Nadph Oxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Apoptosis, Autophagy
GO Term: Protein-Dna Covalent Cross-Linking Repair -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Arachidonate 5,6-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Progesterone 21-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Immune Response
GO Term: Protein Serine Kinase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Methylenetetrahydrofolate Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic, DNA Repair
GO Term: S-(Hydroxymethyl)Glutathione Dehydrogenase (Nadp+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: S-(Hydroxymethyl)Glutathione Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: L-Phenylalaine Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Sialate 9-O-Acetylesterase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Immune Response, Mitochondrial Metabolism
GO Term: Subcortical Maternal Complex -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Trna (5-Carboxymethyluridine(34)-5-O)-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, RNA Spliceosome
GO Term: Trna (Cytidine(32)/Guanosine(34)-2'-O)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Omega-Hydroxyceramide Transacylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Omega-Hydroxyceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: U2 Snrna 2'-O-Methyladenosine M6 Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Trna Surveillance -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: 2-Hydroxyacyl-Coa Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protein-Cysteine Methyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: 4-Hydroxy-3-All-Trans-Polyprenylbenzoate Oxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Protein-L-Histidine N-Pros-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: 3-Deoxyglucosone Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Deoxynucleoside Triphosphate Hydrolase Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: 2-Hydroxyphytanoyl-Coa Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 2-Hydroxy-Atp Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, DNA Repair, Oxidative Stress, Autophagy
GO Term: 2-Hydroxy-Datp Hydrolase Activity -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Damp Salvage -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Autophagy
GO Term: (3R)-3-Hydroxyacyl-Coa Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Rrna Small Subunit Aminocarboxypropyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, RNA Spliceosome, Cell Cycle
GO Term: Lewis X Epitope Biosynthetic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Immune Response
GO Term: Isoprenoid Diphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Apoptosis, Endolysosome
GO Term: Glc2Man9Glcnac2 Oligosaccharide Glucosidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Mrna Dihydrouridine Synthase Activity -> Biodomain: Structural Stabilization, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Nad-Dependent Protein Lipoamidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Nad-Dependent Protein Biotinidase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Tubulin-Tyrosine Carboxypeptidase -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Mitochondrial Metabolism
GO Term: 11-Cis-Retinol Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Dihydroorotate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: N6-Methyl-(D)Atp Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Epigenetic, Cell Cycle
GO Term: O6-Methyl-Dgtp Hydrolase Activity -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Carboxylesterase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Glutathione-Dependent Sulfide Quinone Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Protein-Glutamic Acid Ligase Activity, Initiating -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Protein-Glutamic Acid Ligase Activity, Elongating -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: L-Lysine:L-Arginine Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Regulation Of Trna Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Basolateral Protein Secretion -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Vasculature
GO Term: Regulation Of Basement Membrane Organization -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Protein Localization To P-Body -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Elastin Catabolic Process -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Oxidative Stress
GO Term: B-Wich Complex -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair
GO Term: Negative Regulation Of Cardiac Muscle Myoblast Proliferation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Structural Stabilization, Epigenetic
GO Term: Positive Regulation Of Cardiac Muscle Myoblast Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Lipid Metabolism
GO Term: Dna Strand Resection Involved In Replication Fork Processing -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Regulation Of Dna Strand Resection Involved In Replication Fork Processing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Dna Strand Resection Involved In Replication Fork Processing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Epigenetic
GO Term: Negative Regulation Of G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Autophagy, Apoptosis, Structural Stabilization
GO Term: Deaminated Glutathione Amidase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Metabolite Repair -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Actin Filament Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Positive Regulation Of Blood Vessel Endothelial Cell Differentiation -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Negative Regulation Of Blood Vessel Endothelial Cell Differentiation -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Regulation Of Angiotensin-Activated Signaling Pathway -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Angiotensin-Activated Signaling Pathway -> Biodomain: Vasculature, Signal Transduction, Immune Response, Hormonal Regulation, Cardiovascular System
GO Term: Positive Regulation Of Angiotensin-Activated Signaling Pathway -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Lncrna Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Autophagy, Cell Cycle
GO Term: Cellularization Cleavage Furrow -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Ferroptosis -> Biodomain: Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Apoptosis, Autophagy
GO Term: Negative Regulation Of Ferroptosis -> Biodomain: Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Apoptosis, Autophagy
GO Term: Vesicle-Mediated Intercellular Transport -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: Ttt Hsp90 Cochaperone Complex -> Biodomain: Proteostasis, DNA Repair, Oxidative Stress, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Placenta Blood Vessel Development -> Biodomain: Vasculature, Epigenetic, Immune Response, Apoptosis, Structural Stabilization
GO Term: Hippocampal Neuron Apoptotic Process -> Biodomain: Apoptosis, Oxidative Stress, Synapse, Structural Stabilization, Proteostasis
GO Term: Regulation Of Hippocampal Neuron Apoptotic Process -> Biodomain: Apoptosis, Neuron, Brain, Cell Death, Cell Survival
GO Term: Positive Regulation Of Hippocampal Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Hippocampal Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Cellular Detoxification Of Aldehyde -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Calcium Import Into The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Calcium Import Into The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Mrna Alternative Polyadenylation -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Very-Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Oxidative Stress
GO Term: Norrin Signaling Pathway -> Biodomain: Vasculature, Angiogenesis, Proteostasis, Structural Stabilization, Wnt Signaling Pathway
GO Term: Ubiquinone Biosynthesis Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Rna Nad+-Cap (Nad+-Forming) Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Rna Nad-Cap (Nmn-Forming) Hydrolase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Rna Decapping -> Biodomain: RNA Spliceosome, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nad-Cap Decapping -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Epigenetic, Autophagy
GO Term: Mrna Methylguanosine-Cap Decapping -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Reelin Complex -> Biodomain: Synapse, Structural Stabilization, Myelination, Lipid Metabolism, Proteostasis
GO Term: Calpain Complex -> Biodomain: Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Apical Plasma Membrane Urothelial Plaque -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism, Endolysosome
GO Term: Hinge Region Between Urothelial Plaques Of Apical Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Endolysosome, Proteostasis, Vasculature
GO Term: Negative Regulation Of Glutamatergic Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Intermembrane Lipid Transfer -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Intermembrane Phospholipid Transfer -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Intermembrane Sphingolipid Transfer -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Myelination, Autophagy
GO Term: Lipid Transfer Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Phospholipid Transfer Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Sterol Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Ceramide Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Phosphatidylcholine Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Cholesterol Transfer Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Vasculature
GO Term: Glucagon Family Peptide Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, APP Metabolism, Proteostasis, Autophagy
GO Term: Plasma Membrane Bounded Cell Projection -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Cell Cycle
GO Term: Plasma Membrane Bounded Cell Projection Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Lipid Metabolism, Vasculature
