Running with TEMP=0.9, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 3000 to 3999
GO Term: Steroid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Sensory Perception Of Chemical Stimulus -> Biodomain: Chemosensation, Synapse, Proteostasis, Immune Response, Endolysosome
GO Term: Sensory Perception Of Smell -> Biodomain: Synapse, Proteostasis, Receptor Signaling, Signal Transduction, Neuronal Signaling
GO Term: Learning Or Memory -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Learning -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Memory -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Short-Term Memory -> Biodomain: Synapse, Epigenetic, Myelination, RNA Spliceosome, Proteostasis
GO Term: Long-Term Memory -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Mating Behavior -> Biodomain: Synapse, Epigenetic, Cell Cycle, Immune Response, Proteostasis
GO Term: Mating -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Proteostasis
GO Term: Copulation -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Synapse, Cell Cycle
GO Term: Negative Regulation Of Female Receptivity -> Biodomain: Reproductive Processes, Behavioral Processes, Regulation of Biological Processes, Neurotransmission, Cell Signaling
GO Term: Rhythmic Behavior -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Circadian Rhythm -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Ultradian Rhythm -> Biodomain: Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Grooming Behavior -> Biodomain: Immune Response, Synapse, Myelination, Structural Stabilization, Oxidative Stress
GO Term: Locomotory Behavior -> Biodomain: Synapse, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Myelination
GO Term: Adult Walking Behavior -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Myelination, Proteostasis
GO Term: Jump Response -> Biodomain: Synapse, Myelination, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization
GO Term: Feeding Behavior -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Vasculature, Autophagy
GO Term: Visual Behavior -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Immune Response
GO Term: Optokinetic Behavior -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Epigenetic
GO Term: Chemosensory Behavior -> Biodomain: Synapse, Immune Response, Proteostasis, Myelination, Oxidative Stress
GO Term: Mechanosensory Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Chemokine Activity -> Biodomain: Immune Response, Cell Signaling, Inflammation, Cytokine Signaling, Cell Migration
GO Term: Beta-Catenin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Blood Circulation -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Regulation Of Heart Contraction -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Structural Stabilization, Proteostasis
GO Term: Microtubule Binding -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Synapse, Endolysosome
GO Term: G Protein-Coupled Photoreceptor Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Synaptic Vesicle -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Transcription Elongation Factor Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Cyclin/Cdk Positive Transcription Elongation Factor Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, Structural Stabilization
GO Term: Monocarboxylic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Trna Processing -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: High-Density Lipoprotein Particle Binding -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Oxidative Stress, Immune Response
GO Term: Cell Recognition -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Endolysosome
GO Term: Neuron Recognition -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Synaptic Target Recognition -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Motor Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Endolysosome
GO Term: Axon Guidance Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Enzyme Activator Activity -> Biodomain: Cell Cycle, Apoptosis, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Calcium Sensitive Guanylate Cyclase Activator Activity -> Biodomain: Calcium Signaling, Synapse, Vasculature, Apoptosis, Oxidative Stress
GO Term: Male Courtship Behavior -> Biodomain: Synapse, Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Female Courtship Behavior -> Biodomain: Synapse, Lipid Metabolism, Epigenetic, Myelination, Structural Stabilization
GO Term: Sensory Organ Boundary Specification -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Cell Cycle, Vasculature
GO Term: Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Eye Pigment Granule Organization -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Chitin Binding -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Toll Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Regulation Of Actin Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Immune Response, Proteostasis
GO Term: Establishment Of Blood-Nerve Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Myelination, Endolysosome
GO Term: Glutamate Receptor Activity -> Biodomain: Synapse, Signal Transduction, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Extracellularly Glutamate-Gated Chloride Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Ornithine Decarboxylase Inhibitor Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Proteostasis, Oxidative Stress, Autophagy
GO Term: Guanylate Cyclase Complex, Soluble -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Voltage-Gated Potassium Channel Complex -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Mitochondrial Metabolism
GO Term: Mesodermal Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Translation Termination Factor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle
GO Term: N-Acetyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Phosphoric Diester Hydrolase Activity -> Biodomain: DNA Repair, RNA Spliceosome, Apoptosis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Growth Factor Activity -> Biodomain: Vasculature, Cell Cycle, Synapse, Apoptosis, Immune Response
GO Term: Axo-Dendritic Transport -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Anterograde Axonal Transport -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy, Tau Homeostasis
GO Term: Retrograde Axonal Transport -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Spectrin -> Biodomain: Structural Stabilization, Synapse, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Cytoskeletal Protein Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Cytoskeletal Anchor Activity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Apoptosis
GO Term: Atp-Dependent Activity, Acting On Dna -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Structural Stabilization
GO Term: 5S Rrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Proteostasis
GO Term: Protein Localization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Synapse
GO Term: Alcohol Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Galactoside 2-Alpha-L-Fucosyltransferase Activity -> Biodomain: Lipid Metabolism, Immune Response, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Udp-Glucose:Hexose-1-Phosphate Uridylyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: N-Acetyllactosaminide Beta-1,6-N-Acetylglucosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Alpha-Methylacyl-Coa Racemase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Nicotinamide N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Peptide-Methionine (S)-S-Oxide Reductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Sarcosine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Prostaglandin-I Synthase Activity -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Sphinganine-1-Phosphate Aldolase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: N-Acetyllactosaminide Alpha-2,3-Sialyltransferase Activity -> Biodomain: Glycosylation, Proteostasis, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Thiopurine S-Methyltransferase Activity -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Ceramide Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Apoptosis, Autophagy
GO Term: Quinol-Cytochrome-C Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Cholesterol 7-Alpha-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: 4-Alpha-Hydroxytetrahydrobiopterin Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Acetylesterase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Epigenetic, Proteostasis
GO Term: Quercetin 2,3-Dioxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response, Lipid Metabolism
GO Term: Primary Methylamine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Transcription Factor Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Translation Factor Activity, Rna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Nadh Dehydrogenase (Ubiquinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Protein Tyrosine/Serine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress, Autophagy
GO Term: Nuclear Localization Sequence Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Epigenetic, Synapse, Cell Cycle, Immune Response, Apoptosis
GO Term: Oxysterol Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Immune Response
GO Term: Poly(A) Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Myelination, Oxidative Stress
GO Term: Structural Constituent Of Bone -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Biological Process -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Actin Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Protein Phosphatase 1 Binding -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Synapse, Autophagy
GO Term: Hedgehog Receptor Activity -> Biodomain: Signal Transduction, Receptors, Cell Cycle, Cell Differentiation, Developmental Biology
GO Term: Protein Tyrosine Phosphatase Activator Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Structural Stabilization
GO Term: Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Lipid Metabolism, Oxidative Stress
GO Term: C-Methyltransferase Activity -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, RNA Spliceosome, Cell Cycle
GO Term: N-Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: O-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, DNA Repair
GO Term: S-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, RNA Spliceosome
GO Term: Rna Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, DNA Repair
GO Term: Mrna Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, DNA Repair
GO Term: Trna Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Trna (Guanine(46)-N7)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Succinate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Apoptosis
GO Term: Adenylate Cyclase Binding -> Biodomain: Synapse, Vasculature, Immune Response, Cell Cycle, Myelination
GO Term: Cop9 Signalosome -> Biodomain: Proteostasis, Autophagy, Cell Cycle, DNA Repair, Epigenetic
GO Term: Glycogen Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Atp-Dependent Activity, Acting On Rna -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Poly-Pyrimidine Tract Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Neuropeptide Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Autophagy, Vasculature
GO Term: Eukaryotic Initiation Factor 4E Binding -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Oxidative Stress, Apoptosis
GO Term: Metalloendopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Rna Guanylyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Autophagy, Mitochondrial Metabolism
GO Term: Trna Guanylyltransferase Activity -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization, Epigenetic, Mitochondrial Metabolism
GO Term: Udp-Glycosyltransferase Activity -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Phosphatidate Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Ferrous Iron Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ferric Iron Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Ion Channel Inhibitor Activity -> Biodomain: Synapse, Vasculature, Myelination, Oxidative Stress, Immune Response
GO Term: Heparin Binding -> Biodomain: Vasculature, Immune Response, Structural Stabilization, APP Metabolism, Tau Homeostasis
GO Term: Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Bile Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Metabolic Signaling
GO Term: C21-Steroid Hormone Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Androgen Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Estrogen Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Glucocorticoid Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Epigenetic
GO Term: Spermine Metabolic Process -> Biodomain: Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis
GO Term: Spermidine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Blood Pressure -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic, Immune Response
GO Term: Cell Death -> Biodomain: Apoptosis, Autophagy, Oxidative Stress, Proteostasis, Endolysosome
GO Term: G Protein-Coupled Amine Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Opsonization -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Cysteine-Type Peptidase Activity -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Cell Cycle, Autophagy
GO Term: Metalloexopeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Serine-Type Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Metallopeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: Exopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Dipeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Tripeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Peptidyl-Dipeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Metal Binding and Homeostasis
GO Term: Omega Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, Endolysosome
GO Term: 1-Alkyl-2-Acetylglycerophosphocholine Esterase Complex -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Proteostasis, Oxidative Stress
GO Term: Oligosaccharyltransferase Complex -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Immune Response, Cell Cycle
GO Term: Trna-Specific Adenosine Deaminase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Nucleotidase Activity -> Biodomain: DNA Repair, Cell Cycle, Autophagy, Endolysosome, Lipid Metabolism
GO Term: 5'-Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Autophagy
GO Term: 3'-Nucleotidase Activity -> Biodomain: Metal Binding and Homeostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Succinyl-Coa:3-Oxo-Acid Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Pyrimidine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Molybdenum Cofactor Sulfurtransferase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Poly(U) Rna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Jak Pathway Signal Transduction Adaptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Zinc Ion Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, DNA Repair, Epigenetic
GO Term: Secondary Active Sulfate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Calcium, Potassium:Sodium Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Oxidative Stress, Apoptosis
GO Term: Gamma-Tubulin Small Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Tau Homeostasis, Synapse
GO Term: Protein Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Proteostasis, Synapse, Immune Response, Lipid Metabolism, Vasculature
GO Term: Cohesin Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Sulfonylurea Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Inward Rectifying Potassium Channel -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Myelination, Structural Stabilization
GO Term: Cell Population Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Autophagy, DNA Repair
GO Term: Positive Regulation Of Cell Population Proliferation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Cell Population Proliferation -> Biodomain: Apoptosis, Cell Cycle, DNA Repair, Autophagy, Oxidative Stress
GO Term: Insulin Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Protein Serine/Threonine Phosphatase Complex -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle
GO Term: Lipid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Myelination, Synapse
GO Term: F-Actin Capping Protein Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Acetylcholine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress
GO Term: Calcium- And Calmodulin-Responsive Adenylate Cyclase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Spermidine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: 3'-5'-Dna Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Oxidative Stress
GO Term: Single-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Metal Binding and Homeostasis, Epigenetic
GO Term: Intracellular Mrna Localization -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Cell Cycle, Immune Response
GO Term: Isoprenoid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Dna Binding, Bending -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Structural Stabilization
GO Term: Caspase Complex -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Integrin Complex -> Biodomain: Structural Stabilization, Apoptosis, Immune Response, Vasculature, Cell Cycle
GO Term: Associative Learning -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Structural Constituent Of Muscle -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Voltage-Gated Monoatomic Anion Channel Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis, Oxidative Stress, Synapse
GO Term: Double-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Single-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Double-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Mitochondrial Metabolism, Cell Cycle
GO Term: 7S Rna Binding -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Endolysosome, Autophagy
GO Term: G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Protein Prenyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization
GO Term: Protein Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, APP Metabolism, Endolysosome, Structural Stabilization
GO Term: Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Synapse, Mitochondrial Metabolism, Vasculature
