Running with TEMP=0.0, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 1500 to 1999
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Unknown
GO Term: Phosphorylase Kinase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Camp-Dependent Protein Kinase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Cgmp-Dependent Protein Kinase Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Unknown
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Eukaryotic Translation Initiation Factor 2Alpha Kinase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Diacylglycerol-Dependent Serine/Threonine Kinase Activity -> Biodomain: Synapse, Lipid Metabolism, Autophagy, Proteostasis, Epigenetic
GO Term: Calcium,Diacylglycerol-Dependent Serine/Threonine Kinase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Diacylglycerol-Dependent, Calcium-Independent Serine/Threonine Kinase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Epigenetic, Unknown
GO Term: G Protein-Coupled Receptor Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: Jun Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Jun Kinase Kinase Kinase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Map Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Map Kinase Kinase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Map Kinase Kinase Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Ribosomal Protein S6 Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Unknown
GO Term: Protein Serine/Threonine/Tyrosine Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Apoptosis
GO Term: Protein Tyrosine Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Immune Response
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Unknown
GO Term: Non-Membrane Spanning Protein Tyrosine Kinase Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Immune Response, Epigenetic
GO Term: Protein-L-Isoaspartate (D-Aspartate) O-Methyltransferase Activity -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Apoptosis, Autophagy
GO Term: Protein-Lysine 6-Oxidase Activity -> Biodomain: Structural Stabilization, Oxidative Stress, Proteostasis, Synapse, Unknown
GO Term: Phosphoprotein Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Protein Serine/Threonine Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Unknown, Autophagy
GO Term: Calcium-Dependent Protein Serine/Threonine Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Epigenetic, Metal Binding and Homeostasis
GO Term: Protein Tyrosine Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Non-Membrane Spanning Protein Tyrosine Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Immune Response, Autophagy
GO Term: Oxygen-Dependent Protoporphyrinogen Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Synapse, Proteostasis, Lipid Metabolism
GO Term: Purine-Nucleoside Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism, Oxidative Stress
GO Term: Pyridoxamine Phosphate Oxidase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Unknown
GO Term: Pyrroline-5-Carboxylate Reductase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Unknown
GO Term: Pyruvate Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Synapse, Proteostasis
GO Term: Pyruvate Dehydrogenase (Acetyl-Transferring) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Pyruvate Dehydrogenase (Acetyl-Transferring) Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: [Pyruvate Dehydrogenase (Acetyl-Transferring)]-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Dihydrolipoyllysine-Residue Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Pyruvate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: All-Trans-Retinol Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse, Mitochondrial Metabolism
GO Term: Ribokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Ribonucleoside-Diphosphate Reductase Activity, Thioredoxin Disulfide As Acceptor -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, DNA Repair, Epigenetic, Cell Cycle
GO Term: Ribose Phosphate Diphosphokinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: D-Ribulose-Phosphate 3-Epimerase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Ribose-5-Phosphate Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Unknown
GO Term: Saccharopine Dehydrogenase Activity -> Biodomain: Unknown, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Saccharopine Dehydrogenase (Nad+, L-Lysine-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Unknown
GO Term: Selenide, Water Dikinase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Sepiapterin Reductase (Nadp+) Activity -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Serine C-Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Structural Stabilization
GO Term: L-Serine-Pyruvate Transaminase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Synapse
GO Term: Spermidine Synthase Activity -> Biodomain: Synapse, Autophagy, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Sphingomyelin Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Autophagy, Apoptosis
GO Term: Stearoyl-Coa 9-Desaturase Activity -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Steroid Delta-Isomerase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Sterol Ester Esterase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Autophagy, Proteostasis
GO Term: Sterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Steryl-Sulfatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Epigenetic, Synapse
GO Term: Succinate-Coa Ligase (Adp-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Unknown
GO Term: Succinate-Coa Ligase (Gdp-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Succinate-Semialdehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Succinyl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Sulfate Adenylyltransferase (Atp) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Sulfinoalanine Decarboxylase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Synapse
GO Term: Superoxide Dismutase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Proteostasis
GO Term: Thiamine Diphosphokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Thioether S-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Synapse, Metal Binding and Homeostasis
GO Term: Thioredoxin-Disulfide Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Mitochondrial Metabolism, Apoptosis
GO Term: Thiosulfate-Cyanide Sulfurtransferase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Unknown
GO Term: Threonine Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Unknown
GO Term: Threonine Synthase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Unknown
GO Term: Thromboxane-A Synthase Activity -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Thymidine Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Unknown, Mitochondrial Metabolism
GO Term: Dtmp Kinase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy, DNA Repair
GO Term: Thymidylate Synthase Activity -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Thyroxine 5'-Deiodinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Epigenetic
GO Term: Transaldolase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Transketolase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Epigenetic
GO Term: Transposase Activity -> Biodomain: Epigenetic, DNA Repair, Unknown, Proteostasis, Cell Cycle
GO Term: Triacylglycerol Lipase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Triose-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Cca Trna Nucleotidyltransferase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Synapse, Epigenetic, Unknown
GO Term: Aminoacyl-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Mitochondrial Metabolism
GO Term: Alanine-Trna Ligase Activity -> Biodomain: Proteostasis,Synapse,Unknown,Epigenetic,RNA Spliceosome
GO Term: Arginine-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, Unknown, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Aspartate-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, RNA Spliceosome, Unknown
GO Term: Asparagine-Trna Ligase Activity -> Biodomain: Proteostasis, Epigenetic, Synapse, Cell Cycle, Unknown
GO Term: Cysteine-Trna Ligase Activity -> Biodomain: Proteostasis,Synapse,Unknown,Metal Binding and Homeostasis,Lipid Metabolism
GO Term: Glutamate-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, Unknown, Autophagy
GO Term: Glutamine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, RNA Spliceosome, Unknown
GO Term: Glycine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Unknown
GO Term: Histidine-Trna Ligase Activity -> Biodomain: Proteostasis,Synapse,Unknown,RNA Spliceosome,Epigenetic
GO Term: Isoleucine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Mitochondrial Metabolism, Unknown
GO Term: Leucine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Autophagy, Unknown
GO Term: Lysine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, Unknown, Endolysosome
GO Term: Methionine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Phenylalanine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Cell Cycle, Unknown
GO Term: Proline-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, RNA Spliceosome, Unknown
GO Term: Serine-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, RNA Spliceosome, Unknown
GO Term: Threonine-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Unknown, Epigenetic
GO Term: Tryptophan-Trna Ligase Activity -> Biodomain: Proteostasis, Unknown, Immune Response, Epigenetic, Synapse
GO Term: Tyrosine-Trna Ligase Activity -> Biodomain: Proteostasis, Unknown, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Valine-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, Unknown, Mitochondrial Metabolism, Oxidative Stress
GO Term: Tryptophan 2,3-Dioxygenase Activity -> Biodomain: Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Proteostasis, Synapse
GO Term: Tubulin-Tyrosine Ligase Activity -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Unknown
GO Term: L-Tyrosine-2-Oxoglutarate Transaminase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Ubiquitin Activating Enzyme Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, Autophagy, Oxidative Stress
GO Term: Ubiquitin-Protein Transferase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Apoptosis, Endolysosome
GO Term: Cysteine-Type Deubiquitinase Activity -> Biodomain: Proteostasis,Synapse,Autophagy,Epigenetic,Apoptosis
GO Term: Uracil Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Unknown, Proteostasis, Synapse
GO Term: Uridine Kinase Activity -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Uridine Phosphorylase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Unknown
GO Term: Uroporphyrinogen-Iii Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Unknown
GO Term: Uroporphyrinogen Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Unknown
GO Term: Xanthine Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Unknown
GO Term: Xanthine Oxidase Activity -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism, Unknown
GO Term: D-Xylulokinase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Synapse
GO Term: Enzyme Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Phospholipase Inhibitor Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Protein Kinase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Inhibitor Activity -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Synapse, Unknown
GO Term: Camp-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Protein Phosphatase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Apoptosis
GO Term: Protein Serine/Threonine Phosphatase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Unknown
Saved results to: Experiment/DeepSeek/01-Reference_free/05-FXS/Unknown_Temp_0.0/go_biodomain_results_part_4.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/05-FXS/Unknown_Temp_0.0/runtime_log.csv
