Running with TEMP=0.1, sub_array_index=14
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Apoptosis
GO Term: Interleukin-35-Mediated Signaling Pathway -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Pre-Snornp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Nuclear Pore Transmembrane Ring -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Gamma-Secretase Complex -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Synapse, Apoptosis
GO Term: Pas Complex -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Protein-N-Terminal Glutamine Amidohydrolase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Moz/Morf Histone Acetyltransferase Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: D-Aspartate Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: L-Aspartate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: D-Aspartate Import Across Plasma Membrane -> Biodomain: Transport, Amino Acid Metabolism, Cell Membrane, Small Molecule Transport, Neurotransmitter Regulation
GO Term: Dihydrosphingosine-1-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Response To Biotin -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Phosphatidylserine Exposure On Apoptotic Cell Surface -> Biodomain: Apoptosis, Lipid Metabolism, Structural Stabilization, Immune Response, Proteostasis
GO Term: Hydrogen Sulfide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Hydrogen Sulfide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Peptidyl-Lysine 5-Dioxygenase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Mitochondrial Metabolism
GO Term: Tertiary Granule -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Tertiary Granule Membrane -> Biodomain: Immune Response, Structural Stabilization, Metal Binding and Homeostasis, Endolysosome, Proteostasis
GO Term: Sin3-Type Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Paraferritin Complex -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Heterochromatin Organization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Bicellular Tight Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Basement Membrane Assembly -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Endolysosome
GO Term: Chromium Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Caveola Assembly -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Vasculature, Proteostasis
GO Term: Dehydroascorbic Acid Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Dynein Complex Binding -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Endolysosome, Synapse
GO Term: Inclusion Body Assembly -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Aggresome Assembly -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Polyubiquitinated Misfolded Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Core Mediator Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, RNA Spliceosome, Proteostasis
GO Term: Response To Growth Factor -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism, Vasculature
GO Term: Response To Epidermal Growth Factor -> Biodomain: Cell Cycle, Vasculature, Apoptosis, Immune Response, Endolysosome
GO Term: Growth Factor Receptor Binding -> Biodomain: Signal Transduction, Cell Differentiation, Cell Proliferation, Tissue Morphogenesis, Cell Survival
GO Term: Cell Body Fiber -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Lipid Metabolism
GO Term: Myosin Vi Binding -> Biodomain: Structural Stabilization, Endolysosome, Synapse, Autophagy, Proteostasis
GO Term: Myosin Vi Light Chain Binding -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Bile Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Bile Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Bile Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Rna Polymerase I Core Factor Complex -> Biodomain: Epigenetic, Structural Stabilization, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Protein Exit From Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Regulation Of Glycogen Metabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Soss Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Apoptosis
GO Term: Microprocessor Complex -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Epigenetic, Autophagy, Proteostasis
GO Term: Primary Mirna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Apoptosis, Autophagy, Cell Cycle
GO Term: Pre-Mirna Binding -> Biodomain: Epigenetic, RNA Spliceosome, Autophagy, Apoptosis, Cell Cycle
GO Term: Regulation Of Calcineurin-Nfat Signaling Cascade -> Biodomain: Immune Response, Apoptosis, Metal Binding and Homeostasis, Synapse, Structural Stabilization
GO Term: Negative Regulation Of Calcineurin-Nfat Signaling Cascade -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Vasculature
GO Term: Positive Regulation Of Calcineurin-Nfat Signaling Cascade -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Synapse
GO Term: E-Box Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Synapse
GO Term: Platelet Alpha Granule Organization -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Immune Response
GO Term: Lipoteichoic Acid Binding -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Lipoteichoic Acid Immune Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Transcription Preinitiation Complex Assembly -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Rna Polymerase Iii Preinitiation Complex Assembly -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Mitochondrial Trna Wobble Uridine Modification -> Biodomain: Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress
GO Term: Mitochondrial Trna Modification -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Autophagy, Metal Binding and Homeostasis
GO Term: Mitochondrial Trna Methylation -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, RNA Spliceosome, Proteostasis, Oxidative Stress
GO Term: Mitochondrial Trna Pseudouridine Synthesis -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Serine Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Synapse
GO Term: Global Genome Nucleotide-Excision Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Uv-Damage Excision Repair -> Biodomain: DNA Repair, Proteostasis, Apoptosis, Cell Cycle, Epigenetic
GO Term: Lysophosphatidic Acid Receptor Activity -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Regulation Of Regulatory Ncrna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, DNA Repair
GO Term: Regulation Of Sirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: Risc Complex Assembly -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Cell Cycle
GO Term: Organelle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Golgi-Associated Vesicle Lumen -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Crd-Mediated Mrna Stabilization -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: 3'-Utr-Mediated Mrna Stabilization -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Protein K48-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Crd-Mediated Mrna Stability Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Contractile Ring -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Dsl1/Nzr Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Neutrophil-Mediated Killing Of Bacterium -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Structural Stabilization, Apoptosis
GO Term: Neutrophil-Mediated Killing Of Gram-Negative Bacterium -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Neutrophil-Mediated Killing Of Gram-Positive Bacterium -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Neutrophil-Mediated Killing Of Fungus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of Neutrophil Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Neutrophil Mediated Killing Of Gram-Negative Bacterium -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Neutrophil Mediated Killing Of Gram-Negative Bacterium -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Neutrophil Mediated Killing Of Fungus -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Nuclear-Transcribed Mrna Catabolic Process, No-Go Decay -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Apoptosis
GO Term: Endoplasmic Reticulum Exit Site -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Protein Localization To Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Protein Localization To Endoplasmic Reticulum Exit Site -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Pou Domain Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Fha Domain Binding -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Apoptosis, Epigenetic
GO Term: Tir Domain Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Bone Maturation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Protein K11-Linked Ubiquitination -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Structural Stabilization
GO Term: L-Asparagine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: L-Asparagine Metabolic Process -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Transcription Factor Tfiik Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Left/Right Axis Specification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Synapse
GO Term: Error-Free Translesion Synthesis -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Demethylation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Oxidative Demethylation -> Biodomain: Oxidative Stress, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Snrnp Binding -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Medium-Chain Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Detection Of Oxidative Stress -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Proteostasis, Autophagy
GO Term: Type 1 Melanocortin Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Cell Cycle, Mitochondrial Metabolism
GO Term: Response To Magnetism -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: U4/U6 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, DNA Repair
GO Term: U4Atac/U6Atac Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: U2-Type Prespliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: U2-Type Precatalytic Spliceosome -> Biodomain: RNA Spliceosome, Structural Stabilization, Epigenetic, DNA Repair, Proteostasis
GO Term: U2-Type Catalytic Step 1 Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: U2-Type Catalytic Step 2 Spliceosome -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: U2-Type Post-Mrna Release Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, DNA Repair
GO Term: Precatalytic Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Catalytic Step 2 Spliceosome -> Biodomain: RNA Spliceosome, RNA Processing, Protein-RNA Complex, mRNA Splicing, Gene Expression
GO Term: Post-Mrna Release Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Post-Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: U2-Type Post-Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: Rna Surveillance -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Nuclear Rna Surveillance -> Biodomain: RNA Spliceosome, Endolysosome, DNA Repair, Epigenetic, Proteostasis
GO Term: Nuclear Mrna Surveillance -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Nuclear Mrna Surveillance Of Mrna 3'-End Processing -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Apoptosis
GO Term: Cut Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Endolysosome, Autophagy, Proteostasis
GO Term: Nuclear Polyadenylation-Dependent Rrna Catabolic Process -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, Epigenetic, Apoptosis
GO Term: Nuclear Polyadenylation-Dependent Snorna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Endolysosome
GO Term: Nuclear Polyadenylation-Dependent Snrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Tramp-Dependent Trna Surveillance Pathway -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Apoptosis
GO Term: Nuclear Polyadenylation-Dependent Cut Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Nuclear Polyadenylation-Dependent Antisense Transcript Catabolic Process -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Apoptosis
GO Term: Nuclear Polyadenylation-Dependent Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Histone Mrna Catabolic Process -> Biodomain: Epigenetic, Cell Cycle, Endolysosome, Autophagy, Proteostasis
GO Term: Nuclear Histone Mrna Catabolic Process -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, RNA Spliceosome
GO Term: Poly(A)-Dependent Snorna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Alphav-Beta3 Integrin-Vitronectin Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Alpha9-Beta1 Integrin-Vascular Cell Adhesion Molecule-1 Complex -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Synapse
GO Term: Regulation Of Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Eukaryotic Initiation Factor Eif2 Binding -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Autophagy, Immune Response
GO Term: Dna Conformation Change -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Response To Interleukin-9 -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Response To Interleukin-11 -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Response To Parathyroid Hormone -> Biodomain: Metal Binding and Homeostasis, Apoptosis, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Protein K48-Linked Deubiquitination -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Superior Temporal Gyrus Development -> Biodomain: Synapse, Cell Cycle, Apoptosis, Structural Stabilization, Myelination
GO Term: Alpha9-Beta1 Integrin-Adam8 Complex -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Vasculature, Cell Cycle
GO Term: Resolution Of Dna Recombination Intermediates -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Resolution Of Mitotic Recombination Intermediates -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Smad Protein Complex -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Homomeric Smad Protein Complex -> Biodomain: Signaling, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Heteromeric Smad Protein Complex -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Nf-Kappab Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, DNA Repair
GO Term: Cmg Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Dna Replication Preinitiation Complex Assembly -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Rna Cap Trimethylguanosine Synthase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Proteostasis, Autophagy
GO Term: Ribonucleoprotein Complex Localization -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Protein Localization To Chromatin -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Establishment Of Protein Localization To Chromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Kv4.2-Kchip2 Channel Complex -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Kv4.3-Kchip1 Channel Complex -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Wash Complex -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Synapse
GO Term: Histone Pre-Mrna 3'End Processing Complex -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Protein Localization To Juxtaparanode Region Of Axon -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Lipid Metabolism
GO Term: Establishment Of Protein Localization To Juxtaparanode Region Of Axon -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Cell Cycle
GO Term: Histone Pre-Mrna Stem-Loop Binding -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Cell Cycle, Proteostasis
GO Term: Histone Pre-Mrna Dcp Binding -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: U7 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Protein Targeting To Vacuole Involved In Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cellular Response To External Biotic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Cellular Response To Misfolded Protein -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Cellular Response To Molecule Of Bacterial Origin -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Cellular Response To Bacterial Lipopeptide -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Cellular Response To Lipopolysaccharide -> Biodomain: Immune Response, Endolysosome, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Lipoteichoic Acid -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Cellular Response To Peptidoglycan -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Muramyl Dipeptide -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cellular Response To Molecule Of Fungal Origin -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Cellular Response To Tumor Cell -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Vasculature
GO Term: Cellular Response To Amino Acid Stimulus -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Cellular Response To Folic Acid -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Cellular Response To L-Leucine -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Cellular Response To Antibiotic -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Cellular Response To Food -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Cellular Response To Ammonium Ion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Arsenic-Containing Substance -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis, Metal Binding and Homeostasis
GO Term: Cellular Response To Carbon Dioxide -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cellular Response To Metal Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Connexin Binding -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Autophagy
GO Term: Cytoplasmic U Snrnp Body -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Cellular Response To Electrical Stimulus -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Cellular Response To Magnetism -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
GO Term: Cellular Response To Mechanical Stimulus -> Biodomain: Vasculature, Structural Stabilization, Synapse, Proteostasis, Cell Cycle
GO Term: Ssh1 Translocon Complex -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Translational Initiation In Response To Starvation -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: 'De Novo' L-Methionine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: L-Methionine Salvage -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Cellular Response To Aluminum Ion -> Biodomain: Oxidative Stress, Apoptosis, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Cellular Response To Cadmium Ion -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, DNA Repair
GO Term: Cellular Response To Calcium Ion -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Apoptosis, Oxidative Stress
