Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 3000 to 3999
GO Term: Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Mating Behavior -> Biodomain: Unknown, Synapse, Cell Cycle, Epigenetic, Immune Response
GO Term: Mating -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, DNA Repair, Lipid Metabolism
GO Term: Copulation -> Biodomain: Unknown, Epigenetic, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Female Receptivity -> Biodomain: Reproductive Behavior, Epigenetic, Synapse, Proteostasis, Unknown
GO Term: Rhythmic Behavior -> Biodomain: Epigenetic, Synapse, Unknown, Oxidative Stress, Proteostasis
GO Term: Circadian Rhythm -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Ultradian Rhythm -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Grooming Behavior -> Biodomain: Immune Response, Structural Stabilization, Oxidative Stress, Autophagy, Proteostasis
GO Term: Locomotory Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Adult Walking Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Jump Response -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Feeding Behavior -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Visual Behavior -> Biodomain: Synapse, Myelination, Structural Stabilization, Mitochondrial Metabolism, Vasculature
GO Term: Optokinetic Behavior -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Oxidative Stress
GO Term: Chemosensory Behavior -> Biodomain: Synapse, Immune Response, Vasculature, Oxidative Stress, Unknown
GO Term: Mechanosensory Behavior -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Unknown
GO Term: Chemokine Activity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Beta-Catenin Binding -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Blood Circulation -> Biodomain: Vasculature, Immune Response, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Regulation Of Heart Contraction -> Biodomain: Vasculature, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Microtubule Binding -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Synapse, Proteostasis
GO Term: G Protein-Coupled Photoreceptor Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Synaptic Vesicle -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Transcription Elongation Factor Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, RNA Spliceosome, DNA Repair
GO Term: Cyclin/Cdk Positive Transcription Elongation Factor Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, RNA Spliceosome
GO Term: Monocarboxylic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Synapse, Immune Response
GO Term: Trna Processing -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Epigenetic, Unknown
GO Term: High-Density Lipoprotein Particle Binding -> Biodomain: Lipid Metabolism, Endolysosome, Immune Response, Proteostasis, Vasculature
GO Term: Cell Recognition -> Biodomain: Immune Response, Synapse, Endolysosome, Vasculature, Proteostasis
GO Term: Neuron Recognition -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Unknown
GO Term: Synaptic Target Recognition -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Motor Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Axon Guidance Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Vasculature
GO Term: Enzyme Activator Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Calcium Sensitive Guanylate Cyclase Activator Activity -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Male Courtship Behavior -> Biodomain: Synapse, Unknown, Unknown, Unknown, Unknown
GO Term: Female Courtship Behavior -> Biodomain: Synapse, Epigenetic, Myelination, Structural Stabilization, Unknown
GO Term: Sensory Organ Boundary Specification -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Unknown
GO Term: Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Eye Pigment Granule Organization -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Chitin Binding -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Endolysosome, Unknown
GO Term: Toll Signaling Pathway -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Endolysosome
GO Term: Regulation Of Actin Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Establishment Of Blood-Nerve Barrier -> Biodomain: Vasculature, Structural Stabilization, Myelination, Immune Response, Lipid Metabolism
GO Term: Glutamate Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Extracellularly Glutamate-Gated Chloride Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: Ornithine Decarboxylase Inhibitor Activity -> Biodomain: Oxidative Stress, Apoptosis, Epigenetic, Proteostasis, Cell Cycle
GO Term: Guanylate Cyclase Complex, Soluble -> Biodomain: Vasculature, Synapse, Oxidative Stress, Metal Binding and Homeostasis, Immune Response
GO Term: Voltage-Gated Potassium Channel Complex -> Biodomain: Synapse, Structural Stabilization, Vasculature, Oxidative Stress, Unknown
GO Term: Mesodermal Cell Migration -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Epigenetic
GO Term: Translation Termination Factor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Unknown, Autophagy, Cell Cycle
GO Term: N-Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Cell Cycle, Unknown
GO Term: Phosphoric Diester Hydrolase Activity -> Biodomain: DNA Repair, RNA Spliceosome, Epigenetic, Proteostasis, Autophagy
GO Term: Growth Factor Activity -> Biodomain: Cell Cycle, Immune Response, Vasculature, Structural Stabilization, Synapse
GO Term: Axo-Dendritic Transport -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Anterograde Axonal Transport -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Retrograde Axonal Transport -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Endolysosome
GO Term: Spectrin -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Endolysosome
GO Term: Cytoskeletal Protein Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Cytoskeletal Anchor Activity -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Atp-Dependent Activity, Acting On Dna -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: 5S Rrna Binding -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Protein Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Alcohol Dehydrogenase (Nadp+) Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Proteostasis
GO Term: Galactoside 2-Alpha-L-Fucosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Endolysosome, Autophagy
GO Term: Udp-Glucose:Hexose-1-Phosphate Uridylyltransferase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: N-Acetyllactosaminide Beta-1,6-N-Acetylglucosaminyltransferase Activity -> Biodomain: Glycosylation, Lipid Metabolism, Cell Surface, Immune Response, Endolysosome
GO Term: Alpha-Methylacyl-Coa Racemase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Nicotinamide N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Peptide-Methionine (S)-S-Oxide Reductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Sarcosine Oxidase Activity -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Prostaglandin-I Synthase Activity -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Sphinganine-1-Phosphate Aldolase Activity -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: N-Acetyllactosaminide Alpha-2,3-Sialyltransferase Activity -> Biodomain: Glycosylation, Immune Response, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Thiopurine S-Methyltransferase Activity -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Ceramide Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Quinol-Cytochrome-C Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Cholesterol 7-Alpha-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: 4-Alpha-Hydroxytetrahydrobiopterin Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Unknown
GO Term: Acetylesterase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Quercetin 2,3-Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Unknown
GO Term: Primary Methylamine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Proteostasis
GO Term: Transcription Factor Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Apoptosis
GO Term: Translation Factor Activity, Rna Binding -> Biodomain: Protein Synthesis, Transcription Regulation, RNA Processing, Gene Expression, DNA Repair
GO Term: Nadh Dehydrogenase (Ubiquinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Protein Tyrosine/Serine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Nuclear Localization Sequence Binding -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Epigenetic, Synapse, Cell Cycle, Immune Response, Autophagy
GO Term: Oxysterol Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Immune Response, Proteostasis
GO Term: Poly(A) Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Unknown
GO Term: Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Structural Constituent Of Bone -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis
GO Term: Biological Process -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Autophagy, Proteostasis
GO Term: Actin Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Negative Regulation Of Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Protein Phosphatase 1 Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Hedgehog Receptor Activity -> Biodomain: Cell Cycle, Lipid Metabolism, Vasculature, Immune Response, Apoptosis
GO Term: Protein Tyrosine Phosphatase Activator Activity -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Oxidative Stress, Epigenetic
GO Term: Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Metal Binding and Homeostasis, Autophagy
GO Term: C-Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Tau Homeostasis, Mitochondrial Metabolism, APP Metabolism
GO Term: O-Methyltransferase Activity -> Biodomain: Epigenetic,Lipid Metabolism,RNA Spliceosome,DNA Repair,Mitochondrial Metabolism
GO Term: S-Methyltransferase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Rna Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Mrna Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Unknown
GO Term: Trna Methyltransferase Activity -> Biodomain: Epigenetic,Unknown,Unknown,Unknown,Unknown
GO Term: Trna (Guanine(46)-N7)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Unknown
GO Term: Succinate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Adenylate Cyclase Binding -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Apoptosis, Epigenetic
GO Term: Cop9 Signalosome -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Epigenetic, DNA Repair
GO Term: Glycogen Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Unknown
GO Term: Atp-Dependent Activity, Acting On Rna -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Unknown
GO Term: Poly-Pyrimidine Tract Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Neuropeptide Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Epigenetic, Proteostasis
GO Term: Eukaryotic Initiation Factor 4E Binding -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Epigenetic, Apoptosis
GO Term: Metalloendopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Rna Guanylyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Unknown
GO Term: Trna Guanylyltransferase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Metal Binding and Homeostasis, Unknown
GO Term: Udp-Glycosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Phosphatidate Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Ferrous Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Ferric Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Ion Channel Inhibitor Activity -> Biodomain: Synapse, Immune Response, Metal Binding and Homeostasis, Vasculature, Myelination
GO Term: Heparin Binding -> Biodomain: Vasculature, Immune Response, APP Metabolism, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Epigenetic
GO Term: Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Bile Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: C21-Steroid Hormone Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Androgen Metabolic Process -> Biodomain: Steroid Metabolism, Hormone Metabolism, Lipid Metabolism, Endocrine System, Small Molecule Biochemistry
GO Term: Estrogen Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Glucocorticoid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Spermine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Spermidine Metabolic Process -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Blood Pressure -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Synapse, Immune Response
GO Term: Cell Death -> Biodomain: Apoptosis, Cell Death, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: G Protein-Coupled Amine Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Oxidative Stress
GO Term: Opsonization -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Cysteine-Type Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Metalloexopeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy, Unknown
GO Term: Serine-Type Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Metallopeptidase Activity -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Metal Binding and Homeostasis, Autophagy
GO Term: Exopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Dipeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Tripeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Peptidyl-Dipeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Omega Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Unknown, Immune Response
GO Term: 1-Alkyl-2-Acetylglycerophosphocholine Esterase Complex -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Proteostasis, Oxidative Stress
GO Term: Oligosaccharyltransferase Complex -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Trna-Specific Adenosine Deaminase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome
GO Term: 5'-Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response, DNA Repair, Vasculature
GO Term: 3'-Nucleotidase Activity -> Biodomain: DNA Repair, Endolysosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Succinyl-Coa:3-Oxo-Acid Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pyrimidine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Molybdenum Cofactor Sulfurtransferase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Poly(U) Rna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Endolysosome, Autophagy, Immune Response
GO Term: Jak Pathway Signal Transduction Adaptor Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Zinc Ion Binding -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Secondary Active Sulfate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Calcium, Potassium:Sodium Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Endolysosome, Vasculature
GO Term: Gamma-Tubulin Small Complex -> Biodomain: Cell Cycle, Structural Stabilization, Tau Homeostasis, Proteostasis, Unknown
GO Term: Protein Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Apoptosis, Autophagy
GO Term: Regulation Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Signal Transduction, Cell Communication, Cell Signaling, Immune Response, Vasculature
GO Term: Cohesin Complex -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Sulfonylurea Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Vasculature
GO Term: Inward Rectifying Potassium Channel -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Cell Population Proliferation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Immune Response, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cell Population Proliferation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Immune Response, Proteostasis
GO Term: Negative Regulation Of Cell Population Proliferation -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Insulin Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Protein Serine/Threonine Phosphatase Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Lipid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: F-Actin Capping Protein Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Acetylcholine Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Calcium- And Calmodulin-Responsive Adenylate Cyclase Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Spermidine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: 3'-5'-Dna Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Single-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Intracellular Mrna Localization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Isoprenoid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Dna Binding, Bending -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis
GO Term: Caspase Complex -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Integrin Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Apoptosis
GO Term: Associative Learning -> Biodomain: Synapse, Proteostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Structural Constituent Of Muscle -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Voltage-Gated Monoatomic Anion Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Unknown
GO Term: Double-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Epigenetic
GO Term: Single-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Epigenetic, Oxidative Stress, Unknown
GO Term: Double-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: 7S Rna Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Unknown
GO Term: G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Mitochondrial Metabolism
GO Term: Protein Prenyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Protein Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Synapse, Vasculature, Immune Response
GO Term: Methyl-Cpg Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle
GO Term: Ionotropic Glutamate Receptor Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Autophagy
GO Term: Protein Tyrosine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Apoptosis, Oxidative Stress
GO Term: High Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Immune Response, Apoptosis
GO Term: Low Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Endosome To Lysosome Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Histone Mrna Metabolic Process -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, RNA Spliceosome
GO Term: Gamma-Butyrobetaine Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Unknown
