Running with TEMP=0.1, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Very-Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Vasculature
GO Term: Negative Regulation Of Very-Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Negative Regulation Of Udp-Glucose Catabolic Process -> Biodomain: Lipid Metabolism, Carbohydrate Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Glucose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Glucose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Regulation Of Heparan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Vasculature, Immune Response
GO Term: Positive Regulation Of Heparan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Vasculature, Immune Response
GO Term: Negative Regulation Of Very-Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Immune Response
GO Term: Negative Regulation Of Mitochondrial Membrane Potential -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mitochondrial Membrane Potential -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Inositol Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Phosphatase Activity -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Macrophage Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Autophagy, Epigenetic, Endolysosome
GO Term: Regulation Of Macrophage Cytokine Production -> Biodomain: Immune Response, Proteostasis, Epigenetic, Apoptosis, Autophagy
GO Term: Negative Regulation Of Macrophage Cytokine Production -> Biodomain: Immune Response, Regulation of Gene Expression, Cellular Process, Metabolic Process, Biosynthetic Process
GO Term: Nadph Pyrophosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response, DNA Repair
GO Term: Negative Regulation Of Transcription By Competitive Promoter Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Autophagy
GO Term: Coenzyme A Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Negative Regulation Of Cell Cycle Process -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Autophagy
GO Term: Negative Regulation Of Intestinal Phytosterol Absorption -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Structural Stabilization, Immune Response
GO Term: Positive Regulation Of Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Negative Regulation Of Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Positive Regulation Of Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Protein Processing -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Apoptosis
GO Term: Negative Regulation Of Protein Processing -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, APP Metabolism
GO Term: Negative Regulation Of Vitamin D Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Metal Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Magnesium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Intracellular Magnesium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Regulation Of Mitotic Sister Chromatid Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Regulation Of Phosphate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Microtubule Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Transport Along Microtubule -> Biodomain: Structural Stabilization, Endolysosome, Synapse, Proteostasis, Autophagy
GO Term: Positive Regulation Of G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Negative Regulation Of G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Autophagy
GO Term: Regulation Of Neuron Projection Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Neuron Projection Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Negative Regulation Of Neuron Projection Development -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Vitamin D 24-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of High-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Immune Response
GO Term: Negative Regulation Of Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Immune Response, Proteostasis
GO Term: Negative Regulation Of High-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Autophagy
GO Term: Regulation Of Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Autophagy
GO Term: Ubiquitin Recycling -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Free Ubiquitin Chain Polymerization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Response To Auditory Stimulus -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response
GO Term: Anaphase-Promoting Complex Binding -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Regulation Of Translational Initiation By Eif2 Alpha Phosphorylation -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Epigenetic, Apoptosis
GO Term: Programmed Cell Death -> Biodomain: Apoptosis, Autophagy, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Induction Of Programmed Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Endomembrane System -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: Er To Golgi Transport Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Synapse
GO Term: Trans-Golgi Network Transport Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Synapse
GO Term: Astrocyte Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Endolysosome
GO Term: Oligodendrocyte Development -> Biodomain: Myelination  
Lipid Metabolism  
Cell Cycle  
Structural Stabilization  
Proteostasis
GO Term: Microglia Differentiation -> Biodomain: Immune Response, Synapse, Endolysosome, Autophagy, Proteostasis
GO Term: Microglia Development -> Biodomain: Immune Response, Myelination, Endolysosome, Autophagy, Synapse
GO Term: Positive Regulation Of Microglia Differentiation -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Glial Cell Proliferation -> Biodomain: Myelination, Synapse, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Schwann Cell Proliferation -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Synapse, Autophagy
GO Term: Peripheral Nervous System Axon Regeneration -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Gliogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Gliogenesis -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Synapse, Immune Response
GO Term: Positive Regulation Of Gliogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Immune Response
GO Term: Neuroblast Differentiation -> Biodomain: Cell Cycle, Synapse, Myelination, Epigenetic, Proteostasis
GO Term: Notochord Formation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Synapse
GO Term: Neural Crest Formation -> Biodomain: Developmental Biology, Cell Differentiation, Morphogenesis, Embryogenesis, Cell Migration
GO Term: Mesenchymal Cell Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Neural Crest Cell Development -> Biodomain: Stem Cell Development, Cellular Developmental Process, Cell Differentiation, Anatomical Structure Development, Developmental Process
GO Term: Neural Crest Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Myelination, Structural Stabilization, Lipid Metabolism
GO Term: Neural Crest Cell Fate Commitment -> Biodomain: Developmental Process, Cell Differentiation, Stem Cell Fate Commitment, Epigenetic, Tissue Development
GO Term: Neural Crest Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Developmental Process, Stem Cell Maintenance, Cell Differentiation
GO Term: Schwann Cell Differentiation -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Regulation Of Schwann Cell Differentiation -> Biodomain: Myelination  
Cell Cycle  
Structural Stabilization  
Epigenetic  
RNA Spliceosome
GO Term: Positive Regulation Of Schwann Cell Differentiation -> Biodomain: Myelination  
Structural Stabilization  
Lipid Metabolism  
Cell Cycle  
Proteostasis
GO Term: Regulation Of Neuron Maturation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Positive Regulation Of Neuron Maturation -> Biodomain: Myelination  
Tau Homeostasis  
Epigenetic  
Proteostasis  
Lipid Metabolism
GO Term: Negative Regulation Of Neuron Maturation -> Biodomain: Synapse, Myelination, Proteostasis, Autophagy, Epigenetic
GO Term: Schwann Cell Development -> Biodomain: Myelination  
Structural Stabilization  
Lipid Metabolism  
Cell Cycle  
Epigenetic
GO Term: Establishment Of Endothelial Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Cell Cycle, Synapse
GO Term: Dopamine Secretion -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Glutamate Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Glutamate Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Glutamate Secretion -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Glutamate Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Gamma-Aminobutyric Acid Secretion -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Negative Regulation Of Gamma-Aminobutyric Acid Secretion -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Gamma-Aminobutyric Acid Secretion -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Regulation Of Acetylcholine Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Acetylcholine Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Dopamine Secretion -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Vasculature
GO Term: Regulation Of Serotonin Secretion -> Biodomain: Synapse, Vasculature, Immune Response, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Serotonin Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Serotonin Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Postsynaptic Density -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Response To Purine-Containing Compound -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Response To Amine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Immune Response
GO Term: Junctional Sarcoplasmic Reticulum Membrane -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism, Apoptosis
GO Term: Intercalated Disc -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Cell Cycle
GO Term: C Zone -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Striated Muscle Tissue Development -> Biodomain: Structural Stabilization, Muscle Development, Cell Differentiation, Tissue Development, Morphogenesis
GO Term: Branchiomeric Skeletal Muscle Development -> Biodomain: Structural Stabilization, Muscle Organ Development, Anatomical Structure Development, Developmental Process, Tissue Development
GO Term: Regulation Of Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Structural Stabilization  
Cell Cycle  
Proteostasis  
Autophagy  
Immune Response
GO Term: Positive Regulation Of Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Autophagy, Proteostasis
GO Term: Skeletal Muscle Satellite Cell Activation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, RNA Spliceosome, Proteostasis
GO Term: Regulation Of Skeletal Muscle Contraction By Calcium Ion Signaling -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Skeletal Muscle Contraction By Modulation Of Calcium Ion Sensitivity Of Myofibril -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of The Force Of Skeletal Muscle Contraction -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Structural Stabilization, Myelination
GO Term: Spectrin-Associated Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Skeletal Muscle Atrophy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Skeletal Muscle Adaptation -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Skeletal Muscle Hypertrophy -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Muscle Atrophy -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Muscle Atrophy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Muscle Hyperplasia -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Negative Regulation Of Muscle Hyperplasia -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Autophagy, Epigenetic
GO Term: Negative Regulation Of Muscle Hypertrophy -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Longitudinal Sarcoplasmic Reticulum -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Terminal Cisterna -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Terminal Cisterna Lumen -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Lipid Metabolism, Apoptosis
GO Term: Smooth Muscle Adaptation -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Smooth Muscle Hyperplasia -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Regulation Of Somitogenesis -> Biodomain: Developmental Biology, Anatomical Structure Morphogenesis, Regulation of Developmental Process, Embryonic Morphogenesis, Segmentation
GO Term: Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis  
Cellular Homeostasis  
Ion Transport  
Organelle Homeostasis  
Cellular Signaling
GO Term: Regulation Of Skeletal Muscle Contraction By Regulation Of Release Of Sequestered Calcium Ion -> Biodomain: Calcium Signaling, Ion Homeostasis, Endoplasmic Reticulum, Muscle Function, Cellular Transport
GO Term: Positive Regulation Of Skeletal Muscle Contraction By Regulation Of Release Of Sequestered Calcium Ion -> Biodomain: Muscle Function, Calcium Signaling, Cell Signaling, Organelle Function, Structural Stabilization
GO Term: Muscle Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Skeletal Muscle Satellite Cell Commitment -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Proteostasis
GO Term: Skeletal Muscle Satellite Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Proteostasis
GO Term: Regulation Of Skeletal Muscle Contraction -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Tonic Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Detection Of Wounding -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis
GO Term: Response To Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Artery Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Vein Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Intestine Smooth Muscle Contraction -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Vascular Associated Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Urinary Bladder Smooth Muscle Contraction -> Biodomain: Muscle System, Vasculature, Cellular Contractility, Ion Homeostasis, Excretory System
GO Term: Skeletal Muscle Satellite Cell Maintenance Involved In Skeletal Muscle Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Regeneration, Developmental Process, Stem Cell Population Maintenance
GO Term: Myoblast Differentiation Involved In Skeletal Muscle Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Endolysosome
GO Term: Myoblast Migration Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Motility, Tissue Regeneration, Developmental Process, Muscle Structure, Wound Healing
GO Term: Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Muscle System, Stem Cell Population Maintenance, Tissue Renewal and Repair
GO Term: Regulation Of Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Growth Factor Dependent Regulation Of Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Esophagus Smooth Muscle Contraction -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Response To Muscle Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Regulation Of Excitatory Postsynaptic Membrane Potential Involved In Skeletal Muscle Contraction -> Biodomain: Synapse, Neuromuscular, Ion Channel, Muscle System, Cell Signaling
GO Term: Response To Inactivity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, Structural Stabilization
GO Term: Regulation Of Skeletal Muscle Contraction Via Regulation Of Action Potential -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Vasculature
GO Term: Skeletal Myofibril Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Response To Muscle Inactivity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Response To Muscle Activity Involved In Regulation Of Muscle Adaptation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Response To Injury Involved In Regulation Of Muscle Adaptation -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Response To Electrical Stimulus Involved In Regulation Of Muscle Adaptation -> Biodomain: Synapse, Proteostasis, Myelination, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Transition Between Fast And Slow Fiber -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Transition Between Slow And Fast Fiber -> Biodomain: Synapse, Epigenetic, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Muscle Atrophy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Striated Muscle Atrophy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Response To Denervation Involved In Regulation Of Muscle Adaptation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Smooth Muscle Hypertrophy -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Muscle Hypertrophy -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Cardiac Muscle Hypertrophy In Response To Stress -> Biodomain: Oxidative Stress, Structural Stabilization, Vasculature, Proteostasis, Autophagy
GO Term: Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Regeneration, Developmental Processes, Cell Activation
GO Term: Myotube Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Myotube Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Myoblast Fusion Involved In Skeletal Muscle Regeneration -> Biodomain: Structural Stabilization, Developmental Processes, Cell Differentiation, Tissue Regeneration, Autophagy
GO Term: Myotube Cell Development Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Myotube Differentiation Involved In Skeletal Muscle Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Regulation Of Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Positive Regulation Of Smooth Muscle Cell Migration -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Apoptosis
GO Term: Regulation Of Lung Blood Pressure -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Heparan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Heparan Sulfate N-Sulfotransferase Activity -> Biodomain: APP Metabolism, Structural Stabilization, Endolysosome, Vasculature, Immune Response
GO Term: Galactosylgalactosylxylosylprotein 3-Beta-Glucuronosyltransferase Activity -> Biodomain: Proteostasis, Glycosaminoglycan Biosynthesis, Extracellular Matrix Organization, Glycosylation, Carbohydrate Metabolism
GO Term: Heparan-Alpha-Glucosaminide N-Acetyltransferase Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Glucuronosyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glucuronate-2-Sulfatase Activity -> Biodomain: Endolysosome, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Coreceptor Activity -> Biodomain: Immune Response, Synapse, Epigenetic, Cell Cycle, Vasculature
GO Term: Cajal Body -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Mitochondrial Metabolism
