Running with TEMP=0.1, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 1500 to 1999
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Epigenetic, Synapse
GO Term: Amp-Activated Protein Kinase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Calcium/Calmodulin-Dependent Protein Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Elongation Factor-2 Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Myosin Light Chain Kinase Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Epigenetic
GO Term: Phosphorylase Kinase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Camp-Dependent Protein Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cgmp-Dependent Protein Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Vasculature, Structural Stabilization
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Synapse, Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Eukaryotic Translation Initiation Factor 2Alpha Kinase Activity -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Diacylglycerol-Dependent Serine/Threonine Kinase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Epigenetic, Cell Cycle
GO Term: Calcium,Diacylglycerol-Dependent Serine/Threonine Kinase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Diacylglycerol-Dependent, Calcium-Independent Serine/Threonine Kinase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Epigenetic, Structural Stabilization
GO Term: G Protein-Coupled Receptor Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: Jun Kinase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Jun Kinase Kinase Kinase Activity -> Biodomain: Synapse, Apoptosis, Oxidative Stress, Proteostasis, Immune Response
GO Term: Map Kinase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Map Kinase Kinase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Map Kinase Kinase Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Ribosomal Protein S6 Kinase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Protein Serine/Threonine/Tyrosine Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Protein Tyrosine Kinase Activity -> Biodomain: Synapse, Epigenetic, Proteostasis, Immune Response, Structural Stabilization
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Epigenetic
GO Term: Non-Membrane Spanning Protein Tyrosine Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Protein-L-Isoaspartate (D-Aspartate) O-Methyltransferase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, Structural Stabilization, Autophagy
GO Term: Protein-Lysine 6-Oxidase Activity -> Biodomain: Structural Stabilization, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Phosphoprotein Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Protein Serine/Threonine Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Epigenetic, Oxidative Stress
GO Term: Calcium-Dependent Protein Serine/Threonine Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: Protein Tyrosine Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Non-Membrane Spanning Protein Tyrosine Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Oxygen-Dependent Protoporphyrinogen Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Synapse
GO Term: Purine-Nucleoside Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pyridoxamine Phosphate Oxidase Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Pyrroline-5-Carboxylate Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Pyruvate Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Pyruvate Dehydrogenase (Acetyl-Transferring) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Pyruvate Dehydrogenase (Acetyl-Transferring) Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: [Pyruvate Dehydrogenase (Acetyl-Transferring)]-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
GO Term: Dihydrolipoyllysine-Residue Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pyruvate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: All-Trans-Retinol Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Ribokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Ribonucleoside-Diphosphate Reductase Activity, Thioredoxin Disulfide As Acceptor -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Ribose Phosphate Diphosphokinase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Oxidative Stress
GO Term: D-Ribulose-Phosphate 3-Epimerase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Ribose-5-Phosphate Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Synapse
GO Term: Saccharopine Dehydrogenase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Saccharopine Dehydrogenase (Nad+, L-Lysine-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Selenide, Water Dikinase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Sepiapterin Reductase (Nadp+) Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Serine C-Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Structural Stabilization
GO Term: L-Serine-Pyruvate Transaminase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Spermidine Synthase Activity -> Biodomain: Synapse, Autophagy, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Sphingomyelin Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Stearoyl-Coa 9-Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Steroid Delta-Isomerase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Sterol Ester Esterase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Sterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Steryl-Sulfatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Epigenetic, Metal Binding and Homeostasis
GO Term: Succinate-Coa Ligase (Adp-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Succinate-Coa Ligase (Gdp-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Succinate-Semialdehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Succinyl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Sulfate Adenylyltransferase (Atp) Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Endolysosome
GO Term: Sulfinoalanine Decarboxylase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Superoxide Dismutase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis, Proteostasis
GO Term: Thiamine Diphosphokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Thioether S-Methyltransferase Activity -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Thioredoxin-Disulfide Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Thiosulfate-Cyanide Sulfurtransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
GO Term: Threonine Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Threonine Synthase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Thromboxane-A Synthase Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Thymidine Kinase Activity -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Dtmp Kinase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Thymidylate Synthase Activity -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Thyroxine 5'-Deiodinase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Transaldolase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Transketolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic, Synapse
GO Term: Transposase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Triacylglycerol Lipase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Triose-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Lipid Metabolism, Proteostasis
GO Term: Cca Trna Nucleotidyltransferase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Aminoacyl-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Alanine-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Arginine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Aspartate-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, RNA Spliceosome
GO Term: Asparagine-Trna Ligase Activity -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Synapse, Mitochondrial Metabolism
GO Term: Cysteine-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Epigenetic
GO Term: Glutamate-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Oxidative Stress, Mitochondrial Metabolism
GO Term: Glutamine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Glycine-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Histidine-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis
GO Term: Isoleucine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Epigenetic, Lipid Metabolism
GO Term: Leucine-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Structural Stabilization
GO Term: Lysine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Methionine-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Phenylalanine-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Proline-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Serine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Epigenetic
GO Term: Threonine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Structural Stabilization, Autophagy
GO Term: Tryptophan-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Tyrosine-Trna Ligase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Autophagy, Synapse
GO Term: Valine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Tryptophan 2,3-Dioxygenase Activity -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Autophagy
GO Term: Tubulin-Tyrosine Ligase Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: L-Tyrosine-2-Oxoglutarate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Ubiquitin Activating Enzyme Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Apoptosis, Oxidative Stress
GO Term: Ubiquitin-Protein Transferase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Apoptosis, Endolysosome
GO Term: Cysteine-Type Deubiquitinase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, Autophagy, Endolysosome
GO Term: Uracil Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Apoptosis, Cell Cycle, Proteostasis
GO Term: Uridine Kinase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Lipid Metabolism
GO Term: Uridine Phosphorylase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism
GO Term: Uroporphyrinogen-Iii Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Synapse
GO Term: Uroporphyrinogen Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Xanthine Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Xanthine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Autophagy
GO Term: D-Xylulokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Enzyme Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Phospholipase Inhibitor Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Protein Kinase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, Epigenetic
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Inhibitor Activity -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Epigenetic, Synapse
GO Term: Camp-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Structural Stabilization
GO Term: Protein Phosphatase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Protein Serine/Threonine Phosphatase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, Apoptosis
Saved results to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.1/go_biodomain_results_part_4.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.1/runtime_log.csv
