Running with TEMP=0.5, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Apoptosis, Myelination, Structural Stabilization, Epigenetic
GO Term: Chloride Channel Regulator Activity -> Biodomain: Synapse, Vasculature, Apoptosis, Immune Response, Proteostasis
GO Term: 4-Galactosyl-N-Acetylglucosaminide 3-Alpha-L-Fucosyltransferase Activity -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Response To Insecticide -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Immune Response, Autophagy
GO Term: Mitochondrial Processing Peptidase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Glycolipid Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Meprin A Complex -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Endolysosome, Synapse, Immune Response
GO Term: Heparan Sulfate 6-Sulfotransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, APP Metabolism, Vasculature
GO Term: Acetylserotonin O-Methyltransferase Activity -> Biodomain: Circadian, Neurotransmitter Metabolism, Hormone Metabolism, Amino Acid Metabolism, Oxidative Stress
GO Term: Sulfonylurea Receptor Binding -> Biodomain: Mitochondrial Metabolism, Vasculature, Oxidative Stress, Proteostasis, Synapse
GO Term: Very-Long-Chain Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Aminoacyl-Trna Synthetase Multienzyme Complex -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Immune Response
GO Term: 5'-Flap Endonuclease Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Apoptosis
GO Term: Glutamate-Cysteine Ligase Complex -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, DNA Repair, Immune Response
GO Term: Nucleoside Diphosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Ribonucleoside Triphosphate Phosphatase Activity -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Mitochondrial Metabolism, Autophagy
GO Term: Dihydropyrimidine Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Single-Stranded Dna Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Epigenetic, Apoptosis
GO Term: Lipoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Golgi Transport Complex -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Plasma Membrane Phospholipid Scrambling -> Biodomain: Lipid Metabolism, Apoptosis, Vasculature, Immune Response, Oxidative Stress
GO Term: Protein N-Acetylglucosaminyltransferase Complex -> Biodomain: Proteostasis, Epigenetic, Tau Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Sh3 Domain Binding -> Biodomain: Synapse, Immune Response, Cell Cycle, Proteostasis, APP Metabolism
GO Term: Deoxycytidyl Transferase Activity -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Nucleologenesis -> Biodomain: Cell Cycle, Structural Stabilization, RNA Spliceosome, Proteostasis, Epigenetic
GO Term: Phospholipid Scramblase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Triglyceride Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Poly(C) Rna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Fibroblast Growth Factor Binding -> Biodomain: Vasculature, Cell Cycle, Myelination, Synapse, Structural Stabilization
GO Term: Histone Deacetylase Activity, Nad-Dependent -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, DNA Repair
GO Term: Insecticide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Stem Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Nmda Selective Glutamate Receptor Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Wnt-Protein Binding -> Biodomain: Proteostasis, Synapse, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Translation -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, RNA Spliceosome
GO Term: Trna Dihydrouridine Synthase Activity -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Dead/H-Box Rna Helicase Binding -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Sodium:Dicarboxylate Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Semaphorin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Structural Stabilization, Proteostasis
GO Term: Calcium-Ion Regulated Exocytosis -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Regulation Of Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Vasculature
GO Term: Regulation Of Calcium Ion-Dependent Exocytosis -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Structural Stabilization
GO Term: Pantetheine Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Inositol-1,3,4-Trisphosphate 4-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Aryl Hydrocarbon Receptor Binding -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, Mitochondrial Metabolism, Apoptosis
GO Term: Vinculin Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: 5-Oxoprolinase (Atp-Hydrolyzing) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Serine Hydrolase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Apoptosis, Endolysosome
GO Term: Cysteine Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Glycine N-Methyltransferase Activity -> Biodomain: Epigenetic, Lipid Metabolism, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Phosphatidylinositol N-Acetylglucosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Glucosidase Ii Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Diphthine-Ammonia Ligase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Protein Histidyl Modification To Diphthamide -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Peptidyl-Lysine Hydroxylation -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Oxidative Stress
GO Term: Peptidyl-Pyroglutamic Acid Biosynthetic Process, Using Glutaminyl-Peptide Cyclotransferase -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Peptidyl-Glutamic Acid Carboxylation -> Biodomain: Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Vasculature, Structural Stabilization
GO Term: L-Aspartate N-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Myelination, Synapse, Proteostasis
GO Term: N-Terminal Peptidyl-Aspartic Acid Acetylation -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: N-Terminal Peptidyl-Glutamine Acetylation -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Autophagy, Apoptosis
GO Term: N-Terminal Peptidyl-Methionine Acetylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: N-Terminal Peptidyl-Glutamic Acid Acetylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Peptidyl-Lysine N6-Acetylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: N-Terminal Peptidyl-Glycine N-Myristoylation -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Apoptosis, Immune Response
GO Term: N-Terminal Peptidyl-L-Cysteine N-Palmitoylation -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: N-Terminal Peptidyl-Glycine Methylation -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Apoptosis
GO Term: N-Terminal Peptidyl-Proline Dimethylation -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Peptidyl-Histidine Methylation -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Autophagy, Epigenetic
GO Term: Peptidyl-Lysine Methylation -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Tau Homeostasis, DNA Repair
GO Term: Peptidyl-Lysine Trimethylation -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Calmodulin-Lysine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Synapse, Mitochondrial Metabolism
GO Term: Peptidyl-Lysine Monomethylation -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Peptidyl-Lysine Dimethylation -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Peptidyl-Lysine N6-Myristoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Peptidyl-Lysine Oxidation -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Vasculature, Oxidative Stress
GO Term: Cytochrome C-Heme Linkage -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protein-L-Histidine N-Tele-Methyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Autophagy, Cell Cycle
GO Term: N-Terminal Peptidyl-Lysine Acetylation -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Autophagy, Apoptosis
GO Term: Protein Polyglycylation -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Protein Polyglutamylation -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Tau Homeostasis, Metal Binding and Homeostasis
GO Term: Peptidyl-Serine Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Peptidyl-Threonine Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Peptidyl-Tyrosine Phosphorylation -> Biodomain: Proteostasis, Immune Response, Cell Cycle, Synapse, Structural Stabilization
GO Term: Proline Racemase Activity -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Threonine Racemase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Protein Adenylylation -> Biodomain: Proteostasis, Immune Response, Autophagy, Structural Stabilization, Apoptosis
GO Term: Peptidyl-Cysteine S-Nitrosylation -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Vasculature, Mitochondrial Metabolism
GO Term: Peptidyl-Cysteine Methylation -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Protein Hydroxylation -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Keratan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Glycosylation, Glycan Metabolism, Glycan Modification, Glycoconjugate Metabolism, Structural Stabilization
GO Term: Peptide Cross-Linking -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Isopeptide Cross-Linking Via N6-(L-Isoglutamyl)-L-Lysine -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Protein Oxidation -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism, Autophagy
GO Term: Peptidyl-Serine Octanoylation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Mitochondrial Metabolism
GO Term: Peptidyl-Glutamic Acid Modification -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis, Autophagy
GO Term: Peptidyl-Methionine Modification -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Peptidyl-Arginine Methylation -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Peptidyl-L-Cysteine S-Palmitoylation -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Protein O-Linked Glycosylation Via Serine -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Myelination, APP Metabolism
GO Term: Protein O-Linked Glycosylation Via Threonine -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, APP Metabolism, Immune Response
GO Term: Protein-Pyridoxal-5-Phosphate Linkage Via Peptidyl-N6-Pyridoxal Phosphate-L-Lysine -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Protein Deamination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Protein N-Linked Glycosylation Via Asparagine -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Lipid Metabolism
GO Term: Protein-Fad Linkage -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Protein Prenylation -> Biodomain: Proteostasis, Lipid Metabolism, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Protein Farnesylation -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Protein Geranylgeranylation -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Endolysosome, Apoptosis
GO Term: Protein Palmitoylation -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Mitochondrial Metabolism, Structural Stabilization
GO Term: Peptidyl-Glutamine Methylation -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair
GO Term: Internal Peptidyl-Lysine Acetylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, DNA Repair
GO Term: Peptidyl-Lysine Acetylation -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Peptidyl-Lysine Hydroxylation To 5-Hydroxy-L-Lysine -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Peptidyl-Proline Hydroxylation To 4-Hydroxy-L-Proline -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Vasculature, Metal Binding and Homeostasis
GO Term: Protein C-Terminal Leucine Carboxyl O-Methyltransferase Activity -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, APP Metabolism, Tau Homeostasis
GO Term: Translation Release Factor Complex -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Alcohol Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Formaldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis, Lipid Metabolism
GO Term: Benzaldehyde Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Malonate-Semialdehyde Dehydrogenase (Acetylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Benzaldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Methanethiol Oxidase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: 4-Nitrophenol 2-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Immune Response
GO Term: (S)-Limonene 6-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Immune Response
GO Term: (S)-Limonene 7-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Alkane 1-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Thiol S-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Propionate Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: S-Formylglutathione Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Acetylpyruvate Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Proteostasis
GO Term: 3-Hydroxyacyl-Coa Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cyanamide Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Benzoate-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Arsonoacetate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Benzoate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Biphenyl Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Endolysosome, Autophagy
GO Term: Carbon Tetrachloride Metabolic Process -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Apoptosis
GO Term: Benzene Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Nitrobenzene Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nitroglycerin Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Phenol-Containing Compound Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: 4-Nitrophenol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Phthalate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Propylene Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Thiocyanate Metabolic Process -> Biodomain: Xenobiotic Metabolism, Sulfur Compound Metabolism, Organic Acid Metabolism, Detoxification, Oxidative Stress
GO Term: Guanyl Nucleotide Binding -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, Synapse, RNA Spliceosome
GO Term: Gmp Binding -> Biodomain: Mitochondrial Metabolism, Vasculature, Cell Cycle, Epigenetic, DNA Repair
GO Term: Gdp Binding -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Scf Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Cell Cycle, DNA Repair, Apoptosis
GO Term: Establishment Of Viral Latency -> Biodomain: Immune Response, Apoptosis, Epigenetic, DNA Repair, Proteostasis
GO Term: Release From Viral Latency -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Viral Life Cycle -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Endolysosome
GO Term: Intracellular Transport Of Viral Protein In Host Cell -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Virion Attachment To Host Cell -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Fusion Of Virus Membrane With Host Plasma Membrane -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Receptor-Mediated Endocytosis Of Virus By Host Cell -> Biodomain: Endolysosome, Immune Response, Autophagy, Proteostasis, Vasculature
GO Term: Virion Assembly -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Viral Rna Genome Packaging -> Biodomain: Structural Stabilization, Proteostasis, RNA Spliceosome, Autophagy, Endolysosome
GO Term: Virus Maturation -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Viral Release From Host Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Viral Genome Replication -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Immune Response, Autophagy
GO Term: Viral Translation -> Biodomain: Proteostasis, Immune Response, Autophagy, Apoptosis, Oxidative Stress
GO Term: Viral Protein Processing -> Biodomain: Proteostasis, Autophagy, Endolysosome, Immune Response, Apoptosis
GO Term: Viral Transcription -> Biodomain: Immune Response, RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy
GO Term: Early Viral Transcription -> Biodomain: Immune Response, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Late Viral Transcription -> Biodomain: Structural Stabilization, Proteostasis, RNA Spliceosome, Epigenetic, Immune Response
GO Term: Reproductive Behavior -> Biodomain: Epigenetic, Lipid Metabolism, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Male Germ-Line Sex Determination -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, RNA Spliceosome, Autophagy
GO Term: Female Somatic Sex Determination -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, DNA Repair, Apoptosis
GO Term: Male Somatic Sex Determination -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization, Immune Response
GO Term: Pyrimidine Nucleotide Binding -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Epigenetic
GO Term: Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Myristoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Apoptosis, Cell Cycle
GO Term: Phenanthrene-9,10-Epoxide Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Deoxyhypusine Monooxygenase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Cell Cycle, Apoptosis
GO Term: Deoxynucleoside Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Proteostasis
GO Term: Adp-Sugar Diphosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Aminobutyraldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: D-Ribulokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Protein-Disulfide Reductase (Glutathione) Activity -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Apoptosis
GO Term: Mannokinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Trans-2-Enoyl-Coa Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: (3R)-Hydroxyacyl-[Acyl-Carrier-Protein] Dehydratase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Glyoxalase Iii Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Nadp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, DNA Repair
GO Term: Snrna-Activating Protein Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Carbohydrate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Amino Acid Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Carbohydrate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nucleobase-Containing Compound Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism
