Running with TEMP=0.9, sub_array_index=11
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 10000 to 10999
GO Term: Omega-6 Fatty Acid Desaturase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Ether Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Glycerolipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Glyoxylate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Phosphatidylinositol Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Isopentenyl Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: L-Methylmalonyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Nicotinamide Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: S-Adenosylhomocysteine Metabolic Process -> Biodomain: Epigenetic, Lipid Metabolism, Oxidative Stress, Vasculature, Myelination
GO Term: S-Adenosylmethioninamine Metabolic Process -> Biodomain: Epigenetic, Lipid Metabolism, Cell Cycle, RNA Spliceosome, Mitochondrial Metabolism
GO Term: S-Adenosylmethionine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Protoporphyrinogen Ix Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: Sphinganine Biosynthetic Process -> Biodomain: Lipid Metabolism, Apoptosis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Sphingosine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Ceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Ceramide Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Sphingoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Endolysosome, Autophagy
GO Term: Sphingoid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: S-Methyl-5-Thioribose-1-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Xylosylprotein 4-Beta-Galactosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome, Vasculature
GO Term: D-Xylulose Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, APP Metabolism, Autophagy, Endolysosome
GO Term: Photoreceptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Photoreceptor Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Synapse, Proteostasis, Autophagy
GO Term: Dosage Compensation Complex -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, DNA Repair, RNA Spliceosome
GO Term: Histamine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, Lipid Metabolism, Oxidative Stress
GO Term: U4/U6 X U5 Tri-Snrnp Complex -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: Saliva Secretion -> Biodomain: Proteostasis, Vasculature, Metal Binding and Homeostasis, Immune Response, Lipid Metabolism
GO Term: Development Of Secondary Female Sexual Characteristics -> Biodomain: Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Autophagy
GO Term: Development Of Secondary Male Sexual Characteristics -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Structural Stabilization, Immune Response
GO Term: Development Of Primary Female Sexual Characteristics -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Development Of Primary Male Sexual Characteristics -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Retinal Rod Cell Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Retinal Cone Cell Development -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: L-Malate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Alpha-L-Arabinofuranosidase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Methylthioribulose 1-Phosphate Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Oxidative Stress
GO Term: Long-Chain-Alcohol Oxidase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Ras Protein Signal Transduction -> Biodomain: Signal Transduction, Cell Cycle, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Ras Protein Signal Transduction -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Ras Protein Signal Transduction -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Immune Response
GO Term: Intercellular Canaliculus -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Calcium-Dependent Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Synapse
GO Term: Negative Regulation Of Calcium-Dependent Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Apoptosis
GO Term: Polyamine Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Viral Entry Into Host Cell -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Host-Mediated Suppression Of Symbiont Invasion -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Viral Entry Into Host Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Centriole Replication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Negative Regulation Of Centriole Replication -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Centriole Replication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Mitotic Centrosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Negative Regulation Of Mitotic Centrosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Positive Regulation Of Mitotic Centrosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Regulation Of Centrosome Cycle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Lysosomal Proton-Transporting V-Type Atpase Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Xenobiotic Export From Cell -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Lens Placode Formation Involved In Camera-Type Eye Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Vasculature
GO Term: Regulation Of Organ Growth -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Organ Growth -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Organ Growth -> Biodomain: Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Vasculature
GO Term: Sphingolipid Floppase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Structural Stabilization
GO Term: Sphingolipid Transporter Activity -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Structural Stabilization, Myelination
GO Term: Sphingolipid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Insulin Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Insulin Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Insulin Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Gamma-Delta T Cell Activation -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Gamma-Delta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Epigenetic
GO Term: Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Endolysosome, Autophagy
GO Term: Regulation Of Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Negative Regulation Of Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Positive Regulation Of Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Negative Regulation Of Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Positive Regulation Of Gamma-Delta T Cell Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Lymphocyte Activation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Lymphocyte Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Tetrahydrofolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Tetrahydrofolate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Folic Acid Metabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Epigenetic, Cell Cycle, Proteostasis
GO Term: Folic Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Lipid Metabolism, Oxidative Stress
GO Term: Digestive Hormone Activity -> Biodomain: Hormone Activity, Gastrointestinal System, Metabolism, Cell Signaling, Endocrine System
GO Term: Male Sex Differentiation -> Biodomain: Epigenetic, Lipid Metabolism, Cell Cycle, Apoptosis, Vasculature
GO Term: Retinal Cell Programmed Cell Death -> Biodomain: Apoptosis, Cell Cycle, Synapse, Structural Stabilization, Vasculature
GO Term: Regulation Of Retinal Cell Programmed Cell Death -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Retinal Cell Programmed Cell Death -> Biodomain: Apoptosis, Structural Stabilization, Synapse, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Insulin Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Response To Antibiotic -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Response To Ddt -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Pyrethroid -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Synapse
GO Term: Response To Arsenic-Containing Substance -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Response To Cadmium Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Copper Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Response To Mercury Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Apoptosis, Endolysosome
GO Term: Intracellular Canaliculus -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism, Vasculature
GO Term: Slik (Saga-Like) Complex -> Biodomain: Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lipopolysaccharide Receptor Complex -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Decidualization -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Apoptosis
GO Term: Natural Killer Cell Lectin-Like Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cdp Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Gdp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Gdp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Gdp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Borate Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Active Borate Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Muscle Cell Cellular Homeostasis -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Acid Secretion -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Structural Stabilization, Immune Response
GO Term: Symbiont Entry Into Host Cell -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Citric Acid Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Lactic Acid Secretion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Oxalic Acid Secretion -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Negative Regulation By Virus Of Viral Protein Levels In Host Cell -> Biodomain: Proteostasis, Autophagy, Endolysosome, Immune Response, Apoptosis
GO Term: Positive Regulation By Virus Of Viral Protein Levels In Host Cell -> Biodomain: Proteostasis, Autophagy, Immune Response, Apoptosis, Mitochondrial Metabolism
GO Term: Viral Exocytosis -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Immune Response
GO Term: Viral Budding -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Structural Stabilization, Immune Response
GO Term: Viral Budding From Plasma Membrane -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Immune Response, Structural Stabilization
GO Term: Protein Autophosphorylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Viral Transcription -> Biodomain: Immune Response, Epigenetic, Cell Cycle, RNA Spliceosome, Autophagy
GO Term: Microtubule Polymerization -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Host Cell Surface Receptor Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Virion Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Histone Deacetylase Inhibitor Activity -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Apoptosis
GO Term: Receptor-Mediated Virion Attachment To Host Cell -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Coreceptor-Mediated Virion Attachment To Host Cell -> Biodomain: Immune Response, Endolysosome, Vasculature, Proteostasis, Synapse
GO Term: Chemokine Receptor Antagonist Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Regulation Of Nucleocytoplasmic Transport -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Epigenetic, DNA Repair
GO Term: Positive Regulation Of Nucleocytoplasmic Transport -> Biodomain: RNA Spliceosome, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Regulation Of Protein Export From Nucleus -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, DNA Repair, Cell Cycle
GO Term: Negative Regulation Of Protein Export From Nucleus -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, DNA Repair, Cell Cycle
GO Term: Positive Regulation Of Protein Export From Nucleus -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Regulation Of Rna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Rna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Rna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Lipid Phosphorylation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Carbohydrate Phosphorylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Glycolipid Transport -> Biodomain: Lipid Metabolism, Endolysosome, Myelination, Synapse, Proteostasis
GO Term: Phospholipid Dephosphorylation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Apoptosis
GO Term: Filopodium Assembly -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Hydroxyapatite Binding -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Bone Remodeling -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Immune Response, Endolysosome, Apoptosis
GO Term: Regulation Of Bone Remodeling -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Immune Response, Vasculature
GO Term: Negative Regulation Of Bone Remodeling -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Immune Response, Proteostasis
GO Term: Phosphatidylinositol Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Cell Cycle, Synapse
GO Term: Phosphatidylinositol Dephosphorylation -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Vasculature, Oxidative Stress
GO Term: Terpenoid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Cadmium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Metal Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Metal Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Quinolinate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Proteostasis
GO Term: Ephrin Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Apoptosis, Vasculature
GO Term: Regulation Of Saliva Secretion -> Biodomain: Vasculature, Proteostasis, Immune Response, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Saliva Secretion -> Biodomain: Synapse, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, Structural Stabilization
GO Term: Hormone Secretion -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Follicle-Stimulating Hormone Secretion -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Vasculature
GO Term: Positive Regulation Of Follicle-Stimulating Hormone Secretion -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Follicle-Stimulating Hormone Secretion -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Epigenetic
GO Term: Regulation Of Hormone Secretion -> Biodomain: Proteostasis, Immune Response, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Follicle-Stimulating Hormone Secretion -> Biodomain: Endocrine Signaling Pathway, Neurotransmitter Secretion, Vasculature, Synapse, Immune Response
GO Term: Regulation Of Hormone Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Hormone Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Hormone Secretion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Negative Regulation Of Hormone Secretion -> Biodomain: Proteostasis, Apoptosis, Autophagy, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Response To Cycloheximide -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Nucleoside Triphosphate Adenylate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Tetrahydrofolylpolyglutamate Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis
GO Term: Tetrahydrofolylpolyglutamate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, Cell Cycle, DNA Repair, Oxidative Stress
GO Term: Regulation Of Mitochondrial Membrane Permeability -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Secretion -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Calcium Oxalate Binding -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Tetrapyrrole Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Intracellular Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Metal Chelating Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Acyltransferase Activity, Acyl Groups Converted Into Alkyl On Transfer -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Transition Metal Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Transition Metal Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Alpha-(1->3)-Fucosyltransferase Activity -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Lipid Metabolism, Vasculature
GO Term: Alpha-(1->6)-Fucosyltransferase Activity -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Peptide-O-Fucosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Vasculature
GO Term: Er Retention Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Pore Complex -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Endolysosome, Immune Response, Proteostasis
GO Term: Pore Complex Assembly -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Proton-Transporting Atp Synthase Activity, Rotational Mechanism -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: 1-Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Activity -> Biodomain: Lipid Metabolism, Cell Cycle, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: 1-Phosphatidylinositol-3-Kinase Regulator Activity -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Proteostasis, Immune Response
GO Term: 2'-Deoxyadenosine Deaminase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Immune Response, Epigenetic, Cell Cycle
GO Term: Nucleoside Monophosphate Phosphorylation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Epigenetic, DNA Repair
GO Term: Carboxylic Acid Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy
