Running with TEMP=0.5, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Structural Stabilization, Proteostasis, RNA Spliceosome, Cell Cycle, Metal Binding and Homeostasis
GO Term: Vacuolar Sequestering -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Metal Binding and Homeostasis
GO Term: Vascular Endothelial Growth Factor Receptor 1 Binding -> Biodomain: Vasculature, Apoptosis, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Vascular Endothelial Growth Factor Receptor 2 Binding -> Biodomain: Vasculature, Immune Response, Cell Cycle, Endolysosome, Apoptosis
GO Term: Vascular Endothelial Growth Factor Receptor 3 Binding -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Endolysosome
GO Term: P Granule -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy
GO Term: H4/H2A Histone Acetyltransferase Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Atp-Binding Cassette (Abc) Transporter Complex -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Immune Response, Proteostasis
GO Term: Axon Initial Segment -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Autophagy
GO Term: Terminal Bouton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Varicosity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Dendritic Spine -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Dendritic Shaft -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Sulfate Binding -> Biodomain: Structural Stabilization, Myelination, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Response To Amino Acid -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Response To L-Leucine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Lysosomal Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Axon Hillock -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Myelination
GO Term: Perikaryon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Response To External Biotic Stimulus -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Glycosphingolipid Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Myelin Sheath -> Biodomain: Myelination, Synapse, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Daunorubicin Transport -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Myelin Maintenance -> Biodomain: Myelination, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Compact Myelin -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Synapse
GO Term: Lateral Loop -> Biodomain: Myelination, Structural Stabilization, Proteostasis, Synapse, Lipid Metabolism
GO Term: Schmidt-Lanterman Incisure -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Endolysosome
GO Term: Smc Family Protein Binding -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Atpase-Coupled Inorganic Anion Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Organelle -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Structural Stabilization
GO Term: Membraneless Organelle -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, RNA Spliceosome, Epigenetic
GO Term: Intracellular Organelle -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Intracellular Membrane-Bounded Organelle -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Intracellular Membraneless Organelle -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Autophagy, Synapse
GO Term: Receptor Complex -> Biodomain: Immune Response, Synapse, Vasculature, Apoptosis, Structural Stabilization
GO Term: Laminin Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Laminin-1 Binding -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Lipid Metabolism
GO Term: Fanconi Anaemia Nuclear Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Structural Stabilization, Tau Homeostasis, Synapse, Cell Cycle
GO Term: Positive Regulation Of Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Regulation Of Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Synapse
GO Term: Telomere Maintenance In Response To Dna Damage -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Proteasome Assembly -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Erythrocyte Maturation -> Biodomain: Oxidative Stress, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Sodium-Dependent Organic Anion Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Sodium-Dependent Organic Anion Transport -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Sodium-Independent Organic Anion Transport -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Vasculature
GO Term: Regulation Of Protein-Containing Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Laminin Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Immune Response
GO Term: Laminin-8 Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Endolysosome
GO Term: Laminin-10 Complex -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Proteostasis
GO Term: Laminin-11 Complex -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Cell Cycle
GO Term: Adp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Potassium Ion Transport -> Biodomain: Synapse, Vasculature, Apoptosis, Immune Response, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Potassium Ion Transport -> Biodomain: Synapse, Vasculature, Immune Response, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Positive Regulation Of Potassium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Vasculature, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Monoatomic Ion Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Monoatomic Ion Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Negative Regulation Of Monoatomic Ion Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Ctpase Activity -> Biodomain: DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis, Mitochondrial Metabolism
GO Term: Phospholipase Binding -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Anoikis -> Biodomain: Apoptosis, Structural Stabilization, Vasculature, Proteostasis, Cell Cycle
GO Term: Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Response To Morphine -> Biodomain: Synapse, Immune Response, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Response To Alkaloid -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Rave Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Contractile Muscle Fiber -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Apoptosome -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Glutathione Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Endolysosome
GO Term: Apical Junction Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Cell Cycle
GO Term: Apical Junction Assembly -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Cell Cycle
GO Term: Leukocyte Degranulation -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Mast Cell Degranulation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Oxidative Stress, Vasculature
GO Term: Regulation Of Mast Cell Degranulation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Mast Cell Degranulation -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Mast Cell Degranulation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Eosinophil Degranulation -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Eosinophil Degranulation -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Eosinophil Degranulation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Neutrophil Degranulation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Neutrophil Degranulation -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Neutrophil Degranulation -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Neutrophil Degranulation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Cytotoxic T Cell Degranulation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cytotoxic T Cell Degranulation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Natural Killer Cell Degranulation -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Natural Killer Cell Degranulation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Synapse
GO Term: Positive Regulation Of Natural Killer Cell Degranulation -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Proteostasis
GO Term: Phosphatidylinositol-3,4-Bisphosphate Binding -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Protein Transport To Vacuole Involved In Ubiquitin-Dependent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Response To Exogenous Dsrna -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Autophagy
GO Term: Response To Dsrna -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Protein Unfolding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Cardiolipin Synthase (Cmp-Forming) -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Enucleate Erythrocyte Differentiation -> Biodomain: Structural Stabilization, Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Nucleate Erythrocyte Differentiation -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Vasculature, Apoptosis, Structural Stabilization
GO Term: Beta Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, DNA Repair, Structural Stabilization
GO Term: Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Positive T Cell Selection -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Endolysosome
GO Term: Cd4-Positive Or Cd8-Positive, Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Apoptosis, Cell Cycle, Autophagy
GO Term: Regulation Of Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Cd4-Positive, Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Signal Transduction, Cell Cycle, Epigenetic, Autophagy
GO Term: Cd8-Positive, Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Apoptosis, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Endolysosome, Proteostasis
GO Term: Memory T Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Epigenetic
GO Term: Regulation Of Memory T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Memory T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Memory T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Negative T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Proteostasis
GO Term: Negative Regulation Of Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Regulation Of Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Immune Response
GO Term: Proteoglycan Binding -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Heparan Sulfate Proteoglycan Binding -> Biodomain: Proteostasis, Immune Response, Vasculature, Endolysosome, Synapse
GO Term: Regulation Of Corticotropin-Releasing Hormone Secretion -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Epigenetic, Endolysosome
GO Term: Hlh Domain Binding -> Biodomain: Protein-Protein Interaction Domains, Transcription Machinery, Epigenetic, Developmental Processes, Cell Signaling
GO Term: Cortisol Secretion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Steroid Hormone Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Skeletal Muscle Tissue Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Corticotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Autophagy, Apoptosis
GO Term: Regulation Of Map Kinase Activity -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Immune Response, Cell Cycle
GO Term: Positive Regulation Of Map Kinase Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Map Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Cell Cycle, Proteostasis
GO Term: Regulation Of Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Cell Cycle, DNA Repair
GO Term: Negative Regulation Of Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mapk Cascade -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Oxidative Stress, Synapse
GO Term: Macromolecule Glycosylation -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Immune Response, Autophagy
GO Term: Macromolecule Methylation -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, DNA Repair, Immune Response
GO Term: Positive Regulation Of Skeletal Muscle Tissue Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Vasculature, Proteostasis
GO Term: Regulation Of Skeletal Muscle Tissue Regeneration -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle
GO Term: Negative Regulation Of Skeletal Muscle Tissue Regeneration -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Homocysteine Catabolic Process -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Anthranilate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Protein Kinase B Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Bhlh Transcription Factor Binding -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Apoptosis, DNA Repair
GO Term: Mrf Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Dna-Binding Transcription Factor Activity -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Apoptosis, DNA Repair
GO Term: Response To Peptide Hormone -> Biodomain: Signal Transduction, Hormonal Signaling, Metabolism, Intracellular Signaling, Transcriptional Regulation
GO Term: Acetoacetic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Pentose-Phosphate Shunt -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response, Metal Binding and Homeostasis
GO Term: Regulation Of Cellular Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Proton-Transporting Atp Synthase Complex Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Regulation Of Atp-Dependent Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Regulation Of Generation Of Precursor Metabolites And Energy -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Carbohydrate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Pigmentation -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: Pigment Metabolic Process Involved In Pigmentation -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Cellular Pigment Accumulation -> Biodomain: Endolysosome, Immune Response, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Regulation Of Rna Splicing -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: Regulation Of Rna Stability -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Regulation Of Mrna Stability -> Biodomain: Proteostasis, Immune Response, Oxidative Stress, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Rna Stabilization -> Biodomain: RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Epigenetic
GO Term: Malate-Aspartate Shuttle -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction -> Biodomain: Lipid Metabolism, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Membrane-Membrane Adaptor Activity -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Lipid Metabolism
GO Term: Skeletal Muscle Adaptation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Skeletal Muscle Fiber Adaptation -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Mitochondrial Dna Repair -> Biodomain: DNA Repair, Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Cenp-A Containing Nucleosome -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Positive Regulation Of Jun Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Autophagy, Proteostasis
GO Term: Negative Regulation Of Jun Kinase Activity -> Biodomain: Apoptosis, Oxidative Stress, Immune Response, Cell Cycle, Autophagy
GO Term: Activin A Complex -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Vasculature
GO Term: Inhibin A Complex -> Biodomain: Hormonal Signaling, Endocrine System, Protein Complex Assembly, Cell Surface Receptor Signaling, Signal Transduction
GO Term: Inhibin B Complex -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Apoptosis
GO Term: Interleukin-12 Complex -> Biodomain: Immune Response, Endolysosome, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Kinetochore Binding -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Apoptosis, Proteostasis
GO Term: Regulation Of Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Regulation Of Myosin Ii Filament Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Leucine Zipper Domain Binding -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Epigenetic, Autophagy
GO Term: Regulation Of Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Neuron Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Trna Methyltransferase Complex -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Trna (M2G10) Methyltransferase Complex -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Get Complex -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Adenosine 5'-Monophosphoramidase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Adp Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Angiostatin Binding -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Endolysosome
GO Term: Inositol 1,3,4,5 Tetrakisphosphate Binding -> Biodomain: Lipid Metabolism, Synapse, Immune Response, Vasculature, Cell Cycle
GO Term: Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Regulation Of Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism, Immune Response
GO Term: Positive Regulation Of Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Immune Response
GO Term: Negative Regulation Of Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Oxidative Stress
GO Term: Protein Serine/Threonine Kinase Activator Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: 6-Phosphofructo-2-Kinase/Fructose-2,6-Biphosphatase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Autophagy, Apoptosis
GO Term: Udp-N-Acetylglucosamine Transferase Complex -> Biodomain: Glycosylation, Lipid Metabolism, Protein Processing, Metabolism, Proteostasis
GO Term: Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Molybdopterin Cofactor Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Molybdopterin Cofactor Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Gtpase Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Cell Cycle, Immune Response
GO Term: Phosphatidylinositol 3-Kinase Binding -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Apoptosis, Cell Cycle
GO Term: Regulation Of Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Oxidative Stress
GO Term: Regulation Of Lipid Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Translation In Response To Stress -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Epigenetic, DNA Repair
GO Term: Regulation Of Translational Initiation In Response To Stress -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Insulin Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
