Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: U4Atac Snrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: U5 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: U6Atac Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, DNA Repair
GO Term: U12 Snrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Pre-Mrna 5'-Splice Site Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Pre-Mrna 3'-Splice Site Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: U6 Snrna 3'-End Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Cellular Ph -> Biodomain: Endolysosome, Autophagy, Immune Response, Proteostasis, Metal Binding and Homeostasis
GO Term: Intracellular Phosphate Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Intracellular Chloride Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Regulation Of Vitamin Metabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Transport Vesicle Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Cytoplasmic Vesicle Membrane -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Golgi-Associated Vesicle Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Coated Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Copi-Coated Vesicle Membrane -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Clathrin-Coated Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Structural Stabilization, Autophagy
GO Term: Endocytic Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Secretory Granule Membrane -> Biodomain: Proteostasis, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Clathrin-Coated Endocytic Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Vasculature
GO Term: Phagocytic Vesicle Membrane -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Synaptic Vesicle Membrane -> Biodomain: Synapse, Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Axolemma -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Myelination
GO Term: Protein-Macromolecule Adaptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Endolysosome
GO Term: Ribonuclease P Complex -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Mitochondrial Ribonuclease P Complex -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Multimeric Ribonuclease P Complex -> Biodomain: RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Epigenetic
GO Term: Preribosome -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, Mitochondrial Metabolism
GO Term: 90S Preribosome -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Epigenetic
GO Term: Preribosome, Large Subunit Precursor -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Preribosome, Small Subunit Precursor -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Noc1P-Noc2P Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Noc2P-Noc3P Complex -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle
GO Term: Noc4P-Nop14P Complex -> Biodomain: Proteostasis, Cell Cycle, RNA Spliceosome, Autophagy, Structural Stabilization
GO Term: Gtpase Regulator Activity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Trna (Uracil(54)-C5)-Methyltransferase Activity, S-Adenosyl Methionine-Dependent -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Vitelline Membrane Formation -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Cytoskeleton-Dependent Intracellular Transport -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Synapse, Autophagy
GO Term: Germ-Line Stem Cell Population Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: P Granule Organization -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Ovulation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Acetoacetate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Triglyceride Storage -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Guanidinoacetate N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Synapse, Autophagy
GO Term: Carnosine N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Gtp-Dependent Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Endolysosome
GO Term: Amine N-Methyltransferase Activity -> Biodomain: Epigenetic, Lipid Metabolism, Synapse, Mitochondrial Metabolism, Proteostasis
GO Term: Pyridine N-Methyltransferase Activity -> Biodomain: Methylation Processes, SAM Metabolism, Alkaloid Biosynthesis, Nitrogen Compound Metabolism, Small Molecule Biochemistry
GO Term: Arsenite Methyltransferase Activity -> Biodomain: Metal Binding and Homeostasis, Epigenetic, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Actin Filament Length -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Immune Response, Proteostasis
GO Term: Regulation Of Actin Filament Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Regulation Of Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Negative Regulation Of Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Actin Filament Polymerization -> Biodomain: Structural Stabilization, Cytoskeletal Organization, Cell Motility, Cellular Stress Response, Cell Integrity Maintenance
GO Term: Positive Regulation Of Actin Filament Polymerization -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Positive Regulation Of Intermediate Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Phospholipase C-Inhibiting G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Oxidative Stress
GO Term: Autosome -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Prostate Gland Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis
GO Term: Granulocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Epigenetic, Cell Cycle
GO Term: Regulation Of Granulocyte Differentiation -> Biodomain: Immune Response, Epigenetic, Oxidative Stress, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Granulocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Granulocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Epithelial Cell Differentiation -> Biodomain: Immune Response, Structural Stabilization, Epigenetic, Cell Cycle, Vasculature
GO Term: Regulation Of Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Epithelial Cell Differentiation -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Structural Stabilization, Immune Response
GO Term: Positive Regulation Of Epithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Structural Stabilization, Proteostasis
GO Term: Polarized Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Polarized Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Endolysosome, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Positive Regulation Of Polarized Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Cortical Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Cortical Actin Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Cortical Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Autophagy
GO Term: Cortical Actin Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Immune Response
GO Term: Rough Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Smooth Endoplasmic Reticulum Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Mre11 Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Beta-Catenin Destruction Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Autophagy
GO Term: Thyroid Gland Development -> Biodomain: Endocrine, Developmental Biology, Hormone Signaling, Metabolic Processes, Cell Growth and Differentiation
GO Term: Mammary Gland Development -> Biodomain: Cell Cycle, Lipid Metabolism, Vasculature, Apoptosis, Autophagy
GO Term: Rna Polymerase Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Beta-2-Microglobulin Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Lipid Antigen Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Endogenous Lipid Antigen Binding -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Exogenous Lipid Antigen Binding -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Myeloid Dendritic Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Myeloid Dendritic Cell Activation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of B Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Negative Regulation Of B Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of B Cell Proliferation -> Biodomain: Immune Response, Mitochondrial Metabolism, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Vcb Complex -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Vasculature, Apoptosis
GO Term: Mitotic Cohesin Complex -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Proteostasis
GO Term: Meiotic Cohesin Complex -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, DNA Repair
GO Term: Replisome -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic
GO Term: Apolipoprotein B Mrna Editing Enzyme Complex -> Biodomain: Lipid Metabolism, RNA Spliceosome, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Checkpoint Clamp Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Hops Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Calcium-Dependent Atpase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: Forebrain Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Midbrain Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Hindbrain Development -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Cell Cycle, Myelination
GO Term: Notochord Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Retromer Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Retromer, Tubulation Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Retromer, Cargo-Selective Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Olfactory Placode Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Autophagy
GO Term: Tpr Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Synapse
GO Term: Paranodal Junction Assembly -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism
GO Term: Smc5-Smc6 Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Otic Vesicle Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Midbrain-Hindbrain Boundary Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, DNA Repair
GO Term: Endoplasmic Reticulum Signal Peptide Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Mitochondrion Targeting Sequence Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Endolysosome, Immune Response, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Apoptosis, Structural Stabilization
GO Term: Establishment Or Maintenance Of Actin Cytoskeleton Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Establishment Or Maintenance Of Microtubule Cytoskeleton Polarity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Tau Homeostasis
GO Term: Astral Microtubule Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Astral Microtubule Nucleation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Potassium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Apoptosis, Immune Response
GO Term: Glutamyl-Trna(Gln) Amidotransferase Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Tat Protein Binding -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Retrograde Protein Transport, Er To Cytosol -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Receptor Tyrosine Kinase Binding -> Biodomain: Vasculature, Immune Response, Synapse, Cell Cycle, Endolysosome
GO Term: Thiamine Pyrophosphate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Thiamine Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Thiamine Pyrophosphate Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Taurine Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Synapse, Structural Stabilization
GO Term: Cortical Microtubule Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Mismatched Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Kininogen Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Intraciliary Transport Particle -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Intraciliary Transport Particle A -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Intraciliary Transport Particle B -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Centriole-Centriole Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Caffeine -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Potassium Ion-Transporting Atpase Complex -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Filamin Binding -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Cell Cycle, Immune Response
GO Term: Iswi-Type Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Ino80 Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Extracellular Matrix -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Troponin I Binding -> Biodomain: Muscle System, Cardiovascular, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Troponin T Binding -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Autophagy, Cell Cycle
GO Term: Pancreas Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Exocrine Pancreas Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Endocrine Pancreas Development -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature
GO Term: Interphase Microtubule Organizing Center -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Nuclear Migration Along Microfilament -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Microtubule Organizing Center Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Actomyosin Structure Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Myosin Filament Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Myosin Ii Filament Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Dense Core Granule -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Regulatory Ncrna-Mediated Gene Silencing -> Biodomain: Epigenetic, RNA Spliceosome, Immune Response, Cell Cycle, Autophagy
GO Term: Regulatory Ncrna-Mediated Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Primary Mirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Pre-Mirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Immune Response, Autophagy
GO Term: Hair Follicle Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Cysteine Desulfurase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Heat Shock Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Cholesterol 26-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Embryonic Camera-Type Eye Development -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis, Vasculature
GO Term: Post-Embryonic Camera-Type Eye Development -> Biodomain: Vasculature, Synapse, Structural Stabilization, Myelination, Cell Cycle
GO Term: Histone H3K14 Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, Proteostasis, Autophagy, DNA Repair, Cell Cycle
GO Term: Nuclear Pore Outer Ring -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Bloc-1 Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Bloc-2 Complex -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Vasculature
GO Term: Bloc-3 Complex -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Vasculature
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Independent Decay -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Deadenylation-Independent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Platelet Dense Granule Membrane -> Biodomain: Vasculature, Metal Binding and Homeostasis, Proteostasis, Immune Response, Synapse
GO Term: Platelet Dense Granule Lumen -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Immune Response, Oxidative Stress
GO Term: Organelle Membrane -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Platelet Alpha Granule -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Platelet Alpha Granule Membrane -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Platelet Alpha Granule Lumen -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Platelet Dense Tubular Network -> Biodomain: Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Immune Response, Oxidative Stress
GO Term: Platelet Dense Tubular Network Membrane -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Immune Response, Lipid Metabolism
GO Term: Stress-Activated Protein Kinase Signaling Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Tau Homeostasis, Proteostasis
GO Term: Animal Organ Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Neuron Projection Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Axon Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Myelination
GO Term: Dendrite Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Septin Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Septin Ring Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Autophagy
GO Term: Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Negative Regulation Of Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Microtubule Polymerization -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Synapse, Proteostasis
GO Term: Regulation Of Microtubule Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Negative Regulation Of Microtubule Polymerization -> Biodomain: Cell Cycle, Structural Stabilization, Tau Homeostasis, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Microtubule Polymerization -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Proteostasis, Synapse
GO Term: Positive Regulation Of Microtubule Depolymerization -> Biodomain: Cell Cycle, Tau Homeostasis, Proteostasis, Apoptosis, Autophagy
GO Term: Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Trna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Snrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Cytoplasmic Microtubule Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Rna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Rrna 3'-End Processing -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic
