Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Very-Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Vasculature, Mitochondrial Metabolism
GO Term: Negative Regulation Of Udp-Glucose Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, APP Metabolism, Cell Cycle
GO Term: Regulation Of Glucose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Glucose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Cell Cycle, Endolysosome
GO Term: Regulation Of Heparan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Immune Response, Vasculature
GO Term: Positive Regulation Of Heparan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, APP Metabolism, Vasculature, Synapse
GO Term: Negative Regulation Of Very-Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Mitochondrial Membrane Potential -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Mitochondrial Membrane Potential -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Inositol Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Tau Homeostasis, APP Metabolism
GO Term: Positive Regulation Of Phosphatase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Phosphatase Activity -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Macrophage Tolerance Induction -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Regulation Of Macrophage Cytokine Production -> Biodomain: Immune Response, Epigenetic, Endolysosome, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Macrophage Cytokine Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Nadph Pyrophosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Negative Regulation Of Transcription By Competitive Promoter Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Coenzyme A Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Cell Cycle Process -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Autophagy
GO Term: Negative Regulation Of Intestinal Phytosterol Absorption -> Biodomain: Lipid Metabolism, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Negative Regulation Of Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Apoptosis
GO Term: Positive Regulation Of Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Protein Processing -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Protein Processing -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, APP Metabolism
GO Term: Negative Regulation Of Vitamin D Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Regulation Of Metal Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Magnesium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Intracellular Magnesium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Mitotic Sister Chromatid Separation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Regulation Of Phosphate Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Microtubule Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Transport Along Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Tau Homeostasis
GO Term: Positive Regulation Of G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Apoptosis
GO Term: Negative Regulation Of G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Autophagy
GO Term: Regulation Of Neuron Projection Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Myelination
GO Term: Positive Regulation Of Neuron Projection Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Proteostasis
GO Term: Negative Regulation Of Neuron Projection Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Positive Regulation Of Vitamin D 24-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of High-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Immune Response
GO Term: Negative Regulation Of Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Negative Regulation Of High-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Autophagy
GO Term: Regulation Of Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Ubiquitin Recycling -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Free Ubiquitin Chain Polymerization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Cellular Homeostasis
GO Term: Response To Auditory Stimulus -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Epigenetic
GO Term: Anaphase-Promoting Complex Binding -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Regulation Of Translational Initiation By Eif2 Alpha Phosphorylation -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Immune Response
GO Term: Programmed Cell Death -> Biodomain: Apoptosis, Autophagy, Oxidative Stress, Proteostasis, Immune Response
GO Term: Induction Of Programmed Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Endomembrane System -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Er To Golgi Transport Vesicle Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Trans-Golgi Network Transport Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Astrocyte Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Epigenetic
GO Term: Oligodendrocyte Development -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Lipid Metabolism
GO Term: Microglia Differentiation -> Biodomain: Immune Response, Synapse, Myelination, Autophagy, Endolysosome
GO Term: Microglia Development -> Biodomain: Immune Response, Cell Cycle, Synapse, Myelination, Autophagy
GO Term: Positive Regulation Of Microglia Differentiation -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Glial Cell Proliferation -> Biodomain: Myelination, Cell Cycle, Synapse, Structural Stabilization, Immune Response
GO Term: Schwann Cell Proliferation -> Biodomain: Myelination, Structural Stabilization, Synapse, Cell Cycle, Proteostasis
GO Term: Peripheral Nervous System Axon Regeneration -> Biodomain: Synapse, Myelination, Immune Response, Autophagy, Lipid Metabolism
GO Term: Regulation Of Gliogenesis -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism
GO Term: Negative Regulation Of Gliogenesis -> Biodomain: Myelination  
Synapse  
Cell Cycle  
Proteostasis  
Autophagy
GO Term: Positive Regulation Of Gliogenesis -> Biodomain: Synapse  
Myelination  
Structural Stabilization  
Cell Cycle  
Immune Response
GO Term: Neuroblast Differentiation -> Biodomain: Synapse, Myelination, Cell Cycle, Proteostasis, Autophagy
GO Term: Notochord Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Apoptosis
GO Term: Neural Crest Formation -> Biodomain: Developmental Process, Cell Differentiation, Morphogenesis, Embryonic Development, Tissue Development
GO Term: Mesenchymal Cell Development -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Lipid Metabolism, Structural Stabilization
GO Term: Neural Crest Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Myelination, Apoptosis, Synapse
GO Term: Neural Crest Cell Differentiation -> Biodomain: Developmental Process, Cell Differentiation, Stem Cell Differentiation, Cell Cycle, Tissue Development
GO Term: Neural Crest Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Synapse, Structural Stabilization, Vasculature
GO Term: Neural Crest Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Structural Stabilization
GO Term: Schwann Cell Differentiation -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Cell Cycle
GO Term: Regulation Of Schwann Cell Differentiation -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Vasculature
GO Term: Positive Regulation Of Schwann Cell Differentiation -> Biodomain: Myelination  
Synapse  
Structural Stabilization  
Lipid Metabolism  
Cell Cycle
GO Term: Regulation Of Neuron Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Positive Regulation Of Neuron Maturation -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Neuron Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Schwann Cell Development -> Biodomain: Myelination  
Synapse  
Structural Stabilization  
Cell Cycle  
Proteostasis
GO Term: Establishment Of Endothelial Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Dopamine Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Glutamate Secretion -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Glutamate Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Glutamate Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Glutamate Secretion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Gamma-Aminobutyric Acid Secretion -> Biodomain: Synapse, Transport, Neurotransmission, Amino Acid Metabolism, Cell Signaling
GO Term: Negative Regulation Of Gamma-Aminobutyric Acid Secretion -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Gamma-Aminobutyric Acid Secretion -> Biodomain: Synapse, Amino Acid Metabolism, Transport, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Acetylcholine Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Positive Regulation Of Acetylcholine Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Dopamine Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Autophagy
GO Term: Regulation Of Serotonin Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Serotonin Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Serotonin Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Vasculature
GO Term: Postsynaptic Density -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Response To Purine-Containing Compound -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Cell Cycle, Immune Response
GO Term: Response To Amine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Junctional Sarcoplasmic Reticulum Membrane -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Intercalated Disc -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: C Zone -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Striated Muscle Tissue Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Branchiomeric Skeletal Muscle Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Autophagy
GO Term: Regulation Of Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Immune Response
GO Term: Positive Regulation Of Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Skeletal Muscle Satellite Cell Activation -> Biodomain: Cell Cycle, Immune Response, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Regulation Of Skeletal Muscle Contraction By Calcium Ion Signaling -> Biodomain: Metal Binding and Homeostasis, Synapse, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Regulation Of Skeletal Muscle Contraction By Modulation Of Calcium Ion Sensitivity Of Myofibril -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of The Force Of Skeletal Muscle Contraction -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Spectrin-Associated Cytoskeleton -> Biodomain: Structural Stabilization, Cytoskeleton Organization, Plasma Membrane Organization, Cell Adhesion, Cell Morphogenesis
GO Term: Skeletal Muscle Atrophy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Skeletal Muscle Adaptation -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Skeletal Muscle Hypertrophy -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Muscle Atrophy -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Muscle Atrophy -> Biodomain: Muscle System Process, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Muscle Hyperplasia -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Negative Regulation Of Muscle Hyperplasia -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Muscle Hypertrophy -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Longitudinal Sarcoplasmic Reticulum -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Terminal Cisterna -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Terminal Cisterna Lumen -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy
GO Term: Smooth Muscle Adaptation -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Smooth Muscle Hyperplasia -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis
GO Term: Regulation Of Somitogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Regulation Of Skeletal Muscle Contraction By Regulation Of Release Of Sequestered Calcium Ion -> Biodomain: Metal Binding and Homeostasis, Muscle Function, Intracellular Signaling, Endolysosome, Cellular Regulation
GO Term: Positive Regulation Of Skeletal Muscle Contraction By Regulation Of Release Of Sequestered Calcium Ion -> Biodomain: Calcium Signaling, Muscle Function, Intracellular Signaling, Ion Transport, Cellular Regulation
GO Term: Muscle Cell Migration -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Skeletal Muscle Satellite Cell Commitment -> Biodomain: Developmental, Muscle, Stem Cell, Cell Lineage Specification, Tissue Regeneration
GO Term: Skeletal Muscle Satellite Cell Differentiation -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Autophagy, Proteostasis, Cell Cycle
GO Term: Regulation Of Skeletal Muscle Contraction -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Myelination, Lipid Metabolism
GO Term: Tonic Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Detection Of Wounding -> Biodomain: Immune Response, Response to Stress, Detection of External Stimulus, Inflammation, Cell Surface Receptor Signaling
GO Term: Response To Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Artery Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Oxidative Stress
GO Term: Vein Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Intestine Smooth Muscle Contraction -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Vascular Associated Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Urinary Bladder Smooth Muscle Contraction -> Biodomain: Muscle System Process, Smooth Muscle Contraction, Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Skeletal Muscle Satellite Cell Maintenance Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Apoptosis, Proteostasis
GO Term: Myoblast Differentiation Involved In Skeletal Muscle Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Myoblast Migration Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Apoptosis, Immune Response
GO Term: Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Regulation Of Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Growth Factor Dependent Regulation Of Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Esophagus Smooth Muscle Contraction -> Biodomain: Muscle System, Smooth Muscle Contraction, Muscle Contraction, System Process, Structural Stabilization
GO Term: Response To Muscle Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Excitatory Postsynaptic Membrane Potential Involved In Skeletal Muscle Contraction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Response To Inactivity -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Muscle Structure, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Regulation Of Skeletal Muscle Contraction Via Regulation Of Action Potential -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Myelination
GO Term: Skeletal Myofibril Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Response To Muscle Inactivity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Response To Muscle Activity Involved In Regulation Of Muscle Adaptation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Response To Injury Involved In Regulation Of Muscle Adaptation -> Biodomain: Oxidative Stress, Proteostasis, Structural Stabilization, Apoptosis, Synapse
GO Term: Response To Electrical Stimulus Involved In Regulation Of Muscle Adaptation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Transition Between Fast And Slow Fiber -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Transition Between Slow And Fast Fiber -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Muscle Atrophy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Striated Muscle Atrophy -> Biodomain: Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Response To Denervation Involved In Regulation Of Muscle Adaptation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Smooth Muscle Hypertrophy -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Muscle Hypertrophy -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Cardiac Muscle Hypertrophy In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Apoptosis
GO Term: Myotube Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Myotube Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Apoptosis
GO Term: Myoblast Fusion Involved In Skeletal Muscle Regeneration -> Biodomain: Structural Stabilization, Autophagy, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Myotube Cell Development Involved In Skeletal Muscle Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Cell Differentiation, Developmental Process, Growth
GO Term: Myotube Differentiation Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Regulation Of Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Proteostasis
GO Term: Positive Regulation Of Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Lung Blood Pressure -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Heparan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Vasculature, Immune Response
GO Term: Heparan Sulfate N-Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Galactosylgalactosylxylosylprotein 3-Beta-Glucuronosyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Heparan-Alpha-Glucosaminide N-Acetyltransferase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Glucuronosyltransferase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Glucuronate-2-Sulfatase Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Coreceptor Activity -> Biodomain: Signaling, Immune Response, Vasculature, Proteostasis, Synapse
GO Term: Cajal Body -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Protein Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Protein-Disulfide Reductase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Disulfide Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
