Running with TEMP=0.9, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Immune Response, Tau Homeostasis
GO Term: U2-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Endolysosome, Immune Response
GO Term: U1 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, APP Metabolism, Tau Homeostasis, Epigenetic
GO Term: U2 Snrnp -> Biodomain: RNA Spliceosome, Tau Homeostasis, Proteostasis, Epigenetic, Apoptosis
GO Term: U4 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Oxidative Stress
GO Term: U6 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Epigenetic, DNA Repair
GO Term: U12-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, APP Metabolism, Epigenetic
GO Term: U4Atac Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Tau Homeostasis
GO Term: U6Atac Snrnp -> Biodomain: RNA Spliceosome, Tau Homeostasis, APP Metabolism, Proteostasis, Autophagy
GO Term: U11 Snrnp -> Biodomain: RNA Spliceosome, Tau Homeostasis, Proteostasis, Epigenetic, DNA Repair
GO Term: U12 Snrnp -> Biodomain: RNA Spliceosome, Tau Homeostasis, APP Metabolism, Proteostasis, Apoptosis
GO Term: Chromosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Telomerase Holoenzyme Complex -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Epigenetic, Structural Stabilization
GO Term: Polytene Chromosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Chiasma -> Biodomain: DNA Repair, Cell Cycle, APP Metabolism, Epigenetic, Tau Homeostasis
GO Term: Recombination Nodule -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Late Recombination Nodule -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Pericentric Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Perichromatin Fibrils -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Nucleolus -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, RNA Spliceosome
GO Term: Nucleolus Organizer Region -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Epigenetic, Cell Cycle
GO Term: Sno(S)Rna-Containing Ribonucleoprotein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Mitochondrial Metabolism, Synapse
GO Term: Rna Polymerase I Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, Oxidative Stress
GO Term: Cytoplasm -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mitochondrial Envelope -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Mitochondrial Outer Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Tim23 Mitochondrial Import Inner Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: M-Aaa Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Tau Homeostasis
GO Term: Mitochondrial Permeability Transition Pore Complex -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Mitochondrial Intermembrane Space -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Gamma Dna Polymerase Complex -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Proteostasis, Autophagy
GO Term: Mitochondrial Ribosome -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Mitochondrial Large Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Mitochondrial Small Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Lysosomal Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, APP Metabolism, Lipid Metabolism
GO Term: Secondary Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, APP Metabolism, Lipid Metabolism
GO Term: Endosome -> Biodomain: Endolysosome, APP Metabolism, Autophagy, Proteostasis, Immune Response
GO Term: Early Endosome -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Synapse
GO Term: Late Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Immune Response
GO Term: Multivesicular Body -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Tau Homeostasis
GO Term: Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, APP Metabolism, Lipid Metabolism
GO Term: Vacuolar Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Vacuolar Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Autophagosome -> Biodomain: Autophagy, Proteostasis, Endolysosome, Tau Homeostasis, APP Metabolism
GO Term: Peroxisome -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Peroxisomal Membrane -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Peroxisomal Matrix -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Endoplasmic Reticulum -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Oxidative Stress, Endolysosome
GO Term: Sec61 Translocon Complex -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Signal Recognition Particle Receptor Complex -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Lipid Metabolism, Autophagy
GO Term: Signal Recognition Particle, Endoplasmic Reticulum Targeting -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Synapse
GO Term: Signal Peptidase Complex -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Immune Response
GO Term: Endoplasmic Reticulum Lumen -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Apoptosis, Mitochondrial Metabolism
GO Term: Smooth Endoplasmic Reticulum -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, APP Metabolism
GO Term: Rough Endoplasmic Reticulum -> Biodomain: Proteostasis, APP Metabolism, Synapse, Endolysosome, Lipid Metabolism
GO Term: Endoplasmic Reticulum-Golgi Intermediate Compartment -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Golgi Apparatus -> Biodomain: APP Metabolism, Tau Homeostasis, Endolysosome, Proteostasis, Synapse
GO Term: Golgi Stack -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Golgi Lumen -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Golgi Medial Cisterna -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Golgi-Associated Vesicle -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Cis-Golgi Network -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Trans-Golgi Network -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Lipid Droplet -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Centrosome -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Centriole -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Microtubule Organizing Center -> Biodomain: Tau Homeostasis, Structural Stabilization, Autophagy, Endolysosome, Apoptosis
GO Term: Aster -> Biodomain: Cell Cycle, Tau Homeostasis, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Spindle -> Biodomain: Cell Cycle, Tau Homeostasis, DNA Repair, Apoptosis, Structural Stabilization
GO Term: Actomyosin Contractile Ring -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Polar Microtubule -> Biodomain: Tau Homeostasis, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Kinetochore Microtubule -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Apoptosis, Proteostasis
GO Term: Cytosol -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Chaperonin-Containing T-Complex -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Hemoglobin Complex -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Vasculature
GO Term: Heterotrimeric G-Protein Complex -> Biodomain: Synapse, APP Metabolism, Proteostasis, Immune Response, Oxidative Stress
GO Term: Proteasome Regulatory Particle -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Oxidative Stress, Endolysosome
GO Term: Proteasome Core Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Ribosome -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Synapse
GO Term: Nuclear Cap Binding Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Mrna Cleavage And Polyadenylation Specificity Factor Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Mrna Cleavage Stimulating Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, APP Metabolism, Epigenetic, Tau Homeostasis
GO Term: Mrna Cleavage Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, APP Metabolism, Tau Homeostasis
GO Term: Eukaryotic Translation Initiation Factor 2 Complex -> Biodomain: Proteostasis, Synapse, APP Metabolism, Tau Homeostasis, Endolysosome
GO Term: Eukaryotic Translation Initiation Factor 2B Complex -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Eukaryotic Translation Initiation Factor 3 Complex -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Synapse
Saved results to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.9/go_biodomain_results_part_5.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.9/runtime_log.csv
