Running with TEMP=0.5, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis, Metal Binding and Homeostasis
GO Term: Globus Pallidus Development -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Limbic System Development -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Oxidative Stress, Immune Response
GO Term: Substantia Nigra Development -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Autophagy, Apoptosis
GO Term: Subthalamic Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Tau Homeostasis, Autophagy
GO Term: Amygdala Development -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Hippocampus Development -> Biodomain: Synapse, Endolysosome, Tau Homeostasis, Structural Stabilization, Proteostasis
GO Term: Mammillary Body Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Immune Response, Tau Homeostasis
GO Term: Nucleus Accumbens Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Tau Homeostasis
GO Term: Orbitofrontal Cortex Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Lateral Geniculate Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Immune Response
GO Term: Olfactory Bulb Development -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, APP Metabolism, Endolysosome
GO Term: Striatal Medium Spiny Neuron Differentiation -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Smoothened Signaling Pathway Involved In Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Structural Stabilization, APP Metabolism, Immune Response, Autophagy
GO Term: Smoothened Signaling Pathway Involved In Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Cell Cycle, Apoptosis
GO Term: Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Oligodendrocyte Cell Fate Commitment -> Biodomain: Myelination, Immune Response, Synapse, Structural Stabilization, Cell Cycle
GO Term: Glial Cell Fate Specification -> Biodomain: Immune Response, Synapse, Endolysosome, Myelination, Proteostasis
GO Term: Glial Cell Fate Commitment -> Biodomain: Immune Response, Synapse, Myelination, Proteostasis, Endolysosome
GO Term: Glial Cell Development -> Biodomain: Immune Response, Synapse, Myelination, Endolysosome, Proteostasis
GO Term: Postganglionic Parasympathetic Fiber Development -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Endolysosome
GO Term: Branchiomotor Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Tau Homeostasis, Proteostasis
GO Term: Chemorepulsion Of Branchiomotor Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Thalamus Development -> Biodomain: Synapse, Structural Stabilization, Autophagy, Endolysosome, Immune Response
GO Term: Cerebral Cortex Cell Migration -> Biodomain: Synapse, Tau Homeostasis, Immune Response, Structural Stabilization, Endolysosome
GO Term: Cerebral Cortex Regionalization -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Immune Response, Autophagy
GO Term: Forebrain Anterior/Posterior Pattern Specification -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Immune Response
GO Term: Forebrain Dorsal/Ventral Pattern Formation -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Cell Cycle, Endolysosome
GO Term: Cerebral Cortex Radially Oriented Cell Migration -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Cerebral Cortex Tangential Migration -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Cerebral Cortex Radial Glia-Guided Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Immune Response, Proteostasis
GO Term: Neuronal-Glial Interaction Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Proteostasis
GO Term: Cell-Cell Adhesion Involved In Neuronal-Glial Interactions Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Immune Response, Endolysosome
GO Term: Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Immune Response
GO Term: Extension Of A Leading Process Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Cell Cycle, Autophagy
GO Term: Nucleokinesis Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Tau Homeostasis, Proteostasis
GO Term: Layer Formation In Cerebral Cortex -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Myelination, Epigenetic
GO Term: Negative Regulation Of Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Tau Homeostasis, Immune Response
GO Term: Gonadotrophin-Releasing Hormone Neuronal Migration To The Hypothalamus -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Immune Response
GO Term: Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Chemorepulsion Involved In Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Immune Response, Proteostasis
GO Term: Chemorepulsion Involved In Postnatal Olfactory Bulb Interneuron Migration -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Proteostasis
GO Term: Chemorepulsion Involved In Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Immune Response, Proteostasis
GO Term: Cell Proliferation In Forebrain -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Ventricular Zone Neuroblast Division -> Biodomain: Cell Cycle, Synapse, Tau Homeostasis, APP Metabolism, Endolysosome
GO Term: Neuroblast Division In Subventricular Zone -> Biodomain: Neurogenesis, Cell Cycle, Developmental Process, Structural Stabilization, Synapse
GO Term: Pyramidal Neuron Migration To Cerebral Cortex -> Biodomain: Synapse, Tau Homeostasis, Cell Cycle, Structural Stabilization, Endolysosome
GO Term: Cerebral Cortex Gabaergic Interneuron Migration -> Biodomain: Synapse, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Hypothalamus Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Immune Response
GO Term: Hypothalamus Cell Migration -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Endolysosome, Immune Response
GO Term: Gabaergic Neuron Differentiation In Basal Ganglia -> Biodomain: Synapse, Cell Cycle, Apoptosis, Structural Stabilization, Tau Homeostasis
GO Term: Pyramidal Neuron Differentiation -> Biodomain: Synapse, Cell Differentiation, Structural Stabilization, Tau Homeostasis, Endolysosome
GO Term: Pyramidal Neuron Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Apoptosis
GO Term: Forebrain Radial Glial Cell Differentiation -> Biodomain: Neurogenesis, Gliogenesis, Cell Differentiation, Nervous System Development, Developmental Process
GO Term: Forebrain Ventricular Zone Progenitor Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Tau Homeostasis, Endolysosome
GO Term: Cajal-Retzius Cell Differentiation -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Immune Response, Epigenetic
GO Term: Forebrain Regionalization -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, APP Metabolism, Cell Cycle
GO Term: Forebrain Generation Of Neurons -> Biodomain: Neurogenesis, Synapse, Tau Homeostasis, Proteostasis, Cell Cycle
GO Term: Forebrain Neuroblast Division -> Biodomain: Synapse, Cell Cycle, APP Metabolism, Tau Homeostasis, Structural Stabilization
GO Term: Wnt Signaling Pathway Involved In Forebrain Neuroblast Division -> Biodomain: Neurogenesis, Developmental Biology, Signaling Pathways, Molecular Mechanisms of Diseases, Nervous System Development
GO Term: Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Autophagy, Cell Cycle
GO Term: Forebrain Neuron Differentiation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Endolysosome, Autophagy
GO Term: Forebrain Neuron Development -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Forebrain Cell Migration -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Hypothalamus Gonadotrophin-Releasing Hormone Neuron Development -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Immune Response, Endolysosome
GO Term: Olfactory Bulb Interneuron Differentiation -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, APP Metabolism, Endolysosome
GO Term: Olfactory Bulb Interneuron Development -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Cerebral Cortex Gabaergic Interneuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Autophagy, Proteostasis
GO Term: Cerebral Cortex Gabaergic Interneuron Fate Commitment -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Immune Response, Autophagy
GO Term: Cerebral Cortex Gabaergic Interneuron Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis
GO Term: Cerebral Cortex Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Forebrain Astrocyte Development -> Biodomain: Structural Stabilization, Synapse, Immune Response, Endolysosome, Proteostasis
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Immune Response, Autophagy
GO Term: Commitment Of Neuronal Cell To Specific Neuron Type In Forebrain -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Tau Homeostasis
GO Term: Rostrocaudal Neural Tube Patterning -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Tau Homeostasis
GO Term: Dorsal/Ventral Neural Tube Patterning -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Epigenetic
GO Term: Forebrain-Midbrain Boundary Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Neural Tube Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Synapse, Tau Homeostasis
GO Term: Cell Proliferation In External Granule Layer -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Autophagy, Developmental Process
GO Term: Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Developmental Process, Neural Stem Cells, Synapse, Immune Response
GO Term: Radial Glia Guided Migration Of Cerebellar Granule Cell -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Hindbrain Tangential Cell Migration -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Cerebellar Granule Cell Precursor Tangential Migration -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Developmental Process, Synapse, Autophagy
GO Term: Cerebellar Purkinje Cell-Granule Cell Precursor Cell Signaling -> Biodomain: Synapse, Proteostasis, APP Metabolism, Tau Homeostasis, Oxidative Stress
GO Term: Positive Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Synapse, Autophagy, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Synapse, Developmental Process
GO Term: Radial Glia Guided Migration Of Purkinje Cell -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Autophagy, Lipid Metabolism
GO Term: Formation Of Radial Glial Scaffolds -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Tau Homeostasis
Saved results to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.5/go_biodomain_results_part_12.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.5/runtime_log.csv
