Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Establishment Of Epithelial Cell Polarity -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Asymmetric Golgi Ribbon Formation -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Golgi Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Golgi Reassembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Regulation Of Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Regulation Of Golgi Inheritance -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Organelle Membrane Fusion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Establishment Of Planar Polarity -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Unknown
GO Term: Microtubule Cytoskeleton Organization Involved In Establishment Of Planar Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Synapse, Proteostasis
GO Term: Establishment Of Planar Polarity Involved In Neural Tube Closure -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Establishment Of Planar Polarity Involved In Neural Tube Closure -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Apoptosis, Unknown
GO Term: Regulation Of Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Regulation Of Kidney Development -> Biodomain: Vasculature, Structural Stabilization, Organ Development, Tissue Morphogenesis, Cell Differentiation
GO Term: Positive Regulation Of Kidney Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Positive Regulation Of Pancreatic Juice Secretion -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Epigenetic, Mitochondrial Metabolism
GO Term: Negative Regulation Of Pancreatic Juice Secretion -> Biodomain: Vasculature, Proteostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Regulation Of Branching Involved In Ureteric Bud Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Unknown
GO Term: Positive Regulation Of Branching Involved In Ureteric Bud Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Vasculature
GO Term: Negative Regulation Of Branching Involved In Ureteric Bud Morphogenesis -> Biodomain: Structural Stabilization, Apoptosis, Epigenetic, Cell Cycle, Vasculature
GO Term: Positive Regulation Of Glomerulus Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Glomerulus Development -> Biodomain: Vasculature, Structural Stabilization, Unknown, Apoptosis, Immune Response
GO Term: Regulation Of Release Of Cytochrome C From Mitochondria -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Release Of Cytochrome C From Mitochondria -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Negative Regulation Of Release Of Cytochrome C From Mitochondria -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Protein Localization To Nuclear Pore -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Epigenetic, Unknown
GO Term: Positive Regulation Of Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Vasculature
GO Term: Regulation Of Triglyceride Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Triglyceride Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Triglyceride Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Regulation Of Establishment Of Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Epigenetic
GO Term: Negative Regulation Of Establishment Of Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Unknown
GO Term: Positive Regulation Of Lipid Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Chromosome Localization To Nuclear Envelope Involved In Homologous Chromosome Segregation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Unknown
GO Term: Centrosome-Templated Microtubule Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Regulation Of Centromere Complex Assembly -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, DNA Repair
GO Term: Regulation Of Kinetochore Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Regulation Of Metaphase Plate Congression -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Regulation Of Arachidonate Secretion -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: Positive Regulation Of Arachidonate Secretion -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Wnt Signaling Pathway Involved In Somitogenesis -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis, Immune Response
GO Term: Axis Elongation Involved In Somitogenesis -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Proteostasis
GO Term: Convergent Extension Involved In Somitogenesis -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Unknown, Immune Response
GO Term: Regulation Of Cell Migration Involved In Somitogenic Axis Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Epigenetic
GO Term: Protein Localization Involved In Establishment Of Planar Polarity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Epigenetic, Unknown
GO Term: Regulation Of Muscle System Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Vasculature
GO Term: Negative Regulation Of Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Regulation Of Retinal Ganglion Cell Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Lipid Metabolism
GO Term: Negative Regulation Of Retinal Ganglion Cell Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Inclusion Body Assembly -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Regulation Of Transcription-Coupled Nucleotide-Excision Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Canonical Wnt Signaling Pathway -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Regulation Of Immune Complex Clearance By Monocytes And Macrophages -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Immune Complex Clearance By Monocytes And Macrophages -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Unknown
GO Term: Positive Regulation Of Fibroblast Growth Factor Production -> Biodomain: Immune Response, Vasculature, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Negative Regulation Of Fibroblast Growth Factor Production -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Somatostatin Secretion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Unknown
GO Term: Negative Regulation Of Somatostatin Secretion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Synapse, Immune Response
GO Term: Regulation Of Peptide Hormone Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Epigenetic
GO Term: Positive Regulation Of Peptide Hormone Secretion -> Biodomain: Unknown, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Regulation Of Calcium Ion Import -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Positive Regulation Of Calcium Ion Import -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Synapse
GO Term: Negative Regulation Of Calcium Ion Import -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Synapse, Vasculature
GO Term: Regulation Of Cellular Response To Growth Factor Stimulus -> Biodomain: Cell Cycle, Apoptosis, Vasculature, Immune Response, Proteostasis
GO Term: Negative Regulation Of Cellular Response To Growth Factor Stimulus -> Biodomain: Cell Cycle, Autophagy, Proteostasis, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Osteoclast Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Osteoclast Proliferation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Metal Binding and Homeostasis, Epigenetic
GO Term: Nuclear Matrix Anchoring At Nuclear Membrane -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Regulation Of Mitochondrial Dna Replication -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Proteostasis, Unknown
GO Term: Positive Regulation Of Mitochondrial Dna Replication -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Mitochondrial Dna Replication -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Neural Crest Formation -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization, Unknown
GO Term: Positive Regulation Of Wound Healing -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Nucleic Acid Metabolic Process -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Apoptosis
GO Term: Meiotic Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: Mitotic Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Mitochondrial Metabolism
GO Term: Negative Regulation Of Dna Methylation-Dependent Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Unknown
GO Term: Regulation Of Protein Deacetylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Positive Regulation Of Protein Deacetylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Protein Targeting To Membrane -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Protein Targeting To Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Negative Regulation Of Protein Targeting To Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Intracellular Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Intracellular Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Synapse
GO Term: Regulation Of Chylomicron Remodeling -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Chylomicron Remodeling -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Chylomicron Remnant Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Autophagy
GO Term: Regulation Of Superoxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Oxidative Phosphorylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Locomotion Involved In Locomotory Behavior -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Positive Regulation Of Locomotion Involved In Locomotory Behavior -> Biodomain: Synapse, Structural Stabilization, Myelination, Tau Homeostasis, Unknown
GO Term: Negative Regulation Of Locomotion Involved In Locomotory Behavior -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Unknown
GO Term: Regulation Of Platelet Aggregation -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Negative Regulation Of Platelet Aggregation -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Brown Fat Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Thermogenesis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Brown Fat Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Secretion Of Lysosomal Enzymes -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Secretion Of Lysosomal Enzymes -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Organofluorine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Negative Regulation Of Organofluorine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Platelet-Derived Growth Factor Production -> Biodomain: Vasculature, Immune Response, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Platelet-Derived Growth Factor Production -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Epigenetic
GO Term: Regulation Of Proteasome Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Mrna Modification -> Biodomain: Epigenetic, RNA Spliceosome, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Regulation Of Ornithine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Metabolism, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Cholesterol Efflux -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Phagosome Maturation -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Phagosome Acidification -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Phagosome-Lysosome Docking -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Apoptosis
GO Term: Phagosome-Lysosome Fusion -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Phagosome-Lysosome Fusion Involved In Apoptotic Cell Clearance -> Biodomain: Apoptosis, Endolysosome, Immune Response, Autophagy, Proteostasis
GO Term: Negative Regulation Of Excitatory Postsynaptic Potential -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Cellular Senescence -> Biodomain: Cell Cycle, Apoptosis, Oxidative Stress, DNA Repair, Proteostasis
GO Term: Replicative Senescence -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Epigenetic, Proteostasis
GO Term: Stress-Induced Premature Senescence -> Biodomain: Oxidative Stress, Cell Cycle, DNA Repair, Proteostasis, Apoptosis
GO Term: Oncogene-Induced Cell Senescence -> Biodomain: Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis, DNA Repair
GO Term: Oxidative Stress-Induced Premature Senescence -> Biodomain: Oxidative Stress, Apoptosis, DNA Repair, Autophagy, Cell Cycle
GO Term: Organophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Lipid Metabolism, Cell Cycle, Metal Binding and Homeostasis
GO Term: Malonyl-Coa Synthetase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Malonate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nicotinate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Thiamine Pyrophosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Acinar Cell Differentiation -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Autophagy, Endolysosome
GO Term: Activation Of Meiosis -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Palmitoyl-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Oleoyl-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Protein Localization To Nuclear Envelope -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Far/Sin/Stripak Complex -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Epigenetic, Synapse
GO Term: Intracellular Aspartate Homeostasis -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Intracellular Glutamate Homeostasis -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Dibasic Protein Processing -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Epigenetic
GO Term: Pyrimidine Nucleotide-Sugar Transmembrane Transport -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Immune Response
GO Term: Vitamin Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Small Rna 2'-O-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Catecholamine Uptake -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Dopamine Uptake -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization
GO Term: Mesenchymal Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Cell Cycle
GO Term: Extrinsic Component Of Golgi Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Endocardial Cushion To Mesenchymal Transition -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Unknown
GO Term: Sphingolipid Mediated Signaling Pathway -> Biodomain: Lipid Metabolism, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Podocyte Cell Migration -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Proteostasis
GO Term: Vesicle Tethering Involved In Exocytosis -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Immune Response, Endolysosome
GO Term: Cation-Transporting Atpase Complex -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Calcium Ion-Transporting Atpase Complex -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Wich Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Norc Complex -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Unknown
GO Term: Cerf Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Unknown
GO Term: Mit Domain Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Flemming Body -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Phosphatidylcholine Floppase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Phosphatidylethanolamine Flippase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Phosphatidylserine Floppase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Establishment Of Endothelial Intestinal Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Regulation Of Membrane Permeability -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: 2-(3-Amino-3-Carboxypropyl)Histidine Synthase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Unknown, Oxidative Stress, Autophagy
GO Term: Rna Polymerase Ii Transcription Repressor Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Rna Polymerase Ii Transcription Regulator Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Apoptosis, Autophagy
GO Term: Phosphodiesterase Activity, Acting On 3'-Phosphoglycolate-Terminated Dna Strands -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Inflammatory Response To Wounding -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Sensory Organ Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Vasculature, Epigenetic
GO Term: Alpha-Glucosidase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Unknown
GO Term: Ubiquitin-Independent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Mitochondrial Mrna Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Mitochondrial Mrna 3'-End Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Epigenetic, Autophagy
GO Term: Meiotic Spindle Pole -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Unknown, Autophagy
GO Term: Endoribonuclease Activity, Cleaving Mirna-Paired Mrna -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Endolysosome
GO Term: Sirna-Mediated Gene Silencing By Mrna Destabilization -> Biodomain: Epigenetic, RNA Spliceosome, Immune Response, Proteostasis, Unknown
GO Term: Activation Of Gtpase Activity -> Biodomain: Proteostasis, Synapse, Cell Cycle, Immune Response, Autophagy
GO Term: Outer Dense Plaque Of Desmosome -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Unknown
GO Term: Inner Dense Plaque Of Desmosome -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Unknown
GO Term: Mitochondrial Trna Processing -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy, Unknown
GO Term: Response To Environmental Enrichment -> Biodomain: Synapse, Epigenetic, Immune Response, Autophagy, Oxidative Stress
GO Term: Response To Oxygen-Glucose Deprivation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Cellular Response To Oxygen-Glucose Deprivation -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Apical Cytoplasm -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Double-Stranded/Single-Stranded Junction Telomeric Dna Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: T-Circle Formation -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Telomeric Loop Disassembly -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cone Matrix Sheath -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Walking Behavior -> Biodomain: Synapse, Myelination, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cerebrospinal Fluid Circulation -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Unknown
GO Term: Box H/Aca Telomerase Rnp Complex -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Galanin-Activated Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Scarna Localization To Cajal Body -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Unknown, Cell Cycle
GO Term: Telomerase Rna Stabilization -> Biodomain: RNA Spliceosome, Oxidative Stress, Cell Cycle, Metal Binding and Homeostasis, DNA Repair
GO Term: Telomerase Rna Localization To Cajal Body -> Biodomain: DNA Repair, Structural Stabilization, RNA Spliceosome, Epigenetic, Unknown
GO Term: Endothelial Cell-Matrix Adhesion -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Intermicrovillar Adhesion -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Calcium Ion Transmembrane Transport Via Low Voltage-Gated Calcium Channel -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Proteostasis
GO Term: Reversible Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Scc2-Scc4 Cohesin Loading Complex -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Adaptive Immune Memory Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Epigenetic
GO Term: Adaptive Immune Memory Response Involving T Cells And B Cells -> Biodomain: Immune Response, Endolysosome, Epigenetic, Autophagy, Apoptosis
