Running with TEMP=0.9, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Transcription Factor Tfiif Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Transcription Factor Tfiih Holo Complex -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, RNA Spliceosome
GO Term: Chromatin Silencing Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Anaphase-Promoting Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Structural Stabilization
GO Term: Spliceosomal Complex -> Biodomain: RNA Spliceosome, RNA Metabolism, Proteostasis, Nuclear Processes, Epigenetic
GO Term: U5 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: U7 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: U2-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, RNA Processing, Nuclear Processes, Ribonucleoprotein Complex, RNA Binding
GO Term: U1 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: U2 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: U4 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: U6 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: U12-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, DNA Repair
GO Term: U4Atac Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: U6Atac Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: U11 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: U12 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, DNA Repair
GO Term: Chromosome -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Telomerase Holoenzyme Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Polytene Chromosome -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, RNA Spliceosome
GO Term: Chiasma -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Recombination Nodule -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Mitochondrial Metabolism
GO Term: Late Recombination Nodule -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Pericentric Heterochromatin -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Chromatin Organization
GO Term: Perichromatin Fibrils -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Nucleolus -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Nucleolus Organizer Region -> Biodomain: Ribosome Biogenesis, Chromatin Organization, Nuclear Organization, Transcriptional Regulation, Cell Cycle
GO Term: Sno(S)Rna-Containing Ribonucleoprotein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Rna Polymerase I Complex -> Biodomain: Epigenetic, Proteostasis, Autophagy, DNA Repair, RNA Spliceosome
GO Term: Cytoplasm -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Metal Binding and Homeostasis
GO Term: Mitochondrial Envelope -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Mitochondrial Outer Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Tim23 Mitochondrial Import Inner Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: M-Aaa Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Protein Degradation, Protein Processing, Autophagy
GO Term: Mitochondrial Permeability Transition Pore Complex -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Mitochondrial Intermembrane Space -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Apoptosis, Autophagy
GO Term: Gamma Dna Polymerase Complex -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Mitochondrial Ribosome -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Mitochondrial Large Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Mitochondrial Small Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Lysosomal Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Secondary Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Early Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Late Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Multivesicular Body -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Vacuolar Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Vacuolar Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Autophagosome -> Biodomain: Autophagy, Endolysosome, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Peroxisome -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Peroxisomal Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Peroxisomal Matrix -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Endoplasmic Reticulum -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Sec61 Translocon Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Structural Stabilization
GO Term: Signal Recognition Particle Receptor Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Apoptosis
GO Term: Signal Recognition Particle, Endoplasmic Reticulum Targeting -> Biodomain: Proteostasis, RNA Spliceosome, Endolysosome, Structural Stabilization, Autophagy
GO Term: Signal Peptidase Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Apoptosis
GO Term: Endoplasmic Reticulum Lumen -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Endoplasmic Reticulum Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Smooth Endoplasmic Reticulum -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Rough Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Endoplasmic Reticulum-Golgi Intermediate Compartment -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Golgi Apparatus -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Golgi Stack -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Golgi Lumen -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Golgi Medial Cisterna -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Cell Cycle
GO Term: Golgi-Associated Vesicle -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Cis-Golgi Network -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Trans-Golgi Network -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Lipid Droplet -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Centrosome -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Centriole -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Autophagy, Proteostasis
GO Term: Microtubule Organizing Center -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Proteostasis, Synapse
GO Term: Aster -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Spindle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Actomyosin Contractile Ring -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Polar Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Tau Homeostasis, Proteostasis, Apoptosis
GO Term: Kinetochore Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Cytosol -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Chaperonin-Containing T-Complex -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Hemoglobin Complex -> Biodomain: Vasculature, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Heterotrimeric G-Protein Complex -> Biodomain: Synapse, Proteostasis, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Proteasome Regulatory Particle -> Biodomain: Ubiquitin-Proteasome System, Proteostasis, Protein Degradation, Autophagy, Apoptosis
GO Term: Proteasome Core Complex -> Biodomain: Proteostasis, Immune Response, Apoptosis, Oxidative Stress, Cell Cycle
GO Term: Ribosome -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Structural Stabilization, Mitochondrial Metabolism
GO Term: Nuclear Cap Binding Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Mrna Cleavage And Polyadenylation Specificity Factor Complex -> Biodomain: Epigenetic,RNA Spliceosome,Proteostasis,Structural Stabilization,DNA Repair
GO Term: Mrna Cleavage Stimulating Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Mrna Cleavage Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Eukaryotic Translation Initiation Factor 2 Complex -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Epigenetic, RNA Spliceosome
GO Term: Eukaryotic Translation Initiation Factor 2B Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Eukaryotic Translation Initiation Factor 3 Complex -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Cell Cycle
GO Term: Eukaryotic Translation Elongation Factor 1 Complex -> Biodomain: Proteostasis, Epigenetic, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Nascent Polypeptide-Associated Complex -> Biodomain: Proteostasis, Structural Stabilization, Protein Synthesis, Autophagy, Endolysosome
GO Term: Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Synapse
GO Term: Axonemal Dynein Complex -> Biodomain: Structural Stabilization, Proteostasis, Cytoskeleton, Cell Projection, Microtubule Cytoskeleton
GO Term: Muscle Myosin Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Apoptosis
GO Term: Troponin Complex -> Biodomain: Structural Stabilization, Synapse, Metal Binding and Homeostasis, Proteostasis, Vasculature
GO Term: Muscle Thin Filament Tropomyosin -> Biodomain: Structural Stabilization, Muscle System, Contractile Fiber, Cytoskeleton, Sarcomere Organization
GO Term: Striated Muscle Myosin Thick Filament -> Biodomain: Structural Stabilization, Contractile Fiber, Cellular Structure, Proteostasis, Autophagy
GO Term: Striated Muscle Thin Filament -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Cytoplasmic Dynein Complex -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Synapse, Apoptosis
GO Term: Dynactin Complex -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Kinesin Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Plus-End Kinesin Complex -> Biodomain: Structural Stabilization, Cytoskeleton, Vesicle Trafficking, Synapse, Proteostasis
GO Term: Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Proteostasis, Apoptosis
GO Term: Microtubule Associated Complex -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Synapse, Proteostasis
GO Term: Spindle Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, DNA Repair
GO Term: Axonemal Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Synapse, Cell Cycle
GO Term: Nuclear Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Epigenetic, Proteostasis
GO Term: Cytoplasmic Microtubule -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Proteostasis, Autophagy
GO Term: Intermediate Filament -> Biodomain: Structural Stabilization, Cytoskeleton, Synapse, Cell Adhesion, Tau Homeostasis
GO Term: Neurofilament -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Myelination
GO Term: Actin Filament -> Biodomain: Structural Stabilization, Cell Cycle, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Arp2/3 Protein Complex -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Synapse, Cell Cycle
GO Term: Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Endolysosome, Vasculature, Synapse
GO Term: Potassium:Proton Exchanging Atpase Complex -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Sodium:Potassium-Exchanging Atpase Complex -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Synapse, Oxidative Stress
GO Term: Voltage-Gated Calcium Channel Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Acetylcholine-Gated Channel Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Immune Response
GO Term: Interleukin-2 Receptor Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Autophagy
GO Term: Interleukin-5 Receptor Complex -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Interleukin-6 Receptor Complex -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Interleukin-13 Receptor Complex -> Biodomain: Immune Response, Endolysosome, Proteostasis, Vasculature, Structural Stabilization
GO Term: Insulin Receptor Complex -> Biodomain: Lipid Metabolism, Autophagy, Cell Cycle, Proteostasis, Epigenetic
GO Term: Oncostatin-M Receptor Complex -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Oxidative Stress
GO Term: Caveola -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Microvillus -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Brush Border -> Biodomain: Structural Stabilization, Endolysosome, Lipid Metabolism, Proteostasis, Vasculature
GO Term: Clathrin-Coated Pit -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, APP Metabolism, Autophagy
GO Term: Cell-Cell Junction -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Adherens Junction -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Cell Cycle
GO Term: Spot Adherens Junction -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Proteostasis
GO Term: Zonula Adherens -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Autophagy
GO Term: Fascia Adherens -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Apoptosis
GO Term: Gap Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Mitochondrial Metabolism
GO Term: Connexin Complex -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Proteostasis
GO Term: Bicellular Tight Junction -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Immune Response
GO Term: Focal Adhesion -> Biodomain: Structural Stabilization, Cell Adhesion and Migration, Cytoskeleton Organization, Signal Transduction, Tissue Repair and Regeneration
GO Term: Muscle Tendon Junction -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Cilium -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Axoneme -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Synapse
GO Term: Cell Cortex -> Biodomain: Structural Stabilization, Cytoskeleton, Intracellular Organization, Cell Cycle, Cell Periphery
GO Term: Septin Ring -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Phosphatidylinositol 3-Kinase Complex -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Cell Cycle, Immune Response
GO Term: Phosphatidylinositol 3-Kinase Complex, Class Ia -> Biodomain: Lipid Metabolism, Immune Response, Autophagy, Endolysosome, Proteostasis
GO Term: Phosphatidylinositol 3-Kinase Complex, Class Ib -> Biodomain: Lipid Metabolism, Autophagy, Immune Response, Endolysosome, Apoptosis
GO Term: 6-Phosphofructokinase Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Acetolactate Synthase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Camp-Dependent Protein Kinase Complex -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Caax-Protein Geranylgeranyltransferase Complex -> Biodomain: Proteostasis, Lipid Metabolism, Cell Cycle, Structural Stabilization, Synapse
GO Term: Calcium- And Calmodulin-Dependent Protein Kinase Complex -> Biodomain: Proteostasis, Synapse, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Calcineurin Complex -> Biodomain: Immune Response, Synapse, Proteostasis, Tau Homeostasis, Metal Binding and Homeostasis
GO Term: Protein Kinase Ck2 Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Structural Stabilization
GO Term: Dna-Dependent Protein Kinase-Dna Ligase 4 Complex -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Glycine Cleavage Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Phosphorylase Kinase Complex -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism, Epigenetic
GO Term: Protein Farnesyltransferase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Rab-Protein Geranylgeranyltransferase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Ribonucleoside-Diphosphate Reductase Complex -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Carbohydrate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Polysaccharide Metabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Glycogen Metabolic Process -> Biodomain: Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Glycogen Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Regulation Of Glycogen Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Glycogen Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Regulation Of Glycogen Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Starch Catabolic Process -> Biodomain: Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Disaccharide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Sucrose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Sucrose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Lactose Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Epigenetic, Metal Binding and Homeostasis
GO Term: Lactose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Trehalose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Trehalose Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Monosaccharide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Xylulose Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, DNA Repair, Cell Cycle
GO Term: Xylulose Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fructose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Fructose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Carbohydrate Metabolism, Small Molecule Metabolism, Energy Metabolism, Metabolic Pathways
GO Term: Fructose 6-Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Epigenetic
GO Term: Fructose 2,6-Bisphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fucose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Glucose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Glucose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Udp-Alpha-D-Glucose Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, APP Metabolism, Endolysosome
GO Term: Galactose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Mannose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Immune Response
GO Term: D-Ribose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, RNA Spliceosome, Lipid Metabolism
GO Term: 5-Phosphoribose 1-Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, DNA Repair, Epigenetic
GO Term: Inositol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Inositol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Glycosaminoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Lipid Metabolism, Vasculature, Immune Response, Endolysosome
GO Term: Glycosaminoglycan Catabolic Process -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Proteoglycan Metabolic Process -> Biodomain: Structural Stabilization, Endolysosome, Vasculature, Immune Response, Proteostasis
GO Term: Chitin Metabolic Process -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Chitin Catabolic Process -> Biodomain: Immune Response, Autophagy, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Amino Sugar Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Glucosamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Glucosamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: N-Acetylglucosamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Epigenetic
GO Term: N-Acetylglucosamine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization, Immune Response
