Running with TEMP=0.5, sub_array_index=16
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 15000 to 15999
GO Term: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Myelination
GO Term: Guanine Deglycation, Glyoxal Removal -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Lipid Metabolism
GO Term: Polyamine Deacetylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Epigenetic, Apoptosis
GO Term: Spermidine Deacetylation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Epigenetic
GO Term: Regulation Of Cellular Response To Osmotic Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Trna 2'-O-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Calcineurin-Mediated Signaling -> Biodomain: Immune Response, Synapse, Cell Cycle, Autophagy, Apoptosis
GO Term: Regulation Of Cobalamin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Sumo Ligase Complex -> Biodomain: Proteostasis, DNA Repair, Cell Cycle, Epigenetic, Apoptosis
GO Term: Regulation Of Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Immune Response, Synapse, Vasculature, Autophagy, Proteostasis
GO Term: Positive Regulation Of Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Immune Response, Epigenetic, APP Metabolism
GO Term: Negative Regulation Of Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Proteostasis, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Dolichyl Pyrophosphate Glc2Man9Glcnac2 Alpha-1,2-Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Aminoacyl-Trna Metabolism Involved In Translational Fidelity -> Biodomain: Proteostasis, Autophagy, Metal Binding and Homeostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Histone Succinyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, DNA Repair, Lipid Metabolism
GO Term: Gator1 Complex Binding -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Cell Adhesion Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Angiogenesis, Cell Adhesion, Regulation
GO Term: Positive Regulation Of Cell Adhesion Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Cell Cycle
GO Term: Glial Cell Projection Elongation -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Lipid Metabolism
GO Term: Er-Dependent Peroxisome Localization -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress, Autophagy
GO Term: Ala-Trna(Thr) Deacylase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Autophagy, Endolysosome
GO Term: Cold-Induced Thermogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of (R)-Mevalonic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Sterol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cobalamin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, Lipid Metabolism, Myelination
GO Term: Negative Regulation Of Store-Operated Calcium Entry -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Cardiac Muscle Cell Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Synapse
GO Term: Negative Regulation Of Cardiac Muscle Cell Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Ikappab Kinase Complex Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Sec61 Translocon Complex Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Structural Stabilization
GO Term: Symbiont Cell Surface -> Biodomain: Immune Response, Structural Stabilization, Endolysosome, Synapse, Proteostasis
GO Term: P-Tefb Complex Binding -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Trna (M7G46) Methyltransferase Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Peptidyl-Lysine 3-Dioxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Peptidyl-Lysine 4-Dioxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Peptidyl-Arginine 3-Dioxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy, Mitochondrial Metabolism
GO Term: Mrna N-Acetyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Cyclic-Gmp-Amp Hydrolase Activity -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Inositol-5-Diphosphate-1,3,4,6-Tetrakisphosphate Diphosphatase Activity -> Biodomain: Lipid Metabolism, Epigenetic, Autophagy, Cell Cycle, Immune Response
GO Term: Trna C3-Cytosine Methylation -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Zinc Ion Sensor Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Lncrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Peptide 2-Hydroxyisobutyryltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Metabolic Pathways, Epigenetic
GO Term: Peptidyl-Lysine Glutarylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Peptide Glutaryltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Histone Glutaryltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Protein Depropionylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Nad-Dependent Protein-Lysine Depropionylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Ceramide-1-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Arachidonate 12(R)-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Vasculature
GO Term: L-Serine-Phosphatidylethanolamine Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Hydroperoxy Icosatetraenoate Isomerase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Hydroperoxy Icosatetraenoate Dehydratase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Vasculature
GO Term: L-Serine-Phosphatidylcholine Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Apoptosis, Proteostasis
GO Term: Dna-Dna Tethering Activity -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis, Cell Cycle
GO Term: Trna Uridine(34) Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: 1-Acylglycerophosphoethanolamine O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Vasculature
GO Term: 1-Acylglycerophosphoserine O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Protein Serine Kinase Activity (Using Gtp As Donor) -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Protein Localization To Ergic -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization
GO Term: Cytosol To Ergic Protein Transport -> Biodomain: Proteostasis, Vesicle Trafficking, Cellular Localization, Protein Localization, Intracellular Transport
GO Term: Nad+-Protein-Arginine Adp-Ribosyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Biliberdin Reductase (Nadh) Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Biliverdin Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Negative Regulation Of Udp-N-Acetylglucosamine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Chenodeoxycholate 7-Alpha-Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Isoursodeoxycholate 7-Beta-Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Ursodeoxycholate 7-Beta-Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Deadenylation-Dependent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Negative Regulation Of Deadenylation-Dependent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Superoxide-Generating Nadph Oxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Protein-Dna Covalent Cross-Linking Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Arachidonate 5,6-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Mitochondrial Metabolism
GO Term: Progesterone 21-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Protein Serine Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Synapse
GO Term: Methylenetetrahydrofolate Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: S-(Hydroxymethyl)Glutathione Dehydrogenase (Nadp+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: S-(Hydroxymethyl)Glutathione Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: L-Phenylalaine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Sialate 9-O-Acetylesterase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Immune Response, Autophagy
GO Term: Subcortical Maternal Complex -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Trna (5-Carboxymethyluridine(34)-5-O)-Methyltransferase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, RNA Spliceosome, Structural Stabilization, Proteostasis
GO Term: Trna (Cytidine(32)/Guanosine(34)-2'-O)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, RNA Spliceosome, Autophagy
GO Term: Omega-Hydroxyceramide Transacylase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Omega-Hydroxyceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Endolysosome
GO Term: U2 Snrna 2'-O-Methyladenosine M6 Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Trna Surveillance -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: 2-Hydroxyacyl-Coa Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Protein-Cysteine Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: 4-Hydroxy-3-All-Trans-Polyprenylbenzoate Oxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Protein-L-Histidine N-Pros-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: 3-Deoxyglucosone Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Deoxynucleoside Triphosphate Hydrolase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: 2-Hydroxyphytanoyl-Coa Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: 2-Hydroxy-Atp Hydrolase Activity -> Biodomain: Metal Binding and Homeostasis, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: 2-Hydroxy-Datp Hydrolase Activity -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Damp Salvage -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis
GO Term: (3R)-3-Hydroxyacyl-Coa Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Rrna Small Subunit Aminocarboxypropyltransferase Activity -> Biodomain: RNA Spliceosome, Structural Stabilization, Epigenetic, Mitochondrial Metabolism, Cell Cycle
GO Term: Lewis X Epitope Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Synapse, Proteostasis, Endolysosome
GO Term: Isoprenoid Diphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Glc2Man9Glcnac2 Oligosaccharide Glucosidase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Mrna Dihydrouridine Synthase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Nad-Dependent Protein Lipoamidase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Nad-Dependent Protein Biotinidase Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Tubulin-Tyrosine Carboxypeptidase -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: 11-Cis-Retinol Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Dihydroorotate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Immune Response, Metal Binding and Homeostasis, Oxidative Stress, Cell Cycle
GO Term: N6-Methyl-(D)Atp Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: O6-Methyl-Dgtp Hydrolase Activity -> Biodomain: DNA Repair, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Epigenetic
GO Term: Carboxylesterase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Immune Response
GO Term: Glutathione-Dependent Sulfide Quinone Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Protein-Glutamic Acid Ligase Activity, Initiating -> Biodomain: Proteostasis, Catalytic Activity, Ligase Activity Forming Carbon-Nitrogen Bonds, Protein Modification, Amino Acid Metabolism
GO Term: Protein-Glutamic Acid Ligase Activity, Elongating -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: L-Lysine:L-Arginine Antiporter Activity -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Trna Methylation -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, RNA Spliceosome, Lipid Metabolism
GO Term: Basolateral Protein Secretion -> Biodomain: Proteostasis, Endolysosome, Immune Response, Vasculature, Structural Stabilization
GO Term: Regulation Of Basement Membrane Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Protein Localization To P-Body -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Elastin Catabolic Process -> Biodomain: Proteostasis, Vasculature, Structural Stabilization, Endolysosome, Autophagy
GO Term: B-Wich Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, RNA Spliceosome
GO Term: Negative Regulation Of Cardiac Muscle Myoblast Proliferation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Cardiac Muscle Myoblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Autophagy
GO Term: Dna Strand Resection Involved In Replication Fork Processing -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Regulation Of Dna Strand Resection Involved In Replication Fork Processing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Dna Strand Resection Involved In Replication Fork Processing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Regulation Of G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle  
Reproductive System  
Regulation of Biological Processes  
Cell Cycle Control  
Developmental Processes
GO Term: Negative Regulation Of G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: Positive Regulation Of G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Proteostasis
GO Term: Deaminated Glutathione Amidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Metabolite Repair -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Actin Filament Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Positive Regulation Of Blood Vessel Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Blood Vessel Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Regulation Of Angiotensin-Activated Signaling Pathway -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Angiotensin-Activated Signaling Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Angiotensin-Activated Signaling Pathway -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Lncrna Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Epigenetic, RNA Spliceosome
GO Term: Cellularization Cleavage Furrow -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Ferroptosis -> Biodomain: Apoptosis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Negative Regulation Of Ferroptosis -> Biodomain: Apoptosis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Vesicle-Mediated Intercellular Transport -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, APP Metabolism
GO Term: Ttt Hsp90 Cochaperone Complex -> Biodomain: Proteostasis, DNA Repair, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Placenta Blood Vessel Development -> Biodomain: Vasculature, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Hippocampal Neuron Apoptotic Process -> Biodomain: Apoptosis, Tau Homeostasis, Oxidative Stress, Proteostasis, Synapse
GO Term: Regulation Of Hippocampal Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Hippocampal Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Hippocampal Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Autophagy, Vasculature
GO Term: Cellular Detoxification Of Aldehyde -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Regulation Of Calcium Import Into The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Calcium Import Into The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Mrna Alternative Polyadenylation -> Biodomain: RNA Spliceosome, Gene Expression, Macromolecule Biosynthesis, Nucleic Acid Metabolic Process, RNA Metabolic Process
GO Term: Positive Regulation Of Very-Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Norrin Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Synapse, Autophagy
GO Term: Ubiquinone Biosynthesis Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Rna Nad+-Cap (Nad+-Forming) Hydrolase Activity -> Biodomain: RNA Spliceosome, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Rna Nad-Cap (Nmn-Forming) Hydrolase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Endolysosome, Autophagy
GO Term: Rna Decapping -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, Epigenetic, Endolysosome
GO Term: Nad-Cap Decapping -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, Endolysosome, Epigenetic
GO Term: Mrna Methylguanosine-Cap Decapping -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Reelin Complex -> Biodomain: Synapse, Lipid Metabolism, Structural Stabilization, Proteostasis, Myelination
GO Term: Calpain Complex -> Biodomain: Proteostasis, Apoptosis, Tau Homeostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Apical Plasma Membrane Urothelial Plaque -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Hinge Region Between Urothelial Plaques Of Apical Plasma Membrane -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Negative Regulation Of Glutamatergic Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Intermembrane Lipid Transfer -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Intermembrane Phospholipid Transfer -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Intermembrane Sphingolipid Transfer -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Lipid Transfer Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Phospholipid Transfer Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Sterol Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Ceramide Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Phosphatidylcholine Transfer Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Cholesterol Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Proteostasis, Autophagy
GO Term: Glucagon Family Peptide Binding -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Plasma Membrane Bounded Cell Projection -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Plasma Membrane Bounded Cell Projection Assembly -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Autophagy
GO Term: Positive Regulation Of Plasma Membrane Bounded Cell Projection Assembly -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Structural Stabilization, Lipid Metabolism
