Running with TEMP=0.9, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Radial Spoke Stalk -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle
GO Term: Dermatan 4-Sulfotransferase Activity -> Biodomain: Structural Stabilization, Lipid Metabolism, Vasculature, Endolysosome, Immune Response
GO Term: Amyloid-Beta Binding -> Biodomain: APP Metabolism, Proteostasis, Synapse, Endolysosome, Apoptosis
GO Term: Ovarian Follicle Development -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Structural Stabilization
GO Term: Ovulation From Ovarian Follicle -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Ovarian Follicle Rupture -> Biodomain: Apoptosis, Oxidative Stress, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Initiation Of Primordial Ovarian Follicle Growth -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Primary Ovarian Follicle Growth -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Autophagy, Structural Stabilization
GO Term: Preantral Ovarian Follicle Growth -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Antral Ovarian Follicle Growth -> Biodomain: Cell Cycle, Lipid Metabolism, Vasculature, Structural Stabilization, RNA Spliceosome
GO Term: Cumulus Cell Differentiation -> Biodomain: Structural Stabilization, Lipid Metabolism, Epigenetic, Cell Cycle, Autophagy
GO Term: Ovarian Cumulus Expansion -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Ovarian Follicle Atresia -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Luteinization -> Biodomain: Lipid Metabolism, Cell Cycle, Apoptosis, Autophagy, Structural Stabilization
GO Term: Luteolysis -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Oocyte Growth -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Oocyte Maturation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Cell Growth -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Cell Growth By Extracellular Stimulus -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Fatty Acid Alpha-Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Response To Protozoan -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Cholesterol 25-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Immune Response, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Blood Vessel Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Immune Response, Oxidative Stress
GO Term: Branching Involved In Blood Vessel Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Immune Response, Proteostasis
GO Term: Lactosylceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Myelination, Apoptosis, Synapse, Endolysosome
GO Term: Ganglioside Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Myelination, Endolysosome, Autophagy
GO Term: Ganglioside Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Synapse, Autophagy
GO Term: Globoside Biosynthetic Process -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Endolysosome, Immune Response
GO Term: Microtubule Bundle Formation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Tau Homeostasis, Autophagy
GO Term: Medium-Chain Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Bitter Taste -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Immune Response
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Sour Taste -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Sweet Taste -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Epigenetic
GO Term: Gi/O-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Gq/11-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Vasculature, Immune Response
GO Term: Dopamine Neurotransmitter Receptor Activity, Coupled Via Gs -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Dopamine Neurotransmitter Receptor Activity, Coupled Via Gi/Go -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Trace-Amine Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Angiotensin Receptor Activity -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Angiotensin Type I Receptor Activity -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Apoptosis, Structural Stabilization
GO Term: Peptide Yy Receptor Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: Pancreatic Polypeptide Receptor Activity -> Biodomain: Vasculature, Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Urotensin Ii Receptor Activity -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Adrenomedullin Receptor Activity -> Biodomain: Vasculature, Immune Response, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Neuromedin U Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Synapse
GO Term: G Protein-Coupled Adenosine Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Oxidative Stress
GO Term: Purinergic Nucleotide Receptor Activity -> Biodomain: Signaling, Immune Response, Synapse, Vasculature, Proteostasis
GO Term: Growth Hormone Secretagogue Receptor Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Synapse, Immune Response
GO Term: Virus Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: G Protein-Coupled Adp Receptor Activity -> Biodomain: Vasculature, Immune Response, Synapse, Mitochondrial Metabolism, Proteostasis
GO Term: Nociceptin Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Apoptosis
GO Term: Cysteinyl Leukotriene Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Apoptosis
GO Term: Leukotriene B4 Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis, Vasculature
GO Term: Pituitary Adenylate Cyclase-Activating Polypeptide Receptor Activity -> Biodomain: Synapse, Neurogenesis, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Calcitonin Gene-Related Peptide Receptor Activity -> Biodomain: Synapse, Vasculature, Signal Transduction, Neurotransmission, Receptor Activity
GO Term: Adenylate Cyclase Inhibiting G Protein-Coupled Glutamate Receptor Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Group Ii Metabotropic Glutamate Receptor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Group Iii Metabotropic Glutamate Receptor Activity -> Biodomain: Synapse, Autophagy, Epigenetic, Tau Homeostasis, Proteostasis
GO Term: Proteinase-Activated Receptor Activity -> Biodomain: Proteostasis, Immune Response, Vasculature, Apoptosis, Synapse
GO Term: Osteoblast Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Fibrillar Center -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, RNA Spliceosome, DNA Repair
GO Term: Dense Fibrillar Component -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Granular Component -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Peptide Receptor Activity -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Epigenetic
GO Term: Eye Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Epigenetic
GO Term: Urogenital System Development -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Vasculature, Lipid Metabolism
GO Term: Metanephros Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Ureteric Bud Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Apoptosis
GO Term: Branching Involved In Ureteric Bud Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Autophagy, Proteostasis
GO Term: Temperature Homeostasis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress
GO Term: Fever Generation -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Vasculature, Apoptosis
GO Term: Conditioned Taste Aversion -> Biodomain: Synapse, Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Behavioral Fear Response -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: G Protein-Coupled Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Alpha-N-Acetylgalactosaminide Alpha-2,6-Sialyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Immune Response, Endolysosome
GO Term: Response To Hypoxia -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Ameboidal-Type Cell Migration -> Biodomain: Immune Response, Structural Stabilization, Lipid Metabolism, Proteostasis, Vasculature
GO Term: Acrosomal Vesicle -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Atpase Activator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: Male Germ Cell Nucleus -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: Female Germ Cell Nucleus -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Structural Stabilization
GO Term: Acrosome Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle
GO Term: Long-Chain Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Intracellular Glucose Homeostasis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Trna 3'-Terminal Cca Addition -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Mitochondrial Metabolism
GO Term: Sialate O-Acetylesterase Activity -> Biodomain: Immune Response, Endolysosome, Structural Stabilization, Lipid Metabolism, Synapse
GO Term: Trna 5'-Leader Removal -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Pseudophosphatase Activity -> Biodomain: Proteostasis, Signal Transduction, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Histamine Metabolic Process -> Biodomain: Immune Response, Mitochondrial Metabolism, Vasculature, Oxidative Stress, Lipid Metabolism
GO Term: Histamine Biosynthetic Process -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Mitochondrial Metabolism, Synapse
GO Term: Histamine Catabolic Process -> Biodomain: Immune Response, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Gastric Acid Secretion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Gastrin-Induced Gastric Acid Secretion -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Vasculature
GO Term: In Utero Embryonic Development -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic, DNA Repair
GO Term: Gastrulation With Mouth Forming Second -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Formation Of Primary Germ Layer -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, DNA Repair, Structural Stabilization
GO Term: Ectoderm Formation -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization, Autophagy
GO Term: Endoderm Formation -> Biodomain: Developmental Biology, Cell Differentiation, Embryogenesis, Morphogenesis, Stem Cell Biology
GO Term: Mesoderm Formation -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Immune Response
GO Term: Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: Cell Fate Determination -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Proteostasis
GO Term: Mesodermal Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Immune Response, Structural Stabilization
GO Term: Endodermal Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Ectodermal Cell Fate Commitment -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Synapse, Immune Response
GO Term: Endodermal Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: L-Amino-Acid Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Conversion Of Seryl-Trnasec To Selenocys-Trnasec -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Stress Fiber -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Ruffle -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Lipid Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Autophagy, Oxidative Stress
GO Term: Ceramide Kinase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: 2'-5'-Oligoadenylate Synthetase Activity -> Biodomain: Immune Response, RNA Spliceosome, Apoptosis, DNA Repair, Oxidative Stress
GO Term: Formation Of Translation Preinitiation Complex -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Epigenetic, Structural Stabilization
GO Term: Formation Of Cytoplasmic Translation Initiation Complex -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Galactosylceramide Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Mrna M(6)A Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Prenylcysteine Oxidase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Establishment Of Planar Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Morphogenesis Of A Polarized Epithelium -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Sex Chromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Barr Body -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis
GO Term: Xy Body -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Synapse
GO Term: Photoreceptor Outer Segment -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Eye Photoreceptor Cell Differentiation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Endolysosome
GO Term: Neural Crest Cell Migration -> Biodomain: Structural Stabilization, Synapse, Vasculature, Epigenetic, Immune Response
GO Term: Somitogenesis -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Somite Specification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Retinal Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Organ Induction -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Vasculature, Autophagy
GO Term: Aminocarboxymuconate-Semialdehyde Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Beta-Alanine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Beta-Alanine Transport -> Biodomain: Transporters, Mitochondrial Metabolism, Oxidative Stress, Synapse, Lipid Metabolism
GO Term: Morphogenesis Of A Branching Structure -> Biodomain: Vasculature, Structural Stabilization, Synapse, Immune Response, Cell Cycle
GO Term: Neuron Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Vasculature, Proteostasis
GO Term: Membrane Raft Assembly -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Membrane Raft Polarization -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Establishment Of T Cell Polarity -> Biodomain: Immune Response, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Establishment Of Natural Killer Cell Polarity -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Apoptosis, Endolysosome
GO Term: Immunological Synapse Formation -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Endolysosome
GO Term: Immunological Synapse -> Biodomain: Immune Response, Synapse, Apoptosis, Endolysosome, Proteostasis
GO Term: Myeloid Dendritic Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Microglial Cell Activation -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Tau Homeostasis
GO Term: Cell Activation -> Biodomain: Immune Response, Synapse, Apoptosis, Vasculature, Proteostasis
GO Term: Leukocyte Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: T Cell Homeostatic Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Plasma Membrane Repair -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Natural Killer Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Neutrophil Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Neutrophil Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: B Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Endolysosome
GO Term: Phosphotyrosine Residue Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Structural Stabilization, Apoptosis
GO Term: Prostaglandin J Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Phosphatidylserine Binding -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Natural Killer Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: Antibody-Dependent Cellular Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Synapse, Proteostasis, Endolysosome
GO Term: Polymeric Immunoglobulin Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Igm Binding -> Biodomain: Immune Response, Proteostasis, Vasculature, Structural Stabilization, Endolysosome
GO Term: Polymeric Immunoglobulin Receptor Activity -> Biodomain: Immune Response, Proteostasis, Vasculature, Endolysosome, Autophagy
GO Term: Positive Regulation Of Type Iia Hypersensitivity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Type Iii Hypersensitivity -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Type Iv Hypersensitivity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Regulation Of Type Iv Hypersensitivity -> Biodomain: Immune Response, Endolysosome, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Type Iv Hypersensitivity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Type Iv Hypersensitivity -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Type I Hypersensitivity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Type I Hypersensitivity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Negative Regulation Of Antibody-Dependent Cellular Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Antibody-Dependent Cellular Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Regulation Of Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Cytokine Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Serotonin Secretion -> Biodomain: Synapse, Immune Response, Vasculature, Endolysosome, Proteostasis
GO Term: Histamine Secretion -> Biodomain: Immune Response, Vasculature, Synapse, Apoptosis, Oxidative Stress
GO Term: Kidney Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Mesonephros Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Immune Response
GO Term: Blastocyst Development -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Blastocyst Formation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism, Apoptosis
GO Term: Inner Cell Mass Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Structural Stabilization, Lipid Metabolism
GO Term: Inner Cell Mass Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization, Autophagy
GO Term: Inner Cell Mass Cellular Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Trophectodermal Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Autophagy
GO Term: Trophectodermal Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Structural Stabilization
GO Term: Trophectodermal Cellular Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Blastocyst Growth -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, DNA Repair, Proteostasis
GO Term: Inner Cell Mass Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, Mitochondrial Metabolism
GO Term: Trophectodermal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Blastocyst Hatching -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Release Of Cytochrome C From Mitochondria -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Epithelial To Mesenchymal Transition -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Embryonic Epithelial Tube Formation -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Proteostasis, Cell Cycle
GO Term: Neural Plate Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Myelination
GO Term: Neural Plate Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Neural Tube Formation -> Biodomain: Structural Stabilization, Synapse, Vasculature, Autophagy, Cell Cycle
GO Term: Neural Fold Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Neural Tube Closure -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Vasculature
GO Term: Phagolysosome Assembly -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Opsonin Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Opsonin Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Complement Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Complement Component C1Q Complex Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Complement Component C3A Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Complement Component C3B Binding -> Biodomain: Immune Response, Vasculature, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Complement Component C4B Binding -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Complement Component C4B Receptor Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Vasculature, Apoptosis
GO Term: Nk T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Nk T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Complement Activation, Lectin Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Complement Activation, Lectin Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Vasculature
