Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Dna/Dna Annealing Activity -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Cell Cycle, Mitochondrial Metabolism
GO Term: Poly(A) Rna Polymerase Activity -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Epigenetic, Proteostasis, Unknown
GO Term: Basic Amino Acid Transmembrane Transport -> Biodomain: Endolysosome, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Response To Leukemia Inhibitory Factor -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Sequence-Specific Mrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Hepatocyte Dedifferentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Structural Stabilization
GO Term: C-Rich Single-Stranded Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Unknown
GO Term: Cellular Response To Leukemia Inhibitory Factor -> Biodomain: Immune Response, Cell Cycle, Autophagy, Proteostasis, Oxidative Stress
GO Term: Response To Odorant -> Biodomain: Synapse, Epigenetic, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Sequence-Specific Double-Stranded Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Metal Binding and Homeostasis
GO Term: Poly(U)-Specific Exoribonuclease Activity, Producing 3' Uridine Cyclic Phosphate Ends -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Unknown
GO Term: Response To Endothelin -> Biodomain: Vasculature, Oxidative Stress, Endolysosome, Proteostasis, Immune Response
GO Term: Promoter-Specific Chromatin Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Immune Response
GO Term: Adaptive Thermogenesis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Wnt-Frizzled-Lrp5/6 Complex -> Biodomain: Cell Cycle, Lipid Metabolism, Apoptosis, Vasculature, Proteostasis
GO Term: Methionyl-Initiator Methionine Trna Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Cell Cycle, Autophagy, Unknown
GO Term: Cellular Response To Lectin -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Cellular Response To Endothelin -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Acinar Cell Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Cellular Response To Chemokine -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Vascular Associated Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, Oxidative Stress
GO Term: Cytoplasmic Side Of Nuclear Pore -> Biodomain: Structural Stabilization, Cell Cycle, RNA Spliceosome, Epigenetic, Proteostasis
GO Term: Fnip-Folliculin Ragc/D Gap -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism
GO Term: Cst Complex -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: 18S Rrna Cytidine N-Acetyltransferase Activity -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Histone H4K20Me3 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Netrin Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Proteostasis, Vasculature
GO Term: Ribonucleoprotein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Beta-Catenin-Tcf Complex -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Immune Response, Proteostasis
GO Term: Wnt Signalosome -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Endolysosome, Structural Stabilization
GO Term: Response To Hypobaric Hypoxia -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Immune Response
GO Term: Response To Psychosocial Stress -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Endolysosome, Proteostasis
GO Term: Sperm Head Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Ooplasm -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Double-Strand Break Repair Involved In Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Pet Complex -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Short-Term Synaptic Potentiation -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Calcium Ion Regulated Lysosome Exocytosis -> Biodomain: Endolysosome, Proteostasis, Immune Response, Autophagy, Oxidative Stress
GO Term: Response To Amino Acid Starvation -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Mrna N1-Methyladenosine Dioxygenase Activity -> Biodomain: Epigenetic, Oxidative Stress, Metal Binding and Homeostasis, RNA Spliceosome, Proteostasis
GO Term: Mrna N6-Methyladenosine Dioxygenase Activity -> Biodomain: Oxidative Stress, Epigenetic, Metal Binding and Homeostasis, RNA Spliceosome, Proteostasis
GO Term: Splicing Factor Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Ubiquitin Ligase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Cell Cycle
GO Term: Metaphase/Anaphase Transition Of Meiosis I -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Intramanchette Transport -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: G-Rich Single-Stranded Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Eosinophil Homeostasis -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Basophil Homeostasis -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Xenobiotic Detoxification By Transmembrane Export Across The Plasma Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Immune Response, Unknown
GO Term: Xenobiotic Transport Across Blood-Brain Barrier -> Biodomain: Vasculature, Endolysosome, Lipid Metabolism, APP Metabolism, Immune Response
GO Term: Establishment Of Blood-Retinal Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Atp Generation From Poly-Adp-D-Ribose -> Biodomain: DNA Repair, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Emilin Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Unknown
GO Term: Multimerin Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Adhesion, Immune Response, Proteostasis
GO Term: Regulation Of Translational Initiation By Trna Modification -> Biodomain: Proteostasis, Oxidative Stress, RNA Spliceosome, Mitochondrial Metabolism, Epigenetic
GO Term: Trna Demethylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic
GO Term: Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Metanephric S-Shaped Body Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Immune Response, Unknown
GO Term: Negative Regulation Of Metanephric Comma-Shaped Body Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Regulation Of Protein Localization To Cell Surface -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Immune Response
GO Term: Negative Regulation Of Protein Localization To Cell Surface -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Immune Response
GO Term: Positive Regulation Of Protein Localization To Cell Surface -> Biodomain: Proteostasis, Immune Response, Cell Cycle, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Adaxial/Abaxial Pattern Formation -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Determination Of Dorsal Identity -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Positive Regulation Of Determination Of Dorsal Identity -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Negative Regulation Of Male Gonad Development -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Unknown
GO Term: Positive Regulation Of Male Gonad Development -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Apoptosis, DNA Repair
GO Term: Regulation Of Multicellular Organismal Development -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Proteostasis, Synapse
GO Term: Regulation Of Animal Organ Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Vasculature
GO Term: Regulation Of Stem Cell Division -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Mitochondrial Metabolism
GO Term: Regulation Of Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Autophagy, Unknown
GO Term: Negative Regulation Of Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Regulation Of Cardiac Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Regulation Of G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Cell-Cell Adhesion Mediated By Cadherin -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Vasculature
GO Term: Positive Regulation Of Cell-Cell Adhesion Mediated By Cadherin -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Proteostasis
GO Term: Regulation Of Non-Canonical Wnt Signaling Pathway -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Non-Canonical Wnt Signaling Pathway -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Non-Canonical Wnt Signaling Pathway -> Biodomain: Structural Stabilization, Synapse, Vasculature, Epigenetic, Cell Cycle
GO Term: Regulation Of Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Ureter Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Ureter Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Regulation Of Cortisol Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Cortisol Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Cortisol Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Regulation Of Type B Pancreatic Cell Development -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Type B Pancreatic Cell Development -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Epigenetic, Immune Response
GO Term: Positive Regulation Of Type B Pancreatic Cell Development -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Regulation Of Wnt Signaling Pathway, Planar Cell Polarity Pathway -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Myelination
GO Term: Positive Regulation Of Wnt Signaling Pathway, Planar Cell Polarity Pathway -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Synapse, Proteostasis
GO Term: Regulation Of Smooth Muscle Cell-Matrix Adhesion -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Smooth Muscle Cell-Matrix Adhesion -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Positive Regulation Of Mammary Stem Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Autophagy
GO Term: Negative Regulation Of Dna-Templated Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Dna-Templated Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Negative Regulation Of Leukocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Leukocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of Macrophage Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Macrophage Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Establishment Of Cell Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Regulation Of Sodium-Dependent Phosphate Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Sodium-Dependent Phosphate Transport -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Vasculature, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Sodium-Dependent Phosphate Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Vasculature
GO Term: Regulation Of Removal Of Superoxide Radicals -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Regulation Of Endocannabinoid Signaling Pathway -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Epigenetic
GO Term: Regulation Of Cell Proliferation Involved In Heart Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Epigenetic
GO Term: Negative Regulation Of Cell Proliferation Involved In Heart Morphogenesis -> Biodomain: Cell Cycle, Apoptosis, Vasculature, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Cell Proliferation Involved In Heart Morphogenesis -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Unknown
GO Term: Regulation Of Dna-Templated Transcription Initiation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Negative Regulation Of Dna-Templated Transcription Initiation -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Apoptosis, Immune Response
GO Term: Positive Regulation Of Dna-Templated Transcription Initiation -> Biodomain: Epigenetic, Cell Cycle, Oxidative Stress, Proteostasis, Immune Response
GO Term: Regulation Of Cell Motility -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Cell Motility -> Biodomain: Structural Stabilization, Immune Response, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Cell Motility -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Regulation Of Retrograde Vesicle-Mediated Transport, Golgi To Er -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Ubiquitin-Specific Protease Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Dendrite Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Branching Morphogenesis Of A Nerve -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Branching Morphogenesis Of A Nerve -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Pro-T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Proteostasis, Apoptosis
GO Term: Regulation Of Neural Precursor Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Neural Precursor Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Synapse, Myelination, Structural Stabilization
GO Term: Positive Regulation Of Neural Precursor Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Negative Regulation Of Androgen Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Apoptosis
GO Term: Regulation Of Progesterone Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Progesterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Phosphate Transmembrane Transport -> Biodomain: Cell Cycle, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Phosphate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Regulation Of Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Fatty Acid Transport -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Positive Regulation Of Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Female Gonad Development -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, DNA Repair, Structural Stabilization
GO Term: Negative Regulation Of Female Gonad Development -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Proteostasis, Unknown
GO Term: Negative Regulation Of Ribosomal Large Subunit Export From Nucleus -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Ribosomal Small Subunit Export From Nucleus -> Biodomain: Cell Cycle, Proteostasis, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Regulation Of Anoikis -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization, Immune Response
GO Term: Positive Regulation Of Anoikis -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Regulation Of Glutamate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Glutamate Metabolic Process -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Glutamate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Testosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Testosterone Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Pancreatic A Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, RNA Spliceosome, Autophagy
GO Term: Positive Regulation Of Pancreatic Stellate Cell Proliferation -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Structural Stabilization, Vasculature
GO Term: Regulation Of Rrna Processing -> Biodomain: Cell Cycle, RNA Spliceosome, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Rrna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, Unknown
GO Term: Positive Regulation Of Rrna Processing -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Unknown
GO Term: Regulation Of Reproductive Process -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Reproductive Process -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Immune Response
GO Term: Positive Regulation Of Reproductive Process -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Apoptosis, Immune Response
GO Term: Negative Regulation Of Feeding Behavior -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Feeding Behavior -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Male Germ Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Oxidative Stress, DNA Repair
GO Term: Negative Regulation Of Male Germ Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, DNA Repair
GO Term: Positive Regulation Of Male Germ Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Lipid Metabolism
GO Term: Regulation Of Protein Activation Cascade -> Biodomain: Proteostasis, Immune Response, Apoptosis, Cell Cycle, Synapse
GO Term: Negative Regulation Of Blood Coagulation, Common Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Fibroblast Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Immune Response, Structural Stabilization
GO Term: Negative Regulation Of Fibroblast Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Immune Response
GO Term: Positive Regulation Of Fibroblast Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Signaling Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Regulation Of Dna Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Dna Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Myotome Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Myoblast Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism, Immune Response
GO Term: Regulation Of Myoblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Negative Regulation Of Defecation -> Biodomain: Synapse, Myelination, Autophagy, Endolysosome, Vasculature
GO Term: Negative Regulation Of Hydrogen Peroxide Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Synapse Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Epigenetic
GO Term: Regulation Of Rho-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Rho-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Vasculature
GO Term: Regulation Of Synaptic Vesicle Exocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Synaptic Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Synaptic Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Regulation Of Ceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Ceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Apoptosis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Tumor Necrosis Factor (Ligand) Superfamily Member 11 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Tumor Necrosis Factor (Ligand) Superfamily Member 11 Production -> Biodomain: Immune Response, Apoptosis, Structural Stabilization, Cell Cycle, Unknown
GO Term: Regulation Of Nmda Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Regulation Of Ampa Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Negative Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway Involved In Neural Plate Anterior/Posterior Pattern Formation -> Biodomain: Synapse, Proteostasis, Autophagy, Cell Cycle, Unknown
GO Term: Regulation Of T-Helper 17 Type Immune Response -> Biodomain: Immune Response, Autophagy, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Negative Regulation Of T-Helper 17 Type Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of T-Helper 17 Type Immune Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: Regulation Of T-Helper 17 Cell Differentiation -> Biodomain: Immune Response, T-Helper 17 Cell, Cell Differentiation, Cell Signaling, Inflammation
GO Term: Negative Regulation Of T-Helper 17 Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Apoptosis, Autophagy, Oxidative Stress
