Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Beta-Galactoside (Cmp) Alpha-2,3-Sialyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Immune Response, Vasculature
GO Term: Beta-Ureidopropionase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Gamma-Glutamylcyclotransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: 1-Acylglycerol-3-Phosphate O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: L-Glutamate Gamma-Semialdehyde Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Epigenetic
GO Term: 1,4-Alpha-Glucan Branching Enzyme Activity -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: 2-Acylglycerol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Apoptosis
GO Term: 1-Alkyl-2-Acetylglycerophosphocholine Esterase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Proteostasis
GO Term: N-Acylsphingosine Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Myelination, Apoptosis, Endolysosome, Synapse
GO Term: Short-Chain 2-Methyl Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 3-Beta-Hydroxy-Delta5-Steroid Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: 3-Hydroxyacyl-Coa Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: 3-Hydroxybutyrate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: 3-Hydroxyisobutyryl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Branched-Chain 2-Oxo Acid Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: 3-Oxo-5-Alpha-Steroid 4-Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 4-Hydroxyphenylpyruvate Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: 5-Aminolevulinate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: 6-Phosphofructokinase Activity -> Biodomain: Glycolysis, Energy Metabolism, Mitochondrial Metabolism, Metabolism, Metal Binding and Homeostasis
GO Term: 6-Phosphofructo-2-Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Cell Cycle, Oxidative Stress
GO Term: 6-Pyruvoyltetrahydropterin Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Vasculature, Immune Response
GO Term: Adp-Ribosylarginine Hydrolase Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, DNA Repair, Epigenetic
GO Term: Amp Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Atp:Adp Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Atp Citrate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protein C-Terminal Carboxyl O-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle, DNA Repair
GO Term: Cdp-Diacylglycerol-Inositol 3-Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Cdp-Diacylglycerol-Serine O-Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Ctp Synthase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, DNA Repair, Epigenetic
GO Term: D-Amino-Acid Oxidase Activity -> Biodomain: Oxidative Stress, Synapse, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Dna (Cytosine-5-)-Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Dna-Directed Dna Polymerase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Mitochondrial Metabolism
GO Term: Dna-Directed Rna Polymerase Activity -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Mitochondrial Metabolism, Proteostasis
GO Term: Deoxyribodipyrimidine Photo-Lyase Activity -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Alkylbase Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Dna-(Apurinic Or Apyrimidinic Site) Endonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle
GO Term: Methylated-Dna-[Protein]-Cysteine S-Methyltransferase Activity -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Epigenetic, Apoptosis
GO Term: Dna Ligase Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Epigenetic
GO Term: Dna Ligase (Atp) Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Proteostasis, Autophagy
GO Term: Dna Nucleotidylexotransferase Activity -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Autophagy
GO Term: Dna (6-4) Photolyase Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Dna Topoisomerase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Dna Topoisomerase Type I (Single Strand Cut, Atp-Independent) Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Dna Topoisomerase Type Ii (Double Strand Cut, Atp-Hydrolyzing) Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Fmn Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Gmp Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Epigenetic, DNA Repair
GO Term: Gmp Synthase Activity -> Biodomain: Cell Cycle, DNA Repair, RNA Spliceosome, Mitochondrial Metabolism, Epigenetic
GO Term: Gmp Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Proteostasis
GO Term: Gpi-Anchor Transamidase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Immune Response, Endolysosome
GO Term: Gtpase Activity -> Biodomain: Proteostasis, Cell Cycle, Synapse, Autophagy, Endolysosome
GO Term: G Protein Activity -> Biodomain: Signal Transduction, Cell Signaling, Neurotransmission, Cell Communication, Receptor Activity
GO Term: Gtp Cyclohydrolase I Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: Imp Cyclohydrolase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis
GO Term: Imp Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: L-Iditol 2-Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Vasculature, Apoptosis
GO Term: L-Iduronidase Activity -> Biodomain: Glycosaminoglycan Metabolism, Carbohydrate Metabolism, Lysosomal Function, Endolysosome, Glycan Metabolism
GO Term: L-Serine Ammonia-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: N-Acetylgalactosamine-4-Sulfatase Activity -> Biodomain: Endolysosome, Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: N-Acetylglucosamine-1-Phosphodiester Alpha-N-Acetylglucosaminidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: N-Acetyllactosamine Synthase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Endolysosome, Autophagy
GO Term: (N-Acetylneuraminyl)-Galactosylglucosylceramide N-Acetylgalactosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Structural Stabilization, Proteostasis, Endolysosome
GO Term: N4-(Beta-N-Acetylglucosaminyl)-L-Asparaginase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Nad+ Poly-Adp-Ribosyltransferase Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Epigenetic, Proteostasis
GO Term: Nad+ Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Nad+ Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic, Autophagy
GO Term: Nad+ Nucleosidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, DNA Repair, Autophagy
GO Term: Nadh Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Nad(P)H Dehydrogenase (Quinone) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Nad(P)+ Transhydrogenase (Si-Specific) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Nadph-Hemoprotein Reductase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis
GO Term: Nadph:Quinone Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Rna-3'-Phosphate Cyclase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Rna-Directed Dna Polymerase Activity -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Immune Response, Epigenetic, Cell Cycle
GO Term: Rna-Directed Rna Polymerase Activity -> Biodomain: Immune Response, RNA Spliceosome, Autophagy, Apoptosis, Proteostasis
GO Term: Rna Ligase (Atp) Activity -> Biodomain: RNA Spliceosome, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: (S)-2-Hydroxy-Acid Oxidase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Apoptosis
GO Term: Udp-N-Acetylglucosamine 4-Epimerase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Udp-N-Acetylglucosamine-Dolichyl-Phosphate N-Acetylglucosaminephosphotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Udp-N-Acetylglucosamine-Lysosomal-Enzyme N-Acetylglucosaminephosphotransferase Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Udp-N-Acetylglucosamine Diphosphorylase Activity -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, APP Metabolism, Endolysosome
GO Term: Udp-Glucose 4-Epimerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Udp-Glucose 6-Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Udp-Glucose:Glycoprotein Glucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Utp:Glucose-1-Phosphate Uridylyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Acetolactate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Acetyl-Coa C-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Acetyl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Acetate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Acetyl-Coa C-Acyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Acetyl-Coa Carboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Acetylcholinesterase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Lipid Metabolism
GO Term: Acid Phosphatase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Apoptosis
GO Term: Aconitate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Acyl-Coa Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Acylphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Adenine Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Adenosine Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Immune Response, Epigenetic, Oxidative Stress, Synapse
GO Term: Adenosine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Adenosylhomocysteinase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Adenosylmethionine Decarboxylase Activity -> Biodomain: Autophagy, Cell Cycle, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Adenylate Cyclase Activity -> Biodomain: Synapse, Vasculature, Immune Response, Myelination, Cell Cycle
GO Term: Amp Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: N6-(1,2-Dicarboxyethyl)Amp Amp-Lyase (Fumarate-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Epigenetic, Apoptosis
GO Term: Adenylosuccinate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Adenylylsulfate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: L-Alanine:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Alcohol Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: 3-Chloroallyl Aldehyde Dehydrogenase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Aldehyde Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Aldehyde Oxidase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Aldose Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Vasculature, Lipid Metabolism
GO Term: Aldose 1-Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Alkaline Phosphatase Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress
GO Term: Allantoicase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Amidase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: L-Glutamate N-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: L-Aminoadipate-Semialdehyde Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Amidophosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis
GO Term: Peptidyl-Trna Hydrolase Activity -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Structural Stabilization, Apoptosis
GO Term: Aminoacylase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Aminomethyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Metabolism, Oxidative Stress, Proteostasis
GO Term: Apyrase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Arachidonate 5-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: Arachidonate 12(S)-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Arginase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response, Proteostasis, Oxidative Stress
GO Term: Argininosuccinate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Argininosuccinate Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Arginyl-Trna--Protein Transferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Aromatic-L-Amino-Acid Decarboxylase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Aralkylamine N-Acetyltransferase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Arylamine N-Acetyltransferase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Epigenetic, Mitochondrial Metabolism
GO Term: Arylformamidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Apoptosis
GO Term: Aryl Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response, Metal Binding and Homeostasis
GO Term: Aryldialkylphosphatase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Vasculature, Metal Binding and Homeostasis, Immune Response
GO Term: Arylesterase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Arylsulfatase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Myelination, Proteostasis, Metal Binding and Homeostasis
GO Term: Asparagine Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Asparaginase Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Apoptosis, Immune Response, Proteostasis
GO Term: Aspartate 1-Decarboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: L-Aspartate:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Aspartate Carbamoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Biliverdin Reductase [Nad(P)H] Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Biotin Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Biotin--[Biotin Carboxyl-Carrier Protein] Ligase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase (Asymmetrical) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, DNA Repair, Cell Cycle, Apoptosis
GO Term: Bisphosphoglycerate Mutase Activity -> Biodomain: Vasculature, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Branched-Chain-Amino-Acid Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Carbamoyl-Phosphate Synthase (Ammonia) Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Carbamoyl-Phosphate Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Carbonate Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature, Synapse, Myelination
GO Term: Carbonyl Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Carnitine O-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Metabolic Pathways, Lipid Metabolism, Coenzyme Metabolism, Cellular Respiration
GO Term: Carnitine O-Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Catalase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cerebroside-Sulfatase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Myelination, Mitochondrial Metabolism
GO Term: Choline O-Acetyltransferase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Choline Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Cholinesterase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Choline-Phosphate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Coproporphyrinogen Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Creatine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Vasculature, Immune Response, Autophagy, Mitochondrial Metabolism
GO Term: 2',3'-Cyclic-Nucleotide 3'-Phosphodiesterase Activity -> Biodomain: Myelination, Lipid Metabolism, Structural Stabilization, Synapse, Oxidative Stress
GO Term: 3',5'-Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: 3',5'-Cyclic-Amp Phosphodiesterase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Lipid Metabolism, Immune Response
GO Term: Calmodulin-Activated Dual Specificity 3',5'-Cyclic-Gmp, 3',5'-Cyclic-Amp Phosphodiesterase Activity -> Biodomain: Cyclic Nucleotide Metabolism, Calcium Signaling, Synapse, Vasculature, Immune Response
GO Term: 3',5'-Cgmp-Stimulated Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Vasculature, Synapse
GO Term: 3',5'-Cgmp-Inhibited Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Vasculature, Synapse, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Cystathionine Beta-Synthase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Cystathionine Gamma-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature, Metal Binding and Homeostasis
GO Term: Cytidine Deaminase Activity -> Biodomain: Immune Response, DNA Repair, Epigenetic, Cell Cycle, RNA Spliceosome
GO Term: Cytochrome-B5 Reductase Activity, Acting On Nad(P)H -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
