Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 11000 to 11999
GO Term: Myoblast Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Detection Of Temperature Stimulus Involved In Thermoception -> Biodomain: Synapse, Lipid Metabolism, Myelination, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Detection Of Temperature Stimulus Involved In Sensory Perception -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Detection Of Temperature Stimulus Involved In Sensory Perception Of Pain -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Immune Response
GO Term: Detection Of Mechanical Stimulus Involved In Sensory Perception Of Pain -> Biodomain: Synapse, Structural Stabilization, Myelination, Oxidative Stress, Immune Response
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Pain -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Endolysosome, Immune Response
GO Term: Detection Of Mechanical Stimulus Involved In Sensory Perception -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Sensory Perception Of Touch -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Vasculature
GO Term: Detection Of Mechanical Stimulus Involved In Sensory Perception Of Touch -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Oxidative Stress
GO Term: Detection Of Mechanical Stimulus -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Proteostasis
GO Term: Dimethylallyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Quaternary Ammonium Group Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Nitric-Oxide Synthase Binding -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Regulation Of Nitric-Oxide Synthase Activity -> Biodomain: Oxidative Stress, Immune Response, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Positive Regulation Of Nitric-Oxide Synthase Activity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Negative Regulation Of Nitric-Oxide Synthase Activity -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Hsp27 Protein Binding -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Structural Stabilization
GO Term: Microtubule Plus-End Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Microtubule Minus-End Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Microtubule Sliding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Microtubule Severing -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Actin Filament Severing -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Actin Filament Binding -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Immune Response, Proteostasis
GO Term: Barbed-End Actin Filament Capping -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Endolysosome
GO Term: Protein Kinase A Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Mitogen-Activated Protein Kinase Binding -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Cell Cycle, Proteostasis
GO Term: Gtpase Binding -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism, Endolysosome
GO Term: Rho Gdp-Dissociation Inhibitor Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Synapse
GO Term: Chiasma Assembly -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Mrna Transport -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Cell Cycle, Endolysosome
GO Term: Rrna Transport -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle
GO Term: Trna Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Endolysosome, Lipid Metabolism
GO Term: Nucleic Acid Transmembrane Transporter Activity -> Biodomain: DNA Repair, Cell Cycle, RNA Spliceosome, Epigenetic, Endolysosome
GO Term: Rna Transmembrane Transporter Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Mitochondrial Metabolism, Cell Cycle
GO Term: Regulation Of Endosome Size -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Calcium-Independent Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Negative Regulation Of Calcium-Independent Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Immune Response, Apoptosis
GO Term: Regulation Of Membrane Protein Ectodomain Proteolysis -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Membrane Protein Ectodomain Proteolysis -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Synapse
GO Term: Negative Regulation Of Membrane Protein Ectodomain Proteolysis -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Synapse
GO Term: Regulation Of Secretion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Vasculature
GO Term: Positive Regulation Of Secretion -> Biodomain: Proteostasis, Autophagy, Endolysosome, Immune Response, Apoptosis
GO Term: Negative Regulation Of Secretion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Regulation Of Transport -> Biodomain: Vasculature, Synapse, Immune Response, Endolysosome, Autophagy
GO Term: Positive Regulation Of Transport -> Biodomain: Endolysosome, Lipid Metabolism, Vasculature, Synapse, Proteostasis
GO Term: Negative Regulation Of Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Synapse
GO Term: Regulation Of Dna Metabolic Process -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Dna Metabolic Process -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Positive Regulation Of Dna Metabolic Process -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Negative Regulation Of Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Small Gtpase Mediated Signal Transduction -> Biodomain: Structural Stabilization, Synapse, Immune Response, Vasculature, Proteostasis
GO Term: Positive Regulation Of Small Gtpase Mediated Signal Transduction -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Endolysosome
GO Term: Negative Regulation Of Small Gtpase Mediated Signal Transduction -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Nf-Kappab Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Dihydrobiopterin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Synapse, Vasculature
GO Term: Nuclear Membrane Disassembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Unfolded Protein Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: 'De Novo' Cotranslational Protein Folding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: 'De Novo' Post-Translational Protein Folding -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Protein-Folding Chaperone Binding -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization
GO Term: Constitutive Protein Ectodomain Proteolysis -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, APP Metabolism
GO Term: Regulation Of Dna-Binding Transcription Factor Activity -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Dna-Binding Transcription Factor Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Nf-Kappab Transcription Factor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Developmental Process -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Developmental Process -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Helicase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Negative Regulation Of Helicase Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Binding -> Biodomain: Proteostasis, Synapse, Immune Response, APP Metabolism, Lipid Metabolism
GO Term: Regulation Of Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Atpase Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Metal Binding and Homeostasis
GO Term: Sugar Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Cell Cycle, Synapse
GO Term: Hepoxilin Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Mitochondrial Metabolism
GO Term: Rna Polymerase Ii Preinitiation Complex Assembly -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, RNA Spliceosome
GO Term: Synaptic Assembly At Neuromuscular Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Actin Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Negative Regulation Of Actin Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Positive Regulation Of Actin Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Synapse
GO Term: Regulation Of Cellular Component Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cellular Component Organization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Synapse
GO Term: Positive Regulation Of Cellular Component Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle
GO Term: Chaperone-Mediated Protein Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Synapse
GO Term: Nk T Cell Activation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Synapse, Endolysosome
GO Term: Negative Regulation Of Nk T Cell Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Nk T Cell Activation -> Biodomain: Immune Response, Synapse, Lipid Metabolism, Apoptosis, Epigenetic
GO Term: Regulation Of Nk T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Nk T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Proteostasis, Cell Cycle
GO Term: Metal Cation:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Nk T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Nk T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Endolysosome
GO Term: Striated Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Muscle Cell Differentiation -> Biodomain: Muscle System, Development, Cell Differentiation, Cell Growth And Proliferation, Cell Death
GO Term: Positive Regulation Of Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Regulation Of Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Negative Regulation Of Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome
GO Term: Regulation Of Striated Muscle Cell Differentiation -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Striated Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Striated Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Glucose 6-Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Cell Cycle
GO Term: Xylitol Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Xylitol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Nuclear Export -> Biodomain: RNA Spliceosome, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Nuclear Transport -> Biodomain: Cell Cycle, DNA Repair, RNA Spliceosome, Epigenetic, Immune Response
GO Term: Import Into Nucleus -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, RNA Spliceosome, Immune Response
GO Term: Regulation Of Phosphorus Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, DNA Repair
GO Term: Meiotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Vitamin Transport -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Protein Insertion Into Mitochondrial Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Protein Insertion Into Membrane -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Sequestering Of Calcium Ion -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Release Of Sequestered Calcium Ion Into Cytosol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Dioxygenase Activity -> Biodomain: Oxidative Stress, DNA Repair, Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic
GO Term: Cartilage Development -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Epigenetic
GO Term: Phosphoprotein Binding -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Apoptosis, DNA Repair
GO Term: Positive Regulation Of Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Vasculature
GO Term: Regulation Of Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, APP Metabolism
GO Term: Negative Regulation Of Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Mitotic Spindle Disassembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Spindle Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Meiotic Spindle Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Spindle Midzone -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Maintenance Of Location -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Regulation Of Multicellular Organismal Process -> Biodomain: Immune Response, Vasculature, Myelination, Structural Stabilization, Epigenetic
GO Term: Positive Regulation Of Multicellular Organismal Process -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Multicellular Organismal Process -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Regulation Of Protein Metabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Tau Homeostasis
GO Term: Positive Regulation Of Protein Metabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Protein Metabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Lymphocyte Activation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Lymphocyte Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Lymphocyte Activation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Regulation Of Rna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Negative Regulation Of Rna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Rna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Spindle Midzone Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Mitotic Spindle Midzone Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Meiotic Spindle Midzone Assembly -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Autophagy
GO Term: Protein Polymerization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Tau Homeostasis
GO Term: Protein Complex Oligomerization -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis, DNA Repair
GO Term: Protein Homooligomerization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Synapse
GO Term: Protein Depolymerization -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Protein Tetramerization -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Mono-Olein Transacylation Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Diolein Transacylation Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Cp2 Mannose-Ethanolamine Phosphotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Structural Stabilization
GO Term: Chromosome Organization -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Regulation Of Release Of Sequestered Calcium Ion Into Cytosol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Synapse
GO Term: Negative Regulation Of Release Of Sequestered Calcium Ion Into Cytosol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of Sequestering Of Calcium Ion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Sequestering Of Calcium Ion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Sequestering Of Calcium Ion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Cell Tip -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Nad Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Protein Homotetramerization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Protein Heterotetramerization -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Protein Heterooligomerization -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Autophagy, Synapse
GO Term: Nuclear Pore Complex Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, DNA Repair, Epigenetic
GO Term: Establishment Of Spindle Localization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Establishment Of Spindle Orientation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Establishment Of Meiotic Spindle Localization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Apoptosis
GO Term: Establishment Of Meiotic Spindle Orientation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, DNA Repair
GO Term: Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Centrosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Cell Division -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Regulation Of Cell Division -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, DNA Repair
GO Term: Establishment Of Chromosome Localization -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Chromosome Separation -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Mitotic Sister Chromatid Separation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Meiotic Chromosome Separation -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Male Meiosis Chromosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Apoptosis
GO Term: Female Meiosis Chromosome Separation -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Autophagy
GO Term: Metaphase Chromosome Alignment -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Meiotic Metaphase Chromosome Alignment -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Regulation Of Oxidoreductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Proteostasis, Cell Cycle, Oxidative Stress, Immune Response, Vasculature
GO Term: Positive Regulation Of Hydrolase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Hydrolase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, DNA Repair, Metal Binding and Homeostasis, Proteostasis
GO Term: Positive Regulation Of Ligase Activity -> Biodomain: Proteostasis, Autophagy, Cell Cycle, DNA Repair, Epigenetic
GO Term: Negative Regulation Of Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Proprioception Involved In Equilibrioception -> Biodomain: Synapse, Structural Stabilization, Vasculature, Lipid Metabolism, Autophagy
GO Term: Cellular Response To Potassium Ion Starvation -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Muscle Alpha-Actinin Binding -> Biodomain: Structural Stabilization, Muscle Function, Proteostasis, Cytoskeleton, Cell Adhesion
GO Term: Fatz Binding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Mannose-Ethanolamine Phosphotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Serotonin Binding -> Biodomain: Synapse, Myelination, Vasculature, Immune Response, Proteostasis
GO Term: Epinephrine Binding -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Epigenetic
GO Term: Norepinephrine Binding -> Biodomain: Synapse, Vasculature, Oxidative Stress, Proteostasis, Autophagy
GO Term: Histamine Binding -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Apoptosis
GO Term: Kinetochore Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Kinetochore Organization -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Response To Glucocorticoid -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: Response To Mineralocorticoid -> Biodomain: Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Immune Response, Epigenetic
GO Term: Regulation Of Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
