Running with TEMP=0.1, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Myelination, Proteostasis
GO Term: Oxidative Phosphorylation Uncoupler Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Sodium Channel Regulator Activity -> Biodomain: Synapse, Vasculature, Myelination, Proteostasis, Oxidative Stress
GO Term: Chloride Channel Regulator Activity -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Vasculature
GO Term: 4-Galactosyl-N-Acetylglucosaminide 3-Alpha-L-Fucosyltransferase Activity -> Biodomain: Proteostasis, Immune Response, Lipid Metabolism, Endolysosome, Vasculature
GO Term: Response To Insecticide -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Endolysosome
GO Term: Mitochondrial Processing Peptidase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Glycolipid Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Meprin A Complex -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Endolysosome, Synapse, APP Metabolism
GO Term: Heparan Sulfate 6-Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Acetylserotonin O-Methyltransferase Activity -> Biodomain: Synapse, Epigenetic, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Sulfonylurea Receptor Binding -> Biodomain: Vasculature, Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Very-Long-Chain Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Aminoacyl-Trna Synthetase Multienzyme Complex -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, RNA Spliceosome, Cell Cycle
GO Term: 5'-Flap Endonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Glutamate-Cysteine Ligase Complex -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Apoptosis
GO Term: Nucleoside Diphosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, Autophagy, DNA Repair
GO Term: Ribonucleoside Triphosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Cell Cycle, Epigenetic, DNA Repair
GO Term: Dihydropyrimidine Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Single-Stranded Dna Helicase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Apoptosis
GO Term: Lipoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Golgi Transport Complex -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Synapse
GO Term: Plasma Membrane Phospholipid Scrambling -> Biodomain: Lipid Metabolism, Apoptosis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Protein N-Acetylglucosaminyltransferase Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, APP Metabolism, Autophagy
GO Term: Sh3 Domain Binding -> Biodomain: Proteostasis, Synapse, Endolysosome, Cell Cycle, Immune Response
GO Term: Deoxycytidyl Transferase Activity -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Apoptosis, Epigenetic
GO Term: Nucleologenesis -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle, DNA Repair
GO Term: Phospholipid Scramblase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Triglyceride Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Poly(C) Rna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Immune Response, Autophagy
GO Term: Fibroblast Growth Factor Binding -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Lipid Metabolism, Synapse
GO Term: Histone Deacetylase Activity, Nad-Dependent -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Insecticide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Stem Cell Division -> Biodomain: Cell Cycle, Stem Cell Division, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Nmda Selective Glutamate Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Oxidative Stress
GO Term: Wnt-Protein Binding -> Biodomain: Cell Cycle, Proteostasis, Lipid Metabolism, Epigenetic, Vasculature
GO Term: Negative Regulation Of Translation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Immune Response, Epigenetic
GO Term: Trna Dihydrouridine Synthase Activity -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Dead/H-Box Rna Helicase Binding -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Cell Cycle, Proteostasis
GO Term: Sodium:Dicarboxylate Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Semaphorin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Immune Response, Vasculature, Proteostasis
GO Term: Calcium-Ion Regulated Exocytosis -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Cell Cycle
GO Term: Regulation Of Calcium Ion-Dependent Exocytosis -> Biodomain: Synapse, Metal Binding and Homeostasis, Immune Response, Proteostasis, Endolysosome
GO Term: Pantetheine Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Inositol-1,3,4-Trisphosphate 4-Phosphatase Activity -> Biodomain: Lipid Metabolism, Autophagy, Metal Binding and Homeostasis, Endolysosome, Oxidative Stress
GO Term: Aryl Hydrocarbon Receptor Binding -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Vinculin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Synapse
GO Term: 5-Oxoprolinase (Atp-Hydrolyzing) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Serine Hydrolase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Cysteine Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Glycine N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Phosphatidylinositol N-Acetylglucosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Glucosidase Ii Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Diphthine-Ammonia Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, Autophagy
GO Term: Protein Histidyl Modification To Diphthamide -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Cell Cycle, Apoptosis
GO Term: Peptidyl-Lysine Hydroxylation -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Peptidyl-Pyroglutamic Acid Biosynthetic Process, Using Glutaminyl-Peptide Cyclotransferase -> Biodomain: Proteostasis, Tau Homeostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Peptidyl-Glutamic Acid Carboxylation -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: L-Aspartate N-Acetyltransferase Activity -> Biodomain: Myelination, Mitochondrial Metabolism, Synapse, Lipid Metabolism, Proteostasis
GO Term: N-Terminal Peptidyl-Aspartic Acid Acetylation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Structural Stabilization, Metal Binding and Homeostasis
GO Term: N-Terminal Peptidyl-Glutamine Acetylation -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Autophagy, Apoptosis
GO Term: N-Terminal Peptidyl-Methionine Acetylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Metal Binding and Homeostasis, Proteostasis
GO Term: N-Terminal Peptidyl-Glutamic Acid Acetylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Structural Stabilization
GO Term: Peptidyl-Lysine N6-Acetylation -> Biodomain: Epigenetic, Proteostasis, Autophagy, Structural Stabilization, Synapse
GO Term: N-Terminal Peptidyl-Glycine N-Myristoylation -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Apoptosis
GO Term: N-Terminal Peptidyl-L-Cysteine N-Palmitoylation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: N-Terminal Peptidyl-Glycine Methylation -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: N-Terminal Peptidyl-Proline Dimethylation -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Peptidyl-Histidine Methylation -> Biodomain: Proteostasis, Epigenetic, Metal Binding and Homeostasis, DNA Repair, Cell Cycle
GO Term: Peptidyl-Lysine Methylation -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Peptidyl-Lysine Trimethylation -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Calmodulin-Lysine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse
GO Term: Peptidyl-Lysine Monomethylation -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Peptidyl-Lysine Dimethylation -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Peptidyl-Lysine N6-Myristoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Peptidyl-Lysine Oxidation -> Biodomain: Oxidative Stress, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Cytochrome C-Heme Linkage -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Protein-L-Histidine N-Tele-Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism
GO Term: N-Terminal Peptidyl-Lysine Acetylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Protein Polyglycylation -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Synapse
GO Term: Protein Polyglutamylation -> Biodomain: Proteostasis, Structural Stabilization, Tau Homeostasis, Synapse, Mitochondrial Metabolism
GO Term: Peptidyl-Serine Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Peptidyl-Threonine Phosphorylation -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Peptidyl-Tyrosine Phosphorylation -> Biodomain: Proteostasis, Signal Transduction, Immune Response, Cell Cycle, Apoptosis
GO Term: Proline Racemase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Threonine Racemase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Protein Adenylylation -> Biodomain: Proteostasis, Immune Response, Autophagy, Apoptosis, Cell Cycle
GO Term: Peptidyl-Cysteine S-Nitrosylation -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Vasculature, Immune Response
GO Term: Peptidyl-Cysteine Methylation -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Structural Stabilization, Epigenetic
GO Term: Protein Hydroxylation -> Biodomain: Proteostasis, Oxidative Stress, Structural Stabilization, Metal Binding and Homeostasis, Apoptosis
GO Term: Keratan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Lipid Metabolism, Synapse, Vasculature, Proteostasis
GO Term: Peptide Cross-Linking -> Biodomain: Proteostasis, Structural Stabilization, Tau Homeostasis, Metal Binding and Homeostasis, APP Metabolism
GO Term: Isopeptide Cross-Linking Via N6-(L-Isoglutamyl)-L-Lysine -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Apoptosis, Autophagy
GO Term: Protein Oxidation -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Peptidyl-Serine Octanoylation -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Peptidyl-Glutamic Acid Modification -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Peptidyl-Methionine Modification -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Peptidyl-Arginine Methylation -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle, DNA Repair
GO Term: Peptidyl-L-Cysteine S-Palmitoylation -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Apoptosis
GO Term: Protein O-Linked Glycosylation Via Serine -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Immune Response, Epigenetic
GO Term: Protein O-Linked Glycosylation Via Threonine -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Protein-Pyridoxal-5-Phosphate Linkage Via Peptidyl-N6-Pyridoxal Phosphate-L-Lysine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Protein Deamination -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Protein N-Linked Glycosylation Via Asparagine -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Protein-Fad Linkage -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Protein Prenylation -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Protein Farnesylation -> Biodomain: Lipid Metabolism, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Protein Geranylgeranylation -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Protein Palmitoylation -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Mitochondrial Metabolism
GO Term: Peptidyl-Glutamine Methylation -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Autophagy
GO Term: Internal Peptidyl-Lysine Acetylation -> Biodomain: Epigenetic, Proteostasis, Apoptosis, Cell Cycle, Autophagy
GO Term: Peptidyl-Lysine Acetylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Peptidyl-Lysine Hydroxylation To 5-Hydroxy-L-Lysine -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Peptidyl-Proline Hydroxylation To 4-Hydroxy-L-Proline -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein C-Terminal Leucine Carboxyl O-Methyltransferase Activity -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Translation Release Factor Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, Structural Stabilization
GO Term: Alcohol Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Formaldehyde Dehydrogenase (Nad+) Activity -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Benzaldehyde Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Malonate-Semialdehyde Dehydrogenase (Acetylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Benzaldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Methanethiol Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: 4-Nitrophenol 2-Monooxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: (S)-Limonene 6-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: (S)-Limonene 7-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Alkane 1-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Thiol S-Methyltransferase Activity -> Biodomain: Epigenetic, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Propionate Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: S-Formylglutathione Hydrolase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Acetylpyruvate Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: 3-Hydroxyacyl-Coa Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Cyanamide Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Benzoate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Arsonoacetate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Benzoate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Biphenyl Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Apoptosis, Mitochondrial Metabolism
GO Term: Carbon Tetrachloride Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Apoptosis, Mitochondrial Metabolism, Endolysosome
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Endolysosome
GO Term: Benzene Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Nitrobenzene Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Nitroglycerin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Vasculature, Lipid Metabolism
GO Term: Phenol-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis
GO Term: 4-Nitrophenol Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Apoptosis, Proteostasis
GO Term: Phthalate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Propylene Metabolic Process -> Biodomain: Xenobiotic Metabolism, Toxicology, Cellular Processes, Metabolic Processes, General Metabolism
GO Term: Thiocyanate Metabolic Process -> Biodomain: Oxidative Stress, Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Guanyl Nucleotide Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Gmp Binding -> Biodomain: Mitochondrial Metabolism, Synapse, Cell Cycle, DNA Repair, Epigenetic
GO Term: Gdp Binding -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, Immune Response, Autophagy
GO Term: Scf Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Autophagy, Apoptosis
GO Term: Establishment Of Viral Latency -> Biodomain: Immune Response, Apoptosis, Epigenetic, DNA Repair, Proteostasis
GO Term: Release From Viral Latency -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Viral Life Cycle -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Intracellular Transport Of Viral Protein In Host Cell -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Virion Attachment To Host Cell -> Biodomain: Immune Response, Proteostasis, Vasculature, Endolysosome, Synapse
GO Term: Fusion Of Virus Membrane With Host Plasma Membrane -> Biodomain: Membrane Trafficking, Virus-Host Interactions, Cell Surface Interactions, Intracellular Transport, Immune Response
GO Term: Receptor-Mediated Endocytosis Of Virus By Host Cell -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Virion Assembly -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Viral Rna Genome Packaging -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Immune Response
GO Term: Virus Maturation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Viral Release From Host Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Viral Genome Replication -> Biodomain: Immune Response, Cell Cycle, RNA Spliceosome, Epigenetic, Lipid Metabolism
GO Term: Viral Translation -> Biodomain: Proteostasis, Immune Response, Autophagy, Apoptosis, Oxidative Stress
GO Term: Viral Protein Processing -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Viral Transcription -> Biodomain: Immune Response, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Early Viral Transcription -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: Late Viral Transcription -> Biodomain: Structural Stabilization, RNA Spliceosome, Epigenetic, Proteostasis, Immune Response
GO Term: Reproductive Behavior -> Biodomain: Epigenetic, Synapse, Immune Response, Vasculature, Lipid Metabolism
GO Term: Male Germ-Line Sex Determination -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Proteostasis
GO Term: Female Somatic Sex Determination -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Male Somatic Sex Determination -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Pyrimidine Nucleotide Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, DNA Repair, Metal Binding and Homeostasis
GO Term: Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis, Proteostasis
GO Term: Myristoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Endolysosome
GO Term: Phenanthrene-9,10-Epoxide Hydrolase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Immune Response, Autophagy, Apoptosis
GO Term: Deoxyhypusine Monooxygenase Activity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Cell Cycle, Metal Binding and Homeostasis
GO Term: Deoxynucleoside Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Adp-Sugar Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Endolysosome
GO Term: Aminobutyraldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: D-Ribulokinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Protein-Disulfide Reductase (Glutathione) Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Mannokinase Activity -> Biodomain: Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Trans-2-Enoyl-Coa Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: (3R)-Hydroxyacyl-[Acyl-Carrier-Protein] Dehydratase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
GO Term: Glyoxalase Iii Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Nadp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Snrna-Activating Protein Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Carbohydrate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Amino Acid Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Carbohydrate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis
