Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cd4-Positive, Cd25-Positive, Alpha-Beta Regulatory T Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Epigenetic, Proteostasis, Autophagy
GO Term: Glomerulus Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome
GO Term: Glomerular Basement Membrane Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Dendrite Cytoplasm -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Endolysosome
GO Term: Calcitonin Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Vasculature, Structural Stabilization, Unknown
GO Term: Negative Regulation Of Cellular Ph Reduction -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Cellular Ph Reduction -> Biodomain: Endolysosome, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Response To Insulin -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Insulin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cellular Response To Hormone Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Stress-Activated Mapk Cascade -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Immune Response, Autophagy
GO Term: Negative Regulation Of Stress-Activated Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Autophagy
GO Term: Positive Regulation Of Stress-Activated Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Autophagy
GO Term: Regulation Of Dna Endoreduplication -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Metal Binding and Homeostasis, Apoptosis
GO Term: Negative Regulation Of Dna Endoreduplication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Dna Endoreduplication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Establishment Or Maintenance Of Cell Polarity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Lipid Metabolism
GO Term: Regulation Of Protein Localization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Apoptosis
GO Term: Regulation Of Microtubule-Based Process -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Palmitoyl-Coa 9-Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: Negative Regulation Of Viral Transcription -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Neurotrophin Production -> Biodomain: Proteostasis, Apoptosis, Synapse, Endolysosome, Autophagy
GO Term: Positive Regulation Of Neurotrophin Production -> Biodomain: Synapse, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Nerve Growth Factor Production -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Regulation Of Nerve Growth Factor Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Epigenetic
GO Term: Negative Regulation Of Nerve Growth Factor Production -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Oxidative Stress
GO Term: Transforming Growth Factor Beta1 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Endolysosome
GO Term: Regulation Of Transforming Growth Factor Beta1 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Epigenetic
GO Term: Regulation Of Transforming Growth Factor Beta2 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Vasculature
GO Term: Negative Regulation Of Transforming Growth Factor Beta1 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Transforming Growth Factor Beta2 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Transforming Growth Factor Beta3 Production -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Transforming Growth Factor Beta1 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Transforming Growth Factor Beta2 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Vasculature
GO Term: Positive Regulation Of Transforming Growth Factor Beta3 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Spermidine Acetylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Spermine Acetylation -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Putrescine Acetylation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Circadian Regulation Of Gene Expression -> Biodomain: Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Activin Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Regulation Of Activin Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Activin Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Activin Receptor Signaling Pathway -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Proteostasis, Unknown
GO Term: Regulation Of Superoxide Anion Generation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Metal Binding and Homeostasis, Apoptosis
GO Term: Negative Regulation Of Superoxide Anion Generation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Immune Response
GO Term: Positive Regulation Of Superoxide Anion Generation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Immune Response, Proteostasis
GO Term: Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Autophagy, Apoptosis
GO Term: Sterol Binding -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Sterol Sensor Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Srebp-Scap Complex -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Unknown
GO Term: Srebp-Scap-Insig Complex -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Translation In Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Secretion By Cell -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Mononuclear Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, DNA Repair, Mitochondrial Metabolism, Epigenetic
GO Term: Regulation Of Mononuclear Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Mononuclear Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mononuclear Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Regulation Of Actin Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Immune Response
GO Term: Inositol Trisphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Apoptosis, Vasculature, Synapse
GO Term: Inositol Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Synapse, Oxidative Stress
GO Term: Inositol Trisphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Regulation Of Inositol Trisphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Inositol Trisphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Cell Cycle, Oxidative Stress, Synapse, Apoptosis
GO Term: Collagen Metabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Vasculature
GO Term: Collagen Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Metal Binding and Homeostasis, Immune Response
GO Term: Regulation Of Collagen Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Metal Binding and Homeostasis, Epigenetic
GO Term: Negative Regulation Of Collagen Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Extracellular Matrix Organization, Cell Growth And Proliferation, Connective Tissue Disorders
GO Term: Positive Regulation Of Collagen Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Metal Binding and Homeostasis, Epigenetic
GO Term: Positive Regulation Of Transcription Elongation By Rna Polymerase Ii -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Autophagy, Proteostasis
GO Term: Regulation Of Actin Filament-Based Process -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Regulation Of Muscle Filament Sliding -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Muscle Filament Sliding Speed -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Amino Acid Export Across Plasma Membrane -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Release Of Matrix Enzymes From Mitochondria -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Membrane Insertase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Protein Insertion Into Mitochondrial Inner Membrane From Matrix -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Keratinocyte Activation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Epigenetic, Apoptosis
GO Term: Mitochondrial Respiratory Chain Complex I Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Myosin Filament -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Vasculature
GO Term: Kainate Selective Glutamate Receptor Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: Protein-Dna Complex Disassembly -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Apoptosis
GO Term: Cellular Anatomical Entity Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Autophagy, Proteostasis
GO Term: Protein-Containing Complex -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: Protein-Dna Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Protein-Lipid Complex -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Structural Stabilization
GO Term: Bcl3-Bcl10 Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Fc-Epsilon Receptor I Complex -> Biodomain: Immune Response, Signal Transduction, Membrane Biology, Cell Activation, Immunoglobulin Complexes
GO Term: Fc-Gamma Receptor Iii Complex -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Vasculature
GO Term: Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Mitochondrial Metabolism
GO Term: Regulation Of Mast Cell Activation -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Mast Cell Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Mast Cell Activation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Vasculature
GO Term: Negative Regulation Of Mast Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Mast Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Paranodal Junction -> Biodomain: Myelination, Synapse, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Perinuclear Theca -> Biodomain: Structural Stabilization, Proteostasis, Unknown, Apoptosis, Cell Cycle
GO Term: Tetrapyrrole Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Immune Response
GO Term: Tetrapyrrole Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Sarcoplasmic Reticulum Membrane -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Sarcoplasmic Reticulum Lumen -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Mast Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Mast Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Mast Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mast Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Positive Regulation Of Mast Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Myeloid Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Neutrophil Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Neutrophil Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Neutrophil Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Myeloid Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Myeloid Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Myeloid Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Polysaccharide Localization -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Unknown
GO Term: Bitter Taste Receptor Activity -> Biodomain: Unknown, Immune Response, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Sour Taste Receptor Activity -> Biodomain: Synapse, Unknown, Oxidative Stress, Proteostasis, Vasculature
GO Term: Sweet Taste Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Epigenetic, Vasculature
GO Term: Regulation Of Organelle Organization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Chromosome Organization -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Sister Chromatid Segregation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Directional Locomotion -> Biodomain: Immune Response, Vasculature, Synapse, Structural Stabilization, Myelination
GO Term: Cellular Pigmentation -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Rad51B-Rad51C-Rad51D-Xrcc2 Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Rad51C-Xrcc3 Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Isoquinoline Alkaloid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: T Cell Differentiation In Thymus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Immature T Cell Proliferation In Thymus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Unknown, Proteostasis
GO Term: Regulation Of T Cell Differentiation In Thymus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Regulation Of Extrathymic T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Immature T Cell Proliferation In Thymus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Negative Regulation Of T Cell Differentiation In Thymus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Immature T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Immature T Cell Proliferation In Thymus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Endolysosome, Proteostasis
GO Term: Positive Regulation Of T Cell Differentiation In Thymus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Endolysosome, Autophagy
GO Term: Positive Regulation Of Immature T Cell Proliferation In Thymus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Weibel-Palade Body -> Biodomain: Vasculature, Immune Response, Proteostasis, Synapse, Endolysosome
GO Term: Cis-Golgi Network Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Mitochondrial Respiratory Chain Complex Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Endoplasmic Reticulum-Golgi Intermediate Compartment Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Rna Splicing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Positive Regulation Of Rna Splicing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Acetylcholine Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Unknown
GO Term: Negative Regulation Of Glucokinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Regulation Of Peptidyl-Serine Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Peptidyl-Serine Phosphorylation -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Peptidyl-Serine Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Peptidyl-Serine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Peptidyl-Serine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Proteostasis, Epigenetic, Oxidative Stress, Apoptosis
GO Term: Nuclear Progesterone Receptor Binding -> Biodomain: Epigenetic, Proteostasis, Apoptosis, Cell Cycle, Immune Response
GO Term: Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Proteostasis, Immune Response
GO Term: Negative Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway -> Biodomain: Immune Response, Epigenetic, Lipid Metabolism, Cell Cycle, Proteostasis
GO Term: Regulation Of Intracellular Estrogen Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Intracellular Estrogen Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Apoptosis, Cell Cycle, DNA Repair
GO Term: Positive Regulation Of Intracellular Estrogen Receptor Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Proteostasis, Unknown
GO Term: Ffat Motif Binding -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Cytoskeletal Calyx -> Biodomain: Structural Stabilization, Unknown, Unknown, Unknown, Unknown
GO Term: V(D)J Recombination -> Biodomain: Immune Response, DNA Repair, Epigenetic, Proteostasis, Cell Cycle
GO Term: Immunoglobulin V(D)J Recombination -> Biodomain: Immune Response, DNA Repair, Epigenetic, Cell Cycle, Apoptosis
GO Term: T Cell Receptor V(D)J Recombination -> Biodomain: Immune Response, DNA Repair, Epigenetic, Cell Cycle, Apoptosis
GO Term: Regulation Of Intracellular Protein Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Melanosome Membrane -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Interphotoreceptor Matrix -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Calcineurin-Nfat Signaling Cascade -> Biodomain: Immune Response, Vasculature, Synapse, Metal Binding and Homeostasis, Proteostasis
GO Term: Proton-Transporting V-Type Atpase Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Proton-Transporting Two-Sector Atpase Complex, Proton-Transporting Domain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Proton-Transporting Two-Sector Atpase Complex, Catalytic Domain -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Proton-Transporting V-Type Atpase, V0 Domain -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Metal Binding and Homeostasis
GO Term: Proton-Transporting V-Type Atpase, V1 Domain -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Plasma Membrane Proton-Transporting V-Type Atpase Complex -> Biodomain: Endolysosome, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Dolichol-Phosphate-Mannose Synthase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Caf-1 Complex -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Sphingomyelin Synthase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Apoptosis, Proteostasis, Autophagy
GO Term: Response To Vitamin A -> Biodomain: Immune Response, Epigenetic, Oxidative Stress, Lipid Metabolism, Cell Cycle
GO Term: Calmodulin-Dependent Protein Phosphatase Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Oxidative Stress
GO Term: Response To Hydroperoxide -> Biodomain: Oxidative Stress, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Response To Vitamin E -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Response To Atp -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Ribonuclease P Rna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Meiotic Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Leptin-Mediated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Adiponectin-Activated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Autophagy, Oxidative Stress
GO Term: Iron Import Into Cell -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Reductive Iron Assimilation -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Amide Binding -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Dsrna Transport -> Biodomain: Immune Response, Epigenetic, RNA Spliceosome, Autophagy, Endolysosome
GO Term: Cysteine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Protein Sumoylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, DNA Repair, Apoptosis
GO Term: Negative Regulation Of Protein Sumoylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Protein Sumoylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, DNA Repair, Apoptosis
GO Term: I-Kappab/Nf-Kappab Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Bcl3/Nf-Kappab2 Complex -> Biodomain: Immune Response, Epigenetic, Apoptosis, DNA Repair, Proteostasis
GO Term: Nuclear Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Corvet Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Unknown
GO Term: Choline Binding -> Biodomain: Lipid Metabolism, Synapse, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Node Of Ranvier -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism
GO Term: Internode Region Of Axon -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism
