Running with TEMP=0.5, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Hematopoietic Stem Cell Migration -> Biodomain: Immune Response, Vasculature, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Monocyte Homeostasis -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: T-Helper 17 Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Memory T Cell Activation -> Biodomain: Immune Response, Autophagy, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Cd4-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: T-Helper 1 Cell Activation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: T-Helper 2 Cell Activation -> Biodomain: Immune Response, Synapse, Apoptosis, Epigenetic, Autophagy
GO Term: Response To Nitrogen Dioxide -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Endolysosome, Proteostasis
GO Term: Chemokine (C-C Motif) Ligand 2 Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Vasculature
GO Term: Chemokine (C-C Motif) Ligand 12 Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Synapse, Apoptosis
GO Term: Chemokine (C-C Motif) Ligand 7 Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Vasculature
GO Term: Macrophage Migration Inhibitory Factor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Vasculature
GO Term: Intraciliary Anterograde Transport -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Intraciliary Retrograde Transport -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Interleukin-12-Mediated Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Proteostasis
GO Term: Interleukin-15-Mediated Signaling Pathway -> Biodomain: Immune Response, Signaling, Cell Growth and Proliferation, Inflammation, Adaptive Immunity
GO Term: Sodium Ion Transmembrane Transport -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Myelination, Structural Stabilization
GO Term: Common Myeloid Progenitor Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Lipid Metabolism, Proteostasis
GO Term: Lysophosphatidic Acid Binding -> Biodomain: Lipid Metabolism, Cell Cycle, Vasculature, Immune Response, Epigenetic
GO Term: Response To Hepatocyte Growth Factor -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Cellular Response To Hepatocyte Growth Factor Stimulus -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Autophagy, Epigenetic
GO Term: S-Nitrosoglutathione Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Immune Response, Vasculature
GO Term: Dinitrosyl-Iron Complex Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Nitric Oxide Storage -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Hepatic Stellate Cell Activation -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Intraciliary Transport Involved In Cilium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Synapse
GO Term: Cd4-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Natural Killer Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Apoptosis
GO Term: Myelin Sheath Abaxonal Region -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Synapse
GO Term: Myelin Sheath Adaxonal Region -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism
GO Term: Protein Localization To Myelin Sheath Abaxonal Region -> Biodomain: Myelination, Structural Stabilization, Proteostasis, Synapse, Lipid Metabolism
GO Term: Regulation Of Lysosomal Lumen Ph -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Lysosomal Lumen Ph Elevation -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: B Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Cardiolipin Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Chemokine (C-C Motif) Ligand 19 Binding -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Proteostasis
GO Term: Chemokine (C-C Motif) Ligand 21 Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Mesangial Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Cell Matrix Adhesion, Extracellular Matrix Organization, Kidney Function
GO Term: Endothelial Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism, Structural Stabilization
GO Term: Endothelial Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Ribonucleoprotein Granule -> Biodomain: RNA Spliceosome, Oxidative Stress, Proteostasis, Immune Response, Epigenetic
GO Term: Interleukin-4-Mediated Signaling Pathway -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Autophagy
GO Term: Interleukin-13-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Insulin Secretion Involved In Cellular Response To Glucose Stimulus -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: Positive Regulation Of Insulin Secretion Involved In Cellular Response To Glucose Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Mature Natural Killer Cell Chemotaxis -> Biodomain: Immune Response, Cell Migration, Apoptosis, Cell Activation, Lymphocyte Biology
GO Term: Cd4-Positive, Alpha-Beta T Cell Costimulation -> Biodomain: Immune Response, Synapse, Apoptosis, Autophagy, Proteostasis
GO Term: Cell Migration Involved In Kidney Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Epigenetic
GO Term: Cell Migration Involved In Metanephros Development -> Biodomain: Vasculature, Cell Cycle, Mitochondrial Metabolism, Structural Stabilization, Epigenetic
GO Term: Platelet-Derived Growth Factor Receptor-Alpha Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism, Oxidative Stress
GO Term: Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Vasculature, Immune Response, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism
GO Term: Positive Regulation Of Metanephric Mesenchymal Cell Migration By Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Positive Regulation Of Mitochondrial Membrane Permeability -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Negative Regulation Of Mitochondrial Membrane Permeability -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: 2-Alkenal Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Ureter Maturation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Deubiquitinase Activator Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Adrenal Cortex Development -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Adrenal Cortex Formation -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Egg Coat Formation -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Lipid Metabolism
GO Term: Structural Constituent Of Egg Coat -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Egg Coat -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Regulation Of Urine Volume -> Biodomain: Vasculature, Metal Binding and Homeostasis, Immune Response, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Urine Volume -> Biodomain: Vasculature, Lipid Metabolism, Proteostasis, Endolysosome, Immune Response
GO Term: Negative Regulation Of Urine Volume -> Biodomain: Vasculature, Synapse, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Renal Sodium Excretion -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Endolysosome, Mitochondrial Metabolism
GO Term: Regulation Of Renal Sodium Excretion -> Biodomain: Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Renal Sodium Excretion -> Biodomain: Vasculature, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Renal Sodium Excretion -> Biodomain: Vasculature, Lipid Metabolism, Immune Response, Endolysosome, Proteostasis
GO Term: Modulation Of Process Of Another Organism -> Biodomain: Immune Response, Apoptosis, Synapse, Proteostasis, Oxidative Stress
GO Term: Gene Conversion -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Growing Cell Tip -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: New Growing Cell Tip -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Cloaca Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Photoreceptor Cell Outer Segment Organization -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Oviduct Epithelium Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Epigenetic, Cell Cycle
GO Term: Uterine Epithelium Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Vasculature
GO Term: Nephric Duct Elongation -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Lipid Metabolism
GO Term: Krueppel-Associated Box Domain Binding -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Proteostasis
GO Term: Chromosome Passenger Complex Localization To Spindle Midzone -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Eosinophil Fate Commitment -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Epigenetic
GO Term: Megakaryocyte Development -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Structural Stabilization
GO Term: Seh1-Associated Complex -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Cell Cycle, Structural Stabilization
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Neuroprotection, Neuroinflammation, Structural Stabilization, Apoptosis
GO Term: Site Of Double-Strand Break -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Ditp Catabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Response To Potassium Ion -> Biodomain: Oxidative Stress, Ion Transport, Cell Signaling, Membrane Potential, Homeostasis
GO Term: Cellular Response To Potassium Ion -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Alphav-Beta3 Integrin-Pkcalpha Complex -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Cell Cycle, Epigenetic
GO Term: Alphav-Beta3 Integrin-Igf-1-Igf1R Complex -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Structural Stabilization
GO Term: Alphav-Beta3 Integrin-Hmgb1 Complex -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Ciliary Transition Zone -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Ditp Diphosphatase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein K11-Linked Deubiquitination -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Cell Cycle
GO Term: Nucleotide-Binding Domain, Leucine Rich Repeat Containing Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Lactate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Synapse, Oxidative Stress
GO Term: Death Effector Domain Binding -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Immune Response
GO Term: Nail Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Plasma Membrane Lactate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Synapse, Oxidative Stress
GO Term: Embryonic Nail Plate Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Amacrine Cell Differentiation -> Biodomain: Synapse, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Enteroendocrine Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Synapse, Endolysosome
GO Term: Vascular Associated Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Muscle System, Lipid Metabolism
GO Term: Parathyroid Hormone Secretion -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Vasculature, Endolysosome, Autophagy
GO Term: Response To Isolation Stress -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Endolysosome
GO Term: Response To Immobilization Stress -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Endolysosome
GO Term: Aorta Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Endolysosome, Apoptosis
GO Term: Ascending Aorta Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Epigenetic, Apoptosis
GO Term: Descending Aorta Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Dorsal Aorta Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Immune Response
GO Term: Aorta Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Ascending Aorta Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Apoptosis
GO Term: Dorsal Aorta Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Skeletal Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Desmosome Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Endolysosome
GO Term: Foramen Ovale Closure -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Endolysosome
GO Term: Cellular Response To Vascular Endothelial Growth Factor Stimulus -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Mrna 3'-Utr Au-Rich Region Binding -> Biodomain: RNA Spliceosome, Proteostasis, Immune Response, Apoptosis, Autophagy
GO Term: Rna Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Apoptosis
GO Term: Rrna Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Autophagy, Cell Cycle
GO Term: Aldosterone Secretion -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Vasculature, Proteostasis
GO Term: Corticosterone Secretion -> Biodomain: Steroid Metabolism, Stress Response, Endocrine System, Vasculature, Immune Response
GO Term: Mitochondrial Ncrna Surveillance -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, RNA Spliceosome, Oxidative Stress
GO Term: Mitochondrial Mrna Surveillance -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Oxidative Stress, Autophagy, Proteostasis
GO Term: Response To Interleukin-13 -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Autophagy
GO Term: Cellular Response To Interleukin-13 -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Copi-Coated Vesicle Budding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Cardiolipin Acyl-Chain Remodeling -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Topologically Incorrect Protein -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Peptidyl-Threonine Dephosphorylation -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Aggrephagy -> Biodomain: Autophagy, Proteostasis, Protein Aggregation, Endolysosome, Proteasome
GO Term: Transcription Factor Ap-1 Complex -> Biodomain: Epigenetic, Oxidative Stress, Immune Response, Apoptosis, DNA Repair
GO Term: Histone H2Axs139 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: Cellular Response To Trichostatin A -> Biodomain: Epigenetic, Oxidative Stress, Proteostasis, Apoptosis, DNA Repair
GO Term: Senescence-Associated Heterochromatin Focus -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Autophagy
GO Term: Endodermal Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization, Proteostasis
GO Term: Chondrocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Epigenetic
GO Term: Tendon Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Tendon Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Epigenetic
GO Term: Tendon Formation -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Extracellular Matrix, Tissue Development
GO Term: Deltoid Tuberosity Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Vasculature, Epigenetic
GO Term: Response To Muscle Stretch -> Biodomain: Synapse, Structural Stabilization, Myelination, Oxidative Stress, Proteostasis
GO Term: Detection Of Muscle Stretch -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Tetrahydrofolate Interconversion -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Lipid Metabolism
GO Term: Pre-Mrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Gaf Domain Binding -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Response To Macrophage Colony-Stimulating Factor -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Vasculature
GO Term: Cellular Response To Macrophage Colony-Stimulating Factor Stimulus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: Protein-Glutamine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Protein Localization To Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Cellular Response To Interleukin-3 -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Endolysosome, Apoptosis
GO Term: Response To Erythropoietin -> Biodomain: Cell Cycle, Apoptosis, Vasculature, Mitochondrial Metabolism, Immune Response
GO Term: Cellular Response To Erythropoietin -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Cell Cycle, Immune Response
GO Term: Endolysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Endolysosome Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Endolysosome Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Limb Joint Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Autophagy, Apoptosis
GO Term: Embryonic Skeletal Limb Joint Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Protein C Inhibitor-Tmprss7 Complex -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Immune Response, Autophagy
GO Term: Protein C Inhibitor-Tmprss11E Complex -> Biodomain: Proteostasis, Apoptosis, Immune Response, Endolysosome, Autophagy
GO Term: Protein C Inhibitor-Plat Complex -> Biodomain: Proteostasis, Vasculature, Immune Response, Apoptosis, Structural Stabilization
GO Term: Protein C Inhibitor-Plau Complex -> Biodomain: Proteostasis, Immune Response, Apoptosis, Vasculature, Lipid Metabolism
GO Term: Protein C Inhibitor-Thrombin Complex -> Biodomain: Vasculature, Proteostasis, Structural Stabilization, Immune Response, Metal Binding and Homeostasis
GO Term: Protein C Inhibitor-Klk3 Complex -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Immune Response, Epigenetic
GO Term: Protein C Inhibitor-Plasma Kallikrein Complex -> Biodomain: Proteostasis, Immune Response, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Neural Crest Cell Delamination -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Synapse, Myelination
GO Term: Mediator Complex Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Structural Stabilization, Cell Cycle
GO Term: Osteoclast Development -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Cd8-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Mks Complex -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Long-Chain Fatty Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Long-Chain Fatty Acyl-Coa Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Protein Demalonylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Peptidyl-Lysine Demalonylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Oxidative Stress
GO Term: Protein Desuccinylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Peptidyl-Lysine Desuccinylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Glomerular Endothelium Fenestra -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Protein-Malonyllysine Demalonylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Protein-Succinyllysine Desuccinylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Autophagy
GO Term: Slit Diaphragm -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Filtration Diaphragm Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Slit Diaphragm Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Cell Cycle
GO Term: Ciliary Basal Body -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Fucosylation -> Biodomain: Proteostasis, Immune Response, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Protein O-Linked Fucosylation -> Biodomain: Proteostasis, Endolysosome, Vasculature, Structural Stabilization, Immune Response
GO Term: N-Glycan Fucosylation -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Immune Response, Structural Stabilization
GO Term: Ligamentous Ossification -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Gdp-Fucose Import Into Golgi Lumen -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Vasculature
GO Term: D-Serine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Synapse
GO Term: Cleavage Furrow Formation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cleavage Furrow Ingression -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Phosphatidylinositol-3-Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Small Molecule Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Leukotriene B4 Catabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Leukotriene B4 Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Peroxisome Membrane Class-1 Targeting Sequence Binding -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization
GO Term: Alpha-Linolenic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Very Long-Chain Fatty-Acyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Medium-Chain Fatty-Acyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Very Long-Chain Fatty-Acyl-Coa Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Medium-Chain Fatty-Acyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
