Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Oxidative Stress, Immune Response
GO Term: U2-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: U1 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: U2 Snrnp -> Biodomain: RNA Spliceosome, Tau Homeostasis, APP Metabolism, Proteostasis, Epigenetic
GO Term: U4 Snrnp -> Biodomain: RNA Spliceosome, Tau Homeostasis, Autophagy, Apoptosis, APP Metabolism
GO Term: U6 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Epigenetic, Synapse
GO Term: U12-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, Tau Homeostasis, Epigenetic, Proteostasis, Synapse
GO Term: U4Atac Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Oxidative Stress, DNA Repair
GO Term: U6Atac Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: U11 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, APP Metabolism, Epigenetic
GO Term: U12 Snrnp -> Biodomain: RNA Spliceosome, Tau Homeostasis, Proteostasis, APP Metabolism, Epigenetic
GO Term: Chromosome -> Biodomain: Epigenetic, DNA Repair, Apoptosis, Cell Cycle, Autophagy
GO Term: Telomerase Holoenzyme Complex -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Polytene Chromosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Chiasma -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Recombination Nodule -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Late Recombination Nodule -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Pericentric Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Autophagy
GO Term: Perichromatin Fibrils -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Apoptosis
GO Term: Nucleolus -> Biodomain: RNA Spliceosome, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Nucleolus Organizer Region -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Apoptosis
GO Term: Sno(S)Rna-Containing Ribonucleoprotein Complex -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Rna Polymerase I Complex -> Biodomain: Proteostasis, Apoptosis, Epigenetic, Oxidative Stress, Cell Cycle
GO Term: Cytoplasm -> Biodomain: Proteostasis, Tau Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Mitochondrial Envelope -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Mitochondrial Outer Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Tim23 Mitochondrial Import Inner Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: M-Aaa Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Mitochondrial Permeability Transition Pore Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Mitochondrial Intermembrane Space -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Gamma Dna Polymerase Complex -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Mitochondrial Ribosome -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mitochondrial Large Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Mitochondrial Small Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Lysosome -> Biodomain: Endolysosome, APP Metabolism, Autophagy, Proteostasis, Tau Homeostasis
GO Term: Lysosomal Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Secondary Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, APP Metabolism
GO Term: Endosome -> Biodomain: Endolysosome, APP Metabolism, Autophagy, Proteostasis, Immune Response
GO Term: Early Endosome -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Immune Response
GO Term: Late Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Multivesicular Body -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Immune Response
GO Term: Vacuole -> Biodomain: Endolysosome, Proteostasis, Autophagy, Oxidative Stress, APP Metabolism
GO Term: Vacuolar Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Vacuolar Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Immune Response
GO Term: Autophagosome -> Biodomain: Autophagy, Proteostasis, Endolysosome, APP Metabolism, Tau Homeostasis
GO Term: Peroxisome -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Peroxisomal Membrane -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Mitochondrial Metabolism
GO Term: Peroxisomal Matrix -> Biodomain: Oxidative Stress, Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Endoplasmic Reticulum -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Sec61 Translocon Complex -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Signal Recognition Particle Receptor Complex -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Lipid Metabolism
GO Term: Signal Recognition Particle, Endoplasmic Reticulum Targeting -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Lipid Metabolism
GO Term: Signal Peptidase Complex -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Synapse
GO Term: Endoplasmic Reticulum Lumen -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Lipid Metabolism
GO Term: Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Apoptosis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Smooth Endoplasmic Reticulum -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Rough Endoplasmic Reticulum -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Endoplasmic Reticulum-Golgi Intermediate Compartment -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, APP Metabolism
GO Term: Golgi Apparatus -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Golgi Stack -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Golgi Lumen -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Golgi Medial Cisterna -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Golgi-Associated Vesicle -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Cis-Golgi Network -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Trans-Golgi Network -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Lipid Droplet -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Centrosome -> Biodomain: Cell Cycle, Proteostasis, Tau Homeostasis, Autophagy, Endolysosome
GO Term: Centriole -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Tau Homeostasis
GO Term: Microtubule Organizing Center -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Synapse, Autophagy
GO Term: Aster -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Tau Homeostasis
GO Term: Spindle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Tau Homeostasis
GO Term: Actomyosin Contractile Ring -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Apoptosis, Proteostasis
GO Term: Polar Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Tau Homeostasis, Proteostasis
GO Term: Kinetochore Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Tau Homeostasis, Proteostasis
GO Term: Cytosol -> Biodomain: Proteostasis, Tau Homeostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Chaperonin-Containing T-Complex -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Synapse, Endolysosome
GO Term: Hemoglobin Complex -> Biodomain: Vasculature, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Proteostasis
GO Term: Heterotrimeric G-Protein Complex -> Biodomain: Proteostasis,APP Metabolism,Synapse,Immune Response,Endolysosome
GO Term: Proteasome Regulatory Particle -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Proteasome Core Complex -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Ribosome -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Autophagy, Oxidative Stress
GO Term: Nuclear Cap Binding Complex -> Biodomain: RNA Metabolism, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Mrna Cleavage And Polyadenylation Specificity Factor Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, APP Metabolism
GO Term: Mrna Cleavage Stimulating Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Mrna Cleavage Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, APP Metabolism, Epigenetic
GO Term: Eukaryotic Translation Initiation Factor 2 Complex -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Oxidative Stress, Synapse
GO Term: Eukaryotic Translation Initiation Factor 2B Complex -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Eukaryotic Translation Initiation Factor 3 Complex -> Biodomain: Proteostasis, APP Metabolism, Synapse, Mitochondrial Metabolism, Endolysosome
Saved results to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.0/go_biodomain_results_part_5.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.0/runtime_log.csv
