Running with TEMP=0.5, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Smoothened Signaling Pathway Involved In Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Synapse, Developmental Process, Signal Transduction, Structural Stabilization, Epigenetic
GO Term: Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Cell Cycle, Epigenetic, Synapse, Structural Stabilization
GO Term: Oligodendrocyte Cell Fate Commitment -> Biodomain: Myelination, Synapse, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Glial Cell Fate Specification -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Glial Cell Fate Commitment -> Biodomain: Synapse, Myelination, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Glial Cell Development -> Biodomain: Synapse, Myelination, Endolysosome, Proteostasis, Epigenetic
GO Term: Postganglionic Parasympathetic Fiber Development -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Endolysosome
GO Term: Branchiomotor Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Chemorepulsion Of Branchiomotor Axon -> Biodomain: Synapse, Neuron Development, Nervous System Development, Cell Morphogenesis, Cell Differentiation
GO Term: Thalamus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Cerebral Cortex Cell Migration -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Cerebral Cortex Regionalization -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Forebrain Anterior/Posterior Pattern Specification -> Biodomain: Synapse, Epigenetic, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Forebrain Dorsal/Ventral Pattern Formation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Myelination
GO Term: Cerebral Cortex Radially Oriented Cell Migration -> Biodomain: Developmental Process, Structural Stabilization, Synapse, Epigenetic, Proteostasis
GO Term: Cerebral Cortex Tangential Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Cerebral Cortex Radial Glia-Guided Migration -> Biodomain: Synapse, Developmental Biology, Glial Cells, Neurodevelopmental Processes, Neuronal Signaling
GO Term: Neuronal-Glial Interaction Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Cell-Cell Adhesion Involved In Neuronal-Glial Interactions Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Extension Of A Leading Process Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Endolysosome, Proteostasis
GO Term: Nucleokinesis Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Cell Cycle, Proteostasis
GO Term: Layer Formation In Cerebral Cortex -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Negative Regulation Of Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Neurogenesis
GO Term: Gonadotrophin-Releasing Hormone Neuronal Migration To The Hypothalamus -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Epigenetic
GO Term: Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Structural Stabilization, Autophagy, Epigenetic, Cell Cycle
GO Term: Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Chemorepulsion Involved In Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Chemorepulsion Involved In Postnatal Olfactory Bulb Interneuron Migration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Chemorepulsion Involved In Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Cell Cycle
GO Term: Cell Proliferation In Forebrain -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Epigenetic
GO Term: Ventricular Zone Neuroblast Division -> Biodomain: Synapse, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Neuroblast Division In Subventricular Zone -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Pyramidal Neuron Migration To Cerebral Cortex -> Biodomain: Synapse, Neurogenesis, Cell Differentiation, Nervous System Development, Structural Stabilization
GO Term: Cerebral Cortex Gabaergic Interneuron Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Hypothalamus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Hypothalamus Cell Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Gabaergic Neuron Differentiation In Basal Ganglia -> Biodomain: Synapse, Developmental, Neurotransmission, Structural Stabilization, Cell Cycle
GO Term: Pyramidal Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Pyramidal Neuron Development -> Biodomain: Synapse, Developmental Biology, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Forebrain Radial Glial Cell Differentiation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Forebrain Ventricular Zone Progenitor Cell Division -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Cajal-Retzius Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Synapse
GO Term: Forebrain Regionalization -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Forebrain Generation Of Neurons -> Biodomain: Synapse, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Forebrain Neuroblast Division -> Biodomain: Synapse, Cell Cycle, Epigenetic, Autophagy, DNA Repair
GO Term: Wnt Signaling Pathway Involved In Forebrain Neuroblast Division -> Biodomain: Synapse, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Forebrain Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Autophagy
GO Term: Forebrain Neuron Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Forebrain Cell Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Endolysosome
GO Term: Hypothalamus Gonadotrophin-Releasing Hormone Neuron Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Olfactory Bulb Interneuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Olfactory Bulb Interneuron Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Cerebral Cortex Gabaergic Interneuron Differentiation -> Biodomain: Synapse, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Cerebral Cortex Gabaergic Interneuron Fate Commitment -> Biodomain: Synapse, Cell Cycle, Epigenetic, RNA Spliceosome, Autophagy
GO Term: Cerebral Cortex Gabaergic Interneuron Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Cerebral Cortex Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Forebrain Astrocyte Development -> Biodomain: Synapse, Cell Cycle, Myelination, Structural Stabilization, Epigenetic
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Developmental Biology, Growth Factor Signaling, Neurogenesis and Neuronal Differentiation, Nervous System Development
GO Term: Commitment Of Neuronal Cell To Specific Neuron Type In Forebrain -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Rostrocaudal Neural Tube Patterning -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Synapse, Autophagy
GO Term: Dorsal/Ventral Neural Tube Patterning -> Biodomain: Synapse, Structural Stabilization, Developmental Process, Embryonic Development, Neurogenesis
GO Term: Forebrain-Midbrain Boundary Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Synapse, Myelination
GO Term: Neural Tube Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Cell Proliferation In External Granule Layer -> Biodomain: Synapse, Cell Cycle, Developmental Biology, Neurodevelopment, Structural Stabilization
GO Term: Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Developmental Process
GO Term: Radial Glia Guided Migration Of Cerebellar Granule Cell -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Hindbrain Tangential Cell Migration -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Synapse, Myelination
GO Term: Cerebellar Granule Cell Precursor Tangential Migration -> Biodomain: Synapse, Structural Stabilization, Developmental Process, Cell Migration, Brain Development
GO Term: Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Cerebellar Purkinje Cell-Granule Cell Precursor Cell Signaling -> Biodomain: Synapse, Proteostasis, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Autophagy, Epigenetic
GO Term: Negative Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Radial Glia Guided Migration Of Purkinje Cell -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Formation Of Radial Glial Scaffolds -> Biodomain: Synapse, Myelination, Structural Stabilization, Glial Cells, Developmental Process
Saved results to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.5/go_biodomain_results_part_12.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.5/runtime_log.csv
