Running with TEMP=0.5, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Oxidative Stress, Autophagy
GO Term: Regulation Of Cd4-Positive, Cd25-Positive, Alpha-Beta Regulatory T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Endolysosome
GO Term: Positive Regulation Of Cd4-Positive, Cd25-Positive, Alpha-Beta Regulatory T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Cd4-Positive, Cd25-Positive, Alpha-Beta Regulatory T Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Proteostasis
GO Term: Glomerulus Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Glomerular Basement Membrane Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Dendrite Cytoplasm -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Calcitonin Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Cellular Ph Reduction -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Cellular Ph Reduction -> Biodomain: Endolysosome, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Response To Insulin -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cellular Response To Insulin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cellular Response To Hormone Stimulus -> Biodomain: Signal Transduction, Cellular Signaling, Gene Regulation, Hormonal Signaling, Protein Modification
GO Term: Regulation Of Stress-Activated Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Cell Cycle
GO Term: Negative Regulation Of Stress-Activated Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Autophagy
GO Term: Positive Regulation Of Stress-Activated Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Autophagy
GO Term: Regulation Of Dna Endoreduplication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Dna Endoreduplication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Positive Regulation Of Dna Endoreduplication -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Regulation Of Establishment Or Maintenance Of Cell Polarity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Regulation Of Protein Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Regulation Of Microtubule-Based Process -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Palmitoyl-Coa 9-Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Negative Regulation Of Viral Transcription -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Neurotrophin Production -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, Apoptosis
GO Term: Positive Regulation Of Neurotrophin Production -> Biodomain: Synapse, Proteostasis, Cell Cycle, Myelination, Epigenetic
GO Term: Nerve Growth Factor Production -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Regulation Of Nerve Growth Factor Production -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Autophagy
GO Term: Negative Regulation Of Nerve Growth Factor Production -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Transforming Growth Factor Beta1 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Cell Cycle
GO Term: Regulation Of Transforming Growth Factor Beta1 Production -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Vasculature
GO Term: Regulation Of Transforming Growth Factor Beta2 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Transforming Growth Factor Beta1 Production -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Negative Regulation Of Transforming Growth Factor Beta2 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Transforming Growth Factor Beta3 Production -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Transforming Growth Factor Beta1 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Transforming Growth Factor Beta2 Production -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Transforming Growth Factor Beta3 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Spermidine Acetylation -> Biodomain: Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Spermine Acetylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Putrescine Acetylation -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Circadian Regulation Of Gene Expression -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Oxidative Stress
GO Term: Activin Receptor Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Proteostasis, Synapse
GO Term: Regulation Of Activin Receptor Signaling Pathway -> Biodomain: Signaling,Developmental Biology,Cell Growth and Death,Signal Transduction,Cellular Processes
GO Term: Negative Regulation Of Activin Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Activin Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Regulation Of Superoxide Anion Generation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Superoxide Anion Generation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Apoptosis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Superoxide Anion Generation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Apoptosis, Proteostasis
GO Term: Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Sterol Binding -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Sterol Sensor Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Oxidative Stress
GO Term: Srebp-Scap Complex -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Epigenetic
GO Term: Srebp-Scap-Insig Complex -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Translation In Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Secretion By Cell -> Biodomain: Vasculature, Synapse, Immune Response, Endolysosome, Proteostasis
GO Term: Mononuclear Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Mononuclear Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Mononuclear Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Mononuclear Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Actin Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Inositol Trisphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Apoptosis, Synapse, Proteostasis
GO Term: Inositol Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Cell Cycle, Autophagy, Endolysosome, Epigenetic
GO Term: Inositol Trisphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Vasculature, Oxidative Stress
GO Term: Regulation Of Inositol Trisphosphate Biosynthetic Process -> Biodomain: Cell Signaling, Lipid Metabolism, Calcium Homeostasis, Signal Transduction, Intracellular Signaling
GO Term: Positive Regulation Of Inositol Trisphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Cell Cycle, Immune Response, Oxidative Stress, Apoptosis
GO Term: Collagen Metabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Collagen Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Metal Binding and Homeostasis, Epigenetic
GO Term: Regulation Of Collagen Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Extracellular Matrix Organization, Cell Adhesion
GO Term: Negative Regulation Of Collagen Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Epigenetic
GO Term: Positive Regulation Of Collagen Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Transcription Elongation By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Regulation Of Actin Filament-Based Process -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Immune Response
GO Term: Regulation Of Muscle Filament Sliding -> Biodomain: Muscle, Structural Stabilization, Proteostasis, Vasculature, Cell Cycle
GO Term: Regulation Of Muscle Filament Sliding Speed -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Amino Acid Export Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Release Of Matrix Enzymes From Mitochondria -> Biodomain: Mitochondrial Metabolism, Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Membrane Insertase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Metal Binding and Homeostasis
GO Term: Protein Insertion Into Mitochondrial Inner Membrane From Matrix -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Keratinocyte Activation -> Biodomain: Immune Response, Cell Cycle, Oxidative Stress, Autophagy, Proteostasis
GO Term: Mitochondrial Respiratory Chain Complex I Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Myosin Filament -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Endolysosome
GO Term: Kainate Selective Glutamate Receptor Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: Protein-Dna Complex Disassembly -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Cellular Anatomical Entity Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Endolysosome, Proteostasis
GO Term: Protein-Containing Complex -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Protein-Dna Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Protein-Lipid Complex -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Bcl3-Bcl10 Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Cell Cycle
GO Term: Fc-Epsilon Receptor I Complex -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Fc-Gamma Receptor Iii Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Vasculature
GO Term: Muscle Cell Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Epigenetic, DNA Repair, Lipid Metabolism
GO Term: Regulation Of Mast Cell Activation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Mast Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Mast Cell Activation -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Mast Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Mast Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Paranodal Junction -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Lipid Metabolism
GO Term: Perinuclear Theca -> Biodomain: Structural Stabilization, Cytoskeletal Organization, Nuclear Envelope, Spermatogenesis, Sperm Structure
GO Term: Tetrapyrrole Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Tetrapyrrole Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Sarcoplasmic Reticulum Membrane -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Sarcoplasmic Reticulum Lumen -> Biodomain: Calcium Signaling, Muscle System, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Mast Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Mast Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Cell Cycle
GO Term: Regulation Of Mast Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Mast Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of Mast Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Myeloid Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Endolysosome, Oxidative Stress
GO Term: Regulation Of Neutrophil Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Neutrophil Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Inflammation, Cell Survival, Acute Inflammation
GO Term: Positive Regulation Of Neutrophil Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Regulation Of Myeloid Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Myeloid Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Myeloid Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Polysaccharide Localization -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Bitter Taste Receptor Activity -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Sour Taste Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Sweet Taste Receptor Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Myelination, Cell Cycle
GO Term: Regulation Of Organelle Organization -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Regulation Of Chromosome Organization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Regulation Of Sister Chromatid Segregation -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Directional Locomotion -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: Cellular Pigmentation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Rad51B-Rad51C-Rad51D-Xrcc2 Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Rad51C-Xrcc3 Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Isoquinoline Alkaloid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: T Cell Differentiation In Thymus -> Biodomain: Immune Response, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Immature T Cell Proliferation In Thymus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Regulation Of T Cell Differentiation In Thymus -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Proteostasis
GO Term: Regulation Of Extrathymic T Cell Differentiation -> Biodomain: Immune Response, Synapse, Apoptosis, Endolysosome, Proteostasis
GO Term: Regulation Of Immature T Cell Proliferation In Thymus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Endolysosome, Proteostasis
GO Term: Negative Regulation Of T Cell Differentiation In Thymus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Immature T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Immature T Cell Proliferation In Thymus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of T Cell Differentiation In Thymus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Immature T Cell Proliferation In Thymus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Weibel-Palade Body -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Cis-Golgi Network Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, APP Metabolism
GO Term: Mitochondrial Respiratory Chain Complex Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Endoplasmic Reticulum-Golgi Intermediate Compartment Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Negative Regulation Of Rna Splicing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Positive Regulation Of Rna Splicing -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Acetylcholine Receptor Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Glucokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Peptidyl-Serine Phosphorylation -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Apoptosis, DNA Repair
GO Term: Negative Regulation Of Peptidyl-Serine Phosphorylation -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Peptidyl-Serine Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Immune Response
GO Term: Negative Regulation Of Peptidyl-Serine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Peptidyl-Serine Phosphorylation Of Stat Protein -> Biodomain: Proteostasis, Immune Response, Epigenetic, Apoptosis, Cell Cycle
GO Term: Nuclear Progesterone Receptor Binding -> Biodomain: Epigenetic, DNA Repair, Apoptosis, Cell Cycle, Lipid Metabolism
GO Term: Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Intracellular Estrogen Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Intracellular Estrogen Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Intracellular Estrogen Receptor Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Ffat Motif Binding -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Cytoskeletal Calyx -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: V(D)J Recombination -> Biodomain: Immune Response, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: Immunoglobulin V(D)J Recombination -> Biodomain: Immune Response, DNA Repair, Epigenetic, Apoptosis, Autophagy
GO Term: T Cell Receptor V(D)J Recombination -> Biodomain: Immune Response, DNA Repair, Epigenetic, Cell Cycle, Apoptosis
GO Term: Regulation Of Intracellular Protein Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Melanosome Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Interphotoreceptor Matrix -> Biodomain: Structural Stabilization, Vasculature, Synapse, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Calcineurin-Nfat Signaling Cascade -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Synapse
GO Term: Proton-Transporting V-Type Atpase Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Proton-Transporting Two-Sector Atpase Complex, Proton-Transporting Domain -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Proton-Transporting Two-Sector Atpase Complex, Catalytic Domain -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Proton-Transporting V-Type Atpase, V0 Domain -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Proton-Transporting V-Type Atpase, V1 Domain -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Apoptosis
GO Term: Plasma Membrane Proton-Transporting V-Type Atpase Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Mitochondrial Metabolism
GO Term: Dolichol-Phosphate-Mannose Synthase Complex -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Caf-1 Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Sphingomyelin Synthase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy, Apoptosis
GO Term: Response To Vitamin A -> Biodomain: Lipid Metabolism, Immune Response, Cell Cycle, Oxidative Stress, Epigenetic
GO Term: Calmodulin-Dependent Protein Phosphatase Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Metal Binding and Homeostasis, Vasculature
GO Term: Response To Hydroperoxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Vitamin E -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Response To Atp -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Ribonuclease P Rna Binding -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Meiotic Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Vasculature, Proteostasis
GO Term: Leptin-Mediated Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Oxidative Stress, Proteostasis
GO Term: Adiponectin-Activated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Iron Import Into Cell -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Reductive Iron Assimilation -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Amide Binding -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Dsrna Transport -> Biodomain: Immune Response, Endolysosome, Epigenetic, Autophagy, RNA Spliceosome
GO Term: Cysteine Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Regulation Of Protein Sumoylation -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Protein Sumoylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Positive Regulation Of Protein Sumoylation -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: I-Kappab/Nf-Kappab Complex -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Epigenetic, DNA Repair
GO Term: Bcl3/Nf-Kappab2 Complex -> Biodomain: Immune Response, Epigenetic, Proteostasis, Apoptosis, Autophagy
GO Term: Nuclear Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Apoptosis
