Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: U7 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Unknown
GO Term: U2-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Unknown
GO Term: U1 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: U2 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Unknown
GO Term: U4 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: U6 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Unknown
GO Term: U12-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: U4Atac Snrnp -> Biodomain: RNA Spliceosome, Structural Stabilization, Epigenetic, DNA Repair, Unknown
GO Term: U6Atac Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: U11 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: U12 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Unknown
GO Term: Chromosome -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Chromatin Organization, DNA Replication
GO Term: Telomerase Holoenzyme Complex -> Biodomain: DNA Repair, Epigenetic, Proteostasis, RNA Spliceosome, Autophagy
GO Term: Polytene Chromosome -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Unknown
GO Term: Chiasma -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Unknown
GO Term: Recombination Nodule -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Late Recombination Nodule -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Unknown
GO Term: Pericentric Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Perichromatin Fibrils -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Nucleolus -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle
GO Term: Nucleolus Organizer Region -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, RNA Spliceosome, Proteostasis
GO Term: Sno(S)Rna-Containing Ribonucleoprotein Complex -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Epigenetic, Unknown
GO Term: Rna Polymerase I Complex -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, RNA Spliceosome
GO Term: Cytoplasm -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Mitochondrial Envelope -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Mitochondrial Outer Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Tim23 Mitochondrial Import Inner Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: M-Aaa Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Mitochondrial Permeability Transition Pore Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Mitochondrial Intermembrane Space -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Gamma Dna Polymerase Complex -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Mitochondrial Ribosome -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Mitochondrial Large Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Mitochondrial Small Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Lysosomal Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Secondary Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Early Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Late Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Multivesicular Body -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Apoptosis
GO Term: Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Vacuolar Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Vacuolar Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Autophagosome -> Biodomain: Autophagy, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Peroxisome -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Peroxisomal Membrane -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Peroxisomal Matrix -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Endoplasmic Reticulum -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Sec61 Translocon Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, APP Metabolism
GO Term: Signal Recognition Particle Receptor Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Unknown
GO Term: Signal Recognition Particle, Endoplasmic Reticulum Targeting -> Biodomain: Proteostasis,RNA Spliceosome,Endolysosome,Autophagy,Cell Cycle
GO Term: Signal Peptidase Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Endoplasmic Reticulum Lumen -> Biodomain: Proteostasis,Lipid Metabolism,Endolysosome,Autophagy,Apoptosis
GO Term: Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Apoptosis
GO Term: Smooth Endoplasmic Reticulum -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Metal Binding and Homeostasis
GO Term: Rough Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Endoplasmic Reticulum-Golgi Intermediate Compartment -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Golgi Apparatus -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Synapse
GO Term: Golgi Stack -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Golgi Lumen -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Autophagy, Cell Cycle
GO Term: Golgi Medial Cisterna -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Golgi-Associated Vesicle -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Cis-Golgi Network -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Trans-Golgi Network -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, APP Metabolism, Autophagy
GO Term: Lipid Droplet -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Centriole -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: Microtubule Organizing Center -> Biodomain: Cell Cycle, Structural Stabilization, Tau Homeostasis, Autophagy, Proteostasis
GO Term: Aster -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: Spindle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Actomyosin Contractile Ring -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Unknown, Autophagy
GO Term: Polar Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Kinetochore Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Cytosol -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Chaperonin-Containing T-Complex -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Hemoglobin Complex -> Biodomain: Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Heterotrimeric G-Protein Complex -> Biodomain: Signal Transduction, Membrane Biology, GPCR Signaling, Intracellular Signaling, Cell Communication
GO Term: Proteasome Regulatory Particle -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Immune Response
GO Term: Proteasome Core Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Ribosome -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Mitochondrial Metabolism, Cell Cycle
GO Term: Nuclear Cap Binding Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Mrna Cleavage And Polyadenylation Specificity Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Mrna Cleavage Stimulating Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Unknown
GO Term: Mrna Cleavage Factor Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Eukaryotic Translation Initiation Factor 2 Complex -> Biodomain: Proteostasis, Unknown, Autophagy, Apoptosis, Cell Cycle
GO Term: Eukaryotic Translation Initiation Factor 2B Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Unknown
GO Term: Eukaryotic Translation Initiation Factor 3 Complex -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Endolysosome
GO Term: Eukaryotic Translation Elongation Factor 1 Complex -> Biodomain: Proteostasis,Unknown,Autophagy,Cell Cycle,Structural Stabilization
GO Term: Nascent Polypeptide-Associated Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Endolysosome
GO Term: Axonemal Dynein Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Myelination, Cell Cycle
GO Term: Muscle Myosin Complex -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Synapse
GO Term: Troponin Complex -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Autophagy, Unknown
GO Term: Muscle Thin Filament Tropomyosin -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Mitochondrial Metabolism
GO Term: Striated Muscle Myosin Thick Filament -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Striated Muscle Thin Filament -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Cytoplasmic Dynein Complex -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Dynactin Complex -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Kinesin Complex -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: Plus-End Kinesin Complex -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Tau Homeostasis
GO Term: Microtubule Associated Complex -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Spindle Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Axonemal Microtubule -> Biodomain: Structural Stabilization, Cytoskeleton, Cilia, Microtubule Organization, Organelle Biogenesis
GO Term: Nuclear Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Cytoplasmic Microtubule -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Cell Cycle, Autophagy
GO Term: Intermediate Filament -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Neurofilament -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Actin Filament -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Vasculature, Immune Response
GO Term: Arp2/3 Protein Complex -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Unknown
GO Term: Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Endolysosome, Immune Response, Apoptosis
GO Term: Potassium:Proton Exchanging Atpase Complex -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Sodium:Potassium-Exchanging Atpase Complex -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Voltage-Gated Calcium Channel Complex -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Vasculature
GO Term: Acetylcholine-Gated Channel Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Interleukin-2 Receptor Complex -> Biodomain: Immune Response, Synapse, Cell Cycle, Proteostasis, Apoptosis
GO Term: Interleukin-5 Receptor Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Interleukin-6 Receptor Complex -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Interleukin-13 Receptor Complex -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Insulin Receptor Complex -> Biodomain: Receptor Complex, Kinase Activity, Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Oncostatin-M Receptor Complex -> Biodomain: Immune Response, Vasculature, Proteostasis, Autophagy, Apoptosis
GO Term: Caveola -> Biodomain: Structural Stabilization, Lipid Metabolism, Vasculature, Proteostasis, Endolysosome
GO Term: Microvillus -> Biodomain: Structural Stabilization, Lipid Metabolism, Endolysosome, Immune Response, Proteostasis
GO Term: Brush Border -> Biodomain: Structural Stabilization, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Clathrin-Coated Pit -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, APP Metabolism
GO Term: Cell-Cell Junction -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Adherens Junction -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Proteostasis, Apoptosis
GO Term: Spot Adherens Junction -> Biodomain: Structural Stabilization, Vasculature, Synapse, Endolysosome, Proteostasis
GO Term: Zonula Adherens -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Apoptosis, Immune Response
GO Term: Fascia Adherens -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Endolysosome
GO Term: Gap Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Connexin Complex -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Bicellular Tight Junction -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Focal Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Apoptosis, Immune Response
GO Term: Muscle Tendon Junction -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Vasculature
GO Term: Cilium -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Axoneme -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Cell Cortex -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Septin Ring -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Unknown, Autophagy
GO Term: Phosphatidylinositol 3-Kinase Complex -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Phosphatidylinositol 3-Kinase Complex, Class Ia -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Phosphatidylinositol 3-Kinase Complex, Class Ib -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Immune Response, Apoptosis
GO Term: 6-Phosphofructokinase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Acetolactate Synthase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Camp-Dependent Protein Kinase Complex -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Synapse, Immune Response
GO Term: Caax-Protein Geranylgeranyltransferase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Calcium- And Calmodulin-Dependent Protein Kinase Complex -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Calcineurin Complex -> Biodomain: Proteostasis, Apoptosis, Immune Response, Synapse, Oxidative Stress
GO Term: Protein Kinase Ck2 Complex -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, DNA Repair, Oxidative Stress
GO Term: Dna-Dependent Protein Kinase-Dna Ligase 4 Complex -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Unknown
GO Term: Glycine Cleavage Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Phosphorylase Kinase Complex -> Biodomain: Proteostasis,Metal Binding and Homeostasis,Mitochondrial Metabolism,Autophagy,Cell Cycle
GO Term: Protein Farnesyltransferase Complex -> Biodomain: Proteostasis, Lipid Metabolism, Cell Cycle, Apoptosis, Mitochondrial Metabolism
GO Term: Rab-Protein Geranylgeranyltransferase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Structural Stabilization
GO Term: Ribonucleoside-Diphosphate Reductase Complex -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Carbohydrate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Polysaccharide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Glycogen Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Glycogen Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Unknown
GO Term: Regulation Of Glycogen Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glycogen Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Regulation Of Glycogen Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Starch Catabolic Process -> Biodomain: Carbohydrate Metabolism, Macromolecule Catabolic Process, Primary Metabolic Process, Cellular Process, Metabolic Process
GO Term: Disaccharide Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Sucrose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Sucrose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Lactose Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Cell Cycle, Unknown
GO Term: Lactose Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Apoptosis
GO Term: Trehalose Metabolic Process -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Trehalose Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Unknown
GO Term: Monosaccharide Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Unknown, Proteostasis, Oxidative Stress
GO Term: Xylulose Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Unknown, Oxidative Stress, Autophagy
GO Term: Xylulose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Unknown
GO Term: Fructose Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Fructose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Fructose 6-Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Fructose 2,6-Bisphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fucose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Glucose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic
GO Term: Glucose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Udp-Alpha-D-Glucose Metabolic Process -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Proteostasis, Immune Response
GO Term: Galactose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Oxidative Stress, Autophagy
GO Term: Mannose Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: D-Ribose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 5-Phosphoribose 1-Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Inositol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Synapse, Endolysosome, Autophagy
GO Term: Inositol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glycosaminoglycan Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Glycosaminoglycan Catabolic Process -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Proteoglycan Metabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Chitin Metabolic Process -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Autophagy, Cell Cycle
GO Term: Chitin Catabolic Process -> Biodomain: Endolysosome, Autophagy, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Amino Sugar Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Glucosamine Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Glucosamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism, Proteostasis
GO Term: N-Acetylglucosamine Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: N-Acetylglucosamine Biosynthetic Process -> Biodomain: Carbohydrate Metabolism, Glycosylation, Metabolic Pathways, Protein Modification, Cell Signaling
GO Term: N-Acetylglucosamine Catabolic Process -> Biodomain: Endolysosome, Autophagy, Proteostasis, Unknown, Lipid Metabolism
GO Term: Udp-N-Acetylglucosamine Metabolic Process -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Udp-N-Acetylglucosamine Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Immune Response, Mitochondrial Metabolism
GO Term: Udp-N-Acetylglucosamine Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: N-Acetylmannosamine Metabolic Process -> Biodomain: Unknown, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: N-Acetylneuraminate Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Cmp-N-Acetylneuraminate Biosynthetic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Mannoprotein Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Unknown
GO Term: Sorbitol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Carbohydrate Metabolic Process, Small Molecule Metabolic Process
