Running with TEMP=0.9, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Fat Pad Development -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy
GO Term: Mammary Gland Bud Formation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Vasculature, Lipid Metabolism
GO Term: Regulation Of Cholesterol Import -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Immune Response
GO Term: Negative Regulation Of Cholesterol Import -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Vasculature, Proteostasis
GO Term: Regulation Of Chromosome Condensation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Apoptosis
GO Term: Regulation Of Vesicle-Mediated Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Regulation Of Er To Golgi Vesicle-Mediated Transport -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Homologous Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Regulation Of Meiosis I -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Autophagy
GO Term: Regulation Of Microtubule-Based Movement -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Negative Regulation Of Transcription Initiation By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Mesenchymal-Epithelial Cell Signaling -> Biodomain: Immune Response, Vasculature, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Mammary Gland Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Mammary Gland Bud Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Nipple Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Submandibular Salivary Gland Formation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Immune Response, Lipid Metabolism
GO Term: Salivary Gland Cavitation -> Biodomain: Structural Stabilization, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Epithelial Cell Proliferation Involved In Salivary Gland Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Branching Involved In Salivary Gland Morphogenesis By Mesenchymal-Epithelial Signaling -> Biodomain: Structural Stabilization, Epigenetic, Vasculature, Immune Response, Autophagy
GO Term: Dichotomous Subdivision Of Terminal Units Involved In Salivary Gland Branching -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Proteostasis, Autophagy
GO Term: Branch Elongation Involved In Salivary Gland Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Regulation Of Branching Involved In Salivary Gland Morphogenesis By Extracellular Matrix-Epithelial Cell Signaling -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Epigenetic, Immune Response
GO Term: Embryonic Placenta Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Branching Involved In Labyrinthine Layer Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Epithelial Cell Morphogenesis Involved In Placental Branching -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Placenta Blood Vessel Development -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Ureteric Bud Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Ureteric Bud Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Vasculature
GO Term: Ureteric Bud Elongation -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Dichotomous Subdivision Of Terminal Units Involved In Ureteric Bud Branching -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Autophagy
GO Term: Branch Elongation Involved In Ureteric Bud Branching -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Proteostasis
GO Term: Primary Ureteric Bud Growth -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Proteostasis
GO Term: Regulation Of Branching Involved In Salivary Gland Morphogenesis By Epithelial-Mesenchymal Signaling -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Epithelial-Mesenchymal Cell Signaling -> Biodomain: Cell Signaling, Developmental Biology, Cell Adhesion, Tissue Repair and Regeneration, Cancer Biology
GO Term: Regulation Of Prostatic Bud Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Prostatic Bud Formation -> Biodomain: Developmental Processes, Organ Development, Reproductive System, Morphogenesis, Signaling Pathways
GO Term: Regulation Of Branching Involved In Prostate Gland Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Epigenetic, Vasculature
GO Term: Regulation Of Morphogenesis Of A Branching Structure -> Biodomain: Vasculature, Structural Stabilization, Synapse, Epigenetic, Cell Cycle
GO Term: Cell Differentiation Involved In Salivary Gland Development -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Immune Response
GO Term: Epithelial Cell Maturation Involved In Salivary Gland Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Branching Involved In Salivary Gland Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Regulation Of Phospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Phospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Endoribonuclease Inhibitor Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Oxidative Stress
GO Term: Regulation Of Endoribonuclease Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress, Epigenetic
GO Term: Regulation Of Ribonuclease Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Negative Regulation Of Endoribonuclease Activity -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Immune Response, Oxidative Stress
GO Term: Deoxyribonuclease Inhibitor Activity -> Biodomain: DNA Repair, Apoptosis, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Cell Differentiation Involved In Embryonic Placenta Development -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Immune Response, Structural Stabilization
GO Term: Trophoblast Giant Cell Differentiation -> Biodomain: Embryonic Development, Cell Differentiation, Vasculature, Cell Migration, Developmental Processes
GO Term: Chorio-Allantoic Fusion -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Apoptosis
GO Term: Labyrinthine Layer Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Spongiotrophoblast Layer Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Lipid Metabolism, Immune Response
GO Term: Labyrinthine Layer Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Endolysosome
GO Term: Syncytiotrophoblast Cell Differentiation Involved In Labyrinthine Layer Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Immune Response
GO Term: Labyrinthine Layer Blood Vessel Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Immune Response
GO Term: Chorion Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Chorionic Trophoblast Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism
GO Term: Chorionic Trophoblast Cell Development -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: Intestinal Epithelial Structure Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Regulation Of Intestinal Epithelial Structure Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Positive Regulation Of Intestinal Epithelial Structure Maintenance -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Autophagy
GO Term: Positive Regulation Of Inositol Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Regulation Of Eif2 Alpha Phosphorylation By Dsrna -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Prostate Gland Growth -> Biodomain: Organ Development, Tissue Morphogenesis, Cell Growth, Reproductive System, Hormonal Regulation
GO Term: Epithelial-Mesenchymal Signaling Involved In Prostate Gland Development -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Mesenchymal-Epithelial Cell Signaling Involved In Prostate Gland Development -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Prostate Gland Epithelium Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Prostate Gland Stromal Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Epithelial Cell Differentiation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Epithelial Cell Maturation Involved In Prostate Gland Development -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Mammary Gland Branching Involved In Thelarche -> Biodomain: Structural Stabilization, Lipid Metabolism, Cell Cycle, Epigenetic, Autophagy
GO Term: Mammary Gland Branching Involved In Pregnancy -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Parental Behavior -> Biodomain: Epigenetic, Synapse, Immune Response, Proteostasis, Autophagy
GO Term: Tertiary Branching Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Mammary Gland Alveolus Development -> Biodomain: Lipid Metabolism, Cell Cycle, Structural Stabilization, Apoptosis, Autophagy
GO Term: Epithelial Cell Proliferation Involved In Mammary Gland Duct Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Vasculature, Immune Response
GO Term: Branch Elongation Involved In Mammary Gland Duct Branching -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Regulation Of Mast Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Mast Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Mast Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Response To Cytokine Stimulus -> Biodomain: Immune Response, Autophagy, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Response To Cytokine Stimulus -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Branching Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Mammary Duct Terminal End Bud Growth -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Cell-Cell Signaling Involved In Mammary Gland Development -> Biodomain: Developmental Processes, Cell Communication, Reproductive System, Organ Development, Signal Transduction
GO Term: Regulation Of Androgen Receptor Signaling Pathway -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Androgen Receptor Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Apoptosis, DNA Repair
GO Term: Epithelial Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Epithelial Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, Vasculature
GO Term: Positive Regulation Of Epithelial Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Epithelial Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Regulation Of Mesenchymal Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Vasculature, Lipid Metabolism
GO Term: Mesenchymal Smoothened Signaling Pathway Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Proteostasis, Vasculature
GO Term: Regulation Of Cell Proliferation Involved In Tissue Homeostasis -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Apoptosis Involved In Tissue Homeostasis -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Hair Follicle Placode Formation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Sweat Gland Development -> Biodomain: Structural Stabilization, Lipid Metabolism, Vasculature, Proteostasis, Epigenetic
GO Term: Cell Fate Commitment Involved In Formation Of Primary Germ Layer -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Cell Differentiation Involved In Embryonic Placenta Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis, Vasculature
GO Term: Epiblast Cell-Extraembryonic Ectoderm Cell Signaling -> Biodomain: Cell-Cell Signaling, Developmental Biology, Tissue Morphogenesis, Stem Cell Biology, Cell Differentiation
GO Term: Negative Regulation Of Cell Differentiation Involved In Embryonic Placenta Development -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Vasculature, Immune Response
GO Term: Mesodermal To Mesenchymal Transition Involved In Gastrulation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Random Inactivation Of X Chromosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Structural Stabilization
GO Term: Regulation Of Canonical Wnt Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Vasculature
GO Term: Smoothened Signaling Pathway Involved In Dorsal/Ventral Neural Tube Patterning -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Lymphatic Endothelial Cell Differentiation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Blood Vessel Endothelial Cell Differentiation -> Biodomain: Vasculature, Epigenetic, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Lymphatic Endothelial Cell Fate Commitment -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, Epigenetic
GO Term: Artery Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Venous Blood Vessel Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Arterial Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Epigenetic
GO Term: Venous Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Proteostasis
GO Term: Arterial Endothelial Cell Fate Commitment -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Structural Stabilization, Lipid Metabolism
GO Term: Endothelial Cell Fate Specification -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Epigenetic, Apoptosis
GO Term: Notch Signaling Pathway Involved In Arterial Endothelial Cell Fate Commitment -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Branching Involved In Lymph Vessel Morphogenesis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Establishment Of Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Cell Cycle
GO Term: Establishment Of Glial Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Myelination
GO Term: Semicircular Canal Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Apoptosis, Cell Cycle
GO Term: Anterior Semicircular Canal Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Cell Cycle
GO Term: Lateral Semicircular Canal Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Synapse
GO Term: Semicircular Canal Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Epigenetic
GO Term: Semicircular Canal Fusion -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Limb Epidermis Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Vasculature
GO Term: Neural Plate Pattern Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Embryonic Camera-Type Eye Formation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis, Autophagy
GO Term: Positive Regulation Of Meiosis I -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Regulation Of Protein Folding In Endoplasmic Reticulum -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Macrophage Cytokine Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Cardiac Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Vasculature, Lipid Metabolism
GO Term: Cardiac Cell Fate Determination -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Heart Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Mesenchymal Cell Differentiation Involved In Lung Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Vasculature, Proteostasis
GO Term: Mesenchymal Cell Proliferation Involved In Lung Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Cardiac Pacemaker Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Vasculature, Cell Cycle, Autophagy
GO Term: Sinoatrial Node Cell Differentiation -> Biodomain: Vasculature, Mitochondrial Metabolism, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Atrioventricular Node Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Apoptosis
GO Term: Cardiac Muscle Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Atrioventricular Node Cell Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Immune Response
GO Term: Atrioventricular Node Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Sinoatrial Node Cell Fate Commitment -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Sinoatrial Node Cell Development -> Biodomain: Cell Cycle, Metal Binding and Homeostasis, Mitochondrial Metabolism, Epigenetic, Structural Stabilization
GO Term: His-Purkinje System Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Cardiac Fibroblast Cell Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Mitochondrial Metabolism, Immune Response
GO Term: Epicardium-Derived Cardiac Fibroblast Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Vasculature
GO Term: Epithelial To Mesenchymal Transition Involved In Cardiac Fibroblast Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Cardiac Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Cardiac Vascular Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cardiac Vascular Smooth Muscle Cell Development -> Biodomain: Vasculature, Structural Stabilization, Cardiovascular, Cell Development, Tissue Morphogenesis
GO Term: Endocardial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Phospholipase D Inhibitor Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Autophagy, Oxidative Stress, Proteostasis
GO Term: Regulation Of Mirna-Mediated Gene Silencing -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Mirna-Mediated Gene Silencing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Embryonic Heart Tube Left/Right Pattern Formation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Left/Right Pattern Formation -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Cell Migration Involved In Heart Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Cardioblast Migration To The Midline Involved In Heart Field Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Coronary Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Coronary Vasculature Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Angiogenesis Involved In Coronary Vascular Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Vasculogenesis Involved In Coronary Vascular Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Cell Migration Involved In Coronary Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Cell Migration Involved In Coronary Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Cell Cycle
GO Term: Coronary Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Lipid Tube -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Vasculature, Endolysosome
GO Term: Lipid Tube Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Lipid Tube Assembly Involved In Organelle Fusion -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Response To Fungicide -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Metal Binding and Homeostasis
GO Term: Kidney Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Epigenetic
GO Term: Dendritic Spine Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Dendritic Spine Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Dendritic Spine Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Dendritic Spine Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Dendritic Spine Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Dendritic Spine Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Dendritic Spine Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Dendritic Spine Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cell Differentiation Involved In Kidney Development -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Structural Stabilization, Autophagy
GO Term: Regulation Of Cell Proliferation Involved In Kidney Morphogenesis -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Epigenetic, Mitochondrial Metabolism
GO Term: Common Bile Duct Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Gallbladder Development -> Biodomain: Vasculature, Lipid Metabolism, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Mrna Catabolic Process -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Immune Response
GO Term: Snrna Import Into Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Hepatoblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Membrane Organization -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Membrane Fusion -> Biodomain: Synapse, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Cardiac Muscle Tissue Regeneration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Structural Stabilization
GO Term: Establishment Of Endothelial Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Eyelid Development In Camera-Type Eye -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Immune Response
GO Term: Epithelial Cell Differentiation Involved In Mammary Gland Alveolus Development -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Endodermal Digestive Tract Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Visceral Serous Pericardium Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
