Running with TEMP=0.1, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Putamen Development -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Proteostasis, Autophagy
GO Term: Globus Pallidus Development -> Biodomain: Neurodegeneration, Brain Development, Neuron Development, Tau Pathology, Synaptic Function
GO Term: Limbic System Development -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Structural Stabilization, Immune Response
GO Term: Substantia Nigra Development -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Subthalamic Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Oxidative Stress
GO Term: Amygdala Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Hippocampus Development -> Biodomain: Synapse, Tau Homeostasis, Apoptosis, Structural Stabilization, Cell Cycle
GO Term: Mammillary Body Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Immune Response
GO Term: Nucleus Accumbens Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Orbitofrontal Cortex Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, APP Metabolism
GO Term: Lateral Geniculate Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Tau Homeostasis, Immune Response
GO Term: Olfactory Bulb Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Striatal Medium Spiny Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Cell Cycle
GO Term: Smoothened Signaling Pathway Involved In Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Neuron fate commitment, Cell differentiation, Nervous system development, Signal transduction
GO Term: Smoothened Signaling Pathway Involved In Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Synapse, Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Synapse, Structural Stabilization, Immune Response, Cell Cycle
GO Term: Oligodendrocyte Cell Fate Commitment -> Biodomain: Myelination, Tau Homeostasis, Lipid Metabolism, Synapse, Cell Cycle
GO Term: Glial Cell Fate Specification -> Biodomain: Immune Response, Synapse, Endolysosome, Myelination, Cell Cycle
GO Term: Glial Cell Fate Commitment -> Biodomain: Immune Response, Endolysosome, Synapse, Proteostasis, Autophagy
GO Term: Glial Cell Development -> Biodomain: Immune Response, Synapse, Endolysosome, Myelination, Proteostasis
GO Term: Postganglionic Parasympathetic Fiber Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Branchiomotor Neuron Axon Guidance -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Autophagy, Apoptosis
GO Term: Chemorepulsion Of Branchiomotor Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Thalamus Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Epigenetic, Mitochondrial Metabolism
GO Term: Cerebral Cortex Cell Migration -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Autophagy
GO Term: Cerebral Cortex Regionalization -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Autophagy
GO Term: Forebrain Anterior/Posterior Pattern Specification -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Forebrain Dorsal/Ventral Pattern Formation -> Biodomain: Structural Stabilization, Developmental Process, Neurogenesis, Synapse, Cell Cycle
GO Term: Cerebral Cortex Radially Oriented Cell Migration -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Tau Homeostasis, Autophagy
GO Term: Cerebral Cortex Tangential Migration -> Biodomain: Structural Stabilization, Synapse, Apoptosis, Autophagy, Endolysosome
GO Term: Cerebral Cortex Radial Glia-Guided Migration -> Biodomain: Structural Stabilization, Tau Homeostasis, APP Metabolism, Synapse, Immune Response
GO Term: Neuronal-Glial Interaction Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Immune Response, Cell Cycle
GO Term: Cell-Cell Adhesion Involved In Neuronal-Glial Interactions Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Immune Response, Proteostasis
GO Term: Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Endolysosome
GO Term: Extension Of A Leading Process Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Immune Response, Endolysosome, Autophagy
GO Term: Nucleokinesis Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Cell Cycle, Autophagy
GO Term: Layer Formation In Cerebral Cortex -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Immune Response, Autophagy
GO Term: Negative Regulation Of Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Immune Response, Endolysosome
GO Term: Gonadotrophin-Releasing Hormone Neuronal Migration To The Hypothalamus -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Immune Response, Tau Homeostasis
GO Term: Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Endolysosome, Autophagy
GO Term: Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Immune Response
GO Term: Chemorepulsion Involved In Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Tau Homeostasis, Immune Response, Proteostasis, Endolysosome
GO Term: Chemorepulsion Involved In Postnatal Olfactory Bulb Interneuron Migration -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Immune Response, Proteostasis
GO Term: Chemorepulsion Involved In Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Structural Stabilization, Immune Response, Endolysosome, APP Metabolism
GO Term: Cell Proliferation In Forebrain -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Immune Response, Endolysosome
GO Term: Ventricular Zone Neuroblast Division -> Biodomain: Cell Cycle, Neurogenesis, Developmental Process, Synapse, Apoptosis
GO Term: Neuroblast Division In Subventricular Zone -> Biodomain: Cell Cycle, Neurogenesis, Developmental Process, Synapse, Structural Stabilization
GO Term: Pyramidal Neuron Migration To Cerebral Cortex -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Endolysosome
GO Term: Cerebral Cortex Gabaergic Interneuron Migration -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Hypothalamus Development -> Biodomain: Structural Stabilization, Synapse, Oxidative Stress, Immune Response, Endolysosome
GO Term: Hypothalamus Cell Migration -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Immune Response, Proteostasis
GO Term: Gabaergic Neuron Differentiation In Basal Ganglia -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Pyramidal Neuron Differentiation -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Pyramidal Neuron Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Forebrain Radial Glial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Immune Response, Endolysosome
GO Term: Forebrain Ventricular Zone Progenitor Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Autophagy, Epigenetic
GO Term: Cajal-Retzius Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, APP Metabolism, Tau Homeostasis, Proteostasis
GO Term: Forebrain Regionalization -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Tau Homeostasis, Proteostasis
GO Term: Forebrain Generation Of Neurons -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Endolysosome, Autophagy
GO Term: Forebrain Neuroblast Division -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Apoptosis, Synapse
GO Term: Wnt Signaling Pathway Involved In Forebrain Neuroblast Division -> Biodomain: Neurogenesis, Wnt Signaling, Cell Cycle, Synapse, Tau Homeostasis
GO Term: Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Tau Homeostasis, APP Metabolism
GO Term: Forebrain Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Forebrain Neuron Development -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Forebrain Cell Migration -> Biodomain: Synapse, Structural Stabilization, Immune Response, Tau Homeostasis, Endolysosome
GO Term: Hypothalamus Gonadotrophin-Releasing Hormone Neuron Development -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Immune Response, Endolysosome
GO Term: Olfactory Bulb Interneuron Differentiation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Cell Cycle, Apoptosis
GO Term: Olfactory Bulb Interneuron Development -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Autophagy, Cell Cycle
GO Term: Cerebral Cortex Gabaergic Interneuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Cerebral Cortex Gabaergic Interneuron Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Cerebral Cortex Gabaergic Interneuron Development -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Cell Cycle, Immune Response
GO Term: Cerebral Cortex Neuron Differentiation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, APP Metabolism, Cell Cycle
GO Term: Forebrain Astrocyte Development -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Commitment Of Neuronal Cell To Specific Neuron Type In Forebrain -> Biodomain: Synapse, Proteostasis, Apoptosis, Endolysosome, Tau Homeostasis
GO Term: Rostrocaudal Neural Tube Patterning -> Biodomain: Structural Stabilization, Nervous System Development, Developmental Process, Epigenetic, Cell Cycle
GO Term: Dorsal/Ventral Neural Tube Patterning -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Forebrain-Midbrain Boundary Formation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, DNA Repair
GO Term: Neural Tube Development -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Cell Cycle, Autophagy
GO Term: Cell Proliferation In External Granule Layer -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Apoptosis, Synapse
GO Term: Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Autophagy, Immune Response
GO Term: Radial Glia Guided Migration Of Cerebellar Granule Cell -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Autophagy
GO Term: Hindbrain Tangential Cell Migration -> Biodomain: Structural Stabilization, Synapse, Immune Response, Proteostasis, Endolysosome
GO Term: Cerebellar Granule Cell Precursor Tangential Migration -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Proteostasis
GO Term: Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Endolysosome, Epigenetic
GO Term: Cerebellar Purkinje Cell-Granule Cell Precursor Cell Signaling -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Developmental Process, Cell Cycle, Structural Stabilization, Synapse, Proteostasis
GO Term: Negative Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Apoptosis, Cell Cycle, Tau Homeostasis, Proteostasis, Structural Stabilization
GO Term: Radial Glia Guided Migration Of Purkinje Cell -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Autophagy, Endolysosome
GO Term: Formation Of Radial Glial Scaffolds -> Biodomain: Structural Stabilization, Synapse, Myelination, Tau Homeostasis, Cell Cycle
Saved results to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.1/go_biodomain_results_part_12.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.1/runtime_log.csv
