Running with TEMP=0.9, sub_array_index=19
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Oxidative Stress
GO Term: Endoplasmic Reticulum Tubular Network Membrane Organization -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Mwp Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Growth Cone Filopodium -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Dna/Dna Annealing Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Apoptosis
GO Term: Poly(A) Rna Polymerase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Basic Amino Acid Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Response To Leukemia Inhibitory Factor -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Synapse
GO Term: Sequence-Specific Mrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Hepatocyte Dedifferentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: C-Rich Single-Stranded Dna Binding -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Cellular Response To Leukemia Inhibitory Factor -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Epigenetic, Apoptosis
GO Term: Response To Odorant -> Biodomain: Synapse, Epigenetic, Myelination, Proteostasis, Lipid Metabolism
GO Term: Sequence-Specific Double-Stranded Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Apoptosis
GO Term: Poly(U)-Specific Exoribonuclease Activity, Producing 3' Uridine Cyclic Phosphate Ends -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Epigenetic, Metal Binding and Homeostasis
GO Term: Response To Endothelin -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Promoter-Specific Chromatin Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Adaptive Thermogenesis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Wnt-Frizzled-Lrp5/6 Complex -> Biodomain: Cell Cycle, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Methionyl-Initiator Methionine Trna Binding -> Biodomain: Protein Synthesis, Translation Regulation, Proteostasis, Epigenetic, DNA Repair
GO Term: Cellular Response To Lectin -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Endothelin -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Acinar Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Chemokine -> Biodomain: Immune Response, Vasculature, Epigenetic, Proteostasis, Endolysosome
GO Term: Vascular Associated Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism
GO Term: Cytoplasmic Side Of Nuclear Pore -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Fnip-Folliculin Ragc/D Gap -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Cst Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: 18S Rrna Cytidine N-Acetyltransferase Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Histone H4K20Me3 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Netrin Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Ribonucleoprotein Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Beta-Catenin-Tcf Complex -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Apoptosis, Proteostasis
GO Term: Wnt Signalosome -> Biodomain: Cell Cycle, Endolysosome, Autophagy, Epigenetic, Proteostasis
GO Term: Response To Hypobaric Hypoxia -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Immune Response
GO Term: Response To Psychosocial Stress -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Immune Response, Autophagy
GO Term: Sperm Head Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Ooplasm -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Double-Strand Break Repair Involved In Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Pet Complex -> Biodomain: Epigenetic, DNA Repair, Immune Response, Cell Cycle, RNA Spliceosome
GO Term: Short-Term Synaptic Potentiation -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Calcium Ion Regulated Lysosome Exocytosis -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, Autophagy
GO Term: Response To Amino Acid Starvation -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Mrna N1-Methyladenosine Dioxygenase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Mrna N6-Methyladenosine Dioxygenase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, RNA Spliceosome, Oxidative Stress, Cell Cycle
GO Term: Splicing Factor Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: Ubiquitin Ligase Inhibitor Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, DNA Repair
GO Term: Metaphase/Anaphase Transition Of Meiosis I -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Proteostasis
GO Term: Intramanchette Transport -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: G-Rich Single-Stranded Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis
GO Term: Eosinophil Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Basophil Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Endolysosome, Proteostasis
GO Term: Xenobiotic Detoxification By Transmembrane Export Across The Plasma Membrane -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Xenobiotic Transport Across Blood-Brain Barrier -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Establishment Of Blood-Retinal Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Atp Generation From Poly-Adp-D-Ribose -> Biodomain: DNA Repair, Epigenetic, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Emilin Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Cell Cycle
GO Term: Multimerin Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Regulation Of Translational Initiation By Trna Modification -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Trna Demethylase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Negative Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Metanephric S-Shaped Body Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Metanephric Comma-Shaped Body Morphogenesis -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Autophagy
GO Term: Regulation Of Protein Localization To Cell Surface -> Biodomain: Proteostasis, Immune Response, Endolysosome, Synapse, Vasculature
GO Term: Negative Regulation Of Protein Localization To Cell Surface -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Positive Regulation Of Protein Localization To Cell Surface -> Biodomain: Proteostasis, Immune Response, Cell Cycle, Lipid Metabolism, Vasculature
GO Term: Regulation Of Adaxial/Abaxial Pattern Formation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, RNA Spliceosome, Lipid Metabolism
GO Term: Negative Regulation Of Determination Of Dorsal Identity -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, RNA Spliceosome
GO Term: Positive Regulation Of Determination Of Dorsal Identity -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Male Gonad Development -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Male Gonad Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Regulation Of Multicellular Organismal Development -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Vasculature, Lipid Metabolism
GO Term: Regulation Of Animal Organ Morphogenesis -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, DNA Repair, Epigenetic
GO Term: Regulation Of Stem Cell Division -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Structural Stabilization
GO Term: Regulation Of Stem Cell Population Maintenance -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Autophagy, Proteostasis
GO Term: Negative Regulation Of Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Regulation Of Cardiac Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization, Vasculature
GO Term: Regulation Of G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Cell-Cell Adhesion Mediated By Cadherin -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Cell-Cell Adhesion Mediated By Cadherin -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Vasculature
GO Term: Regulation Of Non-Canonical Wnt Signaling Pathway -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Non-Canonical Wnt Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Non-Canonical Wnt Signaling Pathway -> Biodomain: Structural Stabilization, Synapse, Autophagy, Apoptosis, Vasculature
GO Term: Regulation Of Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Negative Regulation Of Ureter Smooth Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Ureter Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle
GO Term: Regulation Of Cortisol Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Cortisol Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Cortisol Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Regulation Of Type B Pancreatic Cell Development -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, Apoptosis
GO Term: Negative Regulation Of Type B Pancreatic Cell Development -> Biodomain: Cell Cycle, Apoptosis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Type B Pancreatic Cell Development -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Immune Response, Vasculature
GO Term: Regulation Of Wnt Signaling Pathway, Planar Cell Polarity Pathway -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Wnt Signaling Pathway, Planar Cell Polarity Pathway -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Epigenetic, Cell Cycle
GO Term: Regulation Of Smooth Muscle Cell-Matrix Adhesion -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Smooth Muscle Cell-Matrix Adhesion -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Mammary Stem Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Proteostasis
GO Term: Negative Regulation Of Dna-Templated Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Dna-Templated Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Leukocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Endolysosome
GO Term: Positive Regulation Of Leukocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Macrophage Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Autophagy, Proteostasis
GO Term: Positive Regulation Of Macrophage Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Establishment Of Cell Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Sodium-Dependent Phosphate Transport -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Vasculature, Cell Cycle, Mitochondrial Metabolism
GO Term: Negative Regulation Of Sodium-Dependent Phosphate Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Positive Regulation Of Sodium-Dependent Phosphate Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Endolysosome, Proteostasis
GO Term: Regulation Of Removal Of Superoxide Radicals -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Immune Response
GO Term: Regulation Of Endocannabinoid Signaling Pathway -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Autophagy
GO Term: Regulation Of Cell Proliferation Involved In Heart Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Negative Regulation Of Cell Proliferation Involved In Heart Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Cell Proliferation Involved In Heart Morphogenesis -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Dna-Templated Transcription Initiation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Dna-Templated Transcription Initiation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Dna-Templated Transcription Initiation -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Autophagy, Apoptosis
GO Term: Regulation Of Cell Motility -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Cell Motility -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Vasculature
GO Term: Positive Regulation Of Cell Motility -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Endolysosome, Apoptosis
GO Term: Regulation Of Retrograde Vesicle-Mediated Transport, Golgi To Er -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Ubiquitin-Specific Protease Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Negative Regulation Of Dendrite Development -> Biodomain: Synapse, Structural Stabilization, Neuronal Plasticity, Neuroinflammation, Neurogenesis
GO Term: Regulation Of Branching Morphogenesis Of A Nerve -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Negative Regulation Of Branching Morphogenesis Of A Nerve -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Positive Regulation Of Pro-T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Regulation Of Neural Precursor Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Myelination, Autophagy
GO Term: Negative Regulation Of Neural Precursor Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Immune Response
GO Term: Positive Regulation Of Neural Precursor Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Androgen Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, Proteostasis
GO Term: Regulation Of Progesterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Progesterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Autophagy
GO Term: Negative Regulation Of Phosphate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Phosphate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Oxidative Stress, Vasculature
GO Term: Regulation Of Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Female Gonad Development -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Female Gonad Development -> Biodomain: Reproductive System, Developmental Processes, Signal Transduction, Hormonal Regulation, Cellular Processes
GO Term: Negative Regulation Of Ribosomal Large Subunit Export From Nucleus -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, RNA Spliceosome, Epigenetic
GO Term: Positive Regulation Of Ribosomal Small Subunit Export From Nucleus -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Regulation Of Anoikis -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Anoikis -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Regulation Of Glutamate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Glutamate Metabolic Process -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Glutamate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Testosterone Biosynthetic Process -> Biodomain: Steroid Metabolism, Lipid Metabolism, Biosynthesis, Metabolism, Cell Signaling
GO Term: Negative Regulation Of Testosterone Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Pancreatic A Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Pancreatic Stellate Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Rrna Processing -> Biodomain: RNA Spliceosome, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Rrna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Rrna Processing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Regulation Of Reproductive Process -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Reproductive Process -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Reproductive Process -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Feeding Behavior -> Biodomain: Appetite Regulation, Neurotransmitter Signaling, Neuroendocrine Regulation, Metabolic Regulation, Homeostasis Maintenance
GO Term: Positive Regulation Of Feeding Behavior -> Biodomain: Lipid Metabolism, Synapse, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Male Germ Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Proteostasis, DNA Repair
GO Term: Negative Regulation Of Male Germ Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Male Germ Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Protein Activation Cascade -> Biodomain: Proteostasis, Immune Response, Apoptosis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Blood Coagulation, Common Pathway -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Regulation Of Fibroblast Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Immune Response, Oxidative Stress
GO Term: Negative Regulation Of Fibroblast Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Fibroblast Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Signaling Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: Regulation Of Dna Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Dna Biosynthetic Process -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Positive Regulation Of Myotome Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Myoblast Proliferation -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Regulation Of Myoblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Defecation -> Biodomain: Synapse, Myelination, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Hydrogen Peroxide Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Synapse Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Rho-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Vasculature
GO Term: Negative Regulation Of Rho-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Immune Response
GO Term: Regulation Of Synaptic Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Negative Regulation Of Synaptic Vesicle Exocytosis -> Biodomain: Synapse, Neurotransmission Regulation, Vesicle Trafficking, Cellular Secretion, Membrane Trafficking
GO Term: Positive Regulation Of Synaptic Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Regulation Of Ceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Apoptosis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Positive Regulation Of Ceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Tumor Necrosis Factor (Ligand) Superfamily Member 11 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Autophagy
GO Term: Positive Regulation Of Tumor Necrosis Factor (Ligand) Superfamily Member 11 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Regulation Of Nmda Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response
GO Term: Regulation Of Ampa Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway Involved In Neural Plate Anterior/Posterior Pattern Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Regulation Of T-Helper 17 Type Immune Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
