Running with TEMP=0.9, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Vacuolar Sequestering -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Vascular Endothelial Growth Factor Receptor 1 Binding -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Vascular Endothelial Growth Factor Receptor 2 Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Vascular Endothelial Growth Factor Receptor 3 Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: P Granule -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Autophagy, Structural Stabilization
GO Term: H4/H2A Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Atp-Binding Cassette (Abc) Transporter Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Immune Response, Metal Binding and Homeostasis
GO Term: Axon Initial Segment -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Terminal Bouton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Varicosity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Dendritic Spine -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Dendritic Shaft -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Sulfate Binding -> Biodomain: Sulfur Metabolism, Detoxification, Extracellular Matrix Organization, Amino Acid Metabolism, Ion Homeostasis
GO Term: Response To Amino Acid -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Response To L-Leucine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Lysosomal Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Axon Hillock -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Cell Cycle
GO Term: Perikaryon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Response To External Biotic Stimulus -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Glycosphingolipid Binding -> Biodomain: Lipid Metabolism, Structural Stabilization, Autophagy, Endolysosome, Synapse
GO Term: Myelin Sheath -> Biodomain: Myelination, Lipid Metabolism, Structural Stabilization, Synapse, Proteostasis
GO Term: Daunorubicin Transport -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome, Apoptosis
GO Term: Myelin Maintenance -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Compact Myelin -> Biodomain: Myelination, Structural Stabilization, Proteostasis, Lipid Metabolism, Synapse
GO Term: Lateral Loop -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Schmidt-Lanterman Incisure -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Smc Family Protein Binding -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Atpase-Coupled Inorganic Anion Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Organelle -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Membraneless Organelle -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Intracellular Organelle -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Intracellular Membrane-Bounded Organelle -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Intracellular Membraneless Organelle -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Epigenetic, Structural Stabilization
GO Term: Receptor Complex -> Biodomain: Synapse, Proteostasis, Immune Response, Structural Stabilization, Endolysosome
GO Term: Laminin Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Cell Cycle
GO Term: Laminin-1 Binding -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Cell Cycle, Lipid Metabolism
GO Term: Fanconi Anaemia Nuclear Complex -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Epigenetic, Apoptosis
GO Term: Negative Regulation Of Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Synapse
GO Term: Positive Regulation Of Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Telomere Maintenance In Response To Dna Damage -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Proteasome Assembly -> Biodomain: Proteostasis, Autophagy, Endolysosome, Structural Stabilization, Cell Cycle
GO Term: Erythrocyte Maturation -> Biodomain: Autophagy, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Sodium-Dependent Organic Anion Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Endolysosome, Synapse
GO Term: Sodium-Dependent Organic Anion Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Sodium-Independent Organic Anion Transport -> Biodomain: Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Vasculature
GO Term: Regulation Of Protein-Containing Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Synapse, Cell Cycle
GO Term: Laminin Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Endolysosome
GO Term: Laminin-8 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Metal Binding and Homeostasis, Proteostasis
GO Term: Laminin-10 Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Laminin-11 Complex -> Biodomain: Structural Stabilization, Cell Adhesion and ECM, Vasculature, Synapse, Lipid Metabolism
GO Term: Adp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Autophagy, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Regulation Of Potassium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Myelination, Structural Stabilization
GO Term: Negative Regulation Of Potassium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Apoptosis
GO Term: Positive Regulation Of Potassium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Vasculature, Synapse, Immune Response, Apoptosis
GO Term: Regulation Of Monoatomic Ion Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Positive Regulation Of Monoatomic Ion Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Monoatomic Ion Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Myelination, Oxidative Stress
GO Term: Ctpase Activity -> Biodomain: DNA Repair, Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Proteostasis
GO Term: Phospholipase Binding -> Biodomain: Lipid Metabolism, Signal Transduction, Immune Response, Membrane Dynamics, Oxidative Stress
GO Term: Anoikis -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome
GO Term: Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune Response, Endolysosome, Autophagy, Proteostasis
GO Term: Response To Morphine -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Response To Alkaloid -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Immune Response, Lipid Metabolism
GO Term: Rave Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Contractile Muscle Fiber -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Apoptosome -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress
GO Term: Glutathione Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Apical Junction Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Cell Cycle
GO Term: Apical Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Cell Cycle
GO Term: Leukocyte Degranulation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Mast Cell Degranulation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Regulation Of Mast Cell Degranulation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Mast Cell Degranulation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Mast Cell Degranulation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Eosinophil Degranulation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Eosinophil Degranulation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Eosinophil Degranulation -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Neutrophil Degranulation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Neutrophil Degranulation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Neutrophil Degranulation -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Neutrophil Degranulation -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Apoptosis
GO Term: Cytotoxic T Cell Degranulation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Cytotoxic T Cell Degranulation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Natural Killer Cell Degranulation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Cell Cycle
GO Term: Negative Regulation Of Natural Killer Cell Degranulation -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Natural Killer Cell Degranulation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Synapse, Proteostasis
GO Term: Phosphatidylinositol-3,4-Bisphosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Immune Response, Cell Cycle
GO Term: Protein Transport To Vacuole Involved In Ubiquitin-Dependent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Response To Exogenous Dsrna -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Epigenetic
GO Term: Response To Dsrna -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: Protein Unfolding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Cardiolipin Synthase (Cmp-Forming) -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Enucleate Erythrocyte Differentiation -> Biodomain: Apoptosis, Structural Stabilization, Lipid Metabolism, Proteostasis, Vasculature
GO Term: Nucleate Erythrocyte Differentiation -> Biodomain: Cell Cycle, Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
GO Term: Beta Selection -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Positive T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Synapse
GO Term: Cd4-Positive Or Cd8-Positive, Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, DNA Repair
GO Term: Regulation Of Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Positive Regulation Of Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Apoptosis, Proteostasis, Autophagy
GO Term: Cd4-Positive, Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Cd8-Positive, Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Regulation Of Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Memory T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Memory T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Memory T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Memory T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Immune Response
GO Term: Negative Regulation Of Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Apoptosis
GO Term: Regulation Of Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Synapse, Autophagy
GO Term: Proteoglycan Binding -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Heparan Sulfate Proteoglycan Binding -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Corticotropin-Releasing Hormone Secretion -> Biodomain: Immune Response, Oxidative Stress, Synapse, Epigenetic, Proteostasis
GO Term: Hlh Domain Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Cortisol Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Steroid Hormone Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Epigenetic, Immune Response, Mitochondrial Metabolism, Apoptosis
GO Term: Skeletal Muscle Tissue Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Corticotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Apoptosis
GO Term: Regulation Of Map Kinase Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Tau Homeostasis, Autophagy
GO Term: Positive Regulation Of Map Kinase Activity -> Biodomain: Cell Cycle, Immune Response, Oxidative Stress, Apoptosis, Autophagy
GO Term: Negative Regulation Of Map Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Regulation Of Mapk Cascade -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Autophagy
GO Term: Macromolecule Glycosylation -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Immune Response, Vasculature
GO Term: Macromolecule Methylation -> Biodomain: Epigenetic, Proteostasis, DNA Repair, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Skeletal Muscle Tissue Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Autophagy, Proteostasis
GO Term: Regulation Of Skeletal Muscle Tissue Regeneration -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Skeletal Muscle Tissue Regeneration -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Autophagy
GO Term: Homocysteine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Anthranilate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Protein Kinase B Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Bhlh Transcription Factor Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Mrf Binding -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, Structural Stabilization
GO Term: Negative Regulation Of Dna-Binding Transcription Factor Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Apoptosis, Cell Cycle
GO Term: Response To Peptide Hormone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Autophagy, Proteostasis
GO Term: Acetoacetic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Regulation Of Pentose-Phosphate Shunt -> Biodomain: Lipid Metabolism, Oxidative Stress, DNA Repair, Cell Cycle, Autophagy
GO Term: Regulation Of Cellular Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Proton-Transporting Atp Synthase Complex Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Regulation Of Atp-Dependent Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Generation Of Precursor Metabolites And Energy -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Carbohydrate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Pigmentation -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Autophagy, Epigenetic, Structural Stabilization
GO Term: Pigment Metabolic Process Involved In Pigmentation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Cellular Pigment Accumulation -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Rna Splicing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Regulation Of Rna Stability -> Biodomain: RNA Spliceosome, Epigenetic, Synapse, Immune Response, Apoptosis
GO Term: Regulation Of Mrna Stability -> Biodomain: Proteostasis, Immune Response, Cell Cycle, Epigenetic, RNA Spliceosome
GO Term: Rna Stabilization -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Malate-Aspartate Shuttle -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction -> Biodomain: Apoptosis, Autophagy, Cell Cycle, Oxidative Stress, Lipid Metabolism
GO Term: Membrane-Membrane Adaptor Activity -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism
GO Term: Skeletal Muscle Adaptation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Skeletal Muscle Fiber Adaptation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Mitochondrial Dna Repair -> Biodomain: Mitochondrial Metabolism, DNA Repair, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Cenp-A Containing Nucleosome -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Jun Kinase Activity -> Biodomain: Apoptosis, Oxidative Stress, Immune Response, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Jun Kinase Activity -> Biodomain: Apoptosis, Oxidative Stress, Immune Response, Autophagy, Cell Cycle
GO Term: Activin A Complex -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Inhibin A Complex -> Biodomain: Endocrine, Hormone Signaling, Reproductive System, Protein Complex Assembly, Cell Communication
GO Term: Inhibin B Complex -> Biodomain: Proteostasis, Immune Response, Apoptosis, Autophagy, Cell Cycle
GO Term: Interleukin-12 Complex -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Kinetochore Binding -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Apoptosis, Proteostasis
GO Term: Regulation Of Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Regulation Of Myosin Ii Filament Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Leucine Zipper Domain Binding -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Immune Response
GO Term: Regulation Of Neuron Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Negative Regulation Of Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Positive Regulation Of Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Trna Methyltransferase Complex -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Epigenetic, Proteostasis
GO Term: Trna (M2G10) Methyltransferase Complex -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Get Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Adenosine 5'-Monophosphoramidase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Adp Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Angiostatin Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Inositol 1,3,4,5 Tetrakisphosphate Binding -> Biodomain: Lipid Metabolism, Synapse, Immune Response, Vasculature, Apoptosis
GO Term: Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Cell Migration, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Regulation Of Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Protein Serine/Threonine Kinase Activator Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Autophagy
GO Term: 6-Phosphofructo-2-Kinase/Fructose-2,6-Biphosphatase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Udp-N-Acetylglucosamine Transferase Complex -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Immune Response
GO Term: Molybdopterin Cofactor Metabolic Process -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Molybdopterin Cofactor Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Gtpase Activity -> Biodomain: Signal Transduction, Cell Cycle, Apoptosis, Immune Response, Proteostasis
GO Term: Phosphatidylinositol 3-Kinase Binding -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle, Apoptosis
GO Term: Regulation Of Lipid Kinase Activity -> Biodomain: Lipid Metabolism, Cell Cycle, Endolysosome, Proteostasis, Autophagy
GO Term: Regulation Of Translation In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Regulation Of Translational Initiation In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Insulin Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
