Running with TEMP=0.1, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: U4 Snrna Binding -> Biodomain: RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, DNA Repair
GO Term: U4Atac Snrna Binding -> Biodomain: RNA Spliceosome, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: U5 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Structural Stabilization, Proteostasis
GO Term: U6Atac Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: U12 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Pre-Mrna 5'-Splice Site Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Pre-Mrna 3'-Splice Site Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: U6 Snrna 3'-End Binding -> Biodomain: RNA Spliceosome, RNA Binding, RNA Processing, Epigenetic, DNA Repair
GO Term: Regulation Of Cellular Ph -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Intracellular Phosphate Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Chemical Homeostasis, Cellular Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Intracellular Chloride Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Vitamin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Transport Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Cytoplasmic Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Golgi-Associated Vesicle Membrane -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Structural Stabilization
GO Term: Coated Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Copi-Coated Vesicle Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization, Endolysosome
GO Term: Clathrin-Coated Vesicle Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Synapse
GO Term: Endocytic Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Secretory Granule Membrane -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Immune Response
GO Term: Clathrin-Coated Endocytic Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Phagocytic Vesicle Membrane -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Synaptic Vesicle Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Axolemma -> Biodomain: Structural Stabilization, Synapse, Myelination, Lipid Metabolism, Proteostasis
GO Term: Protein-Macromolecule Adaptor Activity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Immune Response, Endolysosome
GO Term: Ribonuclease P Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Autophagy
GO Term: Mitochondrial Ribonuclease P Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Autophagy, Apoptosis
GO Term: Multimeric Ribonuclease P Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Endolysosome
GO Term: Preribosome -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism
GO Term: 90S Preribosome -> Biodomain: RNA Spliceosome, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Preribosome, Large Subunit Precursor -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Metal Binding and Homeostasis, Cell Cycle
GO Term: Preribosome, Small Subunit Precursor -> Biodomain: Structural Stabilization, Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Noc1P-Noc2P Complex -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Noc2P-Noc3P Complex -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, RNA Spliceosome, Cell Cycle
GO Term: Noc4P-Nop14P Complex -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Cell Cycle, Epigenetic
GO Term: Gtpase Regulator Activity -> Biodomain: Proteostasis, Cell Cycle, Endolysosome, Structural Stabilization, Autophagy
GO Term: Trna (Uracil(54)-C5)-Methyltransferase Activity, S-Adenosyl Methionine-Dependent -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, RNA Spliceosome
GO Term: Vitelline Membrane Formation -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Cytoskeleton-Dependent Intracellular Transport -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Germ-Line Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Stem Cell Population Maintenance, Developmental Process, Epigenetic, DNA Repair
GO Term: P Granule Organization -> Biodomain: Developmental Process, Reproductive Process, RNA Metabolism, Cellular Organization, Germ Cell Development
GO Term: Ovulation -> Biodomain: Cell Cycle, Lipid Metabolism, Apoptosis, Immune Response, Epigenetic
GO Term: Acetoacetate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Triglyceride Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Guanidinoacetate N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Carnosine N-Methyltransferase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Gtp-Dependent Protein Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Amine N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Pyridine N-Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Arsenite Methyltransferase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Actin Filament Length -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Regulation Of Actin Filament Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Regulation Of Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cytoskeleton Organization, Autophagy, Apoptosis
GO Term: Negative Regulation Of Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Positive Regulation Of Actin Filament Depolymerization -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Autophagy, Proteostasis
GO Term: Negative Regulation Of Actin Filament Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Actin Filament Polymerization -> Biodomain: Structural Stabilization  
Proteostasis  
Cell Cycle  
Synapse  
Autophagy
GO Term: Positive Regulation Of Intermediate Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Phospholipase C-Inhibiting G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Signal Transduction, Calcium Signaling, Cellular Response to Stimulus, Cell Communication
GO Term: Autosome -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Prostate Gland Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Cell Cycle, Apoptosis
GO Term: Granulocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Regulation Of Granulocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Granulocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Granulocyte Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Epithelial Cell Differentiation -> Biodomain: Tissue Morphogenesis and Development, Structural Stabilization, Cell Differentiation, Developmental Biology, Epigenetic
GO Term: Regulation Of Epithelial Cell Differentiation -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Negative Regulation Of Epithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Epithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Polarized Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Endolysosome, Vasculature, Cell Cycle, Autophagy
GO Term: Regulation Of Polarized Epithelial Cell Differentiation -> Biodomain: Structural Stabilization  
Epigenetic  
Cell Cycle  
Autophagy  
Lipid Metabolism
GO Term: Positive Regulation Of Polarized Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Cortical Cytoskeleton -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Cortical Actin Cytoskeleton -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Endolysosome
GO Term: Cortical Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Synapse
GO Term: Cortical Actin Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Rough Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Smooth Endoplasmic Reticulum Membrane -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Mre11 Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Beta-Catenin Destruction Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Autophagy
GO Term: Thyroid Gland Development -> Biodomain: Endocrine System, Developmental Biology, Anatomical Structure Morphogenesis, Hormone Signaling, Endoderm Development
GO Term: Mammary Gland Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Rna Polymerase Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Beta-2-Microglobulin Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Lipid Antigen Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Endogenous Lipid Antigen Binding -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Exogenous Lipid Antigen Binding -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Myeloid Dendritic Cell Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Myeloid Dendritic Cell Activation -> Biodomain: Immune Response, Cell Activation, Leukocyte, Immune Activation, Myeloid Cell
GO Term: Regulation Of B Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of B Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of B Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Vcb Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, DNA Repair
GO Term: Mitotic Cohesin Complex -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, DNA Repair, Epigenetic
GO Term: Meiotic Cohesin Complex -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, DNA Repair, Epigenetic
GO Term: Replisome -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Apolipoprotein B Mrna Editing Enzyme Complex -> Biodomain: RNA Spliceosome, Lipid Metabolism, Epigenetic, Proteostasis, Autophagy
GO Term: Checkpoint Clamp Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Hops Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Calcium-Dependent Atpase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Forebrain Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Midbrain Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Hindbrain Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Notochord Development -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Proteostasis, Autophagy
GO Term: Retromer Complex -> Biodomain: Membrane Trafficking, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Retromer, Tubulation Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Retromer, Cargo-Selective Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Olfactory Placode Formation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Synapse, Cell Cycle
GO Term: Tpr Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Mitochondrial Metabolism
GO Term: Paranodal Junction Assembly -> Biodomain: Myelination  
Structural Stabilization  
Synapse  
Proteostasis  
Cell Cycle
GO Term: Smc5-Smc6 Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Otic Vesicle Formation -> Biodomain: Sensory Organ Development, Morphogenesis, Developmental Biology, Epithelial Morphogenesis, Embryonic Development
GO Term: Midbrain-Hindbrain Boundary Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Endoplasmic Reticulum Signal Peptide Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Mitochondrion Targeting Sequence Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Signal Transduction, Apoptosis, Immune Response, Cell Cycle
GO Term: Positive Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Establishment Or Maintenance Of Actin Cytoskeleton Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Immune Response, Proteostasis
GO Term: Establishment Or Maintenance Of Microtubule Cytoskeleton Polarity -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Synapse
GO Term: Astral Microtubule Organization -> Biodomain: Cell Cycle, Structural Stabilization, Cytoskeleton Organization, Proteostasis, Autophagy
GO Term: Astral Microtubule Nucleation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Potassium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Endolysosome, Vasculature
GO Term: Glutamyl-Trna(Gln) Amidotransferase Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle
GO Term: Tat Protein Binding -> Biodomain: Immune Response, Epigenetic, Proteostasis, Apoptosis, DNA Repair
GO Term: Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Retrograde Protein Transport, Er To Cytosol -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Receptor Tyrosine Kinase Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Apoptosis
GO Term: Thiamine Pyrophosphate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Thiamine Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Thiamine Pyrophosphate Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Taurine Binding -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Cortical Microtubule Cytoskeleton -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Autophagy, Proteostasis
GO Term: Mismatched Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Apoptosis
GO Term: Kininogen Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Intraciliary Transport Particle -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Intraciliary Transport Particle A -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Mitochondrial Metabolism
GO Term: Intraciliary Transport Particle B -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Centriole-Centriole Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Organelle Organization, Cytoskeleton Organization
GO Term: Response To Caffeine -> Biodomain: Oxidative Stress, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, DNA Repair
GO Term: Potassium Ion-Transporting Atpase Complex -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Filamin Binding -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Autophagy, Apoptosis
GO Term: Iswi-Type Complex -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Ino80 Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Extracellular Matrix -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Troponin I Binding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Troponin T Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Mitochondrial Metabolism
GO Term: Pancreas Development -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Exocrine Pancreas Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Synapse
GO Term: Endocrine Pancreas Development -> Biodomain: Metabolic Processes, Developmental Biology, Signaling Pathways, Organ Development, Cellular Differentiation
GO Term: Interphase Microtubule Organizing Center -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Proteostasis, Autophagy
GO Term: Nuclear Migration Along Microfilament -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Microtubule Organizing Center Organization -> Biodomain: Structural Stabilization, Cytoskeleton, Organelle Organization, Cellular Organization, Microtubule-Based Process
GO Term: Actomyosin Structure Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Myosin Filament Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Myosin Ii Filament Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Synapse, Cell Cycle
GO Term: Dense Core Granule -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, APP Metabolism
GO Term: Regulatory Ncrna-Mediated Gene Silencing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Apoptosis
GO Term: Regulatory Ncrna-Mediated Heterochromatin Formation -> Biodomain: Epigenetic, Structural Stabilization, RNA Spliceosome, Proteostasis, DNA Repair
GO Term: Primary Mirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Pre-Mirna Processing -> Biodomain: Epigenetic, Autophagy, Cell Cycle, Apoptosis, Immune Response
GO Term: Hair Follicle Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Epigenetic, Lipid Metabolism
GO Term: Cysteine Desulfurase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Heat Shock Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Cholesterol 26-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Embryonic Camera-Type Eye Development -> Biodomain: Developmental Process, Cell Cycle, Structural Stabilization, Synapse, Vasculature
GO Term: Post-Embryonic Camera-Type Eye Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Proteostasis
GO Term: Histone H3K14 Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Nuclear Pore Outer Ring -> Biodomain: Structural Stabilization, Cell Cycle, RNA Spliceosome, Epigenetic, Proteostasis
GO Term: Bloc-1 Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Bloc-2 Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Bloc-3 Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Vasculature
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Independent Decay -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Deadenylation-Independent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: RNA Spliceosome  
Proteostasis  
Autophagy  
Cell Cycle  
Epigenetic
GO Term: Platelet Dense Granule Membrane -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Platelet Dense Granule Lumen -> Biodomain: Metal Binding and Homeostasis, Vasculature, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Organelle Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Platelet Alpha Granule -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Synapse
GO Term: Platelet Alpha Granule Membrane -> Biodomain: Vasculature, Immune Response, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Platelet Alpha Granule Lumen -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Platelet Dense Tubular Network -> Biodomain: Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Platelet Dense Tubular Network Membrane -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Stress-Activated Protein Kinase Signaling Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Autophagy
GO Term: Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Animal Organ Regeneration -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Autophagy
GO Term: Neuron Projection Regeneration -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Axon Regeneration -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Autophagy
GO Term: Dendrite Regeneration -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Apoptosis
GO Term: Septin Complex -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Endolysosome
GO Term: Septin Ring Organization -> Biodomain: Structural Stabilization, Cytoskeleton, Cell Cycle, Proteostasis, Autophagy
GO Term: Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Cytoskeleton Organization, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Cell Cycle, Synapse
GO Term: Regulation Of Microtubule Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Regulation Of Microtubule Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Negative Regulation Of Microtubule Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Positive Regulation Of Microtubule Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Positive Regulation Of Microtubule Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Proteostasis, Apoptosis
GO Term: Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Trna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Snrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Cytoplasmic Microtubule Organization -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Rna 3'-End Processing -> Biodomain: RNA Spliceosome, Gene Expression, Epigenetic, Proteostasis, DNA Repair
GO Term: Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Mitochondrial Metabolism
