Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Positive Regulation Of Cellular Response To Heat -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism, Structural Stabilization
GO Term: Regulation Of Cellular Response To Hypoxia -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cellular Response To Hypoxia -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cellular Response To Hypoxia -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Protein K63-Linked Ubiquitination -> Biodomain: Proteostasis, Immune Response, Autophagy, DNA Repair, Apoptosis
GO Term: Negative Regulation Of Protein K63-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Immune Response, DNA Repair
GO Term: Regulation Of Hemostasis -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Hemostasis -> Biodomain: Vasculature, Immune Response, Apoptosis, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Retinoic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Retinoic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Epigenetic, Immune Response, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Ceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Autophagy, Endolysosome
GO Term: Regulation Of Peroxisome Organization -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Cellular Hyperosmotic Salinity Response -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Neuromuscular Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Regulation Of Cellular Response To Insulin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Cellular Response To Insulin Stimulus -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Cellular Response To Insulin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Arginine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Arginine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Peptidyl-Tyrosine Autophosphorylation -> Biodomain: Proteostasis, Cell Cycle, Lipid Metabolism, Immune Response, Synapse
GO Term: Positive Regulation Of G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Epigenetic, Autophagy
GO Term: Negative Regulation Of Plasma Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Plasma Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Proteostasis, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Hyaluranon Cable Assembly -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Regulation Of Nodal Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Unknown, Structural Stabilization
GO Term: Negative Regulation Of Nodal Signaling Pathway -> Biodomain: Developmental, Signaling Pathways, Cell Fate, Embryogenesis, Regulation of Gene Expression
GO Term: Extracellular Negative Regulation Of Signal Transduction -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Execution Phase Of Apoptosis -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Unknown
GO Term: Positive Regulation Of Execution Phase Of Apoptosis -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Regulation Of Hyaluronan Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Hyaluronan Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Hyaluronan Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Epigenetic, Lipid Metabolism
GO Term: Negative Regulation Of Lipid Binding -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Regulation Of Renin Secretion Into Blood Stream -> Biodomain: Vasculature, Oxidative Stress, Endolysosome, Immune Response, Proteostasis
GO Term: Negative Regulation Of Renin Secretion Into Blood Stream -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Endolysosome, Unknown
GO Term: Positive Regulation Of Renin Secretion Into Blood Stream -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Negative Regulation Of Arachidonate Secretion -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Oligodendrocyte Apoptotic Process -> Biodomain: Apoptosis, Myelination, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Oligodendrocyte Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Myelination, Autophagy
GO Term: Negative Regulation Of Schwann Cell Migration -> Biodomain: Myelination, Structural Stabilization, Proteostasis, Synapse, Epigenetic
GO Term: Positive Regulation Of Schwann Cell Migration -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Synapse, Immune Response
GO Term: Regulation Of Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Negative Regulation Of Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Unknown, Autophagy
GO Term: Positive Regulation Of Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Bone Trabecula Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Negative Regulation Of Bone Mineralization Involved In Bone Maturation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Positive Regulation Of Bone Mineralization Involved In Bone Maturation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Phospholipid Scramblase Activity -> Biodomain: Apoptosis, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Glial Cell-Derived Neurotrophic Factor Production -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Protein Localization To Nucleus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Protein Localization To Nucleus -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, DNA Repair, Apoptosis
GO Term: Positive Regulation Of Protein Localization To Nucleus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Clathrin-Dependent Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Negative Regulation Of Oocyte Maturation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Oocyte Maturation -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Mesenchymal Cell Apoptotic Process Involved In Metanephros Development -> Biodomain: Apoptosis, Vasculature, Cell Cycle, Structural Stabilization, Endolysosome
GO Term: Regulation Of Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mesenchymal Cell Apoptotic Process Involved In Metanephros Development -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Vasculature, Proteostasis
GO Term: Negative Regulation Of Apoptotic Process Involved In Metanephric Collecting Duct Development -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Apoptotic Process Involved In Metanephric Nephron Tubule Development -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle, Unknown
GO Term: Regulation Of Amyloid-Beta Clearance -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Negative Regulation Of Amyloid-Beta Clearance -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Amyloid-Beta Clearance -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Regulation Of Nlrp3 Inflammasome Complex Assembly -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Nlrp3 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Nlrp3 Inflammasome Complex Assembly -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Autophagy
GO Term: Negative Regulation Of Single-Species Biofilm Formation In Or On Host Organism -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Kit Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Phenotypic Switching -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Synaptic Vesicle Endocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Synaptic Vesicle Endocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Mda-5 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Rig-I Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Cytoplasmic Translational Elongation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of Cytoplasmic Translational Elongation -> Biodomain: Proteostasis, Autophagy, Cell Cycle, RNA Spliceosome, Unknown
GO Term: Negative Regulation Of Rna-Dependent Rna Polymerase Activity -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Dna-Directed Dna Polymerase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Long-Term Synaptic Potentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Long-Term Synaptic Potentiation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Epigenetic, APP Metabolism
GO Term: Positive Regulation Of Long-Term Synaptic Potentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Cd4-Positive, Alpha-Beta T Cell Costimulation -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Cd4-Positive, Alpha-Beta T Cell Costimulation -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Post-Transcriptional Gene Silencing By Regulatory Ncrna -> Biodomain: Epigenetic, RNA Spliceosome, Immune Response, Proteostasis, Autophagy
GO Term: Regulation Of Cellular Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cellular Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cellular Response To Oxidative Stress -> Biodomain: Oxidative Stress, Proteostasis, DNA Repair, Apoptosis, Autophagy
GO Term: Regulation Of Defense Response To Bacterium -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Defense Response To Bacterium -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Defense Response To Bacterium -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Regulation Of Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Regulation Of Long-Term Synaptic Depression -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Negative Regulation Of Long-Term Synaptic Depression -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Positive Regulation Of Long-Term Synaptic Depression -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Regulation Of Diacylglycerol Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Palmitic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Purine Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Epigenetic
GO Term: Positive Regulation Of Monocyte Aggregation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Uterine Smooth Muscle Relaxation -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Adenylate Cyclase-Inhibiting Opioid Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Immune Response
GO Term: Negative Regulation Of Phospholipase C-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Immune Response, Apoptosis
GO Term: Positive Regulation Of Phospholipase C-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Synapse, Proteostasis
GO Term: Regulation Of P38Mapk Cascade -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of P38Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Unknown
GO Term: Regulation Of Vascular Endothelial Growth Factor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Vascular Endothelial Growth Factor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Vascular Endothelial Growth Factor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Autophagy, Apoptosis
GO Term: (R)-Carnitine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Unknown
GO Term: Doxorubicin Transport -> Biodomain: Endolysosome, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Regulation Of Membrane Depolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Membrane Depolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Membrane Depolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Unknown, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Mitochondrial Rna Modification -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Glycine Import Across Plasma Membrane -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Fermentation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Potassium Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Structural Stabilization
GO Term: Ripoptosome Assembly Involved In Necroptotic Process -> Biodomain: Apoptosis, Proteostasis, Immune Response, Oxidative Stress, Autophagy
GO Term: Dextrin Catabolic Process -> Biodomain: Carbohydrate Metabolism, Metabolism, Glycosphingolipid Metabolism, Endolysosome, Autophagy
GO Term: Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Negative Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Positive Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Sarcosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Sarcosine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Engulfment Of Apoptotic Cell -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Engulfment Of Apoptotic Cell -> Biodomain: Apoptosis, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Regulation Of Relaxation Of Muscle -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Negative Regulation Of Relaxation Of Muscle -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Proteostasis
GO Term: Negative Regulation Of Relaxation Of Smooth Muscle -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Relaxation Of Smooth Muscle -> Biodomain: Vasculature, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Gentamycin Metabolic Process -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Immune Response
GO Term: Carbohydrate Derivative Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Carbohydrate Derivative Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Carbohydrate Derivative Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Autophagy
GO Term: Insulin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Insulin Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Mesenchymal Cell Apoptotic Process Involved In Nephron Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Vasculature, Endolysosome, Proteostasis
GO Term: Gene Expression Involved In Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: D-Xylulose 5-Phosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Cell Cycle
GO Term: Regulation Of Trophoblast Cell Migration -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Apoptosis
GO Term: Negative Regulation Of Trophoblast Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Trophoblast Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Neural Crest Cell Migration Involved In Autonomic Nervous System Development -> Biodomain: Structural Stabilization, Vasculature, Myelination, Synapse, Cell Cycle
GO Term: Naphthalene Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Lycopene Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Unknown
GO Term: Regulation Of Erbb Signaling Pathway -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Vasculature
GO Term: Negative Regulation Of Erbb Signaling Pathway -> Biodomain: Endolysosome, Proteostasis, Autophagy, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Erbb Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Vasculature
GO Term: Negative Regulation Of Ephrin Receptor Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Ephrin Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Cell Cycle, Immune Response, Epigenetic
GO Term: Negative Regulation Of Formation Of Translation Preinitiation Complex -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Autophagy, Epigenetic
GO Term: Regulation Of Extracellular Matrix Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Extracellular Matrix Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Autophagy
GO Term: Positive Regulation Of Extracellular Matrix Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Apoptosis, Immune Response
GO Term: Regulation Of Heart Looping -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Negative Regulation Of Heart Looping -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Cardiac Chamber Formation -> Biodomain: Vasculature, Epigenetic, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Regulation Of Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Epigenetic
GO Term: Negative Regulation Of Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: (R)-Carnitine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Negative Regulation Of Lung Ciliated Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Lung Ciliated Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Lung Goblet Cell Differentiation -> Biodomain: Immune Response, Vasculature, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Negative Regulation Of Intracellular Transport Of Viral Material -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Intracellular Transport Of Viral Material -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Nucleotide-Excision Repair Involved In Interstrand Cross-Link Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Regulation Of Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Carbohydrate Derivative Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism, Vasculature
GO Term: Tartrate Metabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Succinyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Succinyl-Coa Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
