Running with TEMP=0.1, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Autophagy
GO Term: Vascular Endothelial Growth Factor Receptor 2 Binding -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Vascular Endothelial Growth Factor Receptor 3 Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: P Granule -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: H4/H2A Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Atp-Binding Cassette (Abc) Transporter Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Immune Response
GO Term: Axon Initial Segment -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Synapse, Proteostasis, Myelination
GO Term: Terminal Bouton -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Varicosity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Dendritic Spine -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Dendritic Shaft -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Sulfate Binding -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Response To Amino Acid -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Response To L-Leucine -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Lysosomal Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Axon Hillock -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Myelination
GO Term: Perikaryon -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Response To External Biotic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Glycosphingolipid Binding -> Biodomain: Lipid Metabolism, Synapse, Myelination, Immune Response, Structural Stabilization
GO Term: Myelin Sheath -> Biodomain: Synapse, Myelination, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Daunorubicin Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Myelin Maintenance -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Synapse
GO Term: Compact Myelin -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Immune Response
GO Term: Lateral Loop -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Endolysosome
GO Term: Schmidt-Lanterman Incisure -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Smc Family Protein Binding -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Atpase-Coupled Inorganic Anion Transmembrane Transporter Activity -> Biodomain: Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Organelle -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Membraneless Organelle -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, DNA Repair
GO Term: Intracellular Organelle -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization, Endolysosome
GO Term: Intracellular Membrane-Bounded Organelle -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Intracellular Membraneless Organelle -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, RNA Spliceosome, Epigenetic
GO Term: Receptor Complex -> Biodomain: Synapse, Immune Response, Proteostasis, Structural Stabilization, Vasculature
GO Term: Laminin Binding -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Immune Response, Lipid Metabolism
GO Term: Laminin-1 Binding -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Fanconi Anaemia Nuclear Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Apoptosis
GO Term: Negative Regulation Of Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Protein-Containing Complex Disassembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Telomere Maintenance In Response To Dna Damage -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Proteasome Assembly -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Erythrocyte Maturation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Cell Cycle, Epigenetic
GO Term: Sodium-Dependent Organic Anion Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Synapse, Vasculature, Endolysosome
GO Term: Sodium-Dependent Organic Anion Transport -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Sodium-Independent Organic Anion Transport -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Vasculature
GO Term: Regulation Of Protein-Containing Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Synapse
GO Term: Laminin Complex -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Laminin-8 Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Immune Response
GO Term: Laminin-10 Complex -> Biodomain: Structural Stabilization, Cell Adhesion, Vasculature, Cell Migration, Tissue Development
GO Term: Laminin-11 Complex -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Cell Cycle
GO Term: Adp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Potassium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Apoptosis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Potassium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Apoptosis
GO Term: Positive Regulation Of Potassium Ion Transport -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Apoptosis, Myelination
GO Term: Regulation Of Monoatomic Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Monoatomic Ion Transport -> Biodomain: Endolysosome, Synapse, Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Monoatomic Ion Transport -> Biodomain: Oxidative Stress, Synapse, Apoptosis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Ctpase Activity -> Biodomain: Lipid Metabolism, Cell Cycle, RNA Spliceosome, DNA Repair, Mitochondrial Metabolism
GO Term: Phospholipase Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Anoikis -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune Response, Endolysosome, Autophagy, Proteostasis
GO Term: Response To Morphine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Response To Alkaloid -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Rave Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Contractile Muscle Fiber -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Synapse, Proteostasis, Lipid Metabolism
GO Term: Apoptosome -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Glutathione Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Apical Junction Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Apical Junction Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Vasculature
GO Term: Leukocyte Degranulation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Mast Cell Degranulation -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Vasculature, Apoptosis
GO Term: Regulation Of Mast Cell Degranulation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Mast Cell Degranulation -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Vasculature
GO Term: Positive Regulation Of Mast Cell Degranulation -> Biodomain: Immune Response, Inflammation, Allergy, Vasculature, Proteostasis
GO Term: Eosinophil Degranulation -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Eosinophil Degranulation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Eosinophil Degranulation -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Proteostasis
GO Term: Neutrophil Degranulation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Regulation Of Neutrophil Degranulation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Neutrophil Degranulation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Neutrophil Degranulation -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Cytotoxic T Cell Degranulation -> Biodomain: Immune Response, Apoptosis, Synapse, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Cytotoxic T Cell Degranulation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Natural Killer Cell Degranulation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Natural Killer Cell Degranulation -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Autophagy
GO Term: Positive Regulation Of Natural Killer Cell Degranulation -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Phosphatidylinositol-3,4-Bisphosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Immune Response, Synapse
GO Term: Protein Transport To Vacuole Involved In Ubiquitin-Dependent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Response To Exogenous Dsrna -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Response To Dsrna -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Protein Unfolding -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Cardiolipin Synthase (Cmp-Forming) -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Enucleate Erythrocyte Differentiation -> Biodomain: Structural Stabilization, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Nucleate Erythrocyte Differentiation -> Biodomain: Hematopoiesis, Cellular Differentiation, Cell Cycle, Epigenetic, DNA Repair
GO Term: Beta Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, DNA Repair, Epigenetic
GO Term: Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Apoptosis, Autophagy, Cell Cycle
GO Term: Positive T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Cd4-Positive Or Cd8-Positive, Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Regulation Of Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Cd4-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Cd4-Positive, Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Cell Cycle
GO Term: Cd8-Positive, Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Regulation Of Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Endolysosome
GO Term: Negative Regulation Of Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Memory T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Memory T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Memory T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Memory T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Negative T Cell Selection -> Biodomain: Immune Response, Apoptosis, Endolysosome, Vasculature, Proteostasis
GO Term: Positive Regulation Of Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Immune Response
GO Term: Negative Regulation Of Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Apoptosis
GO Term: Regulation Of Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Apoptosis
GO Term: Proteoglycan Binding -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Heparan Sulfate Proteoglycan Binding -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Regulation Of Corticotropin-Releasing Hormone Secretion -> Biodomain: Synapse, Endolysosome, Autophagy, Epigenetic, Immune Response
GO Term: Hlh Domain Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Apoptosis
GO Term: Cortisol Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Steroid Hormone Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Epigenetic, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Skeletal Muscle Tissue Regeneration -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Corticotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Apoptosis, Vasculature
GO Term: Regulation Of Map Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Autophagy
GO Term: Positive Regulation Of Map Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Map Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Cell Cycle
GO Term: Regulation Of Mapk Cascade -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mapk Cascade -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Mapk Cascade -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Macromolecule Glycosylation -> Biodomain: Proteostasis, Immune Response, Lipid Metabolism, APP Metabolism, Structural Stabilization
GO Term: Macromolecule Methylation -> Biodomain: Epigenetic, Proteostasis, DNA Repair, RNA Spliceosome, Cell Cycle
GO Term: Positive Regulation Of Skeletal Muscle Tissue Regeneration -> Biodomain: Cell Cycle, Immune Response, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Skeletal Muscle Tissue Regeneration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Skeletal Muscle Tissue Regeneration -> Biodomain: Apoptosis, Proteostasis, Autophagy, Structural Stabilization, Cell Cycle
GO Term: Homocysteine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Anthranilate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protein Kinase B Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Proteostasis, Autophagy
GO Term: Bhlh Transcription Factor Binding -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Apoptosis, Immune Response
GO Term: Mrf Binding -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Autophagy
GO Term: Negative Regulation Of Dna-Binding Transcription Factor Activity -> Biodomain: Epigenetic, DNA Repair, Apoptosis, Proteostasis, Cell Cycle
GO Term: Response To Peptide Hormone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Acetoacetic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Pentose-Phosphate Shunt -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Cell Cycle, Immune Response
GO Term: Regulation Of Cellular Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Proton-Transporting Atp Synthase Complex Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Regulation Of Atp-Dependent Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Generation Of Precursor Metabolites And Energy -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Regulation Of Carbohydrate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pigmentation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Pigment Metabolic Process Involved In Pigmentation -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Cellular Pigment Accumulation -> Biodomain: Oxidative Stress, Endolysosome, Autophagy, Immune Response, Lipid Metabolism
GO Term: Regulation Of Rna Splicing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Regulation Of Rna Stability -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Immune Response, Epigenetic
GO Term: Regulation Of Mrna Stability -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Rna Stabilization -> Biodomain: RNA Spliceosome, Endolysosome, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Malate-Aspartate Shuttle -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction -> Biodomain: Lipid Metabolism, Apoptosis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Membrane-Membrane Adaptor Activity -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Lipid Metabolism
GO Term: Skeletal Muscle Adaptation -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Skeletal Muscle Fiber Adaptation -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Mitochondrial Dna Repair -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Cenp-A Containing Nucleosome -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Positive Regulation Of Jun Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Jun Kinase Activity -> Biodomain: Apoptosis, Oxidative Stress, Immune Response, Proteostasis, Autophagy
GO Term: Activin A Complex -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization, Immune Response
GO Term: Inhibin A Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Epigenetic
GO Term: Inhibin B Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Structural Stabilization
GO Term: Interleukin-12 Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Kinetochore Binding -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Autophagy
GO Term: Regulation Of Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Myosin Ii Filament Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Leucine Zipper Domain Binding -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Regulation Of Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Neuron Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Neuron Apoptotic Process -> Biodomain: Apoptosis, Tau Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Trna Methyltransferase Complex -> Biodomain: Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Trna (M2G10) Methyltransferase Complex -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Get Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Apoptosis
GO Term: Adenosine 5'-Monophosphoramidase Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, DNA Repair, Epigenetic
GO Term: Adp Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Angiostatin Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: Inositol 1,3,4,5 Tetrakisphosphate Binding -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Synapse, Endolysosome, Autophagy
GO Term: Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Blood Vessel Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Immune Response, Lipid Metabolism
GO Term: Protein Serine/Threonine Kinase Activator Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Structural Stabilization
GO Term: 6-Phosphofructo-2-Kinase/Fructose-2,6-Biphosphatase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Udp-N-Acetylglucosamine Transferase Complex -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy
GO Term: Endothelial Cell Migration -> Biodomain: Vasculature, Cell Migration, Cell Motility, Cell Adhesion, Angiogenesis
GO Term: Molybdopterin Cofactor Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Molybdopterin Cofactor Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Gtpase Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Cell Cycle
GO Term: Phosphatidylinositol 3-Kinase Binding -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Regulation Of Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Oxidative Stress
GO Term: Regulation Of Lipid Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Regulation Of Translation In Response To Stress -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Immune Response
GO Term: Regulation Of Translational Initiation In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Insulin Binding -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, APP Metabolism, Epigenetic
GO Term: Insulin Receptor Substrate Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Cell Cycle
GO Term: Ku70:Ku80 Complex -> Biodomain: DNA Repair, Immune Response, Cell Cycle, Epigenetic, Apoptosis
