Running with TEMP=0.5, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Synapse, Tau Homeostasis
GO Term: U2-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, Tau Homeostasis, Proteostasis, Epigenetic, Synapse
GO Term: U1 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, APP Metabolism, Epigenetic
GO Term: U2 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, APP Metabolism, DNA Repair
GO Term: U4 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: U6 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: U12-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: U4Atac Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, APP Metabolism, Epigenetic
GO Term: U6Atac Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Tau Homeostasis
GO Term: U11 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: U12 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Chromosome -> Biodomain: Epigenetic, DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Telomerase Holoenzyme Complex -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Polytene Chromosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Chiasma -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Recombination Nodule -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Late Recombination Nodule -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Pericentric Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Apoptosis
GO Term: Perichromatin Fibrils -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Immune Response
GO Term: Nucleolus -> Biodomain: Proteostasis, APP Metabolism, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Nucleolus Organizer Region -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Mitochondrial Metabolism, Oxidative Stress
GO Term: Sno(S)Rna-Containing Ribonucleoprotein Complex -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Rna Polymerase I Complex -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Cell Cycle, Apoptosis
GO Term: Cytoplasm -> Biodomain: Proteostasis, Tau Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Mitochondrial Envelope -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Mitochondrial Outer Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Tim23 Mitochondrial Import Inner Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: M-Aaa Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Mitochondrial Permeability Transition Pore Complex -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Mitochondrial Intermembrane Space -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Gamma Dna Polymerase Complex -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Mitochondrial Ribosome -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Mitochondrial Large Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Mitochondrial Small Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Immune Response
GO Term: Lysosomal Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Secondary Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Endosome -> Biodomain: Endolysosome, APP Metabolism, Proteostasis, Autophagy, Immune Response
GO Term: Early Endosome -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Immune Response
GO Term: Late Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Multivesicular Body -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, APP Metabolism
GO Term: Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Vacuolar Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Vacuolar Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, APP Metabolism, Lipid Metabolism
GO Term: Autophagosome -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Peroxisome -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Peroxisomal Membrane -> Biodomain: Lipid Metabolism, Oxidative Stress, Structural Stabilization, Autophagy, Immune Response
GO Term: Peroxisomal Matrix -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Endoplasmic Reticulum -> Biodomain: Proteostasis, Apoptosis, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Sec61 Translocon Complex -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Lipid Metabolism, Apoptosis
GO Term: Signal Recognition Particle Receptor Complex -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Synapse, Autophagy
GO Term: Signal Recognition Particle, Endoplasmic Reticulum Targeting -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Signal Peptidase Complex -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Immune Response
GO Term: Endoplasmic Reticulum Lumen -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Oxidative Stress, Apoptosis
GO Term: Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, APP Metabolism, Oxidative Stress
GO Term: Smooth Endoplasmic Reticulum -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Rough Endoplasmic Reticulum -> Biodomain: APP Metabolism, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Endoplasmic Reticulum-Golgi Intermediate Compartment -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Golgi Apparatus -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Golgi Stack -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Golgi Lumen -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Tau Homeostasis, Lipid Metabolism
GO Term: Golgi Medial Cisterna -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Golgi-Associated Vesicle -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Cis-Golgi Network -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Trans-Golgi Network -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Lipid Droplet -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Centrosome -> Biodomain: Cell Cycle, Tau Homeostasis, Structural Stabilization, Synapse, DNA Repair
GO Term: Centriole -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Tau Homeostasis, Proteostasis
GO Term: Microtubule Organizing Center -> Biodomain: Tau Homeostasis, Structural Stabilization, Autophagy, Apoptosis, Synapse
GO Term: Aster -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Cell Cycle, Autophagy
GO Term: Spindle -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Tau Homeostasis, Proteostasis
GO Term: Actomyosin Contractile Ring -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Synapse
GO Term: Polar Microtubule -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Synapse, Apoptosis
GO Term: Kinetochore Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Tau Homeostasis, Autophagy
GO Term: Cytosol -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Tau Homeostasis
GO Term: Chaperonin-Containing T-Complex -> Biodomain: Proteostasis, Endolysosome, Apoptosis, Tau Homeostasis, Oxidative Stress
GO Term: Hemoglobin Complex -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Immune Response, Vasculature
GO Term: Heterotrimeric G-Protein Complex -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, APP Metabolism
GO Term: Proteasome Regulatory Particle -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Proteasome Core Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Tau Homeostasis, Apoptosis
GO Term: Ribosome -> Biodomain: Proteostasis, Synapse, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Nuclear Cap Binding Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Synapse
GO Term: Mrna Cleavage And Polyadenylation Specificity Factor Complex -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Tau Homeostasis, APP Metabolism
GO Term: Mrna Cleavage Stimulating Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, APP Metabolism, Epigenetic, DNA Repair
GO Term: Mrna Cleavage Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, APP Metabolism, Tau Homeostasis, Epigenetic
GO Term: Eukaryotic Translation Initiation Factor 2 Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Eukaryotic Translation Initiation Factor 2B Complex -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Synapse, Apoptosis
GO Term: Eukaryotic Translation Initiation Factor 3 Complex -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Endolysosome, APP Metabolism
Saved results to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.5/go_biodomain_results_part_5.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/04-AD_temp/Temp_0.5/runtime_log.csv
