Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Endolysosome, Immune Response
GO Term: U2-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: U1 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: U2 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: U4 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: U6 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Unknown
GO Term: U12-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, RNA Metabolism, Proteostasis, Epigenetic, DNA Repair
GO Term: U4Atac Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: U6Atac Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: U11 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: U12 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Unknown
GO Term: Chromosome -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Apoptosis
GO Term: Telomerase Holoenzyme Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Polytene Chromosome -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, Unknown
GO Term: Chiasma -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Synapse
GO Term: Recombination Nodule -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Unknown
GO Term: Late Recombination Nodule -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Unknown
GO Term: Pericentric Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Unknown
GO Term: Perichromatin Fibrils -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Cell Cycle, DNA Repair
GO Term: Nucleolus -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Unknown
GO Term: Nucleolus Organizer Region -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, Unknown
GO Term: Sno(S)Rna-Containing Ribonucleoprotein Complex -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Rna Polymerase I Complex -> Biodomain: Translation, Cell Cycle, Structural Stabilization, Epigenetic, RNA Spliceosome
GO Term: Cytoplasm -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Mitochondrial Envelope -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mitochondrial Outer Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Tim23 Mitochondrial Import Inner Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: M-Aaa Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Mitochondrial Permeability Transition Pore Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Mitochondrial Intermembrane Space -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Gamma Dna Polymerase Complex -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Mitochondrial Ribosome -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Mitochondrial Large Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Mitochondrial Small Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Structural Stabilization
GO Term: Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Lysosomal Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Secondary Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Early Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Late Endosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, APP Metabolism, Immune Response
GO Term: Multivesicular Body -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Vacuole -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Vacuolar Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Vacuolar Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Autophagosome -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Peroxisome -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Peroxisomal Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Peroxisomal Matrix -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Endoplasmic Reticulum -> Biodomain: Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Sec61 Translocon Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Structural Stabilization
GO Term: Signal Recognition Particle Receptor Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Signal Recognition Particle, Endoplasmic Reticulum Targeting -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Lipid Metabolism
GO Term: Signal Peptidase Complex -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Endoplasmic Reticulum Lumen -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Smooth Endoplasmic Reticulum -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Rough Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Endoplasmic Reticulum-Golgi Intermediate Compartment -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Golgi Apparatus -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Golgi Stack -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Golgi Lumen -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Golgi Medial Cisterna -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Golgi-Associated Vesicle -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Cis-Golgi Network -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Trans-Golgi Network -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Lipid Droplet -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Centriole -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Apoptosis, Proteostasis
GO Term: Microtubule Organizing Center -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Aster -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Unknown, Autophagy
GO Term: Spindle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Unknown
GO Term: Actomyosin Contractile Ring -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Polar Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Unknown
GO Term: Kinetochore Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Unknown
GO Term: Cytosol -> Biodomain: Proteostasis, Lipid Metabolism, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Chaperonin-Containing T-Complex -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Hemoglobin Complex -> Biodomain: Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Heterotrimeric G-Protein Complex -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Endolysosome
GO Term: Proteasome Regulatory Particle -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Proteasome Core Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Ribosome -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Nuclear Cap Binding Complex -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Mrna Cleavage And Polyadenylation Specificity Factor Complex -> Biodomain: RNA Spliceosome, Epigenetic, Unknown, Proteostasis, DNA Repair
GO Term: Mrna Cleavage Stimulating Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Mrna Cleavage Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Eukaryotic Translation Initiation Factor 2 Complex -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Autophagy, Unknown
GO Term: Eukaryotic Translation Initiation Factor 2B Complex -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Cell Cycle
GO Term: Eukaryotic Translation Initiation Factor 3 Complex -> Biodomain: Proteostasis, Unknown, Autophagy, Cell Cycle, Apoptosis
GO Term: Eukaryotic Translation Elongation Factor 1 Complex -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Autophagy, Unknown
GO Term: Nascent Polypeptide-Associated Complex -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Unknown
GO Term: Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome, Autophagy
GO Term: Axonemal Dynein Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Muscle Myosin Complex -> Biodomain: Structural Stabilization, Muscle Function, Proteostasis, Autophagy, Cell Cycle
GO Term: Troponin Complex -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Autophagy, Unknown
GO Term: Muscle Thin Filament Tropomyosin -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Striated Muscle Myosin Thick Filament -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Synapse
GO Term: Striated Muscle Thin Filament -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cytoplasmic Dynein Complex -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Dynactin Complex -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Autophagy
GO Term: Kinesin Complex -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Plus-End Kinesin Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Microtubule Associated Complex -> Biodomain: Structural Stabilization, Endolysosome, Cell Cycle, Proteostasis, Synapse
GO Term: Spindle Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, DNA Repair
GO Term: Axonemal Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Metal Binding and Homeostasis, Immune Response
GO Term: Nuclear Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Unknown
GO Term: Cytoplasmic Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Tau Homeostasis
GO Term: Intermediate Filament -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Neurofilament -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Tau Homeostasis
GO Term: Actin Filament -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Immune Response
GO Term: Arp2/3 Protein Complex -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Vasculature, Proteostasis
GO Term: Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Synapse, Immune Response
GO Term: Potassium:Proton Exchanging Atpase Complex -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Endolysosome
GO Term: Sodium:Potassium-Exchanging Atpase Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Voltage-Gated Calcium Channel Complex -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress
GO Term: Acetylcholine-Gated Channel Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Interleukin-2 Receptor Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Interleukin-5 Receptor Complex -> Biodomain: Immune Response, Cellular Response, Inflammatory Response, Signal Transduction, Cell Surface Receptor
GO Term: Interleukin-6 Receptor Complex -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Interleukin-13 Receptor Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Insulin Receptor Complex -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Oncostatin-M Receptor Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Caveola -> Biodomain: Endolysosome, Vasculature, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Microvillus -> Biodomain: Structural Stabilization, Lipid Metabolism, Endolysosome, Proteostasis, Immune Response
GO Term: Brush Border -> Biodomain: Structural Stabilization, Lipid Metabolism, Endolysosome, Proteostasis, Vasculature
GO Term: Clathrin-Coated Pit -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Cell-Cell Junction -> Biodomain: Structural Stabilization, Synapse, Vasculature, Endolysosome, Immune Response
GO Term: Adherens Junction -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Cell Cycle
GO Term: Spot Adherens Junction -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Vasculature
GO Term: Zonula Adherens -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Proteostasis
GO Term: Fascia Adherens -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, APP Metabolism
GO Term: Gap Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Cell Cycle
GO Term: Connexin Complex -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Proteostasis
GO Term: Bicellular Tight Junction -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Proteostasis, Unknown
GO Term: Focal Adhesion -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Muscle Tendon Junction -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Lipid Metabolism, Unknown
GO Term: Cilium -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Vasculature, Proteostasis
GO Term: Axoneme -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Cell Cortex -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Lipid Metabolism
GO Term: Septin Ring -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Phosphatidylinositol 3-Kinase Complex -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Phosphatidylinositol 3-Kinase Complex, Class Ia -> Biodomain: Lipid Metabolism, Immune Response, Autophagy, Cell Cycle, Apoptosis
GO Term: Phosphatidylinositol 3-Kinase Complex, Class Ib -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: 6-Phosphofructokinase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Acetolactate Synthase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Camp-Dependent Protein Kinase Complex -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Caax-Protein Geranylgeranyltransferase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism
GO Term: Calcium- And Calmodulin-Dependent Protein Kinase Complex -> Biodomain: Proteostasis, Synapse, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Calcineurin Complex -> Biodomain: Immune Response, Synapse, Metal Binding and Homeostasis, Proteostasis, Vasculature
GO Term: Protein Kinase Ck2 Complex -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair
GO Term: Dna-Dependent Protein Kinase-Dna Ligase 4 Complex -> Biodomain: DNA Repair, Immune Response, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Glycine Cleavage Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Unknown
GO Term: Phosphorylase Kinase Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Protein Farnesyltransferase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Rab-Protein Geranylgeranyltransferase Complex -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Synapse
GO Term: Ribonucleoside-Diphosphate Reductase Complex -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Carbohydrate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Polysaccharide Metabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Immune Response
GO Term: Glycogen Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glycogen Biosynthetic Process -> Biodomain: Carbohydrate Metabolism,Synapse,Myelination,Vasculature,Lipid Metabolism
GO Term: Regulation Of Glycogen Biosynthetic Process -> Biodomain: Lipid Metabolism, Unknown, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Glycogen Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Glycogen Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Starch Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis, Unknown
GO Term: Disaccharide Metabolic Process -> Biodomain: Carbohydrate Metabolism, Energy Metabolism, Mitochondrial Metabolism, Glycan Metabolism, Lipid Metabolism
GO Term: Sucrose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Sucrose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lactose Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Unknown
GO Term: Lactose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Trehalose Metabolic Process -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Trehalose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Monosaccharide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Xylulose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Xylulose Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Unknown, Autophagy
GO Term: Fructose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Fructose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Unknown
GO Term: Fructose 6-Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Fructose 2,6-Bisphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Cell Cycle, Proteostasis
GO Term: Fucose Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Glucose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Glucose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Udp-Alpha-D-Glucose Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Galactose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Mannose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Structural Stabilization, Immune Response
GO Term: D-Ribose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: 5-Phosphoribose 1-Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle
GO Term: Inositol Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Inositol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Cell Cycle
GO Term: Glycosaminoglycan Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Immune Response, Vasculature, Proteostasis
GO Term: Glycosaminoglycan Catabolic Process -> Biodomain: Endolysosome, Autophagy, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Proteoglycan Metabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: Chitin Metabolic Process -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Immune Response, Proteostasis
GO Term: Chitin Catabolic Process -> Biodomain: Immune Response, Endolysosome, Autophagy, Structural Stabilization, Proteostasis
GO Term: Amino Sugar Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Immune Response
GO Term: Glucosamine Metabolic Process -> Biodomain: Glycosylation, Epigenetic, Carbohydrate Metabolism, Lipid Metabolism, Endolysosome
GO Term: Glucosamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Immune Response, Lipid Metabolism, Autophagy
GO Term: N-Acetylglucosamine Metabolic Process -> Biodomain: Glycosylation, Carbohydrate Metabolism, Proteostasis, Lipid Metabolism, Immune Response
GO Term: N-Acetylglucosamine Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Unknown
GO Term: N-Acetylglucosamine Catabolic Process -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Udp-N-Acetylglucosamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Autophagy
GO Term: Udp-N-Acetylglucosamine Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Epigenetic, Autophagy
GO Term: Udp-N-Acetylglucosamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: N-Acetylmannosamine Metabolic Process -> Biodomain: Lipid Metabolism, Unknown, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: N-Acetylneuraminate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Proteostasis, Autophagy
GO Term: Cmp-N-Acetylneuraminate Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Endolysosome, Synapse
GO Term: Mannoprotein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Sorbitol Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
