Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 10000 to 10999
GO Term: Omega-6 Fatty Acid Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Ether Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Glycerolipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glyoxylate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome
GO Term: Phosphatidylinositol Metabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Cell Cycle
GO Term: Isopentenyl Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: L-Methylmalonyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nicotinamide Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: S-Adenosylhomocysteine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: S-Adenosylmethioninamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: S-Adenosylmethionine Metabolic Process -> Biodomain: Epigenetic, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Protoporphyrinogen Ix Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Sphinganine Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Sphingosine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Ceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Ceramide Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Sphingoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Sphingoid Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: S-Methyl-5-Thioribose-1-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Xylosylprotein 4-Beta-Galactosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Lipid Metabolism, Immune Response
GO Term: D-Xylulose Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Photoreceptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Photoreceptor Cell Differentiation -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Proteostasis, Autophagy
GO Term: Dosage Compensation Complex -> Biodomain: Epigenetic, Structural Stabilization, RNA Spliceosome, Proteostasis, DNA Repair
GO Term: Histamine N-Methyltransferase Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Lipid Metabolism, Epigenetic
GO Term: U4/U6 X U5 Tri-Snrnp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: Saliva Secretion -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Development Of Secondary Female Sexual Characteristics -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Development Of Secondary Male Sexual Characteristics -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Development Of Primary Female Sexual Characteristics -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Apoptosis, Structural Stabilization
GO Term: Development Of Primary Male Sexual Characteristics -> Biodomain: Reproductive System, Endocrine, Developmental Processes, Cell Differentiation, Organogenesis
GO Term: Retinal Rod Cell Development -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Synapse, Proteostasis, Oxidative Stress
GO Term: Retinal Cone Cell Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Immune Response
GO Term: L-Malate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Alpha-L-Arabinofuranosidase Activity -> Biodomain: Endolysosome, Autophagy, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Methylthioribulose 1-Phosphate Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Long-Chain-Alcohol Oxidase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Regulation Of Ras Protein Signal Transduction -> Biodomain: Signal Transduction, Cell Cycle, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Ras Protein Signal Transduction -> Biodomain: Cell Cycle, Apoptosis, Oxidative Stress, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Ras Protein Signal Transduction -> Biodomain: Proteostasis, Endolysosome, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Intercellular Canaliculus -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Calcium-Dependent Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response
GO Term: Negative Regulation Of Calcium-Dependent Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Apoptosis
GO Term: Polyamine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Viral Entry Into Host Cell -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Host-Mediated Suppression Of Symbiont Invasion -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Viral Entry Into Host Cell -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Centriole Replication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Negative Regulation Of Centriole Replication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Positive Regulation Of Centriole Replication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Apoptosis
GO Term: Regulation Of Mitotic Centrosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Negative Regulation Of Mitotic Centrosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Positive Regulation Of Mitotic Centrosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Centrosome Cycle -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Lysosomal Proton-Transporting V-Type Atpase Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Xenobiotic Export From Cell -> Biodomain: Proteostasis, Endolysosome, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: Lens Placode Formation Involved In Camera-Type Eye Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, RNA Spliceosome
GO Term: Regulation Of Organ Growth -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Organ Growth -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Organ Growth -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Sphingolipid Floppase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Apoptosis, Proteostasis
GO Term: Sphingolipid Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Sphingolipid Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Insulin Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Insulin Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Insulin Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Gamma-Delta T Cell Activation -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: Gamma-Delta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, DNA Repair, Mitochondrial Metabolism
GO Term: Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Epigenetic
GO Term: Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Synapse, Autophagy
GO Term: Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Synapse
GO Term: Regulation Of Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Epigenetic
GO Term: Negative Regulation Of Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Alpha-Beta T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Cell Cycle
GO Term: Positive Regulation Of Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Gamma-Delta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Lymphocyte Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Lymphocyte Proliferation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Tetrahydrofolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Lipid Metabolism
GO Term: Tetrahydrofolate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Oxidative Stress, Cell Cycle
GO Term: Folic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Folic Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Digestive Hormone Activity -> Biodomain: Lipid Metabolism, Epigenetic, Vasculature, Immune Response, Autophagy
GO Term: Male Sex Differentiation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Retinal Cell Programmed Cell Death -> Biodomain: Apoptosis, Cell Cycle, Oxidative Stress, Structural Stabilization, Endolysosome
GO Term: Regulation Of Retinal Cell Programmed Cell Death -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Retinal Cell Programmed Cell Death -> Biodomain: Apoptosis, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Insulin Secretion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Response To Antibiotic -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Response To Ddt -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Lipid Metabolism, Proteostasis
GO Term: Response To Pyrethroid -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Response To Arsenic-Containing Substance -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Response To Cadmium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Response To Copper Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Response To Mercury Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy
GO Term: Intracellular Canaliculus -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Vasculature, Metal Binding and Homeostasis, Proteostasis
GO Term: Slik (Saga-Like) Complex -> Biodomain: Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lipopolysaccharide Receptor Complex -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Decidualization -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Natural Killer Cell Lectin-Like Receptor Binding -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Endolysosome
GO Term: Cdp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Gdp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Epigenetic, Autophagy
GO Term: Gdp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Gdp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Autophagy, Proteostasis
GO Term: Borate Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Active Borate Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Muscle Cell Cellular Homeostasis -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Acid Secretion -> Biodomain: Endolysosome, Autophagy, Immune Response, Vasculature, Structural Stabilization
GO Term: Symbiont Entry Into Host Cell -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Citric Acid Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Lactic Acid Secretion -> Biodomain: Mitochondrial Metabolism, Immune Response, Vasculature, Oxidative Stress, Autophagy
GO Term: Oxalic Acid Secretion -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Negative Regulation By Virus Of Viral Protein Levels In Host Cell -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Positive Regulation By Virus Of Viral Protein Levels In Host Cell -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Viral Exocytosis -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Viral Budding -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Viral Budding From Plasma Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Vasculature, Immune Response
GO Term: Protein Autophosphorylation -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Apoptosis, Autophagy
GO Term: Regulation Of Viral Transcription -> Biodomain: Immune Response, Apoptosis, Epigenetic, DNA Repair, Proteostasis
GO Term: Microtubule Polymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Autophagy
GO Term: Host Cell Surface Receptor Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Virion Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Histone Deacetylase Inhibitor Activity -> Biodomain: Epigenetic, DNA Repair, Apoptosis, Cell Cycle, Proteostasis
GO Term: Receptor-Mediated Virion Attachment To Host Cell -> Biodomain: Immune Response, Endolysosome, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Coreceptor-Mediated Virion Attachment To Host Cell -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Synapse
GO Term: Chemokine Receptor Antagonist Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Regulation Of Nucleocytoplasmic Transport -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Nucleocytoplasmic Transport -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, DNA Repair, Cell Cycle
GO Term: Regulation Of Protein Export From Nucleus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Protein Export From Nucleus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Autophagy, Apoptosis
GO Term: Positive Regulation Of Protein Export From Nucleus -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Autophagy, Structural Stabilization
GO Term: Regulation Of Rna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Negative Regulation Of Rna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Positive Regulation Of Rna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Lipid Phosphorylation -> Biodomain: Lipid Metabolism, Endolysosome, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Carbohydrate Phosphorylation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glycolipid Transport -> Biodomain: Lipid Metabolism, Endolysosome, Myelination, Structural Stabilization, Synapse
GO Term: Phospholipid Dephosphorylation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Myelination
GO Term: Filopodium Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Immune Response, Vasculature
GO Term: Hydroxyapatite Binding -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Bone Remodeling -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Apoptosis, Mitochondrial Metabolism, Vasculature
GO Term: Regulation Of Bone Remodeling -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Apoptosis, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Bone Remodeling -> Biodomain: Structural Stabilization, Immune Response, Apoptosis, Endolysosome, Metal Binding and Homeostasis
GO Term: Phosphatidylinositol Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Phosphatidylinositol Dephosphorylation -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Synapse, Proteostasis
GO Term: Terpenoid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Cadmium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Metal Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Metal Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Quinolinate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Synapse
GO Term: Ephrin Receptor Binding -> Biodomain: Synapse, Vasculature, Structural Stabilization, Cell Cycle, Myelination
GO Term: Regulation Of Saliva Secretion -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Saliva Secretion -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Hormone Secretion -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Synapse, Cell Cycle
GO Term: Regulation Of Follicle-Stimulating Hormone Secretion -> Biodomain: Endocrine Processes, Hormone Regulation, Reproductive Processes, Regulation of Secretion, Cell Communication
GO Term: Positive Regulation Of Follicle-Stimulating Hormone Secretion -> Biodomain: Epigenetic, Cell Cycle, Synapse, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Follicle-Stimulating Hormone Secretion -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Regulation Of Hormone Secretion -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Endolysosome
GO Term: Follicle-Stimulating Hormone Secretion -> Biodomain: Proteostasis, Mitochondrial Metabolism, Vasculature, Synapse, Lipid Metabolism
GO Term: Regulation Of Hormone Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Hormone Biosynthetic Process -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Apoptosis, Immune Response
GO Term: Positive Regulation Of Hormone Secretion -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Apoptosis, Immune Response
GO Term: Negative Regulation Of Hormone Secretion -> Biodomain: Vasculature, Immune Response, Endolysosome, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Autophagy, Myelination
GO Term: Regulation Of Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Myelination
GO Term: Response To Cycloheximide -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Nucleoside Triphosphate Adenylate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Tetrahydrofolylpolyglutamate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Tetrahydrofolylpolyglutamate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Cell Cycle, DNA Repair
GO Term: Regulation Of Mitochondrial Membrane Permeability -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Secretion -> Biodomain: Immune Response, Synapse, Proteostasis, APP Metabolism, Lipid Metabolism
GO Term: Calcium Oxalate Binding -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Tetrapyrrole Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Intracellular Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Metal Chelating Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Acyltransferase Activity, Acyl Groups Converted Into Alkyl On Transfer -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Transition Metal Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Tau Homeostasis, Endolysosome
GO Term: Transition Metal Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Alpha-(1->3)-Fucosyltransferase Activity -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Vasculature
GO Term: Alpha-(1->6)-Fucosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, APP Metabolism, Structural Stabilization
GO Term: Peptide-O-Fucosyltransferase Activity -> Biodomain: Proteostasis, Vasculature, Immune Response, Structural Stabilization, Endolysosome
GO Term: Er Retention Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Pore Complex -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Pore Complex Assembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Proton-Transporting Atp Synthase Activity, Rotational Mechanism -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: 1-Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Activity -> Biodomain: Lipid Metabolism, Cell Cycle, Immune Response, Endolysosome, Apoptosis
GO Term: 1-Phosphatidylinositol-3-Kinase Regulator Activity -> Biodomain: Lipid Metabolism, Autophagy, Immune Response, Oxidative Stress, Proteostasis
GO Term: 2'-Deoxyadenosine Deaminase Activity -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Epigenetic, Apoptosis, Autophagy
GO Term: Nucleoside Monophosphate Phosphorylation -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Carboxylic Acid Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress
