Running with TEMP=0.0, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Synapse, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Oligodendrocyte Cell Fate Commitment -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Glial Cell Fate Specification -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Endolysosome
GO Term: Glial Cell Fate Commitment -> Biodomain: Synapse, Myelination, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Glial Cell Development -> Biodomain: Synapse, Myelination, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Postganglionic Parasympathetic Fiber Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Immune Response
GO Term: Branchiomotor Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Chemorepulsion Of Branchiomotor Axon -> Biodomain: Synapse, Neuron Development, Developmental Process, Cellular Response to Chemical, Cell Projection Organization
GO Term: Thalamus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Epigenetic
GO Term: Cerebral Cortex Cell Migration -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Cerebral Cortex Regionalization -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Autophagy
GO Term: Forebrain Anterior/Posterior Pattern Specification -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Forebrain Dorsal/Ventral Pattern Formation -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Cell Cycle, Autophagy
GO Term: Cerebral Cortex Radially Oriented Cell Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Cerebral Cortex Tangential Migration -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Autophagy
GO Term: Cerebral Cortex Radial Glia-Guided Migration -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Neuronal-Glial Interaction Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Cell-Cell Adhesion Involved In Neuronal-Glial Interactions Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Extension Of A Leading Process Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Nucleokinesis Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Neurodevelopment, Glial Cells, Cytoskeleton Organization, Intracellular Transport, Brain Development
GO Term: Layer Formation In Cerebral Cortex -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Negative Regulation Of Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Myelination
GO Term: Gonadotrophin-Releasing Hormone Neuronal Migration To The Hypothalamus -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Chemorepulsion Involved In Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Cell Cycle, Autophagy, Epigenetic, Structural Stabilization
GO Term: Chemorepulsion Involved In Postnatal Olfactory Bulb Interneuron Migration -> Biodomain: Synapse, Neurogenesis, Neuronal Differentiation, Cell Migration, Developmental Processes
GO Term: Chemorepulsion Involved In Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair
GO Term: Cell Proliferation In Forebrain -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Epigenetic
GO Term: Ventricular Zone Neuroblast Division -> Biodomain: Cell Cycle, Epigenetic, Synapse, Structural Stabilization, Autophagy
GO Term: Neuroblast Division In Subventricular Zone -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Pyramidal Neuron Migration To Cerebral Cortex -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Cerebral Cortex Gabaergic Interneuron Migration -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Endolysosome
GO Term: Hypothalamus Development -> Biodomain: Synapse, Structural Stabilization, Autophagy, Epigenetic, Cell Cycle
GO Term: Hypothalamus Cell Migration -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Immune Response, Epigenetic
GO Term: Gabaergic Neuron Differentiation In Basal Ganglia -> Biodomain: Synapse, Structural Stabilization, Autophagy, Epigenetic, Cell Cycle
GO Term: Pyramidal Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Pyramidal Neuron Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Forebrain Radial Glial Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Forebrain Ventricular Zone Progenitor Cell Division -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Myelination, Epigenetic
GO Term: Cajal-Retzius Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Forebrain Regionalization -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Forebrain Generation Of Neurons -> Biodomain: Synapse, Cell Cycle, Developmental Process, Structural Stabilization, Proteostasis
GO Term: Forebrain Neuroblast Division -> Biodomain: Synapse, Developmental, Cell Cycle, Stem Cells, Cognition
GO Term: Wnt Signaling Pathway Involved In Forebrain Neuroblast Division -> Biodomain: Synapse, Epigenetic, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Epigenetic, Cell Cycle, Cell Differentiation, Structural Stabilization
GO Term: Forebrain Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Forebrain Neuron Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Forebrain Cell Migration -> Biodomain: Synapse, Structural Stabilization, Neurodevelopment, Autophagy, Epigenetic
GO Term: Hypothalamus Gonadotrophin-Releasing Hormone Neuron Development -> Biodomain: Synapse, Endolysosome, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Olfactory Bulb Interneuron Differentiation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Myelination, Epigenetic
GO Term: Olfactory Bulb Interneuron Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Cerebral Cortex Gabaergic Interneuron Differentiation -> Biodomain: Synapse, Cellular Differentiation, Neuronal Signaling, Neuronal Development, Neurotransmitter Systems
GO Term: Cerebral Cortex Gabaergic Interneuron Fate Commitment -> Biodomain: Synapse, Cell Cycle, Epigenetic, Structural Stabilization, Myelination
GO Term: Cerebral Cortex Gabaergic Interneuron Development -> Biodomain: Synapse, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Cerebral Cortex Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Differentiation, Proteostasis, Autophagy
GO Term: Forebrain Astrocyte Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Cell Cycle
GO Term: Commitment Of Neuronal Cell To Specific Neuron Type In Forebrain -> Biodomain: Synapse, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Rostrocaudal Neural Tube Patterning -> Biodomain: Structural Stabilization, Myelination, Epigenetic, Cell Cycle, Synapse
GO Term: Dorsal/Ventral Neural Tube Patterning -> Biodomain: Synapse, Nervous System Development, Developmental Biology, Cell Differentiation, Anatomical Structure Morphogenesis
GO Term: Forebrain-Midbrain Boundary Formation -> Biodomain: Structural Stabilization, Epigenetic, Synapse, Proteostasis, Cell Cycle
GO Term: Neural Tube Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair
GO Term: Cell Proliferation In External Granule Layer -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Myelination, Epigenetic
GO Term: Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Radial Glia Guided Migration Of Cerebellar Granule Cell -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Epigenetic
GO Term: Hindbrain Tangential Cell Migration -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Myelination, Cell Cycle
GO Term: Cerebellar Granule Cell Precursor Tangential Migration -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Developmental Process, Neural Stem Cells, Cell Cycle, Neurogenesis
GO Term: Cerebellar Purkinje Cell-Granule Cell Precursor Cell Signaling -> Biodomain: Synapse, Cell Communication, Neurodevelopment, Structural Stabilization, Neuronal Signaling
GO Term: Positive Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Cerebellar Granule Cell Precursor Proliferation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Radial Glia Guided Migration Of Purkinje Cell -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Formation Of Radial Glial Scaffolds -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
Saved results to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.0/go_biodomain_results_part_12.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.0/runtime_log.csv
