Running with TEMP=0.1, sub_array_index=15
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Sphingolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Structural Stabilization
GO Term: Intracellular Sphingolipid Homeostasis -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Endoplasmic Reticulum Membrane Organization -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Golgi To Lysosome Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, APP Metabolism, Lipid Metabolism
GO Term: Golgi Ribbon Formation -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Cell Cycle, Endolysosome
GO Term: Establishment Of Epithelial Cell Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Asymmetric Golgi Ribbon Formation -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Golgi Disassembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Lipid Metabolism
GO Term: Golgi Reassembly -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Regulation Of Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Golgi Inheritance -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Organelle Membrane Fusion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Establishment Of Planar Polarity -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Microtubule Cytoskeleton Organization Involved In Establishment Of Planar Polarity -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Cell Cycle, Autophagy
GO Term: Establishment Of Planar Polarity Involved In Neural Tube Closure -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Establishment Of Planar Polarity Involved In Neural Tube Closure -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Regulation Of Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Kidney Development -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Kidney Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Positive Regulation Of Pancreatic Juice Secretion -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Pancreatic Juice Secretion -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Epigenetic, Vasculature
GO Term: Regulation Of Branching Involved In Ureteric Bud Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Branching Involved In Ureteric Bud Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Negative Regulation Of Branching Involved In Ureteric Bud Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Glomerulus Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Autophagy
GO Term: Negative Regulation Of Glomerulus Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Apoptosis, Immune Response
GO Term: Regulation Of Release Of Cytochrome C From Mitochondria -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Positive Regulation Of Release Of Cytochrome C From Mitochondria -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Release Of Cytochrome C From Mitochondria -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Protein Localization To Nuclear Pore -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair
GO Term: Positive Regulation Of Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Structural Stabilization, Endolysosome
GO Term: Regulation Of Triglyceride Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Triglyceride Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Triglyceride Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Regulation Of Establishment Of Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Negative Regulation Of Establishment Of Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Lipid Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Chromosome Localization To Nuclear Envelope Involved In Homologous Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Centrosome-Templated Microtubule Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Tau Homeostasis
GO Term: Regulation Of Centromere Complex Assembly -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Regulation Of Kinetochore Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Regulation Of Metaphase Plate Congression -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, DNA Repair
GO Term: Regulation Of Arachidonate Secretion -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Proteostasis
GO Term: Positive Regulation Of Arachidonate Secretion -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Endolysosome
GO Term: Wnt Signaling Pathway Involved In Somitogenesis -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Axis Elongation Involved In Somitogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, RNA Spliceosome, Autophagy
GO Term: Convergent Extension Involved In Somitogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Cell Migration Involved In Somitogenic Axis Elongation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Protein Localization Involved In Establishment Of Planar Polarity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Regulation Of Muscle System Process -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Retinal Ganglion Cell Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Negative Regulation Of Retinal Ganglion Cell Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Inclusion Body Assembly -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Regulation Of Transcription-Coupled Nucleotide-Excision Repair -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Canonical Wnt Signaling Pathway -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Regulation Of Immune Complex Clearance By Monocytes And Macrophages -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Immune Complex Clearance By Monocytes And Macrophages -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, DNA Repair, Proteostasis
GO Term: Positive Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Fibroblast Growth Factor Production -> Biodomain: Vasculature, Cell Cycle, Immune Response, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Fibroblast Growth Factor Production -> Biodomain: Immune Response, Vasculature, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Somatostatin Secretion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Vasculature
GO Term: Negative Regulation Of Somatostatin Secretion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Regulation Of Peptide Hormone Secretion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Oxidative Stress
GO Term: Positive Regulation Of Peptide Hormone Secretion -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Regulation Of Calcium Ion Import -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Calcium Ion Import -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Calcium Ion Import -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Regulation Of Cellular Response To Growth Factor Stimulus -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Cellular Response To Growth Factor Stimulus -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Epigenetic, Autophagy
GO Term: Positive Regulation Of Osteoclast Proliferation -> Biodomain: Immune Response, Cell Cycle, Oxidative Stress, Mitochondrial Metabolism, Epigenetic
GO Term: Negative Regulation Of Osteoclast Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Nuclear Matrix Anchoring At Nuclear Membrane -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair, Proteostasis
GO Term: Regulation Of Mitochondrial Dna Replication -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Mitochondrial Dna Replication -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mitochondrial Dna Replication -> Biodomain: Mitochondrial Metabolism, Apoptosis, Autophagy, Cell Cycle, DNA Repair
GO Term: Negative Regulation Of Neural Crest Formation -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Wound Healing -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Nucleic Acid Metabolic Process -> Biodomain: DNA Repair, RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy
GO Term: Meiotic Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Mitotic Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Negative Regulation Of Dna Methylation-Dependent Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Regulation Of Protein Deacetylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Protein Deacetylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Regulation Of Protein Targeting To Membrane -> Biodomain: Proteostasis, Membrane Biology, Protein Processing, Structural Stabilization, Vesicle Trafficking
GO Term: Positive Regulation Of Protein Targeting To Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Protein Targeting To Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Synapse
GO Term: Positive Regulation Of Intracellular Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Intracellular Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Synapse
GO Term: Regulation Of Chylomicron Remodeling -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Chylomicron Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Chylomicron Remnant Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Autophagy
GO Term: Regulation Of Superoxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Oxidative Phosphorylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Metal Binding and Homeostasis
GO Term: Regulation Of Locomotion Involved In Locomotory Behavior -> Biodomain: Synapse, Myelination, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Locomotion Involved In Locomotory Behavior -> Biodomain: Synapse, Myelination, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Negative Regulation Of Locomotion Involved In Locomotory Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Platelet Aggregation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Platelet Aggregation -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Regulation Of Brown Fat Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Brown Fat Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Secretion Of Lysosomal Enzymes -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Secretion Of Lysosomal Enzymes -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Organofluorine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Organofluorine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Regulation Of Platelet-Derived Growth Factor Production -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Epigenetic
GO Term: Positive Regulation Of Platelet-Derived Growth Factor Production -> Biodomain: Vasculature, Immune Response, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Regulation Of Proteasome Assembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Cell Cycle
GO Term: Negative Regulation Of Mrna Modification -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Cell Cycle
GO Term: Regulation Of Ornithine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Cholesterol Efflux -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization, Endolysosome
GO Term: Phagosome Maturation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Phagosome Acidification -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Phagosome-Lysosome Docking -> Biodomain: Endolysosome, Immune Response, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Phagosome-Lysosome Fusion -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Phagosome-Lysosome Fusion Involved In Apoptotic Cell Clearance -> Biodomain: Apoptosis, Endolysosome, Autophagy, Proteostasis, Immune Response
GO Term: Negative Regulation Of Excitatory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Cellular Senescence -> Biodomain: Cell Cycle, DNA Repair, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Replicative Senescence -> Biodomain: Cell Cycle, DNA Repair, Oxidative Stress, Epigenetic, Apoptosis
GO Term: Stress-Induced Premature Senescence -> Biodomain: Oxidative Stress, Apoptosis, DNA Repair, Proteostasis, Cell Cycle
GO Term: Oncogene-Induced Cell Senescence -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Oxidative Stress
GO Term: Oxidative Stress-Induced Premature Senescence -> Biodomain: Oxidative Stress, Cell Cycle, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Organophosphate Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Malonyl-Coa Synthetase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Autophagy, Proteostasis
GO Term: Malonate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nicotinate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Thiamine Pyrophosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Acinar Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Activation Of Meiosis -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Palmitoyl-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Oleoyl-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Protein Localization To Nuclear Envelope -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair
GO Term: Far/Sin/Stripak Complex -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Apoptosis, DNA Repair
GO Term: Intracellular Aspartate Homeostasis -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Intracellular Glutamate Homeostasis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Dibasic Protein Processing -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Synapse
GO Term: Pyrimidine Nucleotide-Sugar Transmembrane Transport -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Vitamin Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Metal Binding and Homeostasis
GO Term: Small Rna 2'-O-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Catecholamine Uptake -> Biodomain: Synapse, Neurotransmission, Membrane Trafficking, Signal Transduction, Endocytosis
GO Term: Dopamine Uptake -> Biodomain: Synapse, Proteostasis, Endolysosome, Epigenetic, Lipid Metabolism
GO Term: Mesenchymal Cell Migration -> Biodomain: Structural Stabilization, Cytoskeleton Regulation, Extracellular Matrix Organization, Cell Adhesion, Cell Motility
GO Term: Extrinsic Component Of Golgi Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Endocardial Cushion To Mesenchymal Transition -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Epigenetic
GO Term: Sphingolipid Mediated Signaling Pathway -> Biodomain: Lipid Metabolism, Apoptosis, Oxidative Stress, DNA Repair, Proteostasis
GO Term: Podocyte Cell Migration -> Biodomain: Cell Motility, Cell Adhesion, Vasculature, Structural Stabilization, Proteostasis
GO Term: Vesicle Tethering Involved In Exocytosis -> Biodomain: Synapse, Proteostasis, Immune Response, Lipid Metabolism, Myelination
GO Term: Cation-Transporting Atpase Complex -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Calcium Ion-Transporting Atpase Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Wich Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Norc Complex -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, DNA Repair, Autophagy
GO Term: Cerf Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Mit Domain Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization
GO Term: Flemming Body -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Phosphatidylcholine Floppase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Phosphatidylethanolamine Flippase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Structural Stabilization, Autophagy
GO Term: Phosphatidylserine Floppase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Establishment Of Endothelial Intestinal Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Membrane Permeability -> Biodomain: Structural Stabilization, Endolysosome, Vasculature, Lipid Metabolism, Proteostasis
GO Term: 2-(3-Amino-3-Carboxypropyl)Histidine Synthase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, Cell Cycle
GO Term: Rna Polymerase Ii Transcription Repressor Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Rna Polymerase Ii Transcription Regulator Complex -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Phosphodiesterase Activity, Acting On 3'-Phosphoglycolate-Terminated Dna Strands -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Inflammatory Response To Wounding -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Sensory Organ Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Epigenetic, Myelination
GO Term: Alpha-Glucosidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Ubiquitin-Independent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Mitochondrial Mrna Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Mitochondrial Mrna 3'-End Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Meiotic Spindle Pole -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Endoribonuclease Activity, Cleaving Mirna-Paired Mrna -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Sirna-Mediated Gene Silencing By Mrna Destabilization -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Activation Of Gtpase Activity -> Biodomain: Synapse, Endolysosome, Autophagy, Cell Cycle, Immune Response
GO Term: Outer Dense Plaque Of Desmosome -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Inner Dense Plaque Of Desmosome -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Cell Cycle
GO Term: Mitochondrial Trna Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Response To Environmental Enrichment -> Biodomain: Synapse, Epigenetic, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Response To Oxygen-Glucose Deprivation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Autophagy, Proteostasis
GO Term: Cellular Response To Oxygen-Glucose Deprivation -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Apical Cytoplasm -> Biodomain: Structural Stabilization, Autophagy, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Double-Stranded/Single-Stranded Junction Telomeric Dna Binding -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: T-Circle Formation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Telomeric Loop Disassembly -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Cone Matrix Sheath -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Walking Behavior -> Biodomain: Synapse, Myelination, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cerebrospinal Fluid Circulation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Box H/Aca Telomerase Rnp Complex -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Proteostasis, Cell Cycle
GO Term: Galanin-Activated Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Scarna Localization To Cajal Body -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Telomerase Rna Stabilization -> Biodomain: Structural Stabilization, DNA Repair, Cell Cycle, Epigenetic, RNA Spliceosome
GO Term: Telomerase Rna Localization To Cajal Body -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, DNA Repair
