Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Tau Homeostasis
GO Term: U6Atac Snrnp -> Biodomain: RNA Spliceosome, Synapse, Epigenetic, Proteostasis, Cell Cycle
GO Term: U11 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Synapse, Cell Cycle
GO Term: U12 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Synapse, Cell Cycle
GO Term: Chromosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Telomerase Holoenzyme Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Synapse
GO Term: Polytene Chromosome -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, DNA Repair, RNA Spliceosome
GO Term: Chiasma -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Synapse
GO Term: Recombination Nodule -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Late Recombination Nodule -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Pericentric Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Synapse
GO Term: Perichromatin Fibrils -> Biodomain: Epigenetic,RNA Spliceosome,DNA Repair,Proteostasis,Autophagy
GO Term: Nucleolus -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Nucleolus Organizer Region -> Biodomain: Epigenetic, Proteostasis, Synapse, RNA Spliceosome, DNA Repair
GO Term: Sno(S)Rna-Containing Ribonucleoprotein Complex -> Biodomain: Synapse, Epigenetic, RNA Spliceosome, Proteostasis, Structural Stabilization
GO Term: Rna Polymerase I Complex -> Biodomain: Synapse, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Cytoplasm -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Autophagy, Endolysosome
GO Term: Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Mitochondrial Envelope -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Mitochondrial Outer Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse, Autophagy
GO Term: Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Tim23 Mitochondrial Import Inner Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, Autophagy
GO Term: M-Aaa Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Mitochondrial Permeability Transition Pore Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Synapse
GO Term: Mitochondrial Intermembrane Space -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Gamma Dna Polymerase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Proteostasis, Apoptosis
GO Term: Mitochondrial Ribosome -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mitochondrial Large Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Mitochondrial Small Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Lipid Metabolism
GO Term: Lysosomal Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Lipid Metabolism
GO Term: Secondary Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Lipid Metabolism
GO Term: Endosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, APP Metabolism
GO Term: Early Endosome -> Biodomain: Endolysosome, Autophagy, Synapse, Proteostasis, Oxidative Stress
GO Term: Late Endosome -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, Vasculature
GO Term: Multivesicular Body -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, APP Metabolism
GO Term: Vacuole -> Biodomain: Endolysosome, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Vacuolar Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Lipid Metabolism
GO Term: Vacuolar Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Apoptosis
GO Term: Autophagosome -> Biodomain: Autophagy, Proteostasis, Endolysosome, Synapse, Mitochondrial Metabolism
GO Term: Peroxisome -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Peroxisomal Membrane -> Biodomain: Lipid Metabolism, Oxidative Stress, Synapse, Proteostasis, Endolysosome
GO Term: Peroxisomal Matrix -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Endoplasmic Reticulum -> Biodomain: Proteostasis, Synapse, Autophagy, Apoptosis, Endolysosome
GO Term: Sec61 Translocon Complex -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Structural Stabilization
GO Term: Signal Recognition Particle Receptor Complex -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Signal Recognition Particle, Endoplasmic Reticulum Targeting -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Structural Stabilization
GO Term: Signal Peptidase Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization
GO Term: Endoplasmic Reticulum Lumen -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Oxidative Stress
GO Term: Endoplasmic Reticulum Membrane -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Smooth Endoplasmic Reticulum -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Rough Endoplasmic Reticulum -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Endoplasmic Reticulum-Golgi Intermediate Compartment -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Golgi Apparatus -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Golgi Stack -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Golgi Lumen -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Synapse
GO Term: Golgi Medial Cisterna -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Golgi-Associated Vesicle -> Biodomain: Synapse, Proteostasis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Cis-Golgi Network -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Trans-Golgi Network -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Lipid Droplet -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Centrosome -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Centriole -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Autophagy, Proteostasis
GO Term: Microtubule Organizing Center -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Aster -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Spindle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Synapse, Autophagy
GO Term: Actomyosin Contractile Ring -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Polar Microtubule -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Kinetochore Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Proteostasis, Structural Stabilization
GO Term: Cytosol -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, RNA Spliceosome
GO Term: Chaperonin-Containing T-Complex -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Autophagy, Apoptosis
GO Term: Hemoglobin Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Heterotrimeric G-Protein Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Proteasome Regulatory Particle -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Apoptosis
GO Term: Proteasome Core Complex -> Biodomain: Proteostasis, Synapse, Autophagy, Oxidative Stress, Apoptosis
GO Term: Ribosome -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, RNA Spliceosome
GO Term: Nuclear Cap Binding Complex -> Biodomain: RNA Spliceosome, Epigenetic, Synapse, Proteostasis, Autophagy
GO Term: Mrna Cleavage And Polyadenylation Specificity Factor Complex -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, DNA Repair
GO Term: Mrna Cleavage Stimulating Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Mrna Cleavage Factor Complex -> Biodomain: RNA Spliceosome, Epigenetic, Synapse, Proteostasis, DNA Repair
GO Term: Eukaryotic Translation Initiation Factor 2 Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Eukaryotic Translation Initiation Factor 2B Complex -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, RNA Spliceosome
GO Term: Eukaryotic Translation Initiation Factor 3 Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle
Saved results to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.0/go_biodomain_results_part_5.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.0/runtime_log.csv
