Running with TEMP=0.9, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Monocyte Homeostasis -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: T-Helper 17 Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Memory T Cell Activation -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Cd4-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Epigenetic, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: T-Helper 1 Cell Activation -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: T-Helper 2 Cell Activation -> Biodomain: Immune Response, Synapse, Endolysosome, Autophagy, Apoptosis
GO Term: Response To Nitrogen Dioxide -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Proteostasis, Autophagy
GO Term: Chemokine (C-C Motif) Ligand 2 Binding -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Proteostasis, Endolysosome
GO Term: Chemokine (C-C Motif) Ligand 12 Binding -> Biodomain: Immune Response, Apoptosis, Vasculature, Cell Cycle, Proteostasis
GO Term: Chemokine (C-C Motif) Ligand 7 Binding -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Vasculature
GO Term: Macrophage Migration Inhibitory Factor Binding -> Biodomain: Immune Response, Cell Cycle, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Intraciliary Anterograde Transport -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Intraciliary Retrograde Transport -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Interleukin-12-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Interleukin-15-Mediated Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Sodium Ion Transmembrane Transport -> Biodomain: Synapse, Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature, Structural Stabilization
GO Term: Common Myeloid Progenitor Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, DNA Repair, Epigenetic, Lipid Metabolism
GO Term: Lysophosphatidic Acid Binding -> Biodomain: Lipid Metabolism, Cell Cycle, Vasculature, Apoptosis, Immune Response
GO Term: Response To Hepatocyte Growth Factor -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Proteostasis
GO Term: Cellular Response To Hepatocyte Growth Factor Stimulus -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Proteostasis
GO Term: S-Nitrosoglutathione Binding -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Dinitrosyl-Iron Complex Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Nitric Oxide Storage -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Hepatic Stellate Cell Activation -> Biodomain: Immune Response, Structural Stabilization, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Intraciliary Transport Involved In Cilium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cd4-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Oxidative Stress, Vasculature
GO Term: Natural Killer Cell Chemotaxis -> Biodomain: Immune Response, Apoptosis, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Myelin Sheath Abaxonal Region -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Myelin Sheath Adaxonal Region -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Synapse
GO Term: Protein Localization To Myelin Sheath Abaxonal Region -> Biodomain: Myelination, Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Lysosomal Lumen Ph -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Lysosomal Lumen Ph Elevation -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: B Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cardiolipin Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Chemokine (C-C Motif) Ligand 19 Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Vasculature
GO Term: Chemokine (C-C Motif) Ligand 21 Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Mesangial Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Endothelial Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Endolysosome
GO Term: Endothelial Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Vasculature, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Ribonucleoprotein Granule -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Interleukin-4-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Interleukin-13-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Insulin Secretion Involved In Cellular Response To Glucose Stimulus -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Insulin Secretion Involved In Cellular Response To Glucose Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Mature Natural Killer Cell Chemotaxis -> Biodomain: Immune Response, Endolysosome, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Cd4-Positive, Alpha-Beta T Cell Costimulation -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Cell Migration Involved In Kidney Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Cell Migration Involved In Metanephros Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Immune Response
GO Term: Platelet-Derived Growth Factor Receptor-Alpha Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, DNA Repair
GO Term: Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Immune Response, Apoptosis
GO Term: Positive Regulation Of Metanephric Mesenchymal Cell Migration By Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Mitochondrial Membrane Permeability -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mitochondrial Membrane Permeability -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: 2-Alkenal Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Ureter Maturation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Deubiquitinase Activator Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Synapse
GO Term: Adrenal Cortex Development -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Vasculature, Cell Cycle
GO Term: Adrenal Cortex Formation -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Cell Cycle, Mitochondrial Metabolism
GO Term: Egg Coat Formation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Autophagy
GO Term: Structural Constituent Of Egg Coat -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Egg Coat -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle, Apoptosis
GO Term: Regulation Of Urine Volume -> Biodomain: Vasculature, Endolysosome, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Urine Volume -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Endolysosome, Immune Response
GO Term: Negative Regulation Of Urine Volume -> Biodomain: Vasculature, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Renal Sodium Excretion -> Biodomain: Vasculature, Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Regulation Of Renal Sodium Excretion -> Biodomain: Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Renal Sodium Excretion -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Positive Regulation Of Renal Sodium Excretion -> Biodomain: Vasculature, Lipid Metabolism, Endolysosome, Immune Response, Proteostasis
GO Term: Modulation Of Process Of Another Organism -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Gene Conversion -> Biodomain: DNA Repair, Immune Response, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Homologous Recombination -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Growing Cell Tip -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: New Growing Cell Tip -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Cloaca Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Photoreceptor Cell Outer Segment Organization -> Biodomain: Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Oviduct Epithelium Development -> Biodomain: Vasculature, Epigenetic, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Uterine Epithelium Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Epigenetic
GO Term: Nephric Duct Elongation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Autophagy
GO Term: Krueppel-Associated Box Domain Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Chromosome Passenger Complex Localization To Spindle Midzone -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Eosinophil Fate Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Endolysosome, Autophagy
GO Term: Megakaryocyte Development -> Biodomain: Mitochondrial Metabolism, Apoptosis, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Seh1-Associated Complex -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Autophagy
GO Term: Site Of Double-Strand Break -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Ditp Catabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Potassium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Vasculature, Synapse, Immune Response
GO Term: Cellular Response To Potassium Ion -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Synapse, Oxidative Stress, Proteostasis
GO Term: Alphav-Beta3 Integrin-Pkcalpha Complex -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Alphav-Beta3 Integrin-Igf-1-Igf1R Complex -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Alphav-Beta3 Integrin-Hmgb1 Complex -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Ciliary Transition Zone -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Synapse
GO Term: Ditp Diphosphatase Activity -> Biodomain: DNA Repair, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Protein K11-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, DNA Repair
GO Term: Nucleotide-Binding Domain, Leucine Rich Repeat Containing Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Lactate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Autophagy, Immune Response, Oxidative Stress
GO Term: Death Effector Domain Binding -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Nail Development -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Plasma Membrane Lactate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Embryonic Nail Plate Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Amacrine Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Enteroendocrine Cell Differentiation -> Biodomain: Endolysosome, Proteostasis, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Vascular Associated Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Parathyroid Hormone Secretion -> Biodomain: Vasculature, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy
GO Term: Response To Isolation Stress -> Biodomain: Oxidative Stress, Immune Response, Autophagy, Apoptosis, Proteostasis
GO Term: Response To Immobilization Stress -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Autophagy
GO Term: Aorta Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Ascending Aorta Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Lipid Metabolism
GO Term: Descending Aorta Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Dorsal Aorta Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Endolysosome, Immune Response
GO Term: Aorta Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Ascending Aorta Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Dorsal Aorta Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Lipid Metabolism, Cell Cycle
GO Term: Skeletal Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Desmosome Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Endolysosome
GO Term: Foramen Ovale Closure -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Autophagy, Cell Cycle
GO Term: Cellular Response To Vascular Endothelial Growth Factor Stimulus -> Biodomain: Vasculature, Cell Cycle, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Mrna 3'-Utr Au-Rich Region Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Rna Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Oxidative Stress, Autophagy, Proteostasis
GO Term: Rrna Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Aldosterone Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Proteostasis, Oxidative Stress
GO Term: Corticosterone Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature
GO Term: Mitochondrial Ncrna Surveillance -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, RNA Spliceosome
GO Term: Mitochondrial Mrna Surveillance -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Response To Interleukin-13 -> Biodomain: Immune Response, Inflammation, Cytokine Signaling, Allergic Response, Cell Communication
GO Term: Cellular Response To Interleukin-13 -> Biodomain: Immune Response, Endolysosome, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Copi-Coated Vesicle Budding -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Cardiolipin Acyl-Chain Remodeling -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Topologically Incorrect Protein -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Peptidyl-Threonine Dephosphorylation -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Aggrephagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Transcription Factor Ap-1 Complex -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Immune Response, Oxidative Stress
GO Term: Histone H2Axs139 Kinase Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Apoptosis, Cell Cycle
GO Term: Cellular Response To Trichostatin A -> Biodomain: Epigenetic, DNA Repair, Apoptosis, Cell Cycle, Proteostasis
GO Term: Senescence-Associated Heterochromatin Focus -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Oxidative Stress, DNA Repair
GO Term: Endodermal Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Apoptosis
GO Term: Chondrocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Tendon Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Tendon Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Tendon Formation -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Proteostasis, Autophagy
GO Term: Deltoid Tuberosity Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Epigenetic
GO Term: Response To Muscle Stretch -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Proteostasis
GO Term: Detection Of Muscle Stretch -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Tetrahydrofolate Interconversion -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Pre-Mrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Gaf Domain Binding -> Biodomain: Signal Transduction, Synapse, Vasculature, Epigenetic, Proteostasis
GO Term: Response To Macrophage Colony-Stimulating Factor -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Vasculature
GO Term: Cellular Response To Macrophage Colony-Stimulating Factor Stimulus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Protein-Glutamine N-Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair
GO Term: Protein Localization To Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Vasculature, Lipid Metabolism
GO Term: Cellular Response To Interleukin-3 -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Response To Erythropoietin -> Biodomain: Cell Cycle, Apoptosis, Metal Binding and Homeostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Cellular Response To Erythropoietin -> Biodomain: Apoptosis, Cell Cycle, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Endolysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Endolysosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Endolysosome Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Limb Joint Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Epigenetic, Autophagy
GO Term: Embryonic Skeletal Limb Joint Morphogenesis -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Protein C Inhibitor-Tmprss7 Complex -> Biodomain: Proteostasis, Immune Response, Vasculature, Apoptosis, Structural Stabilization
GO Term: Protein C Inhibitor-Tmprss11E Complex -> Biodomain: Proteostasis, Immune Response, Vasculature, Apoptosis, Endolysosome
GO Term: Protein C Inhibitor-Plat Complex -> Biodomain: Proteostasis, Vasculature, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Protein C Inhibitor-Plau Complex -> Biodomain: Proteostasis, Immune Response, Apoptosis, Vasculature, Lipid Metabolism
GO Term: Protein C Inhibitor-Thrombin Complex -> Biodomain: Vasculature, Proteostasis, Apoptosis, Immune Response, Structural Stabilization
GO Term: Protein C Inhibitor-Klk3 Complex -> Biodomain: Proteostasis, Protease Inhibition, Structural Stabilization, Apoptosis, Immune Response
GO Term: Protein C Inhibitor-Plasma Kallikrein Complex -> Biodomain: Proteostasis, Vasculature, Immune Response, Apoptosis, Structural Stabilization
GO Term: Neural Crest Cell Delamination -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Autophagy, Apoptosis
GO Term: Mediator Complex Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Osteoclast Development -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Cd8-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Lipid Metabolism, Proteostasis
GO Term: Mks Complex -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Long-Chain Fatty Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Long-Chain Fatty Acyl-Coa Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Protein Demalonylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic
GO Term: Peptidyl-Lysine Demalonylation -> Biodomain: Proteostasis, Epigenetic, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Protein Desuccinylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Peptidyl-Lysine Desuccinylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Autophagy, Oxidative Stress
GO Term: Glomerular Endothelium Fenestra -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Protein-Malonyllysine Demalonylase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Protein-Succinyllysine Desuccinylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic
GO Term: Slit Diaphragm -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Filtration Diaphragm Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Slit Diaphragm Assembly -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Endolysosome
GO Term: Ciliary Basal Body -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome, Autophagy
GO Term: Fucosylation -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Vasculature, Synapse
GO Term: Protein O-Linked Fucosylation -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Vasculature, Epigenetic
GO Term: N-Glycan Fucosylation -> Biodomain: Glycosylation, Post-translational Modification (PTM), Glycobiology, Protein Targeting and Localization, Metabolism
GO Term: Ligamentous Ossification -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Gdp-Fucose Import Into Golgi Lumen -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: D-Serine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, Autophagy
GO Term: Cleavage Furrow Formation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cleavage Furrow Ingression -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Phosphatidylinositol-3-Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Small Molecule Binding -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Leukotriene B4 Catabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Leukotriene B4 Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: Peroxisome Membrane Class-1 Targeting Sequence Binding -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Alpha-Linolenic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Very Long-Chain Fatty-Acyl-Coa Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Medium-Chain Fatty-Acyl-Coa Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metabolism, Energy Metabolism, Metabolic Pathways
GO Term: Very Long-Chain Fatty-Acyl-Coa Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Medium-Chain Fatty-Acyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fatty-Acyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
