Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Apoptosis
GO Term: Negative Regulation Of Sphingolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Intracellular Sphingolipid Homeostasis -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Structural Stabilization
GO Term: Endoplasmic Reticulum Membrane Organization -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Golgi To Lysosome Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Golgi Ribbon Formation -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Cell Cycle
GO Term: Establishment Of Epithelial Cell Polarity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Asymmetric Golgi Ribbon Formation -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Cell Cycle
GO Term: Golgi Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Golgi Reassembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Regulation Of Golgi Inheritance -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Organelle Membrane Fusion -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Synapse
GO Term: Regulation Of Establishment Of Planar Polarity -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Epigenetic
GO Term: Microtubule Cytoskeleton Organization Involved In Establishment Of Planar Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Establishment Of Planar Polarity Involved In Neural Tube Closure -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Regulation Of Establishment Of Planar Polarity Involved In Neural Tube Closure -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Regulation Of Kidney Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Kidney Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Positive Regulation Of Pancreatic Juice Secretion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Negative Regulation Of Pancreatic Juice Secretion -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Regulation Of Branching Involved In Ureteric Bud Morphogenesis -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Apoptosis
GO Term: Positive Regulation Of Branching Involved In Ureteric Bud Morphogenesis -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, RNA Spliceosome
GO Term: Negative Regulation Of Branching Involved In Ureteric Bud Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Positive Regulation Of Glomerulus Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Glomerulus Development -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Regulation Of Release Of Cytochrome C From Mitochondria -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Release Of Cytochrome C From Mitochondria -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Release Of Cytochrome C From Mitochondria -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Protein Localization To Nuclear Pore -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Myelination, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Triglyceride Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Triglyceride Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Triglyceride Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Establishment Of Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Establishment Of Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Epigenetic, Lipid Metabolism
GO Term: Positive Regulation Of Lipid Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Autophagy, Cell Cycle
GO Term: Chromosome Localization To Nuclear Envelope Involved In Homologous Chromosome Segregation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Centrosome-Templated Microtubule Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Centromere Complex Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, DNA Repair
GO Term: Regulation Of Kinetochore Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Regulation Of Metaphase Plate Congression -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, DNA Repair, Proteostasis
GO Term: Regulation Of Arachidonate Secretion -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Arachidonate Secretion -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Proteostasis, Oxidative Stress
GO Term: Wnt Signaling Pathway Involved In Somitogenesis -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Proteostasis
GO Term: Axis Elongation Involved In Somitogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: Convergent Extension Involved In Somitogenesis -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Regulation Of Cell Migration Involved In Somitogenic Axis Elongation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Protein Localization Involved In Establishment Of Planar Polarity -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Muscle System Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Vasculature
GO Term: Negative Regulation Of Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Regulation Of Retinal Ganglion Cell Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Retinal Ganglion Cell Axon Guidance -> Biodomain: Structural Stabilization, Synapse, APP Metabolism, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Inclusion Body Assembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Transcription-Coupled Nucleotide-Excision Repair -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Positive Regulation Of Canonical Wnt Signaling Pathway -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Regulation Of Immune Complex Clearance By Monocytes And Macrophages -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Immune Complex Clearance By Monocytes And Macrophages -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Fibroblast Growth Factor Production -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Negative Regulation Of Fibroblast Growth Factor Production -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Somatostatin Secretion -> Biodomain: Endolysosome, Proteostasis, Synapse, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Somatostatin Secretion -> Biodomain: Endocrine, Regulation, Signaling, Secretory, Vesicle Trafficking
GO Term: Regulation Of Peptide Hormone Secretion -> Biodomain: Proteostasis, Endolysosome, Epigenetic, Synapse, Immune Response
GO Term: Positive Regulation Of Peptide Hormone Secretion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Calcium Ion Import -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Calcium Ion Import -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Negative Regulation Of Calcium Ion Import -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Regulation Of Cellular Response To Growth Factor Stimulus -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Immune Response
GO Term: Negative Regulation Of Cellular Response To Growth Factor Stimulus -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Osteoclast Proliferation -> Biodomain: Cell Cycle, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Epigenetic
GO Term: Negative Regulation Of Osteoclast Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Nuclear Matrix Anchoring At Nuclear Membrane -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair, Proteostasis
GO Term: Regulation Of Mitochondrial Dna Replication -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Mitochondrial Dna Replication -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Autophagy, Proteostasis
GO Term: Negative Regulation Of Mitochondrial Dna Replication -> Biodomain: Mitochondrial Metabolism, DNA Repair, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Neural Crest Formation -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Wound Healing -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Nucleic Acid Metabolic Process -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Autophagy, Mitochondrial Metabolism
GO Term: Meiotic Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, DNA Repair, Proteostasis
GO Term: Mitotic Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, DNA Repair
GO Term: Negative Regulation Of Dna Methylation-Dependent Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Protein Deacetylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Protein Deacetylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Regulation Of Protein Targeting To Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Positive Regulation Of Protein Targeting To Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Protein Targeting To Membrane -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Intracellular Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Negative Regulation Of Intracellular Protein Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Synapse
GO Term: Regulation Of Chylomicron Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Chylomicron Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Vasculature, Oxidative Stress
GO Term: Positive Regulation Of Chylomicron Remnant Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Autophagy
GO Term: Regulation Of Superoxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Oxidative Phosphorylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Locomotion Involved In Locomotory Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Cell Cycle
GO Term: Positive Regulation Of Locomotion Involved In Locomotory Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Locomotion Involved In Locomotory Behavior -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Regulation Of Platelet Aggregation -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Negative Regulation Of Platelet Aggregation -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Regulation Of Brown Fat Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Brown Fat Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Secretion Of Lysosomal Enzymes -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Secretion Of Lysosomal Enzymes -> Biodomain: Endolysosome, Proteostasis, Autophagy, Oxidative Stress, Structural Stabilization
GO Term: Organofluorine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome
GO Term: Negative Regulation Of Organofluorine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Regulation Of Platelet-Derived Growth Factor Production -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Platelet-Derived Growth Factor Production -> Biodomain: Vasculature, Cell Cycle, Immune Response, Epigenetic, Proteostasis
GO Term: Regulation Of Proteasome Assembly -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Mrna Modification -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Regulation Of Ornithine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Cholesterol Efflux -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Phagosome Maturation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Phagosome Acidification -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Phagosome-Lysosome Docking -> Biodomain: Endolysosome, Immune Response, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Phagosome-Lysosome Fusion -> Biodomain: Endolysosome, Autophagy, Immune Response, Proteostasis, Apoptosis
GO Term: Phagosome-Lysosome Fusion Involved In Apoptotic Cell Clearance -> Biodomain: Apoptosis, Endolysosome, Autophagy, Proteostasis, Immune Response
GO Term: Negative Regulation Of Excitatory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Cellular Senescence -> Biodomain: Cell Cycle, Apoptosis, Oxidative Stress, DNA Repair, Proteostasis
GO Term: Replicative Senescence -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Oxidative Stress, Proteostasis
GO Term: Stress-Induced Premature Senescence -> Biodomain: Oxidative Stress, Apoptosis, DNA Repair, Cell Cycle, Proteostasis
GO Term: Oncogene-Induced Cell Senescence -> Biodomain: Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis, DNA Repair
GO Term: Oxidative Stress-Induced Premature Senescence -> Biodomain: Oxidative Stress, Apoptosis, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Organophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis
GO Term: Malonyl-Coa Synthetase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Malonate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: Nicotinate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Thiamine Pyrophosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Acinar Cell Differentiation -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle, RNA Spliceosome
GO Term: Activation Of Meiosis -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Proteostasis
GO Term: Palmitoyl-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Oleoyl-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Protein Localization To Nuclear Envelope -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Far/Sin/Stripak Complex -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Apoptosis, Autophagy
GO Term: Intracellular Aspartate Homeostasis -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Intracellular Glutamate Homeostasis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Dibasic Protein Processing -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Pyrimidine Nucleotide-Sugar Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Vitamin Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Small Rna 2'-O-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Catecholamine Uptake -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Dopamine Uptake -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Myelination, Structural Stabilization
GO Term: Mesenchymal Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Epigenetic, Lipid Metabolism
GO Term: Extrinsic Component Of Golgi Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Endocardial Cushion To Mesenchymal Transition -> Biodomain: Vasculature, Endolysosome, Structural Stabilization, Proteostasis, Autophagy
GO Term: Sphingolipid Mediated Signaling Pathway -> Biodomain: Lipid Metabolism, Apoptosis, Immune Response, Autophagy, Oxidative Stress
GO Term: Podocyte Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Vesicle Tethering Involved In Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Vasculature, Lipid Metabolism
GO Term: Cation-Transporting Atpase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Calcium Ion-Transporting Atpase Complex -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Wich Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Norc Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Cerf Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Mit Domain Binding -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Flemming Body -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Phosphatidylcholine Floppase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Structural Stabilization, Autophagy
GO Term: Phosphatidylethanolamine Flippase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Phosphatidylserine Floppase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Establishment Of Endothelial Intestinal Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Regulation Of Membrane Permeability -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: 2-(3-Amino-3-Carboxypropyl)Histidine Synthase Activity -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Epigenetic
GO Term: Rna Polymerase Ii Transcription Repressor Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Rna Polymerase Ii Transcription Regulator Complex -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, DNA Repair, Proteostasis
GO Term: Phosphodiesterase Activity, Acting On 3'-Phosphoglycolate-Terminated Dna Strands -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Autophagy, Metal Binding and Homeostasis
GO Term: Inflammatory Response To Wounding -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Sensory Organ Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Alpha-Glucosidase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Metabolism, Glycogen Metabolism
GO Term: Ubiquitin-Independent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Mitochondrial Mrna Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Mitochondrial Mrna 3'-End Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Meiotic Spindle Pole -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Endoribonuclease Activity, Cleaving Mirna-Paired Mrna -> Biodomain: Epigenetic, RNA Spliceosome, Immune Response, Autophagy, Apoptosis
GO Term: Sirna-Mediated Gene Silencing By Mrna Destabilization -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, DNA Repair
GO Term: Activation Of Gtpase Activity -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Outer Dense Plaque Of Desmosome -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Apoptosis, Cell Cycle
GO Term: Inner Dense Plaque Of Desmosome -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Mitochondrial Trna Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Environmental Enrichment -> Biodomain: Epigenetic, Synapse, Myelination, Immune Response, Autophagy
GO Term: Response To Oxygen-Glucose Deprivation -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Cellular Response To Oxygen-Glucose Deprivation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Apical Cytoplasm -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Double-Stranded/Single-Stranded Junction Telomeric Dna Binding -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: T-Circle Formation -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Oxidative Stress
GO Term: Telomeric Loop Disassembly -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Cone Matrix Sheath -> Biodomain: Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis, Vasculature
GO Term: Walking Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Cerebrospinal Fluid Circulation -> Biodomain: Vasculature, Nervous System, Structural Stabilization, Proteostasis, Immune Response
GO Term: Box H/Aca Telomerase Rnp Complex -> Biodomain: DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis, Epigenetic
GO Term: Galanin-Activated Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response
GO Term: Scarna Localization To Cajal Body -> Biodomain: RNA Spliceosome, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Telomerase Rna Stabilization -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Autophagy
GO Term: Telomerase Rna Localization To Cajal Body -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Endothelial Cell-Matrix Adhesion -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Autophagy
