Running with TEMP=0.9, sub_array_index=16
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 15000 to 15999
GO Term: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Guanine Deglycation, Methylglyoxal Removal -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Guanine Deglycation, Glyoxal Removal -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Cell Cycle, Structural Stabilization
GO Term: Polyamine Deacetylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Spermidine Deacetylation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Regulation Of Cellular Response To Osmotic Stress -> Biodomain: Oxidative Stress, Autophagy, Endolysosome, Lipid Metabolism, Structural Stabilization
GO Term: Trna 2'-O-Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Calcineurin-Mediated Signaling -> Biodomain: Metal Binding and Homeostasis, Immune Response, Synapse, Proteostasis, Oxidative Stress
GO Term: Regulation Of Cobalamin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Sumo Ligase Complex -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Signal Transduction, Cell Communication, Regulation of Cellular Process, G Protein-Coupled Receptor Signaling, Cellular Response to Stimulus
GO Term: Positive Regulation Of Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Signal Transduction, GPCR Signaling, Cellular Regulation, Neurotransmission, Hormone Signaling
GO Term: Dolichyl Pyrophosphate Glc2Man9Glcnac2 Alpha-1,2-Glucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Aminoacyl-Trna Metabolism Involved In Translational Fidelity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Histone Succinyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Autophagy, DNA Repair
GO Term: Gator1 Complex Binding -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Cell Adhesion Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Cell Adhesion Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Glial Cell Projection Elongation -> Biodomain: Myelination, Structural Stabilization, Synapse, Cell Development, Proteostasis
GO Term: Er-Dependent Peroxisome Localization -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Ala-Trna(Thr) Deacylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Cold-Induced Thermogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of (R)-Mevalonic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Sterol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cobalamin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Store-Operated Calcium Entry -> Biodomain: Metal Binding and Homeostasis, Immune Response, Apoptosis, Cell Cycle, Vasculature
GO Term: Positive Regulation Of Cardiac Muscle Cell Contraction -> Biodomain: Structural Stabilization  
Proteostasis  
Vasculature  
Mitochondrial Metabolism  
Oxidative Stress
GO Term: Negative Regulation Of Cardiac Muscle Cell Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Ikappab Kinase Complex Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Sec61 Translocon Complex Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Symbiont Cell Surface -> Biodomain: Immune Response, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: P-Tefb Complex Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, RNA Spliceosome
GO Term: Trna (M7G46) Methyltransferase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Peptidyl-Lysine 3-Dioxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Peptidyl-Lysine 4-Dioxygenase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Peptidyl-Arginine 3-Dioxygenase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Epigenetic, Oxidative Stress, Mitochondrial Metabolism
GO Term: Mrna N-Acetyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cyclic-Gmp-Amp Hydrolase Activity -> Biodomain: Immune Response, DNA Repair, Apoptosis, Autophagy, Cell Cycle
GO Term: Inositol-5-Diphosphate-1,3,4,6-Tetrakisphosphate Diphosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome, Oxidative Stress
GO Term: Trna C3-Cytosine Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Zinc Ion Sensor Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Lncrna Binding -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Peptide 2-Hydroxyisobutyryltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Epigenetic, Autophagy, Endolysosome
GO Term: Peptidyl-Lysine Glutarylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Peptide Glutaryltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Histone Glutaryltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Metal Binding and Homeostasis, Autophagy
GO Term: Protein Depropionylation -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Nad-Dependent Protein-Lysine Depropionylase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Ceramide-1-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Autophagy, Immune Response
GO Term: Arachidonate 12(R)-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis, Metal Binding and Homeostasis
GO Term: L-Serine-Phosphatidylethanolamine Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Autophagy, Proteostasis, Endolysosome
GO Term: Hydroperoxy Icosatetraenoate Isomerase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Hydroperoxy Icosatetraenoate Dehydratase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Mitochondrial Metabolism
GO Term: L-Serine-Phosphatidylcholine Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Dna-Dna Tethering Activity -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Trna Uridine(34) Acetyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: 1-Acylglycerophosphoethanolamine O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: 1-Acylglycerophosphoserine O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Endolysosome, Apoptosis
GO Term: Protein Serine Kinase Activity (Using Gtp As Donor) -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Protein Localization To Ergic -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Cytosol To Ergic Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Nad+-Protein-Arginine Adp-Ribosyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, DNA Repair, Apoptosis
GO Term: Biliberdin Reductase (Nadh) Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Immune Response
GO Term: Biliverdin Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Negative Regulation Of Udp-N-Acetylglucosamine Biosynthetic Process -> Biodomain: Proteostasis  
Epigenetic  
Oxidative Stress  
Autophagy  
Immune Response
GO Term: Chenodeoxycholate 7-Alpha-Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Isoursodeoxycholate 7-Beta-Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Ursodeoxycholate 7-Beta-Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Deadenylation-Dependent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Negative Regulation Of Deadenylation-Dependent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Superoxide-Generating Nadph Oxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Protein-Dna Covalent Cross-Linking Repair -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Arachidonate 5,6-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Vasculature, Immune Response
GO Term: Progesterone 21-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Protein Serine Kinase Activity -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Oxidative Stress, Mitochondrial Metabolism
GO Term: Methylenetetrahydrofolate Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: S-(Hydroxymethyl)Glutathione Dehydrogenase (Nadp+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: S-(Hydroxymethyl)Glutathione Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: L-Phenylalaine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Sialate 9-O-Acetylesterase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Subcortical Maternal Complex -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Trna (5-Carboxymethyluridine(34)-5-O)-Methyltransferase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, RNA Spliceosome
GO Term: Trna (Cytidine(32)/Guanosine(34)-2'-O)-Methyltransferase Activity -> Biodomain: Epigenetic, Structural Stabilization, RNA Spliceosome, Mitochondrial Metabolism, Proteostasis
GO Term: Omega-Hydroxyceramide Transacylase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Omega-Hydroxyceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Myelination, Endolysosome, Autophagy, Proteostasis
GO Term: U2 Snrna 2'-O-Methyladenosine M6 Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis
GO Term: Trna Surveillance -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: 2-Hydroxyacyl-Coa Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protein-Cysteine Methyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress
GO Term: 4-Hydroxy-3-All-Trans-Polyprenylbenzoate Oxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Protein-L-Histidine N-Pros-Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: 3-Deoxyglucosone Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Deoxynucleoside Triphosphate Hydrolase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Epigenetic
GO Term: 2-Hydroxyphytanoyl-Coa Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 2-Hydroxy-Atp Hydrolase Activity -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle, Epigenetic
GO Term: 2-Hydroxy-Datp Hydrolase Activity -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Damp Salvage -> Biodomain: DNA Repair  
Mitochondrial Metabolism  
Autophagy  
Proteostasis  
Lipid Metabolism
GO Term: (3R)-3-Hydroxyacyl-Coa Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Rrna Small Subunit Aminocarboxypropyltransferase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Lewis X Epitope Biosynthetic Process -> Biodomain: Immune Response, Lipid Metabolism, Synapse, Structural Stabilization, Proteostasis
GO Term: Isoprenoid Diphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Cell Cycle, Proteostasis
GO Term: Glc2Man9Glcnac2 Oligosaccharide Glucosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Mrna Dihydrouridine Synthase Activity -> Biodomain: Oxidative Stress, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Structural Stabilization
GO Term: Nad-Dependent Protein Lipoamidase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Nad-Dependent Protein Biotinidase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Tubulin-Tyrosine Carboxypeptidase -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Tau Homeostasis, Autophagy
GO Term: 11-Cis-Retinol Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Dihydroorotate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: N6-Methyl-(D)Atp Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: O6-Methyl-Dgtp Hydrolase Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Carboxylesterase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Glutathione-Dependent Sulfide Quinone Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Protein-Glutamic Acid Ligase Activity, Initiating -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Protein-Glutamic Acid Ligase Activity, Elongating -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: L-Lysine:L-Arginine Antiporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Trna Methylation -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Basolateral Protein Secretion -> Biodomain: Proteostasis, Endolysosome, Vasculature, Synapse, Immune Response
GO Term: Regulation Of Basement Membrane Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Protein Localization To P-Body -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Synapse
GO Term: Positive Regulation Of Elastin Catabolic Process -> Biodomain: Proteostasis, Vasculature, Structural Stabilization, Endolysosome, Autophagy
GO Term: B-Wich Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cardiac Muscle Myoblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cardiac Muscle Myoblast Proliferation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Dna Strand Resection Involved In Replication Fork Processing -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Dna Strand Resection Involved In Replication Fork Processing -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Dna Strand Resection Involved In Replication Fork Processing -> Biodomain: DNA Repair  
Cell Cycle  
Epigenetic  
Structural Stabilization  
Apoptosis
GO Term: Regulation Of G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle  
Reproductive System  
Regulation  
Cell Division  
Meiosis
GO Term: Negative Regulation Of G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Reproductive Process, Signal Transduction, Sexual Reproduction
GO Term: Positive Regulation Of G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Deaminated Glutathione Amidase Activity -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Metabolite Repair -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Actin Filament Organization -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Immune Response
GO Term: Positive Regulation Of Blood Vessel Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Blood Vessel Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome
GO Term: Regulation Of Angiotensin-Activated Signaling Pathway -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Angiotensin-Activated Signaling Pathway -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Autophagy
GO Term: Positive Regulation Of Angiotensin-Activated Signaling Pathway -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Lncrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Cellularization Cleavage Furrow -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Regulation Of Ferroptosis -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Ferroptosis -> Biodomain: Apoptosis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Vesicle-Mediated Intercellular Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Ttt Hsp90 Cochaperone Complex -> Biodomain: Proteostasis, DNA Repair, Cell Cycle, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Placenta Blood Vessel Development -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Hippocampal Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Hippocampal Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Tau Homeostasis, Structural Stabilization, APP Metabolism
GO Term: Positive Regulation Of Hippocampal Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Oxidative Stress, Immune Response, Proteostasis
GO Term: Negative Regulation Of Hippocampal Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Autophagy, Structural Stabilization
GO Term: Cellular Detoxification Of Aldehyde -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Regulation Of Calcium Import Into The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Calcium Import Into The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Mrna Alternative Polyadenylation -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Positive Regulation Of Very-Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Oxidative Stress, Proteostasis
GO Term: Norrin Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Synapse, Proteostasis, Oxidative Stress
GO Term: Ubiquinone Biosynthesis Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Rna Nad+-Cap (Nad+-Forming) Hydrolase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Rna Nad-Cap (Nmn-Forming) Hydrolase Activity -> Biodomain: RNA Spliceosome, Endolysosome, Autophagy, Proteostasis, Epigenetic
GO Term: Rna Decapping -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Nad-Cap Decapping -> Biodomain: RNA Spliceosome, Autophagy, Endolysosome, Proteostasis, Epigenetic
GO Term: Mrna Methylguanosine-Cap Decapping -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Mitochondrial Metabolism
GO Term: Reelin Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Calpain Complex -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Synapse, Structural Stabilization
GO Term: Apical Plasma Membrane Urothelial Plaque -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Hinge Region Between Urothelial Plaques Of Apical Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Glutamatergic Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Intermembrane Lipid Transfer -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Intermembrane Phospholipid Transfer -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Structural Stabilization, Proteostasis
GO Term: Intermembrane Sphingolipid Transfer -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Structural Stabilization
GO Term: Lipid Transfer Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Phospholipid Transfer Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Sterol Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy, Proteostasis
GO Term: Ceramide Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Phosphatidylcholine Transfer Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Cholesterol Transfer Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Apoptosis, Proteostasis
GO Term: Glucagon Family Peptide Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Vasculature, Proteostasis
GO Term: Plasma Membrane Bounded Cell Projection -> Biodomain: Structural Stabilization, Synapse, Myelination, Tau Homeostasis, Lipid Metabolism
