Running with TEMP=0.1, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Monocyte Homeostasis -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: T-Helper 17 Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Memory T Cell Activation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Cd4-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: T-Helper 1 Cell Activation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: T-Helper 2 Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Response To Nitrogen Dioxide -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Chemokine (C-C Motif) Ligand 2 Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Endolysosome
GO Term: Chemokine (C-C Motif) Ligand 12 Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Vasculature
GO Term: Chemokine (C-C Motif) Ligand 7 Binding -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Vasculature
GO Term: Macrophage Migration Inhibitory Factor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Intraciliary Anterograde Transport -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Synapse
GO Term: Intraciliary Retrograde Transport -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Interleukin-12-Mediated Signaling Pathway -> Biodomain: Immune Response, Inflammatory Response, T Cell Activation, Cell Proliferation, Cytokine Signaling
GO Term: Interleukin-15-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Proteostasis
GO Term: Sodium Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Vasculature
GO Term: Common Myeloid Progenitor Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, DNA Repair, Mitochondrial Metabolism
GO Term: Lysophosphatidic Acid Binding -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: Response To Hepatocyte Growth Factor -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Cellular Response To Hepatocyte Growth Factor Stimulus -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: S-Nitrosoglutathione Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Dinitrosyl-Iron Complex Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Nitric Oxide Storage -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Immune Response
GO Term: Hepatic Stellate Cell Activation -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Intraciliary Transport Involved In Cilium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Cd4-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Natural Killer Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Myelin Sheath Abaxonal Region -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Myelin Sheath Adaxonal Region -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Protein Localization To Myelin Sheath Abaxonal Region -> Biodomain: Myelination, Proteostasis, Structural Stabilization, Synapse, Lipid Metabolism
GO Term: Regulation Of Lysosomal Lumen Ph -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Lysosomal Lumen Ph Elevation -> Biodomain: Endolysosome, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: B Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Cardiolipin Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Chemokine (C-C Motif) Ligand 19 Binding -> Biodomain: Immune Response, Synapse, Vasculature, Apoptosis, Proteostasis
GO Term: Chemokine (C-C Motif) Ligand 21 Binding -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Mesangial Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Endothelial Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Apoptosis, Structural Stabilization
GO Term: Endothelial Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Vasculature, Immune Response, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Ribonucleoprotein Granule -> Biodomain: RNA Spliceosome, Proteostasis, Immune Response, Autophagy, Oxidative Stress
GO Term: Interleukin-4-Mediated Signaling Pathway -> Biodomain: Immune Response, Epigenetic, Apoptosis, Cell Cycle, Proteostasis
GO Term: Interleukin-13-Mediated Signaling Pathway -> Biodomain: Immune Response, Vasculature, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Insulin Secretion Involved In Cellular Response To Glucose Stimulus -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Insulin Secretion Involved In Cellular Response To Glucose Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Autophagy
GO Term: Mature Natural Killer Cell Chemotaxis -> Biodomain: Immune Response, Structural Stabilization, Synapse, Vasculature, Epigenetic
GO Term: Cd4-Positive, Alpha-Beta T Cell Costimulation -> Biodomain: Immune Response, Synapse, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Cell Migration Involved In Kidney Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Cell Migration Involved In Metanephros Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Platelet-Derived Growth Factor Receptor-Alpha Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism, Structural Stabilization
GO Term: Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Proteostasis
GO Term: Positive Regulation Of Metanephric Mesenchymal Cell Migration By Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Epigenetic, Lipid Metabolism
GO Term: Positive Regulation Of Mitochondrial Membrane Permeability -> Biodomain: Mitochondrial Metabolism, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Mitochondrial Membrane Permeability -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: 2-Alkenal Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Ureter Maturation -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Autophagy, Apoptosis
GO Term: Deubiquitinase Activator Activity -> Biodomain: Proteostasis, Ubiquitin Proteasome Pathway, Protein Aggregation, Autophagy, Synapse
GO Term: Adrenal Cortex Development -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Cell Cycle, Epigenetic
GO Term: Adrenal Cortex Formation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Cell Cycle, Oxidative Stress
GO Term: Egg Coat Formation -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Structural Constituent Of Egg Coat -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Vasculature
GO Term: Egg Coat -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle, Apoptosis
GO Term: Regulation Of Urine Volume -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Urine Volume -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Urine Volume -> Biodomain: Vasculature, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Renal Sodium Excretion -> Biodomain: Vasculature, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Renal Sodium Excretion -> Biodomain: Vasculature, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Renal Sodium Excretion -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Renal Sodium Excretion -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Modulation Of Process Of Another Organism -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Gene Conversion -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Growing Cell Tip -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Synapse
GO Term: New Growing Cell Tip -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Cloaca Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Epigenetic
GO Term: Photoreceptor Cell Outer Segment Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Oviduct Epithelium Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis, Autophagy
GO Term: Uterine Epithelium Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Nephric Duct Elongation -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Autophagy
GO Term: Krueppel-Associated Box Domain Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Immune Response
GO Term: Chromosome Passenger Complex Localization To Spindle Midzone -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Eosinophil Fate Commitment -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Megakaryocyte Development -> Biodomain: Mitochondrial Metabolism, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Seh1-Associated Complex -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Site Of Double-Strand Break -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Ditp Catabolic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Response To Potassium Ion -> Biodomain: Metal Binding and Homeostasis, Vasculature, Synapse, Apoptosis, Mitochondrial Metabolism
GO Term: Cellular Response To Potassium Ion -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Synapse, Oxidative Stress, Structural Stabilization
GO Term: Alphav-Beta3 Integrin-Pkcalpha Complex -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Apoptosis
GO Term: Alphav-Beta3 Integrin-Igf-1-Igf1R Complex -> Biodomain: Vasculature, Immune Response, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Alphav-Beta3 Integrin-Hmgb1 Complex -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Ciliary Transition Zone -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Ditp Diphosphatase Activity -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Cell Cycle, Apoptosis
GO Term: Protein K11-Linked Deubiquitination -> Biodomain: Proteostasis, Ubiquitin Proteasome, Protein Degradation, Autophagy, Epigenetic
GO Term: Nucleotide-Binding Domain, Leucine Rich Repeat Containing Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Lactate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Death Effector Domain Binding -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Autophagy, Immune Response
GO Term: Nail Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Plasma Membrane Lactate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Embryonic Nail Plate Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Epigenetic
GO Term: Amacrine Cell Differentiation -> Biodomain: Synapse, Epigenetic, RNA Spliceosome, Cell Cycle, Structural Stabilization
GO Term: Enteroendocrine Cell Differentiation -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Immune Response
GO Term: Vascular Associated Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Oxidative Stress
GO Term: Parathyroid Hormone Secretion -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Autophagy
GO Term: Response To Isolation Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Response To Immobilization Stress -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Endolysosome
GO Term: Aorta Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Ascending Aorta Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Descending Aorta Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Dorsal Aorta Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Oxidative Stress
GO Term: Aorta Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Apoptosis
GO Term: Ascending Aorta Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism, Epigenetic
GO Term: Dorsal Aorta Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Skeletal Muscle Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Desmosome Disassembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Autophagy
GO Term: Foramen Ovale Closure -> Biodomain: Structural Stabilization, Vasculature, Autophagy, Apoptosis, Epigenetic
GO Term: Cellular Response To Vascular Endothelial Growth Factor Stimulus -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Immune Response, Oxidative Stress
GO Term: Mrna 3'-Utr Au-Rich Region Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Oxidative Stress, Autophagy
GO Term: Rna Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, RNA Spliceosome, Proteostasis, Lipid Metabolism
GO Term: Rrna Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Aldosterone Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Corticosterone Secretion -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Autophagy, Proteostasis
GO Term: Mitochondrial Ncrna Surveillance -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Mitochondrial Mrna Surveillance -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Response To Interleukin-13 -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Cellular Response To Interleukin-13 -> Biodomain: Immune Response, Epigenetic, Apoptosis, Lipid Metabolism, Proteostasis
GO Term: Copi-Coated Vesicle Budding -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Cardiolipin Acyl-Chain Remodeling -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Topologically Incorrect Protein -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Peptidyl-Threonine Dephosphorylation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Aggrephagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Transcription Factor Ap-1 Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Histone H2Axs139 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Cellular Response To Trichostatin A -> Biodomain: Epigenetic, DNA Repair, Apoptosis, Cell Cycle, Autophagy
GO Term: Senescence-Associated Heterochromatin Focus -> Biodomain: Epigenetic, DNA Repair, Apoptosis, Cell Cycle, Proteostasis
GO Term: Endodermal Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Endolysosome, Autophagy, Proteostasis
GO Term: Chondrocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Lipid Metabolism
GO Term: Tendon Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Synapse
GO Term: Tendon Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Tendon Formation -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Vasculature
GO Term: Deltoid Tuberosity Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Vasculature
GO Term: Response To Muscle Stretch -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Mitochondrial Metabolism
GO Term: Detection Of Muscle Stretch -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Tetrahydrofolate Interconversion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Pre-Mrna Binding -> Biodomain: RNA Spliceosome, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Gaf Domain Binding -> Biodomain: Signal Transduction, Epigenetic, Proteostasis, Synapse, Cell Cycle
GO Term: Response To Macrophage Colony-Stimulating Factor -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Endolysosome, Vasculature
GO Term: Cellular Response To Macrophage Colony-Stimulating Factor Stimulus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Protein-Glutamine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Protein Localization To Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Vesicle Trafficking
GO Term: Cellular Response To Interleukin-3 -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Response To Erythropoietin -> Biodomain: Immune Response, Mitochondrial Metabolism, Proteostasis, Cell Cycle, Apoptosis
GO Term: Cellular Response To Erythropoietin -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Oxidative Stress, Mitochondrial Metabolism
GO Term: Endolysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Endolysosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Endolysosome Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Limb Joint Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Synapse
GO Term: Embryonic Skeletal Limb Joint Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Vasculature
GO Term: Protein C Inhibitor-Tmprss7 Complex -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: Protein C Inhibitor-Tmprss11E Complex -> Biodomain: Proteostasis, Immune Response, Vasculature, Apoptosis, Endolysosome
GO Term: Protein C Inhibitor-Plat Complex -> Biodomain: Proteostasis, Vasculature, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Protein C Inhibitor-Plau Complex -> Biodomain: Proteostasis, Vasculature, Immune Response, Apoptosis, Structural Stabilization
GO Term: Protein C Inhibitor-Thrombin Complex -> Biodomain: Vasculature, Proteostasis, Immune Response, Structural Stabilization, Apoptosis
GO Term: Protein C Inhibitor-Klk3 Complex -> Biodomain: Proteostasis, Immune Response, Apoptosis, Vasculature, Endolysosome
GO Term: Protein C Inhibitor-Plasma Kallikrein Complex -> Biodomain: Proteostasis, Vasculature, Immune Response, Oxidative Stress, Apoptosis
GO Term: Neural Crest Cell Delamination -> Biodomain: Structural Stabilization, Developmental Processes, Cell Adhesion, Cell Migration, Cellular Differentiation
GO Term: Mediator Complex Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Osteoclast Development -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Endolysosome
GO Term: Cd8-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Mks Complex -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Long-Chain Fatty Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Long-Chain Fatty Acyl-Coa Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Protein Demalonylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Peptidyl-Lysine Demalonylation -> Biodomain: Proteostasis, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Protein Desuccinylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Peptidyl-Lysine Desuccinylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Glomerular Endothelium Fenestra -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Protein-Malonyllysine Demalonylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Protein-Succinyllysine Desuccinylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Slit Diaphragm -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Filtration Diaphragm Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Synapse
GO Term: Slit Diaphragm Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Cell Cycle
GO Term: Ciliary Basal Body -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Endolysosome
GO Term: Fucosylation -> Biodomain: Glycosylation, Immune Response, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Protein O-Linked Fucosylation -> Biodomain: Glycosylation, Endoplasmic Reticulum, Protein Glycosylation, Signaling, Post-translational Modification
GO Term: N-Glycan Fucosylation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Structural Stabilization
GO Term: Ligamentous Ossification -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Autophagy, Cell Cycle
GO Term: Gdp-Fucose Import Into Golgi Lumen -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: D-Serine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Cleavage Furrow Formation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Cleavage Furrow Ingression -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Phosphatidylinositol-3-Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Immune Response
GO Term: Small Molecule Binding -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Synapse, Oxidative Stress
GO Term: Leukotriene B4 Catabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Leukotriene B4 Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Endolysosome, Vasculature
GO Term: Peroxisome Membrane Class-1 Targeting Sequence Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Alpha-Linolenic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Very Long-Chain Fatty-Acyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Medium-Chain Fatty-Acyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Very Long-Chain Fatty-Acyl-Coa Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Medium-Chain Fatty-Acyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
