Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Pre-Mrna 5'-Splice Site Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Unknown
GO Term: Pre-Mrna 3'-Splice Site Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: U6 Snrna 3'-End Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Unknown
GO Term: Regulation Of Cellular Ph -> Biodomain: Endolysosome, Autophagy, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Intracellular Phosphate Ion Homeostasis -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Intracellular Chloride Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Synapse, Endolysosome, Mitochondrial Metabolism, Myelination
GO Term: Regulation Of Vitamin Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Transport Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Cytoplasmic Vesicle Membrane -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Synapse, Proteostasis
GO Term: Golgi-Associated Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Unknown
GO Term: Coated Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Copi-Coated Vesicle Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Clathrin-Coated Vesicle Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Synapse
GO Term: Endocytic Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Secretory Granule Membrane -> Biodomain: Proteostasis, Synapse, Immune Response, Endolysosome, Vasculature
GO Term: Clathrin-Coated Endocytic Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Vasculature
GO Term: Phagocytic Vesicle Membrane -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Synaptic Vesicle Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Axolemma -> Biodomain: Structural Stabilization, Lipid Metabolism, Myelination, Synapse, Proteostasis
GO Term: Protein-Macromolecule Adaptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: Ribonuclease P Complex -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Autophagy, Unknown
GO Term: Mitochondrial Ribonuclease P Complex -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Multimeric Ribonuclease P Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Unknown
GO Term: Preribosome -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Cell Cycle, Structural Stabilization
GO Term: 90S Preribosome -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Structural Stabilization, Unknown
GO Term: Preribosome, Large Subunit Precursor -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Preribosome, Small Subunit Precursor -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Noc1P-Noc2P Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Unknown
GO Term: Noc2P-Noc3P Complex -> Biodomain: RNA Spliceosome, Cell Cycle, Proteostasis, Epigenetic, Unknown
GO Term: Noc4P-Nop14P Complex -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: Gtpase Regulator Activity -> Biodomain: Proteostasis, Cell Cycle, Mitochondrial Metabolism, Synapse, Autophagy
GO Term: Trna (Uracil(54)-C5)-Methyltransferase Activity, S-Adenosyl Methionine-Dependent -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Unknown, Proteostasis
GO Term: Vitelline Membrane Formation -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Unknown, Autophagy
GO Term: Cytoskeleton-Dependent Intracellular Transport -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Germ-Line Stem Cell Population Maintenance -> Biodomain: Stem Cell Population Maintenance, Cell Cycle, Epigenetic, Apoptosis, DNA Repair
GO Term: P Granule Organization -> Biodomain: Proteostasis, Epigenetic, Autophagy, RNA Spliceosome, Cell Cycle
GO Term: Ovulation -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Acetoacetate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Triglyceride Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Guanidinoacetate N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Carnosine N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Gtp-Dependent Protein Binding -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Amine N-Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Pyridine N-Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Arsenite Methyltransferase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Regulation Of Actin Filament Length -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Apoptosis
GO Term: Regulation Of Actin Filament Polymerization -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Immune Response, Proteostasis
GO Term: Regulation Of Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Unknown
GO Term: Negative Regulation Of Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Unknown
GO Term: Positive Regulation Of Actin Filament Depolymerization -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Actin Filament Polymerization -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Vasculature, Proteostasis
GO Term: Positive Regulation Of Actin Filament Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Positive Regulation Of Intermediate Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Phospholipase C-Inhibiting G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Immune Response, Vasculature
GO Term: Autosome -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Unknown
GO Term: Prostate Gland Development -> Biodomain: Organ Development, Reproductive System, Cellular Development, Morphogenesis, Secretory System
GO Term: Granulocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Regulation Of Granulocyte Differentiation -> Biodomain: Immune Response, Epigenetic, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Granulocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Granulocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Regulation Of Epithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Epithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Autophagy, Apoptosis
GO Term: Positive Regulation Of Epithelial Cell Differentiation -> Biodomain: Epigenetic, Structural Stabilization, Vasculature, Proteostasis, Immune Response
GO Term: Polarized Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Regulation Of Polarized Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome, Immune Response
GO Term: Positive Regulation Of Polarized Epithelial Cell Differentiation -> Biodomain: Epigenetic, Structural Stabilization, Lipid Metabolism, Cell Cycle, Proteostasis
GO Term: Cortical Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Endolysosome
GO Term: Cortical Actin Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Cortical Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Vasculature
GO Term: Cortical Actin Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Immune Response
GO Term: Rough Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, APP Metabolism
GO Term: Smooth Endoplasmic Reticulum Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Mre11 Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Beta-Catenin Destruction Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Autophagy
GO Term: Thyroid Gland Development -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Mammary Gland Development -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Rna Polymerase Complex -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Beta-2-Microglobulin Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Lipid Antigen Binding -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Unknown
GO Term: Endogenous Lipid Antigen Binding -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Exogenous Lipid Antigen Binding -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Negative Regulation Of Myeloid Dendritic Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Myeloid Dendritic Cell Activation -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of B Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Negative Regulation Of B Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of B Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Vcb Complex -> Biodomain: Proteostasis, Apoptosis, Vasculature, Cell Cycle, Oxidative Stress
GO Term: Mitotic Cohesin Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Meiotic Cohesin Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Replisome -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, RNA Spliceosome, Proteostasis
GO Term: Apolipoprotein B Mrna Editing Enzyme Complex -> Biodomain: Lipid Metabolism, RNA Spliceosome, Proteostasis, Epigenetic, Immune Response
GO Term: Checkpoint Clamp Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Hops Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Calcium-Dependent Atpase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Forebrain Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Midbrain Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Vasculature
GO Term: Hindbrain Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Myelination
GO Term: Notochord Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Unknown
GO Term: Retromer Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Vasculature
GO Term: Retromer, Tubulation Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Retromer, Cargo-Selective Complex -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Synapse, Autophagy
GO Term: Olfactory Placode Formation -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Synapse, Unknown
GO Term: Tpr Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, RNA Spliceosome, Epigenetic
GO Term: Paranodal Junction Assembly -> Biodomain: Myelination, Synapse, Structural Stabilization, Proteostasis, Unknown
GO Term: Smc5-Smc6 Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Otic Vesicle Formation -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Midbrain-Hindbrain Boundary Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: Endoplasmic Reticulum Signal Peptide Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Mitochondrion Targeting Sequence Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Endolysosome, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Signaling, Regulation, Angiogenesis, Growth Factors
GO Term: Establishment Or Maintenance Of Actin Cytoskeleton Polarity -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Vasculature, Immune Response
GO Term: Establishment Or Maintenance Of Microtubule Cytoskeleton Polarity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Astral Microtubule Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Tau Homeostasis, Unknown
GO Term: Astral Microtubule Nucleation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: Potassium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Apoptosis, Mitochondrial Metabolism
GO Term: Glutamyl-Trna(Gln) Amidotransferase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Unknown, Oxidative Stress
GO Term: Tat Protein Binding -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Endoplasmic Reticulum Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Retrograde Protein Transport, Er To Cytosol -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Receptor Tyrosine Kinase Binding -> Biodomain: Immune Response, Vasculature, Cell Cycle, Proteostasis, Synapse
GO Term: Thiamine Pyrophosphate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Thiamine Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Thiamine Pyrophosphate Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Taurine Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Cortical Microtubule Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Mismatched Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Kininogen Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Unknown
GO Term: Intraciliary Transport Particle -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Intraciliary Transport Particle A -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Structural Stabilization, Synapse
GO Term: Intraciliary Transport Particle B -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Regulation Of Centriole-Centriole Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Response To Caffeine -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Autophagy
GO Term: Potassium Ion-Transporting Atpase Complex -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Filamin Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Immune Response
GO Term: Iswi-Type Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Ino80 Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Extracellular Matrix -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Proteostasis
GO Term: Troponin I Binding -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Unknown, Lipid Metabolism
GO Term: Troponin T Binding -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Unknown, Autophagy
GO Term: Pancreas Development -> Biodomain: Epigenetic, Cell Cycle, Vasculature, Lipid Metabolism, Structural Stabilization
GO Term: Exocrine Pancreas Development -> Biodomain: Gland, Digestion, Development, Digestive System, Organogenesis
GO Term: Endocrine Pancreas Development -> Biodomain: Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Interphase Microtubule Organizing Center -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Nuclear Migration Along Microfilament -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome, Autophagy
GO Term: Microtubule Organizing Center Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Actomyosin Structure Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Immune Response
GO Term: Myosin Filament Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Vasculature
GO Term: Myosin Ii Filament Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Dense Core Granule -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Immune Response
GO Term: Regulatory Ncrna-Mediated Gene Silencing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, Immune Response
GO Term: Regulatory Ncrna-Mediated Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Apoptosis
GO Term: Primary Mirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Unknown, Autophagy
GO Term: Pre-Mirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, Unknown
GO Term: Hair Follicle Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Cysteine Desulfurase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, DNA Repair
GO Term: Heat Shock Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Cholesterol 26-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Embryonic Camera-Type Eye Development -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Vasculature
GO Term: Post-Embryonic Camera-Type Eye Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Immune Response
GO Term: Histone H3K14 Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Nuclear Pore Outer Ring -> Biodomain: Structural Stabilization, Proteostasis, RNA Spliceosome, Cell Cycle, Epigenetic
GO Term: Bloc-1 Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Bloc-2 Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Bloc-3 Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Independent Decay -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, RNA Spliceosome, Autophagy
GO Term: Deadenylation-Independent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Platelet Dense Granule Membrane -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Immune Response
GO Term: Platelet Dense Granule Lumen -> Biodomain: Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Organelle Membrane -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Platelet Alpha Granule -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Platelet Alpha Granule Membrane -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Platelet Alpha Granule Lumen -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Platelet Dense Tubular Network -> Biodomain: Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Immune Response, Oxidative Stress
GO Term: Platelet Dense Tubular Network Membrane -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Stress-Activated Protein Kinase Signaling Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Cell Cycle, Autophagy
GO Term: Regeneration -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, DNA Repair, Autophagy
GO Term: Animal Organ Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: Neuron Projection Regeneration -> Biodomain: Structural Stabilization, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Axon Regeneration -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Dendrite Regeneration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Septin Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome, Synapse
GO Term: Septin Ring Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Unknown
GO Term: Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Tau Homeostasis, Autophagy
GO Term: Regulation Of Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Negative Regulation Of Microtubule Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Synapse, Proteostasis
GO Term: Regulation Of Microtubule Polymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Microtubule Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Microtubule Polymerization -> Biodomain: Tau Homeostasis, Proteostasis, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Microtubule Polymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Positive Regulation Of Microtubule Depolymerization -> Biodomain: Cell Cycle, Tau Homeostasis, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Trna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Unknown
GO Term: Snrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Unknown, Cell Cycle
GO Term: Cytoplasmic Microtubule Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Autophagy
GO Term: Rna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Mrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Rrna 3'-End Processing -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Alpha-(1,2)-Fucosyltransferase Activity -> Biodomain: Lipid Metabolism, Immune Response, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Developmental Induction -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Inductive Cell-Cell Signaling -> Biodomain: Signaling, Developmental Processes, Cell Differentiation, Cell Fate Specification, Cell Communication
GO Term: Regulation Of Axon Diameter -> Biodomain: Structural Stabilization, Myelination, Synapse, Proteostasis, Tau Homeostasis
GO Term: Sister Chromatid Biorientation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Pseudopodium -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Synapse, Autophagy
GO Term: Proteasome Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Cellular Processes, Structural Stabilization
