Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Transcription Factor Tfiie Complex -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Transcription Factor Tfiif Complex -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Transcription Factor Tfiih Holo Complex -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Apoptosis
GO Term: Chromatin Silencing Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Anaphase-Promoting Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, DNA Repair
GO Term: Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: U5 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: U7 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair, Proteostasis
GO Term: U2-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: U1 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, DNA Repair
GO Term: U2 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, DNA Repair
GO Term: U4 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: U6 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: U12-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, RNA Processing, Nuclear Processes, Gene Expression Regulation, Proteostasis
GO Term: U4Atac Snrnp -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: U6Atac Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: U11 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: U12 Snrnp -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Chromosome -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Telomerase Holoenzyme Complex -> Biodomain: DNA Repair, Cell Cycle, RNA Spliceosome, Epigenetic, Proteostasis
GO Term: Polytene Chromosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Chiasma -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Recombination Nodule -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Late Recombination Nodule -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Pericentric Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Perichromatin Fibrils -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Autophagy
GO Term: Nucleolus -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Nucleolus Organizer Region -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Sno(S)Rna-Containing Ribonucleoprotein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Rna Polymerase I Complex -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis, Structural Stabilization
GO Term: Cytoplasm -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Mitochondrial Envelope -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Apoptosis, Lipid Metabolism, Autophagy
GO Term: Mitochondrial Outer Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Tim23 Mitochondrial Import Inner Membrane Translocase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: M-Aaa Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Mitochondrial Permeability Transition Pore Complex -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Mitochondrial Intermembrane Space -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Gamma Dna Polymerase Complex -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Mitochondrial Ribosome -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Mitochondrial Large Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Mitochondrial Small Ribosomal Subunit -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, RNA Spliceosome
GO Term: Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Lysosomal Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Secondary Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Early Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Immune Response
GO Term: Late Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Multivesicular Body -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, APP Metabolism
GO Term: Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Vacuolar Membrane -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Immune Response, Metal Binding and Homeostasis
GO Term: Vacuolar Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Autophagosome -> Biodomain: Autophagy, Endolysosome, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Peroxisome -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Peroxisomal Membrane -> Biodomain: Lipid Metabolism, Oxidative Stress, Structural Stabilization, Autophagy, Metal Binding and Homeostasis
GO Term: Peroxisomal Matrix -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Endoplasmic Reticulum -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress, Autophagy
GO Term: Sec61 Translocon Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Signal Recognition Particle Receptor Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Signal Recognition Particle, Endoplasmic Reticulum Targeting -> Biodomain: Proteostasis, RNA Spliceosome, Endolysosome, Structural Stabilization, Autophagy
GO Term: Signal Peptidase Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Endoplasmic Reticulum Lumen -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, APP Metabolism
GO Term: Smooth Endoplasmic Reticulum -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Rough Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Endoplasmic Reticulum-Golgi Intermediate Compartment -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Golgi Apparatus -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Golgi Stack -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Golgi Lumen -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Golgi Medial Cisterna -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Golgi-Associated Vesicle -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Cis-Golgi Network -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Trans-Golgi Network -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Lipid Droplet -> Biodomain: Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Centriole -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Microtubule Organizing Center -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Aster -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Spindle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Actomyosin Contractile Ring -> Biodomain: Structural Stabilization  
Cell Cycle  
Proteostasis  
Autophagy  
Endolysosome
GO Term: Polar Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Kinetochore Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Cytosol -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Chaperonin-Containing T-Complex -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Apoptosis
GO Term: Hemoglobin Complex -> Biodomain: Metal Binding and Homeostasis, Vasculature, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Heterotrimeric G-Protein Complex -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Proteasome Regulatory Particle -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Immune Response
GO Term: Proteasome Core Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Ribosome -> Biodomain: Proteostasis, Cell Cycle, Mitochondrial Metabolism, Structural Stabilization, Autophagy
GO Term: Nuclear Cap Binding Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Mrna Cleavage And Polyadenylation Specificity Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Mrna Cleavage Stimulating Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Mrna Cleavage Factor Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Eukaryotic Translation Initiation Factor 2 Complex -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Eukaryotic Translation Initiation Factor 2B Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Eukaryotic Translation Initiation Factor 3 Complex -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Autophagy, Cell Cycle
Saved results to: Experiment/DeepSeek/01-Reference_free/03-Name_structure_similarity/Temp_0.0/go_biodomain_results_part_5.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/03-Name_structure_similarity/Temp_0.0/runtime_log.csv
