Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Negative Regulation Of Cholesterol Import -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Chromosome Condensation -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Regulation Of Vesicle-Mediated Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Regulation Of Er To Golgi Vesicle-Mediated Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Regulation Of Homologous Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Regulation Of Meiosis I -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Regulation Of Microtubule-Based Movement -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Negative Regulation Of Transcription Initiation By Rna Polymerase Ii -> Biodomain: Epigenetic, Immune Response, Cell Cycle, Proteostasis, DNA Repair
GO Term: Mesenchymal-Epithelial Cell Signaling -> Biodomain: Immune Response, Vasculature, Epigenetic, Proteostasis, Autophagy
GO Term: Mammary Gland Epithelial Cell Differentiation -> Biodomain: Cell Differentiation, Tissue Development, Gland Development, Hormone Response, Secretory System
GO Term: Mammary Gland Bud Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Vasculature
GO Term: Nipple Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Mitochondrial Metabolism, Immune Response
GO Term: Submandibular Salivary Gland Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Salivary Gland Cavitation -> Biodomain: Structural Stabilization, Vasculature, Unknown, Endolysosome, Autophagy
GO Term: Epithelial Cell Proliferation Involved In Salivary Gland Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Vasculature, Epigenetic
GO Term: Regulation Of Branching Involved In Salivary Gland Morphogenesis By Mesenchymal-Epithelial Signaling -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Endolysosome
GO Term: Dichotomous Subdivision Of Terminal Units Involved In Salivary Gland Branching -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Unknown, Immune Response
GO Term: Branch Elongation Involved In Salivary Gland Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Branching Involved In Salivary Gland Morphogenesis By Extracellular Matrix-Epithelial Cell Signaling -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Cell Cycle, Epigenetic
GO Term: Embryonic Placenta Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Developmental Process, Immune Response, Cell Cycle
GO Term: Branching Involved In Labyrinthine Layer Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Apoptosis, Autophagy
GO Term: Epithelial Cell Morphogenesis Involved In Placental Branching -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Placenta Blood Vessel Development -> Biodomain: Vasculature, Immune Response, Cell Cycle, Structural Stabilization, Lipid Metabolism
GO Term: Ureteric Bud Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Autophagy
GO Term: Ureteric Bud Formation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Unknown
GO Term: Ureteric Bud Elongation -> Biodomain: Structural Stabilization, Unknown, Vasculature, Cell Cycle, Autophagy
GO Term: Dichotomous Subdivision Of Terminal Units Involved In Ureteric Bud Branching -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Unknown
GO Term: Branch Elongation Involved In Ureteric Bud Branching -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Mitochondrial Metabolism
GO Term: Primary Ureteric Bud Growth -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Unknown, Autophagy
GO Term: Regulation Of Branching Involved In Salivary Gland Morphogenesis By Epithelial-Mesenchymal Signaling -> Biodomain: Structural Stabilization, Epigenetic, Vasculature, Endolysosome, Cell Cycle
GO Term: Epithelial-Mesenchymal Cell Signaling -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Regulation Of Prostatic Bud Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Unknown
GO Term: Negative Regulation Of Prostatic Bud Formation -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Vasculature, Immune Response
GO Term: Regulation Of Branching Involved In Prostate Gland Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Regulation Of Morphogenesis Of A Branching Structure -> Biodomain: Vasculature, Synapse, Structural Stabilization, Immune Response, Proteostasis
GO Term: Cell Differentiation Involved In Salivary Gland Development -> Biodomain: Structural Stabilization, Cell Cycle, Endolysosome, Proteostasis, Autophagy
GO Term: Epithelial Cell Maturation Involved In Salivary Gland Development -> Biodomain: Epithelial Cell Maturation, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Regulation Of Branching Involved In Salivary Gland Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Lipid Metabolism
GO Term: Regulation Of Phospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Positive Regulation Of Phospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Endoribonuclease Inhibitor Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Metal Binding and Homeostasis
GO Term: Regulation Of Endoribonuclease Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, RNA Spliceosome, Oxidative Stress
GO Term: Regulation Of Ribonuclease Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Unknown
GO Term: Negative Regulation Of Endoribonuclease Activity -> Biodomain: RNA Spliceosome, Endolysosome, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Deoxyribonuclease Inhibitor Activity -> Biodomain: DNA Repair, Apoptosis, Endolysosome, Metal Binding and Homeostasis, Proteostasis
GO Term: Cell Differentiation Involved In Embryonic Placenta Development -> Biodomain: Epigenetic, Cell Cycle, Vasculature, Immune Response, Lipid Metabolism
GO Term: Trophoblast Giant Cell Differentiation -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Immune Response, Vasculature
GO Term: Chorio-Allantoic Fusion -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Endolysosome
GO Term: Labyrinthine Layer Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Immune Response
GO Term: Spongiotrophoblast Layer Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Epigenetic
GO Term: Labyrinthine Layer Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Endolysosome
GO Term: Syncytiotrophoblast Cell Differentiation Involved In Labyrinthine Layer Development -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Labyrinthine Layer Blood Vessel Development -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Lipid Metabolism
GO Term: Chorion Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Unknown
GO Term: Chorionic Trophoblast Cell Differentiation -> Biodomain: Vasculature, Immune Response, Apoptosis, Epigenetic, Autophagy
GO Term: Chorionic Trophoblast Cell Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Proteostasis
GO Term: Intestinal Epithelial Structure Maintenance -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Regulation Of Intestinal Epithelial Structure Maintenance -> Biodomain: Structural Stabilization, Epithelial Function, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Intestinal Epithelial Structure Maintenance -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Autophagy
GO Term: Positive Regulation Of Inositol Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Cell Cycle, Proteostasis
GO Term: Regulation Of Eif2 Alpha Phosphorylation By Dsrna -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Prostate Gland Growth -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Epithelial-Mesenchymal Signaling Involved In Prostate Gland Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Apoptosis
GO Term: Mesenchymal-Epithelial Cell Signaling Involved In Prostate Gland Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Immune Response
GO Term: Prostate Gland Epithelium Morphogenesis -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Structural Stabilization, Vasculature
GO Term: Prostate Gland Stromal Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Unknown
GO Term: Epithelial Cell Differentiation Involved In Prostate Gland Development -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Epithelial Cell Maturation Involved In Prostate Gland Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Apoptosis
GO Term: Mammary Gland Branching Involved In Thelarche -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Immune Response, Endolysosome
GO Term: Mammary Gland Branching Involved In Pregnancy -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Parental Behavior -> Biodomain: Synapse, Immune Response, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Tertiary Branching Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Vasculature
GO Term: Mammary Gland Alveolus Development -> Biodomain: Lipid Metabolism, Cell Cycle, Structural Stabilization, Autophagy, Epigenetic
GO Term: Epithelial Cell Proliferation Involved In Mammary Gland Duct Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Unknown, Vasculature, Apoptosis
GO Term: Branch Elongation Involved In Mammary Gland Duct Branching -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Regulation Of Mast Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Mast Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Mast Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Response To Cytokine Stimulus -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Response To Cytokine Stimulus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Branching Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, Lipid Metabolism
GO Term: Mammary Duct Terminal End Bud Growth -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Cell-Cell Signaling Involved In Mammary Gland Development -> Biodomain: Vasculature, Immune Response, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Androgen Receptor Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Apoptosis, Immune Response
GO Term: Negative Regulation Of Androgen Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Epithelial Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, Vasculature
GO Term: Regulation Of Epithelial Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Immune Response, Proteostasis
GO Term: Positive Regulation Of Epithelial Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Epithelial Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Proteostasis, Immune Response
GO Term: Regulation Of Mesenchymal Cell Proliferation Involved In Prostate Gland Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Autophagy
GO Term: Mesenchymal Smoothened Signaling Pathway Involved In Prostate Gland Development -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Regulation Of Cell Proliferation Involved In Tissue Homeostasis -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Regulation Of Apoptosis Involved In Tissue Homeostasis -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Hair Follicle Placode Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Unknown
GO Term: Sweat Gland Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Endolysosome, Immune Response
GO Term: Cell Fate Commitment Involved In Formation Of Primary Germ Layer -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Cell Differentiation Involved In Embryonic Placenta Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Immune Response, Lipid Metabolism
GO Term: Epiblast Cell-Extraembryonic Ectoderm Cell Signaling -> Biodomain: Epigenetic, Unknown, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Cell Differentiation Involved In Embryonic Placenta Development -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Immune Response, Apoptosis
GO Term: Mesodermal To Mesenchymal Transition Involved In Gastrulation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome, Autophagy
GO Term: Random Inactivation Of X Chromosome -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Unknown
GO Term: Regulation Of Canonical Wnt Signaling Pathway -> Biodomain: Cell Cycle, Synapse, Autophagy, Proteostasis, Oxidative Stress
GO Term: Smoothened Signaling Pathway Involved In Dorsal/Ventral Neural Tube Patterning -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Unknown
GO Term: Lymphatic Endothelial Cell Differentiation -> Biodomain: Vasculature, Immune Response, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Blood Vessel Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Apoptosis
GO Term: Lymphatic Endothelial Cell Fate Commitment -> Biodomain: Vasculature, Immune Response, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Artery Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Unknown
GO Term: Venous Blood Vessel Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Apoptosis
GO Term: Arterial Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Cell Cycle
GO Term: Venous Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Endolysosome, Immune Response
GO Term: Arterial Endothelial Cell Fate Commitment -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Endothelial Cell Fate Specification -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Notch Signaling Pathway Involved In Arterial Endothelial Cell Fate Commitment -> Biodomain: Vasculature, Proteostasis, Endolysosome, Cell Cycle, Apoptosis
GO Term: Branching Involved In Lymph Vessel Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Apoptosis
GO Term: Establishment Of Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Establishment Of Glial Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Semicircular Canal Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Unknown
GO Term: Anterior Semicircular Canal Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Mitochondrial Metabolism, Unknown
GO Term: Lateral Semicircular Canal Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Semicircular Canal Formation -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Mitochondrial Metabolism
GO Term: Semicircular Canal Fusion -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Unknown
GO Term: Limb Epidermis Development -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Autophagy, Vasculature
GO Term: Neural Plate Pattern Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Embryonic Camera-Type Eye Formation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Synapse
GO Term: Positive Regulation Of Meiosis I -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Autophagy
GO Term: Regulation Of Protein Folding In Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Positive Regulation Of Macrophage Cytokine Production -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Cardiac Cell Fate Specification -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Unknown
GO Term: Cardiac Cell Fate Determination -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Heart Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Mesenchymal Cell Differentiation Involved In Lung Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Epigenetic
GO Term: Mesenchymal Cell Proliferation Involved In Lung Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Autophagy
GO Term: Cardiac Pacemaker Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, Structural Stabilization, Vasculature
GO Term: Sinoatrial Node Cell Differentiation -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Structural Stabilization, Unknown
GO Term: Atrioventricular Node Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cardiac Muscle Cell Fate Commitment -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Apoptosis, Vasculature
GO Term: Atrioventricular Node Cell Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Atrioventricular Node Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Sinoatrial Node Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Vasculature, Mitochondrial Metabolism
GO Term: Sinoatrial Node Cell Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Vasculature
GO Term: His-Purkinje System Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Synapse, Cell Cycle, Unknown
GO Term: Cardiac Fibroblast Cell Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism, Immune Response
GO Term: Epicardium-Derived Cardiac Fibroblast Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Mitochondrial Metabolism
GO Term: Epithelial To Mesenchymal Transition Involved In Cardiac Fibroblast Development -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Vasculature, Epigenetic
GO Term: Cardiac Neuron Differentiation -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization, Synapse
GO Term: Cardiac Vascular Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cardiac Vascular Smooth Muscle Cell Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Epigenetic
GO Term: Endocardial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Unknown, Mitochondrial Metabolism
GO Term: Phospholipase D Inhibitor Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Mirna-Mediated Gene Silencing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Unknown
GO Term: Negative Regulation Of Mirna-Mediated Gene Silencing -> Biodomain: Epigenetic, Immune Response, Cell Cycle, Proteostasis, Synapse
GO Term: Embryonic Heart Tube Left/Right Pattern Formation -> Biodomain: Vasculature, Epigenetic, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism
GO Term: Left/Right Pattern Formation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis, Autophagy
GO Term: Cell Migration Involved In Heart Development -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Cardioblast Migration To The Midline Involved In Heart Field Formation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Unknown
GO Term: Coronary Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Unknown
GO Term: Coronary Vasculature Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Angiogenesis Involved In Coronary Vascular Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Vasculogenesis Involved In Coronary Vascular Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Immune Response, Epigenetic
GO Term: Cell Migration Involved In Coronary Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Immune Response, Cell Cycle
GO Term: Cell Migration Involved In Coronary Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Autophagy
GO Term: Coronary Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Immune Response, Apoptosis
GO Term: Lipid Tube -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Lipid Tube Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Lipid Tube Assembly Involved In Organelle Fusion -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Response To Fungicide -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Kidney Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Endolysosome
GO Term: Dendritic Spine Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: Dendritic Spine Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Epigenetic
GO Term: Regulation Of Dendritic Spine Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Dendritic Spine Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: Negative Regulation Of Dendritic Spine Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Dendritic Spine Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Epigenetic
GO Term: Negative Regulation Of Dendritic Spine Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Dendritic Spine Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: Cell Differentiation Involved In Kidney Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Immune Response
GO Term: Regulation Of Cell Proliferation Involved In Kidney Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Apoptosis, Autophagy
GO Term: Common Bile Duct Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Gallbladder Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Positive Regulation Of Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Cell Cycle, Immune Response, Apoptosis, Proteostasis
GO Term: Snrna Import Into Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: Hepatoblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Membrane Organization -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Membrane Fusion -> Biodomain: Endolysosome, Autophagy, Synapse, Structural Stabilization, Proteostasis
GO Term: Cardiac Muscle Tissue Regeneration -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Structural Stabilization, Oxidative Stress
GO Term: Establishment Of Endothelial Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Eyelid Development In Camera-Type Eye -> Biodomain: Structural Stabilization, Immune Response, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Epithelial Cell Differentiation Involved In Mammary Gland Alveolus Development -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Endodermal Digestive Tract Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Visceral Serous Pericardium Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Secretion By Lung Epithelial Cell Involved In Lung Growth -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Epigenetic
GO Term: Olfactory Bulb Mitral Cell Layer Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Vasculature, Myelination
GO Term: Regulation Of Cartilage Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Cartilage Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cartilage Development -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Uterus Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Female Gonad Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
