Running with TEMP=0.1, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 3000 to 3999
GO Term: Steroid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Sensory Perception Of Smell -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Immune Response
GO Term: Learning Or Memory -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Learning -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Memory -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Short-Term Memory -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Oxidative Stress
GO Term: Long-Term Memory -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Mating Behavior -> Biodomain: Synapse, Epigenetic, Proteostasis, Immune Response, Endolysosome
GO Term: Mating -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy, Immune Response
GO Term: Copulation -> Biodomain: Epigenetic, Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Vasculature
GO Term: Negative Regulation Of Female Receptivity -> Biodomain: Epigenetic, Lipid Metabolism, Synapse, Myelination, Structural Stabilization
GO Term: Rhythmic Behavior -> Biodomain: Synapse, Epigenetic, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Circadian Rhythm -> Biodomain: Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ultradian Rhythm -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Synapse
GO Term: Grooming Behavior -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Locomotory Behavior -> Biodomain: Synapse, Mitochondrial Metabolism, Myelination, Structural Stabilization, Epigenetic
GO Term: Adult Walking Behavior -> Biodomain: Synapse, Structural Stabilization, Myelination, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Jump Response -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Feeding Behavior -> Biodomain: Synapse, Endolysosome, Lipid Metabolism, Myelination, Epigenetic
GO Term: Visual Behavior -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism
GO Term: Optokinetic Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Endolysosome
GO Term: Chemosensory Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Mechanosensory Behavior -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Lipid Metabolism
GO Term: Chemokine Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Beta-Catenin Binding -> Biodomain: Structural Stabilization, Signal Transduction, Epigenetic, Cell Cycle, Proteostasis
GO Term: Blood Circulation -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Regulation Of Heart Contraction -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Lipid Metabolism, Proteostasis
GO Term: Microtubule Binding -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Tau Homeostasis
GO Term: G Protein-Coupled Photoreceptor Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Synaptic Vesicle -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Transcription Elongation Factor Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Cyclin/Cdk Positive Transcription Elongation Factor Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Monocarboxylic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Synapse, Immune Response
GO Term: Trna Processing -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: High-Density Lipoprotein Particle Binding -> Biodomain: Lipid Metabolism, Endolysosome, Immune Response, Vasculature, Proteostasis
GO Term: Cell Recognition -> Biodomain: Immune Response, Synapse, Myelination, Vasculature, Proteostasis
GO Term: Neuron Recognition -> Biodomain: Synapse, Proteostasis, Vasculature, Epigenetic, Immune Response
GO Term: Synaptic Target Recognition -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Motor Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Axon Guidance Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Enzyme Activator Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Calcium Sensitive Guanylate Cyclase Activator Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Oxidative Stress, Proteostasis
GO Term: Male Courtship Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Female Courtship Behavior -> Biodomain: Synapse, Neurogenesis, Neurotransmission, Epigenetic, Structural Stabilization
GO Term: Sensory Organ Boundary Specification -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Apoptosis
GO Term: Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Structural Stabilization
GO Term: Eye Pigment Granule Organization -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Metal Binding and Homeostasis, Autophagy
GO Term: Chitin Binding -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Toll Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Regulation Of Actin Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Immune Response
GO Term: Establishment Of Blood-Nerve Barrier -> Biodomain: Vasculature, Structural Stabilization, Synapse, Myelination, Endolysosome
GO Term: Glutamate Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Extracellularly Glutamate-Gated Chloride Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Ornithine Decarboxylase Inhibitor Activity -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, Structural Stabilization
GO Term: Guanylate Cyclase Complex, Soluble -> Biodomain: Vasculature, Synapse, Oxidative Stress, Metal Binding and Homeostasis, Immune Response
GO Term: Voltage-Gated Potassium Channel Complex -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Myelination, Structural Stabilization
GO Term: Mesodermal Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Translation Termination Factor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: N-Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Phosphoric Diester Hydrolase Activity -> Biodomain: DNA Repair, RNA Spliceosome, Epigenetic, Cell Cycle, Metal Binding and Homeostasis
GO Term: Growth Factor Activity -> Biodomain: Cell Cycle, Vasculature, Synapse, Immune Response, Autophagy
GO Term: Axo-Dendritic Transport -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Anterograde Axonal Transport -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Retrograde Axonal Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Spectrin -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Vasculature
GO Term: Cytoskeletal Protein Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Cytoskeletal Anchor Activity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Tau Homeostasis
GO Term: Atp-Dependent Activity, Acting On Dna -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: 5S Rrna Binding -> Biodomain: RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Proteostasis
GO Term: Protein Localization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Structural Stabilization
GO Term: Alcohol Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic, DNA Repair
GO Term: Galactoside 2-Alpha-L-Fucosyltransferase Activity -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Udp-Glucose:Hexose-1-Phosphate Uridylyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: N-Acetyllactosaminide Beta-1,6-N-Acetylglucosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Immune Response, Proteostasis, Autophagy
GO Term: Alpha-Methylacyl-Coa Racemase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Nicotinamide N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Peptide-Methionine (S)-S-Oxide Reductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Sarcosine Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Prostaglandin-I Synthase Activity -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Mitochondrial Metabolism, Oxidative Stress
GO Term: Sphinganine-1-Phosphate Aldolase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Endolysosome, Myelination
GO Term: N-Acetyllactosaminide Alpha-2,3-Sialyltransferase Activity -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Thiopurine S-Methyltransferase Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Ceramide Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Quinol-Cytochrome-C Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis
GO Term: Cholesterol 7-Alpha-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: 4-Alpha-Hydroxytetrahydrobiopterin Dehydratase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Vasculature, Immune Response, Synapse
GO Term: Acetylesterase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Quercetin 2,3-Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Primary Methylamine Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Transcription Factor Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Apoptosis
GO Term: Translation Factor Activity, Rna Binding -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle
GO Term: Nadh Dehydrogenase (Ubiquinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Protein Tyrosine/Serine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress, Immune Response
GO Term: Nuclear Localization Sequence Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Oxysterol Binding -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Poly(A) Binding -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Myelination, Oxidative Stress, Structural Stabilization
GO Term: Structural Constituent Of Bone -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Biological Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Mitochondrial Metabolism
GO Term: Actin Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Protein Phosphatase 1 Binding -> Biodomain: Proteostasis, Cell Cycle, Synapse, Autophagy, Apoptosis
GO Term: Hedgehog Receptor Activity -> Biodomain: Endolysosome, Lipid Metabolism, Cell Cycle, Epigenetic, Apoptosis
GO Term: Protein Tyrosine Phosphatase Activator Activity -> Biodomain: Proteostasis, Phosphorylation, Cell Signaling, Cellular Regulation, Protein Activity Regulation
GO Term: Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: C-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: O-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: S-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Rna Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Apoptosis
GO Term: Mrna Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Trna Methyltransferase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
GO Term: Trna (Guanine(46)-N7)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Succinate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Epigenetic, Autophagy
GO Term: Adenylate Cyclase Binding -> Biodomain: Signal Transduction, Synapse, Metabolism, Proteostasis, Epigenetic
GO Term: Cop9 Signalosome -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: Glycogen Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis, Proteostasis
GO Term: Atp-Dependent Activity, Acting On Rna -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Poly-Pyrimidine Tract Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Neuropeptide Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Apoptosis
GO Term: Eukaryotic Initiation Factor 4E Binding -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Oxidative Stress
GO Term: Metalloendopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Rna Guanylyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Trna Guanylyltransferase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Epigenetic, Autophagy
GO Term: Udp-Glycosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Phosphatidate Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Ferrous Iron Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ferric Iron Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Ion Channel Inhibitor Activity -> Biodomain: Synapse, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Heparin Binding -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Steroid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Bile Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: C21-Steroid Hormone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Androgen Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Estrogen Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glucocorticoid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Spermine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Spermidine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Blood Pressure -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: G Protein-Coupled Amine Receptor Activity -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Opsonization -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Cysteine-Type Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Metalloexopeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Serine-Type Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Metallopeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, APP Metabolism, Apoptosis
GO Term: Exopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Dipeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Tripeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Peptidyl-Dipeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Omega Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: 1-Alkyl-2-Acetylglycerophosphocholine Esterase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Oligosaccharyltransferase Complex -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Immune Response
GO Term: Trna-Specific Adenosine Deaminase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Nucleotidase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: 5'-Nucleotidase Activity -> Biodomain: Immune Response, Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: 3'-Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, DNA Repair, Oxidative Stress
GO Term: Succinyl-Coa:3-Oxo-Acid Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Pyrimidine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Molybdenum Cofactor Sulfurtransferase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Poly(U) Rna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Jak Pathway Signal Transduction Adaptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Zinc Ion Binding -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Epigenetic, Synapse
GO Term: Secondary Active Sulfate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Calcium, Potassium:Sodium Antiporter Activity -> Biodomain: Ion Homeostasis, Membrane Transport, Cellular Homeostasis, Calcium Homeostasis, Electrolyte Balance
GO Term: Gamma-Tubulin Small Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome, Synapse
GO Term: Protein Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Regulation Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Vasculature, Lipid Metabolism, Apoptosis
GO Term: Cohesin Complex -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Sulfonylurea Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Endolysosome
GO Term: Inward Rectifying Potassium Channel -> Biodomain: Synapse, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Cell Population Proliferation -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Positive Regulation Of Cell Population Proliferation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, DNA Repair
GO Term: Negative Regulation Of Cell Population Proliferation -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, DNA Repair
GO Term: Insulin Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Protein Serine/Threonine Phosphatase Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Lipid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: F-Actin Capping Protein Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Acetylcholine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Calcium- And Calmodulin-Responsive Adenylate Cyclase Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Cell Cycle, Immune Response
GO Term: Spermidine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: 3'-5'-Dna Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Single-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Intracellular Mrna Localization -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Synapse
GO Term: Isoprenoid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Dna Binding, Bending -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Caspase Complex -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Integrin Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Proteostasis
GO Term: Associative Learning -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Structural Constituent Of Muscle -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Voltage-Gated Monoatomic Anion Channel Activity -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Synapse, Endolysosome
GO Term: Double-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Single-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Double-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Mitochondrial Metabolism, Epigenetic, Cell Cycle
GO Term: 7S Rna Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, RNA Spliceosome, Epigenetic
GO Term: G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Autophagy, Proteostasis
GO Term: Protein Prenyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy
GO Term: Protein Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Synapse, Autophagy
GO Term: Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Endolysosome, Oxidative Stress
GO Term: Methyl-Cpg Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
