Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 11000 to 11999
GO Term: Myoblast Fate Commitment -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Detection Of Temperature Stimulus Involved In Sensory Perception Of Pain -> Biodomain: Synapse, Oxidative Stress, Immune Response, Autophagy, Proteostasis
GO Term: Detection Of Mechanical Stimulus Involved In Sensory Perception Of Pain -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Immune Response
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Pain -> Biodomain: Oxidative Stress, Immune Response, Synapse, Vasculature, Endolysosome
GO Term: Detection Of Mechanical Stimulus Involved In Sensory Perception -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Myelination
GO Term: Sensory Perception Of Touch -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Mitochondrial Metabolism
GO Term: Detection Of Mechanical Stimulus Involved In Sensory Perception Of Touch -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Autophagy
GO Term: Detection Of Mechanical Stimulus -> Biodomain: Vasculature, Synapse, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Dimethylallyl Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Quaternary Ammonium Group Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Myelination, Epigenetic
GO Term: Nitric-Oxide Synthase Binding -> Biodomain: Vasculature, Immune Response, Synapse, Oxidative Stress, Proteostasis
GO Term: Regulation Of Nitric-Oxide Synthase Activity -> Biodomain: Oxidative Stress, Immune Response, Vasculature, Synapse, Apoptosis
GO Term: Positive Regulation Of Nitric-Oxide Synthase Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Nitric-Oxide Synthase Activity -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Mitochondrial Metabolism, Apoptosis
GO Term: Hsp27 Protein Binding -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Microtubule Plus-End Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Tau Homeostasis
GO Term: Microtubule Minus-End Binding -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Proteostasis, Synapse
GO Term: Microtubule Sliding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Tau Homeostasis
GO Term: Microtubule Severing -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Cell Cycle, Autophagy
GO Term: Actin Filament Severing -> Biodomain: Structural Stabilization, Cytoskeleton, Cell Motility, Actin Cytoskeleton, Proteostasis
GO Term: Actin Filament Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Unknown
GO Term: Barbed-End Actin Filament Capping -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Synapse, Endolysosome
GO Term: Protein Kinase A Binding -> Biodomain: Proteostasis, Synapse, Cell Cycle, Apoptosis, Immune Response
GO Term: Mitogen-Activated Protein Kinase Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Gtpase Binding -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Endolysosome, Apoptosis
GO Term: Rho Gdp-Dissociation Inhibitor Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Unknown
GO Term: Chiasma Assembly -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Unknown
GO Term: Mrna Transport -> Biodomain: Synapse, RNA Spliceosome, Immune Response, Structural Stabilization, Proteostasis
GO Term: Rrna Transport -> Biodomain: RNA Spliceosome, Cell Cycle, Proteostasis, Structural Stabilization, Unknown
GO Term: Trna Transport -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Cell Cycle
GO Term: Nucleic Acid Transmembrane Transporter Activity -> Biodomain: DNA Repair, Epigenetic, Immune Response, Mitochondrial Metabolism, Autophagy
GO Term: Rna Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Synapse, Epigenetic, Immune Response
GO Term: Regulation Of Endosome Size -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Calcium-Independent Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Immune Response
GO Term: Negative Regulation Of Calcium-Independent Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis, Immune Response
GO Term: Regulation Of Membrane Protein Ectodomain Proteolysis -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Apoptosis
GO Term: Positive Regulation Of Membrane Protein Ectodomain Proteolysis -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Membrane Protein Ectodomain Proteolysis -> Biodomain: Proteostasis, APP Metabolism, Synapse, Endolysosome, Autophagy
GO Term: Regulation Of Secretion -> Biodomain: Synapse, Immune Response, Vasculature, Myelination, Endolysosome
GO Term: Positive Regulation Of Secretion -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Vasculature
GO Term: Negative Regulation Of Secretion -> Biodomain: Synapse, Immune Response, Proteostasis, APP Metabolism, Vasculature
GO Term: Regulation Of Transport -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Positive Regulation Of Transport -> Biodomain: Endolysosome, Synapse, Vasculature, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Transport -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Synapse, Immune Response
GO Term: Regulation Of Dna Metabolic Process -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Dna Metabolic Process -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Dna Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Regulation Of Small Gtpase Mediated Signal Transduction -> Biodomain: Proteostasis, Synapse, Vasculature, Immune Response, Autophagy
GO Term: Positive Regulation Of Small Gtpase Mediated Signal Transduction -> Biodomain: Endolysosome, Autophagy, Immune Response, Lipid Metabolism, Synapse
GO Term: Negative Regulation Of Small Gtpase Mediated Signal Transduction -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Immune Response, Structural Stabilization
GO Term: Nf-Kappab Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Dihydrobiopterin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Nuclear Membrane Disassembly -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Unfolded Protein Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: 'De Novo' Cotranslational Protein Folding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Apoptosis
GO Term: 'De Novo' Post-Translational Protein Folding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Protein-Folding Chaperone Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Constitutive Protein Ectodomain Proteolysis -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Of Dna-Binding Transcription Factor Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Dna-Binding Transcription Factor Activity -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, DNA Repair, Proteostasis
GO Term: Positive Regulation Of Nf-Kappab Transcription Factor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Developmental Process -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Positive Regulation Of Developmental Process -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Helicase Activity -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Binding -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Epigenetic, RNA Spliceosome, Immune Response
GO Term: Regulation Of Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Atpase Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Sugar Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Hepoxilin Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Apoptosis
GO Term: Rna Polymerase Ii Preinitiation Complex Assembly -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, RNA Spliceosome
GO Term: Synaptic Assembly At Neuromuscular Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Actin Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Negative Regulation Of Actin Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Actin Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Regulation Of Cellular Component Organization -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cellular Component Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Cellular Component Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Chaperone-Mediated Protein Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Endolysosome
GO Term: Nk T Cell Activation -> Biodomain: Immune Response, Synapse, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: Negative Regulation Of Nk T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Nk T Cell Activation -> Biodomain: Immune Response, Synapse, Lipid Metabolism, Apoptosis, Autophagy
GO Term: Regulation Of Nk T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Nk T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Unknown, Epigenetic
GO Term: Metal Cation:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Nk T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Nk T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Striated Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Regulation Of Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Muscle Cell Differentiation -> Biodomain: Epigenetic, Proteostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Negative Regulation Of Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Striated Muscle Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Striated Muscle Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Striated Muscle Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, RNA Spliceosome
GO Term: Glucose 6-Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Unknown, Autophagy
GO Term: Xylitol Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Xylitol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nuclear Export -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Nuclear Transport -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, APP Metabolism
GO Term: Import Into Nucleus -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, RNA Spliceosome, DNA Repair
GO Term: Regulation Of Phosphorus Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Tau Homeostasis, Lipid Metabolism, Cell Cycle
GO Term: Meiotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Vitamin Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Protein Insertion Into Mitochondrial Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Apoptosis
GO Term: Protein Insertion Into Membrane -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Sequestering Of Calcium Ion -> Biodomain: Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis, Apoptosis, Oxidative Stress
GO Term: Release Of Sequestered Calcium Ion Into Cytosol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Dioxygenase Activity -> Biodomain: Oxidative Stress, DNA Repair, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Cartilage Development -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Epigenetic
GO Term: Phosphoprotein Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Immune Response
GO Term: Positive Regulation Of Protein Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Synapse
GO Term: Regulation Of Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, APP Metabolism
GO Term: Negative Regulation Of Protein Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Synapse
GO Term: Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Mitotic Spindle Disassembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Spindle Elongation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Apoptosis
GO Term: Meiotic Spindle Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Spindle Midzone -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Maintenance Of Location -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Synapse, Cell Cycle
GO Term: Regulation Of Multicellular Organismal Process -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Autophagy
GO Term: Positive Regulation Of Multicellular Organismal Process -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Multicellular Organismal Process -> Biodomain: Apoptosis, Immune Response, Vasculature, Structural Stabilization, Proteostasis
GO Term: Regulation Of Protein Metabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Synapse
GO Term: Positive Regulation Of Protein Metabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Protein Metabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Lymphocyte Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Lymphocyte Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Lymphocyte Activation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of Rna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Negative Regulation Of Rna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Unknown
GO Term: Positive Regulation Of Rna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Spindle Midzone Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Mitotic Spindle Midzone Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Meiotic Spindle Midzone Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Protein Polymerization -> Biodomain: Proteostasis, Structural Stabilization, Tau Homeostasis, APP Metabolism, Cell Cycle
GO Term: Protein Complex Oligomerization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Protein Homooligomerization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein Depolymerization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Protein Tetramerization -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Mono-Olein Transacylation Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: Diolein Transacylation Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Unknown, Autophagy, Proteostasis
GO Term: Cp2 Mannose-Ethanolamine Phosphotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Chromosome Organization -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Regulation Of Release Of Sequestered Calcium Ion Into Cytosol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Release Of Sequestered Calcium Ion Into Cytosol -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Synapse
GO Term: Regulation Of Sequestering Of Calcium Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Sequestering Of Calcium Ion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Synapse, Proteostasis
GO Term: Positive Regulation Of Sequestering Of Calcium Ion -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Cell Tip -> Biodomain: Synapse, Structural Stabilization, Myelination, Tau Homeostasis, Proteostasis
GO Term: Nad Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Protein Homotetramerization -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Protein Heterotetramerization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Protein Heterooligomerization -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Lipid Metabolism
GO Term: Nuclear Pore Complex Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Lipid Metabolism
GO Term: Establishment Of Spindle Localization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Establishment Of Spindle Orientation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Establishment Of Meiotic Spindle Localization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Tau Homeostasis, Epigenetic
GO Term: Establishment Of Meiotic Spindle Orientation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Centrosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Unknown, Autophagy
GO Term: Cell Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Regulation Of Cell Division -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Establishment Of Chromosome Localization -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Chromosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Apoptosis
GO Term: Mitotic Sister Chromatid Separation -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Meiotic Chromosome Separation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Male Meiosis Chromosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Autophagy
GO Term: Female Meiosis Chromosome Separation -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, DNA Repair, Apoptosis
GO Term: Metaphase Chromosome Alignment -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Meiotic Metaphase Chromosome Alignment -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Mitochondrial Metabolism
GO Term: Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, DNA Repair
GO Term: Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Unknown, Autophagy
GO Term: Regulation Of Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Vasculature, Synapse, Immune Response, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Hydrolase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Hydrolase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Lyase Activity -> Biodomain: Lipid Metabolism, DNA Repair, Metal Binding and Homeostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Positive Regulation Of Ligase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, DNA Repair
GO Term: Negative Regulation Of Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Proprioception Involved In Equilibrioception -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: Cellular Response To Potassium Ion Starvation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Muscle Alpha-Actinin Binding -> Biodomain: Structural Stabilization, Proteostasis, Unknown, Endolysosome, Autophagy
GO Term: Fatz Binding -> Biodomain: Structural Stabilization, Proteostasis, Unknown, Autophagy, Endolysosome
GO Term: Mannose-Ethanolamine Phosphotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: Serotonin Binding -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Epinephrine Binding -> Biodomain: Signaling, Cardiovascular System, Muscle System, Respiratory System, Neurotransmitter Systems
GO Term: Norepinephrine Binding -> Biodomain: Synapse, Vasculature, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Histamine Binding -> Biodomain: Immune Response, Small Molecule Binding, Vasculature, Oxidative Stress, Synapse
GO Term: Kinetochore Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Kinetochore Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Response To Glucocorticoid -> Biodomain: Mitochondrial Metabolism, Immune Response, Epigenetic, Oxidative Stress, Lipid Metabolism
GO Term: Response To Mineralocorticoid -> Biodomain: Vasculature, Epigenetic, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Regulation Of Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Apoptosis, Autophagy
