Running with TEMP=0.9, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Nucleoside Diphosphate Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Nucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Nucleoside Triphosphate Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Nucleoside Triphosphate Catabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Purine Ribonucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Purine Ribonucleotide Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Purine Ribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Ribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Deoxyribonucleoside Monophosphate Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Deoxyribonucleoside Monophosphate Catabolic Process -> Biodomain: DNA Repair, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Nucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, Lipid Metabolism
GO Term: Nucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Proteostasis, Autophagy
GO Term: Purine Ribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Pyrimidine Deoxyribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Epigenetic, Synapse
GO Term: Purine Ribonucleoside Diphosphate Catabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Ribonucleoside Diphosphate Metabolic Process -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Ribonucleoside Diphosphate Biosynthetic Process -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Cyclic Nucleotide Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Ribonucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, Autophagy
GO Term: Deoxyribonucleoside Triphosphate Metabolic Process -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Deoxyribonucleoside Triphosphate Catabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Cell Cycle
GO Term: Cyclic Nucleotide Catabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Purine Deoxyribonucleoside Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Pyrimidine Ribonucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Synapse
GO Term: Pyrimidine Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Pyrimidine Ribonucleotide Catabolic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Pyrimidine Deoxyribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Oxidative Stress, Epigenetic
GO Term: Cmp Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Autophagy
GO Term: Nucleotide-Sugar Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Nucleotide-Sugar Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism
GO Term: Thiamine Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Riboflavin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Menaquinone Metabolic Process -> Biodomain: Epigenetic, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Menaquinone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Cobalamin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Isopentenyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Glycolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Synapse, Structural Stabilization, Endolysosome, Autophagy
GO Term: Protein Lipoylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Synapse
GO Term: Peptidoglycan Catabolic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: 10-Formyltetrahydrofolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: 10-Formyltetrahydrofolate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: 10-Formyltetrahydrofolate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Ribonucleotide Metabolic Process -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Deoxyribonucleotide Metabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Deoxyribonucleotide Catabolic Process -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Epigenetic, Cell Cycle
GO Term: 2'-Deoxyribonucleotide Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, DNA Repair
GO Term: Response To Temperature Stimulus -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Cellular Response To Starvation -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Response To Ph -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Gdp-Mannose Biosynthetic Process -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Mrna Transcription -> Biodomain: Epigenetic, Synapse, Proteostasis, RNA Spliceosome, DNA Repair
GO Term: Snrna Transcription -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Synapse, Cell Cycle
GO Term: Rrna Transcription -> Biodomain: Epigenetic, RNA Spliceosome, Synapse, Proteostasis, Cell Cycle
GO Term: Trna Transcription -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Protein Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, APP Metabolism
GO Term: Amine Metabolic Process -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Endolysosome
GO Term: Amine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Oligosaccharide Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Oligosaccharide Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Oligosaccharide Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Synapse, Autophagy
GO Term: Response To Radiation -> Biodomain: Oxidative Stress, DNA Repair, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Phenylalanine-Trna Ligase Complex -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Epigenetic, RNA Spliceosome
GO Term: Dna Topoisomerase Type Ii (Double Strand Cut, Atp-Hydrolyzing) Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Dna Polymerase Iii Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Succinate-Coa Ligase Complex (Adp-Forming) -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Endopeptidase Clp Complex -> Biodomain: Proteostasis, Synapse, Autophagy, Oxidative Stress, Apoptosis
GO Term: Biotin Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Four-Way Junction Helicase Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Rrna (Cytosine-C5-)-Methyltransferase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, RNA Spliceosome, Autophagy
GO Term: N-Acylmannosamine Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Mitochondrial Metabolism
GO Term: Translational Attenuation -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Endolysosome
GO Term: Phospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Synapse, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Folic Acid-Containing Compound Biosynthetic Process -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Fmn Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Toxin Biosynthetic Process -> Biodomain: Proteostasis, Oxidative Stress, Synapse, Autophagy, Endolysosome
GO Term: Toxin Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Toxin Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Oxidative Stress, Autophagy, Synapse
GO Term: Response To Heat -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Apoptosis, Autophagy
GO Term: Response To Cold -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Synapse, Autophagy
GO Term: Response To Xenobiotic Stimulus -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome, Immune Response
GO Term: Response To Uv -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
GO Term: Response To Water Deprivation -> Biodomain: Synapse, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Response To Water -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Response To Light Stimulus -> Biodomain: Synapse, Epigenetic, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Nad+ Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Glyoxylate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Carnitine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress
GO Term: Methylglyoxal Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Cyanate Catabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Synapse
GO Term: Glycolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pyridoxal 5'-Phosphate Salvage -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Putrescine Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Putrescine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Putrescine Catabolic Process -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Gamma-Aminobutyric Acid Metabolic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Gamma-Aminobutyric Acid Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Gamma-Aminobutyric Acid Catabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Rna Modification -> Biodomain: Epigenetic, Synapse, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Fertilization -> Biodomain: Epigenetic, Cell Cycle, Mitochondrial Metabolism, Proteostasis, DNA Repair
GO Term: Detection Of Abiotic Stimulus -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Immune Response
GO Term: Detection Of Light Stimulus -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Response to Stimulus
GO Term: Detection Of Visible Light -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Detection Of Uv -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Detection Of Gravity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Detection Of Chemical Stimulus -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Detection Of Biotic Stimulus -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Oxidative Stress
Saved results to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.9/go_biodomain_results_part_8.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.9/runtime_log.csv
