Running with TEMP=0.9, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 1500 to 1999
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Epigenetic
GO Term: 3-Phosphoinositide-Dependent Protein Kinase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Dna-Dependent Protein Kinase Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Amp-Activated Protein Kinase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Calcium/Calmodulin-Dependent Protein Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Elongation Factor-2 Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Myosin Light Chain Kinase Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis
GO Term: Phosphorylase Kinase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Camp-Dependent Protein Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Mitochondrial Metabolism, Cell Cycle
GO Term: Cgmp-Dependent Protein Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Apoptosis, Epigenetic
GO Term: Eukaryotic Translation Initiation Factor 2Alpha Kinase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Diacylglycerol-Dependent Serine/Threonine Kinase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Epigenetic, Cell Cycle
GO Term: Calcium,Diacylglycerol-Dependent Serine/Threonine Kinase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Diacylglycerol-Dependent, Calcium-Independent Serine/Threonine Kinase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: G Protein-Coupled Receptor Kinase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, RNA Spliceosome
GO Term: Jun Kinase Activity -> Biodomain: Synapse, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Jun Kinase Kinase Kinase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Epigenetic
GO Term: Map Kinase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Epigenetic
GO Term: Map Kinase Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Map Kinase Kinase Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Ribosomal Protein S6 Kinase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein Serine/Threonine/Tyrosine Kinase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, Apoptosis
GO Term: Protein Tyrosine Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Immune Response, Cell Cycle
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Epigenetic, Immune Response
GO Term: Non-Membrane Spanning Protein Tyrosine Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Protein-L-Isoaspartate (D-Aspartate) O-Methyltransferase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Autophagy, Epigenetic
GO Term: Protein-Lysine 6-Oxidase Activity -> Biodomain: Synapse, Oxidative Stress, Structural Stabilization, Endolysosome, Metal Binding and Homeostasis
GO Term: Phosphoprotein Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Epigenetic, Apoptosis
GO Term: Protein Serine/Threonine Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Epigenetic
GO Term: Calcium-Dependent Protein Serine/Threonine Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Protein Tyrosine Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Immune Response
GO Term: Non-Membrane Spanning Protein Tyrosine Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Oxygen-Dependent Protoporphyrinogen Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism
GO Term: Purine-Nucleoside Phosphorylase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Pyridoxamine Phosphate Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Synapse, Proteostasis, Lipid Metabolism
GO Term: Pyrroline-5-Carboxylate Reductase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Lipid Metabolism
GO Term: Pyruvate Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Pyruvate Dehydrogenase (Acetyl-Transferring) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Pyruvate Dehydrogenase (Acetyl-Transferring) Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: [Pyruvate Dehydrogenase (Acetyl-Transferring)]-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse, Autophagy
GO Term: Dihydrolipoyllysine-Residue Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Pyruvate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: All-Trans-Retinol Dehydrogenase (Nad+) Activity -> Biodomain: Synapse,Lipid Metabolism,Oxidative Stress,Proteostasis,Epigenetic
GO Term: Ribokinase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Ribonucleoside-Diphosphate Reductase Activity, Thioredoxin Disulfide As Acceptor -> Biodomain: Oxidative Stress, DNA Repair, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Ribose Phosphate Diphosphokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, DNA Repair, Cell Cycle
GO Term: D-Ribulose-Phosphate 3-Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Ribose-5-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Saccharopine Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Synapse
GO Term: Saccharopine Dehydrogenase (Nad+, L-Lysine-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Selenide, Water Dikinase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Sepiapterin Reductase (Nadp+) Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Serine C-Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Proteostasis, Autophagy
GO Term: L-Serine-Pyruvate Transaminase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Spermidine Synthase Activity -> Biodomain: Autophagy, Proteostasis, Synapse, Oxidative Stress, Lipid Metabolism
GO Term: Sphingomyelin Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Proteostasis, Autophagy
GO Term: Stearoyl-Coa 9-Desaturase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Steroid Delta-Isomerase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Sterol Ester Esterase Activity -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Proteostasis, Autophagy
GO Term: Sterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Steryl-Sulfatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Oxidative Stress
GO Term: Succinate-Coa Ligase (Adp-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Succinate-Coa Ligase (Gdp-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Succinate-Semialdehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Succinyl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Sulfate Adenylyltransferase (Atp) Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Sulfinoalanine Decarboxylase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Myelination, Lipid Metabolism
GO Term: Superoxide Dismutase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Thiamine Diphosphokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: Thioether S-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Cell Cycle
GO Term: Thioredoxin-Disulfide Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Thiosulfate-Cyanide Sulfurtransferase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome, Synapse
GO Term: Threonine Deaminase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Threonine Synthase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Structural Stabilization
GO Term: Thromboxane-A Synthase Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Thymidine Kinase Activity -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Dtmp Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Proteostasis
GO Term: Thymidylate Synthase Activity -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Thyroxine 5'-Deiodinase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Transaldolase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Synapse
GO Term: Transketolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Transposase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Triacylglycerol Lipase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Triose-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cca Trna Nucleotidyltransferase Activity -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Aminoacyl-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Alanine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism
GO Term: Arginine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Aspartate-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Asparagine-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Structural Stabilization
GO Term: Cysteine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Glutamate-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Endolysosome, Metal Binding and Homeostasis
GO Term: Glutamine-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Epigenetic
GO Term: Glycine-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Autophagy
GO Term: Histidine-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Isoleucine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Leucine-Trna Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Endolysosome
GO Term: Lysine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, RNA Spliceosome, Autophagy
GO Term: Methionine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Phenylalanine-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Proline-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism
GO Term: Serine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, RNA Spliceosome, Autophagy
GO Term: Threonine-Trna Ligase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Synapse, Autophagy
GO Term: Tryptophan-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Epigenetic
GO Term: Tyrosine-Trna Ligase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism
GO Term: Valine-Trna Ligase Activity -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism
GO Term: Tryptophan 2,3-Dioxygenase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Tubulin-Tyrosine Ligase Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: L-Tyrosine-2-Oxoglutarate Transaminase Activity -> Biodomain: Neurotransmitter, Amino Acid Metabolism, Metabolic Pathways, Protein Synthesis, Synapse
GO Term: Ubiquitin Activating Enzyme Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Autophagy, Apoptosis
GO Term: Ubiquitin-Protein Transferase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, APP Metabolism
GO Term: Cysteine-Type Deubiquitinase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Apoptosis
GO Term: Uracil Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Uridine Kinase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Uridine Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Uroporphyrinogen-Iii Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Uroporphyrinogen Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Xanthine Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Xanthine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Autophagy
GO Term: D-Xylulokinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Enzyme Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Phospholipase Inhibitor Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Protein Kinase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Inhibitor Activity -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Synapse, Proteostasis
GO Term: Camp-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Protein Phosphatase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Protein Serine/Threonine Phosphatase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Cell Cycle, Apoptosis
Saved results to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.9/go_biodomain_results_part_4.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/05-FXS/Temp_0.9/runtime_log.csv
