Running with TEMP=0.5, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Very-Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Negative Regulation Of Udp-Glucose Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Metal Binding and Homeostasis
GO Term: Regulation Of Glucose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Glucose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Regulation Of Heparan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Vasculature, Endolysosome
GO Term: Positive Regulation Of Heparan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Synapse, Vasculature
GO Term: Negative Regulation Of Very-Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Immune Response
GO Term: Negative Regulation Of Mitochondrial Membrane Potential -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Mitochondrial Membrane Potential -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Inositol Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Phosphatase Activity -> Biodomain: Signal Transduction, Metabolism, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Macrophage Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Regulation Of Macrophage Cytokine Production -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Macrophage Cytokine Production -> Biodomain: Immune Response, Proteostasis, Epigenetic, Oxidative Stress, Autophagy
GO Term: Nadph Pyrophosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Transcription By Competitive Promoter Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Coenzyme A Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Cell Cycle Process -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Intestinal Phytosterol Absorption -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Autophagy, Proteostasis
GO Term: Positive Regulation Of Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Negative Regulation Of Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Positive Regulation Of Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Positive Regulation Of Protein Processing -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, APP Metabolism
GO Term: Negative Regulation Of Protein Processing -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, APP Metabolism
GO Term: Negative Regulation Of Vitamin D Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Metal Binding and Homeostasis
GO Term: Regulation Of Metal Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Magnesium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Intracellular Magnesium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Mitotic Sister Chromatid Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Regulation Of Phosphate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Vasculature, Apoptosis
GO Term: Regulation Of Microtubule Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Transport Along Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Positive Regulation Of G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Apoptosis
GO Term: Negative Regulation Of G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Neuron Projection Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Neuron Projection Development -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Neuron Projection Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Vitamin D 24-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of High-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Autophagy
GO Term: Negative Regulation Of Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of High-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Immune Response
GO Term: Regulation Of Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Autophagy
GO Term: Ubiquitin Recycling -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Free Ubiquitin Chain Polymerization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Response To Auditory Stimulus -> Biodomain: Synapse, Myelination, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Anaphase-Promoting Complex Binding -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, Epigenetic
GO Term: Regulation Of Translational Initiation By Eif2 Alpha Phosphorylation -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Immune Response
GO Term: Programmed Cell Death -> Biodomain: Apoptosis, Oxidative Stress, Autophagy, Proteostasis, Immune Response
GO Term: Induction Of Programmed Cell Death -> Biodomain: Apoptosis, Proteostasis, Autophagy, Oxidative Stress, Immune Response
GO Term: Endomembrane System -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Vasculature
GO Term: Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Er To Golgi Transport Vesicle Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Trans-Golgi Network Transport Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Astrocyte Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Immune Response
GO Term: Oligodendrocyte Development -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Synapse, Immune Response
GO Term: Microglia Differentiation -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Autophagy
GO Term: Microglia Development -> Biodomain: Immune Response, Synapse, Myelination, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Microglia Differentiation -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Glial Cell Proliferation -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Lipid Metabolism, Synapse
GO Term: Schwann Cell Proliferation -> Biodomain: Myelination, Cell Cycle, Synapse, Structural Stabilization, Immune Response
GO Term: Peripheral Nervous System Axon Regeneration -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Immune Response
GO Term: Regulation Of Gliogenesis -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Gliogenesis -> Biodomain: Synapse, Myelination, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Positive Regulation Of Gliogenesis -> Biodomain: Myelination  
Cell Cycle  
Proteostasis  
Synapse  
Autophagy
GO Term: Neuroblast Differentiation -> Biodomain: Synapse, Cell Cycle, Epigenetic, RNA Spliceosome, Lipid Metabolism
GO Term: Notochord Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Neural Crest Formation -> Biodomain: Developmental Process, Epithelial to Mesenchymal Transition, Morphogenesis, Cell Differentiation, Embryonic Development
GO Term: Mesenchymal Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Neural Crest Cell Development -> Biodomain: Cell Cycle, Myelination, Vasculature, Apoptosis, Epigenetic
GO Term: Neural Crest Cell Differentiation -> Biodomain: Developmental Biology, Stem Cell Biology, Neurogenesis, Cell Differentiation, Mesenchymal Stem Cells
GO Term: Neural Crest Cell Fate Commitment -> Biodomain: Cell Cycle, Developmental Process, Epigenetic, Structural Stabilization, Vasculature
GO Term: Neural Crest Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Proteostasis
GO Term: Schwann Cell Differentiation -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Regulation Of Schwann Cell Differentiation -> Biodomain: Myelination  
Structural Stabilization  
Cell Cycle  
Lipid Metabolism  
Proteostasis
GO Term: Positive Regulation Of Schwann Cell Differentiation -> Biodomain: Myelination  
Neurogenesis  
Cell Differentiation  
Developmental Process  
Regulation Of Biological Process
GO Term: Regulation Of Neuron Maturation -> Biodomain: Synapse, Myelination, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Neuron Maturation -> Biodomain: Synapse, Myelination, Structural Stabilization, Tau Homeostasis, Proteostasis
GO Term: Negative Regulation Of Neuron Maturation -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Schwann Cell Development -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Lipid Metabolism
GO Term: Establishment Of Endothelial Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Dopamine Secretion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Glutamate Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Regulation Of Glutamate Secretion -> Biodomain: Synapse, Vesicular Trafficking, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Glutamate Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Negative Regulation Of Glutamate Secretion -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Gamma-Aminobutyric Acid Secretion -> Biodomain: Synapse, Vasculature, Structural Stabilization, Immune Response, Endolysosome
GO Term: Negative Regulation Of Gamma-Aminobutyric Acid Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Gamma-Aminobutyric Acid Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Acetylcholine Secretion, Neurotransmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Acetylcholine Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Regulation Of Dopamine Secretion -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Regulation Of Serotonin Secretion -> Biodomain: Synapse, Signaling, Neurotransmitter Release, Secretion, Vesicle Trafficking
GO Term: Negative Regulation Of Serotonin Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Cell-Cell Signaling, Lipid Metabolism
GO Term: Positive Regulation Of Serotonin Secretion -> Biodomain: Synapse, Proteostasis, Cell-Cell Signaling, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Postsynaptic Density -> Biodomain: Synapse, Structural Stabilization, Signal Transduction, Proteostasis, Cell Adhesion
GO Term: Response To Purine-Containing Compound -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Vasculature, Immune Response
GO Term: Response To Amine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Junctional Sarcoplasmic Reticulum Membrane -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Intercalated Disc -> Biodomain: Structural Stabilization, Synapse, Cell-Cell Junction, Vasculature, Proteostasis
GO Term: C Zone -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Striated Muscle Tissue Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Branchiomeric Skeletal Muscle Development -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Immune Response
GO Term: Skeletal Muscle Satellite Cell Activation -> Biodomain: Muscle System, Cell Activation, Regeneration, Cell Differentiation, Developmental Process
GO Term: Regulation Of Skeletal Muscle Contraction By Calcium Ion Signaling -> Biodomain: Metal Binding and Homeostasis, Synapse, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Skeletal Muscle Contraction By Modulation Of Calcium Ion Sensitivity Of Myofibril -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of The Force Of Skeletal Muscle Contraction -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Spectrin-Associated Cytoskeleton -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Skeletal Muscle Atrophy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Skeletal Muscle Adaptation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Skeletal Muscle Hypertrophy -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Muscle Atrophy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Muscle Atrophy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Muscle Hyperplasia -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Muscle Hyperplasia -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Muscle Hypertrophy -> Biodomain: Structural Stabilization, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Longitudinal Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Terminal Cisterna -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Terminal Cisterna Lumen -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Smooth Muscle Adaptation -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Smooth Muscle Hyperplasia -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Regulation Of Somitogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Skeletal Muscle Contraction By Regulation Of Release Of Sequestered Calcium Ion -> Biodomain: Signal Transduction  
Metal Binding and Homeostasis  
Intracellular Transport  
Cellular Regulation  
Structural Stabilization
GO Term: Positive Regulation Of Skeletal Muscle Contraction By Regulation Of Release Of Sequestered Calcium Ion -> Biodomain: Calcium Signaling, Proteostasis, Structural Stabilization, Autophagy, Metal Binding and Homeostasis
GO Term: Muscle Cell Migration -> Biodomain: Cell Motility, Muscle Biology, Developmental Biology, Cytoskeleton and Adhesion, Tissue Development and Organization
GO Term: Skeletal Muscle Satellite Cell Commitment -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Skeletal Muscle Satellite Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Skeletal Muscle Contraction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Oxidative Stress
GO Term: Tonic Smooth Muscle Contraction -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Detection Of Wounding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Structural Stabilization, Autophagy
GO Term: Response To Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Artery Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Vein Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Intestine Smooth Muscle Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Vascular Associated Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Urinary Bladder Smooth Muscle Contraction -> Biodomain: Muscle System, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Skeletal Muscle Satellite Cell Maintenance Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Autophagy, Epigenetic
GO Term: Myoblast Differentiation Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Immune Response
GO Term: Myoblast Migration Involved In Skeletal Muscle Regeneration -> Biodomain: Structural Stabilization, Autophagy, Apoptosis, Immune Response, Epigenetic
GO Term: Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Immune Response, Autophagy
GO Term: Regulation Of Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Epigenetic, Autophagy
GO Term: Growth Factor Dependent Regulation Of Skeletal Muscle Satellite Cell Proliferation -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Esophagus Smooth Muscle Contraction -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Vasculature
GO Term: Response To Muscle Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Regulation Of Excitatory Postsynaptic Membrane Potential Involved In Skeletal Muscle Contraction -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Response To Inactivity -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Epigenetic, Mitochondrial Metabolism
GO Term: Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Autophagy
GO Term: Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Skeletal Muscle Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Skeletal Muscle Contraction Via Regulation Of Action Potential -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Skeletal Myofibril Assembly -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Response To Muscle Inactivity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Muscle Activity Involved In Regulation Of Muscle Adaptation -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Response To Injury Involved In Regulation Of Muscle Adaptation -> Biodomain: Structural Stabilization, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Response To Electrical Stimulus Involved In Regulation Of Muscle Adaptation -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Myelination, Epigenetic
GO Term: Transition Between Fast And Slow Fiber -> Biodomain: Mitochondrial Metabolism, Synapse, Epigenetic, Proteostasis, Autophagy
GO Term: Transition Between Slow And Fast Fiber -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Autophagy, RNA Spliceosome
GO Term: Muscle Atrophy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Striated Muscle Atrophy -> Biodomain: Proteostasis, Apoptosis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Response To Denervation Involved In Regulation Of Muscle Adaptation -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Smooth Muscle Hypertrophy -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Muscle Hypertrophy -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Cardiac Muscle Hypertrophy In Response To Stress -> Biodomain: Oxidative Stress, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Satellite Cell Activation Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Myotube Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Myotube Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Cell Differentiation, Proteostasis, Autophagy
GO Term: Myoblast Fusion Involved In Skeletal Muscle Regeneration -> Biodomain: Structural Stabilization  
Cell Cycle  
Developmental Process  
Cell Differentiation  
Muscle Biology
GO Term: Myotube Cell Development Involved In Skeletal Muscle Regeneration -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Structural Stabilization, Endolysosome
GO Term: Myotube Differentiation Involved In Skeletal Muscle Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Regulation Of Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Positive Regulation Of Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Lung Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Heparan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Synapse, Immune Response
GO Term: Heparan Sulfate N-Sulfotransferase Activity -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Galactosylgalactosylxylosylprotein 3-Beta-Glucuronosyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Heparan-Alpha-Glucosaminide N-Acetyltransferase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Glucuronosyltransferase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Proteostasis
GO Term: Glucuronate-2-Sulfatase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Coreceptor Activity -> Biodomain: Immune Response, Synapse, Apoptosis, APP Metabolism, Myelination
GO Term: Cajal Body -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Protein Transport -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Synapse
GO Term: Protein-Disulfide Reductase Activity -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Disulfide Oxidoreductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis
